Наименование,Описание,Категория,Цена,Фото
Фокачча с чесноком,,Фокачча,100 с,https://nambafood.kg/dish_image/115264.png
Фокачча с розмарином,,Фокачча,100 с,https://nambafood.kg/dish_image/115265.png
Фокачча с мёдом и чили,,Фокачча,100 с,https://nambafood.kg/dish_image/115266.png
Фокачча с пармезаном,,Фокачча,110 с,https://nambafood.kg/dish_image/115267.png
Салат с рукколой и телятиной Сотэ,"150 г. Руккола, телятина бон-филе, сыр Пармезан, вяленые помидоры, оливковое масло, лимонный сок.",Салаты,380 с,https://nambafood.kg/dish_image/128003.png
Греческий салат,"250 г. Сыр Фета, помидоры, огурцы, перец болгарский, листья салата, Лолло Россо. айсберг, оливки, маслины, лук красный, лимонный сок, оливковое масло.",Салаты,370 с,https://nambafood.kg/dish_image/115287.png
Салат Цезарь с курицей,"220 г. Салат айсберг, помидоры черри, итальянский классический соус Цезарь, грудка куриная, сыр Пармезан, гренки.",Салаты,360 с,https://nambafood.kg/dish_image/115272.png
Салат «Цезарь с креветками»,"220 г. Салат айсберг, помидор черри, итальянский классический соус Цезарь, креветки, сыр Пармезан, гренки.",Салаты,450 с,https://nambafood.kg/dish_image/115271.png
Салат «Руккола с креветками»,"190 г. Руккола, помидоры вяленые, соус Фирменный, сыр Пармезан, помидоры черри, тигровые креветки.",Салаты,510 с,https://nambafood.kg/dish_image/115286.png
Тёплый салат Фегатини,"165 г. Печень куриная, шпинат, соус медовый, специи.",Салаты,310 с,https://nambafood.kg/dish_image/128005.png
Салат с козьим сыром,"210 г. Орех мускатный, свёкла, сыр козий, шпинат, соус медовый.",Салаты,280 с,https://nambafood.kg/dish_image/115288.png
Салат Мисто по-итальянски,"270 г. Листья салата, айсберг, огурцы, помидоры черри, редис, перец болгарский, маслины, оливки, бальзамический уксус, лимонный сок, оливковое масло.",Салаты,330 с,https://nambafood.kg/dish_image/115273.png
Салат овощной,"270 г. Помидоры, огурцы, перец болгарский, лук красный, листья салата, оливковое масло",Салаты,235 с,https://nambafood.kg/dish_image/128006.png
Салат Бора-Бора,"350 г. Авокадо, креветки, огурцы, винный уксус",Салаты,480 с,https://nambafood.kg/dish_image/128007.png
Боул тунец,"350 г. Тунец, авокадо, салат Чукка, шпинат, рис, оливковое масло, бобы, брокколи, цветная капуста",Салаты,410 с,https://nambafood.kg/dish_image/128011.png
Боул семга,"350 г. Семга, Чукка, авокадо, шпинат, рис, масло оливковое, бобы, брокколи, цветная капуста",Салаты,440 с,https://nambafood.kg/dish_image/128012.png
Боул зеленый,"350 г. Брокколи, Чукка, шпинат, цветная капуста, авокадо, бобы, огурцы, оливковое масло",Салаты,340 с,https://nambafood.kg/dish_image/128013.png
Крем-суп из Брокколи,"250 г. Брокколи, молоко, сыр, масло оливковое, сливки.",Супы,270 с,https://nambafood.kg/dish_image/128014.png
Суп Чечевичный,"250 г. Чечевица красная, томатная база, копчёная утиная грудка, лимон.",Супы,250 с,https://nambafood.kg/dish_image/128015.png
Крем-суп с грибами,"250 г. Шампиньоны, молоко, сыр, масло оливковое, специи, сливки.",Супы,250 с,https://nambafood.kg/dish_image/128018.png
Крем-суп тыквенный,"250 г. Сливки, молоко, сыр, тыква, лук, специи.",Супы,250 с,https://nambafood.kg/dish_image/128016.png
Куриный суп с лапшой,"300 г. Курица домашняя, лапша, бульон.",Супы,220 с,https://nambafood.kg/dish_image/128019.png
Пельмени домашние,"300 г. Пельмени, бульон говяжий, сметана.",Супы,220 с,https://nambafood.kg/dish_image/128020.png
Уха с форелью,"Форель, лук, картофель, сельдерей",Супы,300 с,https://nambafood.kg/dish_image/140140.png
Пепперони 28 см,,Пицца 28 см,310 с,https://nambafood.kg/dish_image/141944.png
Пицца «Ветчина с ананасом» 28 см,"Соус Пилати, сыр Моцарелла, ветчина (говядина), ананас.",Пицца 28 см,390 с,https://nambafood.kg/dish_image/127991.png
Пицца «Дьябола» 28 см,"Соус Пилати, сыр Моцарелла, колбаса копчёная, лук, грибы.",Пицца 28 см,310 с,https://nambafood.kg/dish_image/127993.png
Пицца «Четыре сыра»‎‎ 28 см,"Соус Пилати, сыр Моцарелла, сыр Горгонзола, сыр Пармезан, сыр Чеддер.",Пицца 28 см,380 с,https://nambafood.kg/dish_image/115280.png
Пицца «Маргарита»‎‎ 28 см,"Соус Пилати, сыр Моцарелла, сыр Пармезан.",Пицца 28 см,290 с,https://nambafood.kg/dish_image/115243.png
Пицца «Охотничья» 28 см,"Соус Пилати, сыр Моцарелла, перец болгарский, охотничьи колбаски, шампиньоны, красный лук.",Пицца 28 см,330 с,https://nambafood.kg/dish_image/127995.png
Пицца «Ветчина с грибами»‎‎ 28 см,"Соус Пилати, ветчина (говядина), шампиньоны, сыр Моцарелла.",Пицца 28 см,410 с,https://nambafood.kg/dish_image/115285.png
Пицца «Кальцоне»‎‎ 28 см,"Соус Пилати, сыр Моцарелла, ветчина (говядина), шампиньоны.",Пицца 28 см,480 с,https://nambafood.kg/dish_image/127997.png
Пицца «Цезарь»‎‎ 28 см,"Соус Пилати, сыр Моцарелла, маринованное куриное филе, листья айсберга в соусе Цезарь, Пармезан.",Пицца 28 см,350 с,https://nambafood.kg/dish_image/115292.png
Мясная пицца 28 см,"Соус Пилати, сыр Моцарелла, ветчина (говядина), копчёная колбаса, маринованное куриное филе.",Пицца 28 см,450 с,https://nambafood.kg/dish_image/127998.png
Пицца с тунцом 28 см,"Соус Пилати, сыр Моцарелла, тунец, лук красный, помидоры черри.",Пицца 28 см,350 с,https://nambafood.kg/dish_image/128000.png
Пицца «Курица со шпинатом»‎‎ 28 см,"Сливки, сыр Моцарелла, шпинат, курица, сыр Горгонзола.",Пицца 28 см,290 с,https://nambafood.kg/dish_image/115246.png
Пицца с семгой 28 см,,Пицца 28 см,450 с,https://nambafood.kg/dish_image/141947.png
Пицца «Чили»‎‎ 28 см,,Пицца 28 см,350 с,https://nambafood.kg/dish_image/141950.png
Хачапури по аджарски,,Пицца 28 см,380 с,https://nambafood.kg/dish_image/141941.png
Пепперони 34 см,,Пицца 34 см,470 с,https://nambafood.kg/dish_image/141945.png
Пицца «Ветчина с ананасом» 34 см,"Соус Пилати, сыр Моцарелла, ветчина (говядина), ананас.",Пицца 34 см,510 с,https://nambafood.kg/dish_image/127992.png
Пицца «Дьябола» 34 см,"Соус Пилати, сыр Моцарелла, колбаса копчёная, лук, грибы.",Пицца 34 см,470 с,https://nambafood.kg/dish_image/127994.png
Пицца «Четыре сыра»‎‎ 34 см,"Соус Пилати, сыр Моцарелла, сыр Горгонзола, сыр Пармезан, сыр Чеддер.",Пицца 34 см,480 с,https://nambafood.kg/dish_image/115242.png
Пицца «Маргарита»‎‎ 34 см,"Соус Пилати, сыр Моцарелла, сыр Пармезан.",Пицца 34 см,410 с,https://nambafood.kg/dish_image/115244.png
Пицца «Охотничья» 34 см,"Соус Пилати, сыр Моцарелла, перец болгарский, охотничьи колбаски, шампиньоны, красный лук.",Пицца 34 см,420 с,https://nambafood.kg/dish_image/127996.png
Пицца «Ветчина с грибами»‎‎ 34 см,"Соус Пилати, ветчина (говядина), шампиньоны, сыр Моцарелла.",Пицца 34 см,450 с,https://nambafood.kg/dish_image/115284.png
Пицца «Цезарь»‎‎ 34 см,"Соус Пилати, сыр Моцарелла, маринованное куриное филе, листья айсберга в соусе Цезарь, Пармезан.",Пицца 34 см,450 с,https://nambafood.kg/dish_image/115291.png
Мясная пицца 34 см,"Соус Пилати, сыр Моцарелла, ветчина (говядина), копчёная колбаса, маринованное куриное филе.",Пицца 34 см,630 с,https://nambafood.kg/dish_image/127999.png
Пицца с тунцом 34 см,"Соус Пилати, сыр Моцарелла, тунец, лук красный, помидоры черри.",Пицца 34 см,510 с,https://nambafood.kg/dish_image/128001.png
Пицца «Курица со шпинатом»‎‎ 34 см,"Сливки, сыр Моцарелла, шпинат, курица, сыр Горгонзола.",Пицца 34 см,450 с,https://nambafood.kg/dish_image/115245.png
Пицца с семгой 34 см,,Пицца 34 см,620 с,https://nambafood.kg/dish_image/141948.png
Пицца «Чили» 34 см,,Пицца 34 см,520 с,https://nambafood.kg/dish_image/141949.png
Фетучини с сёмгой,"Сёмга, цукини, соус  Пилати, оливковое масло, пармезан, сливки.",Паста,490 с,https://nambafood.kg/dish_image/127986.png
Фетучини курица с грибами,"Куриная грудка, лук репчатый, масло оливковое, специи, вешенки, сливки.",Паста,380 с,https://nambafood.kg/dish_image/127987.png
Спагетти АРО (aglio olio е peperoncino),"250 г. Спагетти, масло оливковое, сыр Пармезан, острый перец, чеснок, петрушка.",Паста,370 с,https://nambafood.kg/dish_image/127989.png
Паста «Спагетти с помидорами и базиликом»,"285 г. Спагетти, соус пилатти, сыр пармезан, соус песто.",Паста,370 с,https://nambafood.kg/dish_image/127990.png
Паста «Пенне Аррабиата»,"250 гр. Паста пенне, томатный соус, сыр пармезан, масло оливковое, петрушка, пеперончино, чеснок.",Паста,390 с,https://nambafood.kg/dish_image/127988.png
Спагетти «Рагу Болоньезе»,"300 г. Спагетти, рагу болоньезе, сыр пармезан, масло оливковое.",Паста,400 с,https://nambafood.kg/dish_image/115289.png
Спагетти «Карбонара»,"320 г. Ветчина (говядина), сыр пармезан, специи, сливки.",Паста,340 с,https://nambafood.kg/dish_image/115293.png
Спагетти с бон-филе,"320 г. Спагетти, бон-филе, томатный соус, чеснок, перец, сыр пармезан.",Паста,440 с,https://nambafood.kg/dish_image/115252.png
Спагетти со шпинатом,"Шпинат, соус песто, сливочное масло, пармезан, чесночное масло, помидоры",Паста,370 с,https://nambafood.kg/dish_image/140141.png
Котлеты из телятины с пюре,180 г.,Блюда из мяса и птицы,390 с,https://nambafood.kg/dish_image/142560.png
Котлеты из курицы с пюре,180 г.,Блюда из мяса и птицы,350 с,https://nambafood.kg/dish_image/142559.png
Бифштекс фирменный,"Говядина, сыр, шампиньоны, сливочный соус, брокколи, цветная капуста, морковь",Блюда из мяса и птицы,450 с,https://nambafood.kg/dish_image/128025.png
Ребра запечённые с пюре,,Блюда из мяса и птицы,550 с,https://nambafood.kg/dish_image/128026.png
Цыпленок с овощами на сковороде,"430 г. Половина цыплёнка, перец болгарский, баклажан, цуккини, соус пилати, масло оливковое, орегано, зелень.",Блюда из мяса и птицы,520 с,https://nambafood.kg/dish_image/115290.png
Куриная грудка в сливочном соусе с шампиньонами,240 г.,Блюда из мяса и птицы,430 с,https://nambafood.kg/dish_image/115279.png
Медальоны с пюре,,Блюда из мяса и птицы,620 с,https://nambafood.kg/dish_image/141926.png
Цыплёнок с трюфелем с картофельным пюре,,Блюда из мяса и птицы,550 с,https://nambafood.kg/dish_image/141940.png
