Наименование,Описание,Категория,Цена,Фото
Лагман,,Лагманы,190 с,https://nambafood.kg/dish_image/75948.png
Босо лагман,,Лагманы,190 с,https://nambafood.kg/dish_image/75949.png
Острый лагман,,Лагманы,190 с,https://nambafood.kg/dish_image/75953.png
Гуйру лагман,,Лагманы,190 с,https://nambafood.kg/dish_image/75952.png
Ган-фан,,Лагманы,190 с,https://nambafood.kg/dish_image/75957.png
Гуйру ган-фан,,Лагманы,190 с,https://nambafood.kg/dish_image/83285.png
Ган-фан из курицы,,Лагманы,190 с,https://nambafood.kg/dish_image/83286.png
Фри с мясом,,Лагманы,220 с,https://nambafood.kg/dish_image/75958.png
Лагман из курицы,,Лагманы,180 с,https://nambafood.kg/dish_image/107765.png
Босо лагман из курицы,,Лагманы,190 с,https://nambafood.kg/dish_image/107766.png
Курица в кисло-остром соусе,Без гарнира,Горячие блюда,190 с,https://nambafood.kg/dish_image/107771.png
Курица в кисло-сладком соусе,Без гарнира,Горячие блюда,190 с,https://nambafood.kg/dish_image/107772.png
Лазыджи,Без гарнира.,Горячие блюда,190 с,https://nambafood.kg/dish_image/75951.png
Мушуро,Без гарнира,Горячие блюда,220 с,https://nambafood.kg/dish_image/75955.png
Курица по-сычуаньски,Без гарнира.,Горячие блюда,230 с,https://nambafood.kg/dish_image/96069.png
Мясо с фунчозой,,Горячие блюда,220 с,https://nambafood.kg/dish_image/96068.png
Лаззуро,Без гарнира.,Горячие блюда,220 с,https://nambafood.kg/dish_image/75959.png
Казан кавап,Без гарнира,Горячие блюда,220 с,https://nambafood.kg/dish_image/75954.png
Рис,,Гарниры,70 с,https://nambafood.kg/dish_image/76381.png
Лапша,,Гарниры,70 с,https://nambafood.kg/dish_image/76383.png
Фри,,Гарниры,90 с,https://nambafood.kg/dish_image/76382.png
"Coca-Cola 0,3 л.",,Напитки,60 с,https://nambafood.kg/dish_image/76384.png
"Coca-Cola 0,5 л",,Напитки,50 с,https://nambafood.kg/dish_image/76385.png
Coca-Cola 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/76386.png
"Fuse tea 0,5 л.",,Напитки,55 с,https://nambafood.kg/dish_image/76387.png
Fuse tea 1л,,Напитки,80 с,https://nambafood.kg/dish_image/76388.png
Bonaqua 1 л,,Напитки,40 с,https://nambafood.kg/dish_image/76390.png
