Наименование,Описание,Категория,Цена,Фото
Рамен с яйцом,,Рамен,170 с,https://nambafood.kg/dish_image/75657.png
Рамен с сыром,,Рамен,190 с,https://nambafood.kg/dish_image/75658.png
Рамен с говядиной,,Рамен,200 с,https://nambafood.kg/dish_image/75659.png
Рамен ассорти,,Рамен,230 с,https://nambafood.kg/dish_image/75660.png
Лагман,,Лагманы,190 с,https://nambafood.kg/dish_image/75642.png
Лагман из курицы,,Лагманы,190 с,https://nambafood.kg/dish_image/83300.png
Босо лагман,,Лагманы,190 с,https://nambafood.kg/dish_image/75636.png
Босо лагман из курицы,,Лагманы,190 с,https://nambafood.kg/dish_image/83301.png
Гуйру лагман,,Лагманы,190 с,https://nambafood.kg/dish_image/75643.png
Острый лагман,,Лагманы,190 с,https://nambafood.kg/dish_image/75644.png
Ган-фан,,Лагманы,190 с,https://nambafood.kg/dish_image/75654.png
Ган-фан из курицы,,Лагманы,190 с,https://nambafood.kg/dish_image/83298.png
Гуйру ган-фан,,Лагманы,190 с,https://nambafood.kg/dish_image/83297.png
Курица по-сычуаньски,,Горячее,230 с,https://nambafood.kg/dish_image/107773.png
Мясо с фунчезой,,Горячее,220 с,https://nambafood.kg/dish_image/107774.png
Фри с мясом,,Горячее,220 с,https://nambafood.kg/dish_image/75655.png
Казан кавап,,Горячее,220 с,https://nambafood.kg/dish_image/75652.png
Лаззуро,Без гарнира,Горячее,220 с,https://nambafood.kg/dish_image/75656.png
Лазыджи,Без гарнира,Горячее,190 с,https://nambafood.kg/dish_image/75638.png
Мушуро,,Горячее,220 с,https://nambafood.kg/dish_image/75653.png
Курица в кисло-остром соусе,,Горячее,190 с,https://nambafood.kg/dish_image/83291.png
Курица в кисло-сладком соусе,,Горячее,190 с,https://nambafood.kg/dish_image/83292.png
Свежий салат,,Салаты,90 с,https://nambafood.kg/dish_image/75667.png
Салат «Цезарь»,,Салаты,150 с,https://nambafood.kg/dish_image/75663.png
Греческий салат,,Салаты,120 с,https://nambafood.kg/dish_image/75662.png
Маргарита 30 см,"Пицца соус, сыр, помидоры.",Пицца 30 см,330 с,https://nambafood.kg/dish_image/75674.png
Пепперони 30 см,"Пицца соус, сыр, колбаса, шампиньоны.",Пицца 30 см,350 с,https://nambafood.kg/dish_image/75672.png
Куриная 30 см,"Пицца соус, сыр, куриная грудка.",Пицца 30 см,350 с,https://nambafood.kg/dish_image/75678.png
