Наименование,Описание,Категория,Цена,Фото
Салат «Свежий»‎‎,"220 гр. Огурцы, помидоры, морковь, редис, лист салата, масло.",Салаты,239 с,https://nambafood.kg/dish_image/110850.png
Цезарь с креветками,"250 гр. Тигровые креветки, листья салата, айсберг, томат черри, пармезан, соус цезарь.",Салаты,399 с,https://nambafood.kg/dish_image/110851.png
Цезарь с курицей,"250 гр. Курица, листья салата, айсберг, томат черри, пармезан, соус цезарь.",Салаты,349 с,https://nambafood.kg/dish_image/110852.png
Стручковая фасоль по-китайски,"220 гр. Фасоль, кисло-сладкий соус, арахис, ореховые специи.",Салаты,499 с,https://nambafood.kg/dish_image/110853.png
Чука салат,"220 гр. Маринованные водоросли, огурцы, кунжут, ореховый соус, апельсиновый соус.",Салаты,259 с,https://nambafood.kg/dish_image/110854.png
Салат «Чечел»‎‎,"280 гр. Слоеная корзинка, охотничьи колбаски, томаты черри, микс салатов, сыр чечел, соус айоли.",Салаты,339 с,https://nambafood.kg/dish_image/110855.png
Оливье с мясом,"300 гр. Говяжья вырезка, картофель, морковь, яйца, зеленый горошек, соленые огурцы, укроп, майонез.",Салаты,239 с,https://nambafood.kg/dish_image/110856.png
Салат «Нежный»‎‎,"300 гр. Копченая утка, грибы шиитаки, вареное яйцо, грузди, майонез.",Салаты,389 с,https://nambafood.kg/dish_image/41285.png
Греческий салат,"300 гр. Помидоры, огурцы, листья салата, сыр фетакса, семечки.",Салаты,279 с,https://nambafood.kg/dish_image/36281.png
Салат «Пекинский»‎‎,"280 гр. Вырезка, огурцы, болгарский перец, лук, чеснок, масло кунжутное, соевый соус, специи.",Салаты,359 с,https://nambafood.kg/dish_image/63337.png
Хрустящий баклажан в соусе,"280 гр. Баклажан, помидор, имбирь, соус хою.",Салаты,399 с,https://nambafood.kg/dish_image/67861.png
Царский салат,"300 гр. Язык говяжий, вырезка, телятина копченая, салат, майонез, огурцы соленые.",Салаты,290 с,https://nambafood.kg/dish_image/38701.png
Витаминка,"250 гр. Свекла, капуста, морковь, яблоко, оливковое масло, лимонный соус.",Салаты,199 с,https://nambafood.kg/dish_image/110857.png
Ассорти колбасок,"450 гр. Говяжьи колбаски, куриные колбаски, картошка, квашеная капуста.",Закуски,599 с,https://nambafood.kg/dish_image/110858.png
Сырное ассорти,"200 гр. Дорблю, фетакса, пармезан, черный принц, мед, орехи.",Закуски,799 с,https://nambafood.kg/dish_image/34637.png
Баффало BBQ,"600 гр. Куриные крылья, соус айоли, соус bbq.",Закуски,899 с,https://nambafood.kg/dish_image/35491.png
Селедочка с картошкой,"290 гр. Сельдь, картофель, корнишоны, лук, хлеб.",Закуски,399 с,https://nambafood.kg/dish_image/34948.png
Закуска по-кавказски,"500 гр. Помидоры, огурцы, сыр, перзола, зелень, хачапури.",Закуски,989 с,https://nambafood.kg/dish_image/38698.png
Пивной Сет,"700 гр. Чечел, бирка, фри, куриные крылья, чесночные гренки, сырные палочки.",Закуски,899 с,https://nambafood.kg/dish_image/34639.png
Ассорти под водочку,"450 гр. Селедка, квашеная капуста, помидоры черри, корнишоны, фри.",Закуски,599 с,https://nambafood.kg/dish_image/110859.png
Холодец по-княжески,"450 гр. Говядина рулька, вырезка, зелень, корнишоны, горчица.",Закуски,599 с,https://nambafood.kg/dish_image/110860.png
Мясное ассорти,"350 гр. Копченая конина, куриный рулет, казы, утиная грудка.",Закуски,799 с,https://nambafood.kg/dish_image/35496.png
Рыбное ассорти,"220 гр. Копченая семга, копченый эсколар, икра, лимон.",Закуски,999 с,https://nambafood.kg/dish_image/36285.png
Сырные палочки,"350 гр. Соус терияки, сыр моцарелла, сухари панировочные.",Закуски,399 с,https://nambafood.kg/dish_image/110861.png
Жареные креветки,"200 гр. Креветки, чеснок, соус, лимон.",Закуски,1299 с,https://nambafood.kg/dish_image/110862.png
Чизбургер,"Котлета, сыр чеддер, помидоры, огурцы.",Закуски,290 с,https://nambafood.kg/dish_image/110863.png
Шеф бургер,"Котлета, яйцо, халапеньо, сыр чеддер, помидоры, листья салата.",Закуски,320 с,https://nambafood.kg/dish_image/114759.png
Том Ям,"300 гр. Креветки, мидии, шампиньоны, кокосовое молоко, паста том ям, лемонграсс.",Первые блюда,399 с,https://nambafood.kg/dish_image/34687.png
Крем суп Чечевичный,"300 гр. Мята, сливки, чечевица, картофель, томатная паста, лимон.",Первые блюда,199 с,https://nambafood.kg/dish_image/73439.png
Суп лапша куриная,"350 гр. Куриное филе, морковь, лук, яичная лапша.",Первые блюда,189 с,https://nambafood.kg/dish_image/34698.png
Солянка,"400 гр. Салями, сервелат, докторская колбаса, соленые огурцы, копченая курица, томатная паста, лимон, сметана, маслины.",Первые блюда,269 с,https://nambafood.kg/dish_image/140638.png
Нежный мясной суп с овощами,"400 гр. Говяжьи ребра, картофель, болгарский перец, морковь, брокколи, цветная капуста.",Первые блюда,299 с,https://nambafood.kg/dish_image/38705.png
Кисло-острый суп с фунчозой,"400 гр. Говядина, черные грибы, фунчоза, лук, кунжут.",Первые блюда,319 с,https://nambafood.kg/dish_image/110865.png
Рамен,"400 гр. Рамен лапша, яйцо, говядина, чука водоросли.",Первые блюда,249 с,https://nambafood.kg/dish_image/110866.png
Кукси по-корейски,"400 гр. Говядина, огурцы, капуста, холодный бульон, лапша.",Первые блюда,239 с,https://nambafood.kg/dish_image/110867.png
Феттучини с курицей,"350 гр. Паста феттучини, сыр пармезан, куриное филе, сливки.",Вторые блюда,389 с,https://nambafood.kg/dish_image/63345.png
Форель с зеленым горошком,"350 гр. Форель, мидии, креветки, зеленый горошек, соус терияки, лимон.",Вторые блюда,599 с,https://nambafood.kg/dish_image/110868.png
Цыпленок табака,"700 гр. Цыпленок, микс салатов, соус BBQ, соус вуфу.",Вторые блюда,499 с,https://nambafood.kg/dish_image/73453.png
Курица по-милански,"400 гр. Куриное филе, сливки, кимчи соус, болгарский перец, домашний картофель.",Вторые блюда,389 с,https://nambafood.kg/dish_image/35602.png
Жареная говядина с перцем,"400 гр. Вырезка, болгарский перец, чеснок, фирменный соус и рис на гарнир.",Вторые блюда,499 с,https://nambafood.kg/dish_image/63343.png
Мушуру,"400 гр. Говяжья вырезка, болгарский перец, лук, чеснок, черные грибы, китайские специи, уксус, яйцо, лапиза.",Вторые блюда,499 с,https://nambafood.kg/dish_image/110869.png
Баранина с овощами,"450 гр. Филе баранины, кабачки, лук, болгарский перец, помидоры, чеснок, огурцы, фирменный соус.",Вторые блюда,599 с,https://nambafood.kg/dish_image/38715.png
Медальоны по-азиатски,"300 гр. Бон филе, болгарский перец, лук, чеснок, яблочно-чесночный соус.",Вторые блюда,599 с,https://nambafood.kg/dish_image/110870.png
Семга блючиз,"280 гр. Филе семги, шпинат, сливки, сыр дорблю, лимон.",Вторые блюда,699 с,https://nambafood.kg/dish_image/110871.png
Удон с тигровыми креветками,"320 гр. Японская лапша, тигровые креветки, соус удон, пекинская капуста, лук, чеснок.",Вторые блюда,369 с,https://nambafood.kg/dish_image/35088.png
Курица в кисло-сладком соусе с рисом,"380 гр. Куриное филе, кунжут, кисло сладкий соус.",Вторые блюда,389 с,https://nambafood.kg/dish_image/63341.png
Медальоны с соусом BBQ,"300 гр. Бон филе, соус BBQ, микс салатов, соус вуфу.",Вторые блюда,499 с,https://nambafood.kg/dish_image/110872.png
Куурдак из баранины,"350 гр. Филе баранины, лук, картофель, огурцы, помидоры.",Вторые блюда,459 с,https://nambafood.kg/dish_image/35644.png
Курица с черными грибами,"400 гр. Куриное филе, болгарский перец, лук, черные грибы, чеснок, кунжут, кисло-сладкий соус.",Вторые блюда,389 с,https://nambafood.kg/dish_image/110873.png
Удон с телятиной,"320 гр. Японская лапша, телятина, соус удон, пекинская капуста, лук, чеснок.",Вторые блюда,329 с,https://nambafood.kg/dish_image/110874.png
Удон с курицей,"320 гр. Японская лапша, куриное филе, соус удон, пекинская капуста, лук, чеснок.",Вторые блюда,229 с,https://nambafood.kg/dish_image/35087.png
Рибай стейк,"320 гр. Говядина, соус BBQ.",Стейки,799 с,https://nambafood.kg/dish_image/38708.png
Семга стейк,"280 гр. Филе семги, сливочно-икорный соус.",Стейки,899 с,https://nambafood.kg/dish_image/38710.png
Тамагавк стейк,"550 гр. Говядина, микс салата, соус сальса.",Стейки,1299 с,https://nambafood.kg/dish_image/110875.png
Т-Bone,"320 гр. Говядина, сальса соус.",Стейки,799 с,https://nambafood.kg/dish_image/38709.png
Пицца - Маргарита,"480 гр. Орегано, базилик, помидоры, пицца соус, сыр моцарелла.",Пицца,459 с,https://nambafood.kg/dish_image/34716.png
Пицца с копченностями,"480 гр. Копченая телятина, копченая утка, охотничьи колбаски, соленые огурцы, пицца соус, сыр моцарелла.",Пицца,639 с,https://nambafood.kg/dish_image/34720.png
Пицца - Мясная поляна,"580 гр. Говядина, салями, охотничьи колбаски, помидоры, пицца соус, сыр моцарелла.",Пицца,639 с,https://nambafood.kg/dish_image/34721.png
Пицца - Чили,"550 гр. Говяжий фарш, лук, болгарский перец, перец чили, пицца соус, сыр моцарелла, халапеньо.",Пицца,699 с,https://nambafood.kg/dish_image/34719.png
Пицца - Цезарь,"480 гр. Куриное филе, листья салата, соус цезарь, пармезан, пицца соус, сыр моцарелла.",Пицца,599 с,https://nambafood.kg/dish_image/34717.png
Пицца - Четыре сыра,"500 гр. Сыр моцарелла, дорблю, пармезан, голландский сыр, пицца соус.",Пицца,639 с,https://nambafood.kg/dish_image/34718.png
Хачапури,"250 гр. Дрожжевое тесто, творог, сыр моцарелла.",Пицца,389 с,https://nambafood.kg/dish_image/110876.png
Самсы по-узбекски,"1 шт. Тонкое тесто, говядина, помидоры, томатный соус.",Пицца,65 с,https://nambafood.kg/dish_image/110877.png
