Наименование,Описание,Категория,Цена,Фото
Том-ям,"340 г. Острый тайский суп с лососем, креветками, куриной грудкой, кокосовым молоком. Подается с рисом и долькой лимона",Супы,550 с,https://nambafood.kg/dish_image/136583.png
Минестроне,350 г. Овощной суп с соусом песто и сыром пармезан,Супы,260 с,https://nambafood.kg/dish_image/136614.png
Суп чечевичный,300 г,Супы,260 с,https://nambafood.kg/dish_image/136575.png
Солянка,300 г,Супы,340 с,https://nambafood.kg/dish_image/136593.png
Греко салат,"250 г. С заправкой из соуса песто, с сыром фета и орехами",Салаты,350 с,https://nambafood.kg/dish_image/136622.png
Цезарь с креветками,260 г,Салаты,480 с,https://nambafood.kg/dish_image/136576.png
Фитнес салат,"300 г. Брокколи, цветная капуста, фасоль стручковаяна пару в соусе из каперсов",Салаты,290 с,https://nambafood.kg/dish_image/136578.png
Тайский салат,"220 г. Теплый салат с мраморной говядиной, овощами и тайским соусом",Салаты,410 с,https://nambafood.kg/dish_image/136586.png
Салат с лососем и кукурузой,"270 г. Лосось обжаренный на гриле, микс салата, авокадо, кукуруза, цветная капуста, заправлен горчичным соусом",Салаты,560 с,https://nambafood.kg/dish_image/136595.png
Буррата,260 г. Итальянский свежий сыр с нежнейшим сливочным вкусом на карпачо изтоматов с соусом «Сальса-верде»‎‎,Закуски,520 с,https://nambafood.kg/dish_image/136625.png
Хумус,"220 г. Воздушная паста из нута, с кедровыми орехами и чиабаттой",Закуски,260 с,https://nambafood.kg/dish_image/136567.png
Моцарелла капрезе,300 г. С соусом «Сальса-верде»‎‎,Закуски,390 с,https://nambafood.kg/dish_image/136618.png
Крылышки «Sweet chili»‎‎,180 г,Закуски,360 с,https://nambafood.kg/dish_image/136617.png
Сырная доска,270 г. С цветочным медом и орехами,Закуски,650 с,https://nambafood.kg/dish_image/136591.png
Сендвич с куриным филе,300 г,Брускетты и сэндвичи,390 с,https://nambafood.kg/dish_image/136588.png
Сэндвич цезарь,"310 г. С цыпленком, сыром «Чеддер»‎‎ и соусом песто",Брускетты и сэндвичи,360 с,https://nambafood.kg/dish_image/136594.png
Брускетта с лососем и авокадо,180 г. С соусом голландез и яйцом пашот,Брускетты и сэндвичи,360 с,https://nambafood.kg/dish_image/136626.png
Чизбургер с картофелем фри,,Брускетты и сэндвичи,460 с,https://nambafood.kg/dish_image/136574.png
Сэндвич крем чиз с лососем слабой соли,,Брускетты и сэндвичи,380 с,https://nambafood.kg/dish_image/144445.png
Фузилли с лососем,390 г. С брокколи в сливочном соусе,Паста,540 с,https://nambafood.kg/dish_image/136572.png
Паста со шпинатом,300 г. С куриной грудкой и шампиньонами в сливочном соусе,Паста,430 с,https://nambafood.kg/dish_image/136607.png
Телячьи щечки,"320 г. В соусе демиглас, с вялеными томатами черри и сливочным пюре",Вторые блюда,480 с,https://nambafood.kg/dish_image/136585.png
Кукуруза на гриле,100 г,Гарниры,120 с,https://nambafood.kg/dish_image/136616.png
Овощи на гриле,150 г,Гарниры,180 с,https://nambafood.kg/dish_image/136613.png
Маргарита,480 г,Горячие блюда,390 с,https://nambafood.kg/dish_image/136606.png
Четыре сыра,480 г,Горячие блюда,520 с,https://nambafood.kg/dish_image/136598.png
Пепперони,475 г,Горячие блюда,420 с,https://nambafood.kg/dish_image/136605.png
Пицца с лососем и сыром маскарпоне,480 г,Горячие блюда,740 с,https://nambafood.kg/dish_image/136600.png
Пицца цезарь,460 г,Горячие блюда,540 с,https://nambafood.kg/dish_image/136599.png
Пицца с куриной грудкой,"470 г. С копченым цыпленком, вялеными томатами и соусом песто",Горячие блюда,490 с,https://nambafood.kg/dish_image/136601.png
Пицца BBQ,440 г. С копченой говядиной и курицей,Горячие блюда,520 с,https://nambafood.kg/dish_image/136604.png
Пицца «Chili»‎‎,"460 г. С говядиной, шампиньонами и томатами",Горячие блюда,490 с,https://nambafood.kg/dish_image/136603.png
Фокачча с бурратой,320 г,Горячие блюда,590 с,https://nambafood.kg/dish_image/136570.png
Рибай medium,350 г,Стейки,880 с,https://nambafood.kg/dish_image/136596.png
Рибай medium well,,Стейки,880 с,https://nambafood.kg/dish_image/137026.png
Рибай well done,,Стейки,880 с,https://nambafood.kg/dish_image/137027.png
Куриная грудка по-итальянски,"160 г. С сыром моцарелла, соусом песто и маринара, подается с пюре",Птица,390 с,https://nambafood.kg/dish_image/136615.png
Дорадо,350 г. С соусом маринара,Рыба на гриле,790 с,https://nambafood.kg/dish_image/136620.png
Фиш энд чипс,300 г. С яблочным тар-таром и фри,Рыба на гриле,480 с,https://nambafood.kg/dish_image/136569.png
Сяке терияки,300 г. Жареная семга в соусе терияки с овощами,Рыба на гриле,850 с,https://nambafood.kg/dish_image/136587.png
Филадельфия,"230 г. Свежий лосось, творожный сыр",Роллы,490 с,https://nambafood.kg/dish_image/136580.png
Хлебная корзина,140 г. Со сливочным маслом,Хлеб,120 с,https://nambafood.kg/dish_image/136568.png
Фисташковый рулет с малиной,120 г,Десерты,290 с,https://nambafood.kg/dish_image/136579.png
Корн дог,120 г,Детское меню,210 с,https://nambafood.kg/dish_image/136592.png
Манго - маракуйя 300 мл,,Смузи,260 с,https://nambafood.kg/dish_image/136710.png
Клубника-Банан 300 мл,,Смузи,250 с,https://nambafood.kg/dish_image/136711.png
Сельдерей-Киви 300 мл,,Смузи,180 с,https://nambafood.kg/dish_image/136713.png
"Bonaqua 0,5 л. без газа",,Напитки,50 с,https://nambafood.kg/dish_image/136703.png
"Bonaqua 0,5 л. с газом",,Напитки,50 с,https://nambafood.kg/dish_image/136704.png
Coca-Cola 1 л,,Напитки,180 с,https://nambafood.kg/dish_image/136705.png
Fanta 1 л,,Напитки,180 с,https://nambafood.kg/dish_image/136706.png
Sprite 1 л,,Напитки,180 с,https://nambafood.kg/dish_image/136707.png
Red Bull 0.25 л,,Напитки,220 с,https://nambafood.kg/dish_image/136708.png
"Borjomi 0,5 л",,Напитки,180 с,https://nambafood.kg/dish_image/136709.png
Bonaqua 1 л. без газа,,Напитки,70 с,https://nambafood.kg/dish_image/136714.png
Bonaqua 1 л. газированная,,Напитки,70 с,https://nambafood.kg/dish_image/136715.png
