Наименование,Описание,Категория,Цена,Фото
«Фо-бо»‎‎ вьетнамская лапша с говядиной,"Наваристый пряный суп с рисовой лапшой и ярким, необычным вкусом",Основные блюда,290 с,https://nambafood.kg/dish_image/143620.png
"«Фо-бо»‎‎ вьетнамская лапша с говядиной 0,7","Наваристый пряный суп с рисовой лапшой и ярким, необычным вкусом",Основные блюда,270 с,https://nambafood.kg/dish_image/143621.png
«Фо-га»‎‎ вьетнамская лапша с курицей,"Наваристый пряный суп с рисовой лапшой и ярким, необычным вкусом",Основные блюда,290 с,https://nambafood.kg/dish_image/143622.png
"«Фо-га»‎‎ вьетнамская лапша с курицей 0,7","Наваристый пряный суп с рисовой лапшой и ярким, необычным вкусом",Основные блюда,270 с,https://nambafood.kg/dish_image/143623.png
«Фо-кимчи»‎‎ вьетнамская рисовая лапша с кимчи,"Наваристый пряный суп с рисовой лапшой и ярким, необычным вкусом",Основные блюда,270 с,https://nambafood.kg/dish_image/143675.png
Тайские жареные креветки с рисовой лашпой «Пад тай»‎‎,,Основные блюда,290 с,https://nambafood.kg/dish_image/143678.png
Жареный рис с сыром кимчи,,Основные блюда,300 с,https://nambafood.kg/dish_image/143909.png
Жареный рис с морепродуктами,,Основные блюда,300 с,https://nambafood.kg/dish_image/143910.png
Кальмары жареные с рисом,,Основные блюда,320 с,https://nambafood.kg/dish_image/143915.png
«Джаджанг»‎‎,Рисовые бруски в соусе на основе черных бобов,Основные блюда,240 с,https://nambafood.kg/dish_image/143680.png
«Фунчоза»‎‎ ток-покки,"Рисовые бруски, тонкая стеклянная лапша в остром соусе",Основные блюда,290 с,https://nambafood.kg/dish_image/143705.png
Классический ток-покки,Рисовые бруски в остром соусе и вареные яйца,Основные блюда,280 с,https://nambafood.kg/dish_image/143698.png
«Сыр»‎‎ ток-покки,Рисовые бруски в остром соусе с сыром,Основные блюда,290 с,https://nambafood.kg/dish_image/143699.png
«Джаджанг»‎‎ ток-покки,Рисовые бруски в соусе на основе черных бобов,Основные блюда,290 с,https://nambafood.kg/dish_image/143697.png
Рамэн,Корейская острая лапша,Основные блюда,190 с,https://nambafood.kg/dish_image/143691.png
Кукси,Лапша и овощи,Основные блюда,290 с,https://nambafood.kg/dish_image/143694.png
Курица с приправами по-корейски,,Основные блюда,290 с,https://nambafood.kg/dish_image/143940.png
Пибимпаб,"Рис, овощи, пряности, маринованная говядина, кунжутное масло и яйцо.",Основные блюда,320 с,https://nambafood.kg/dish_image/143911.png
Кимпаб с пулькоги,"Рис, редис, листья нори, морковь и мясо барбекю",Закуски,260 с,https://nambafood.kg/dish_image/143624.png
Кимпаб с тунцом,"Рис, морковь, редис, листья нори и тунец",Закуски,260 с,https://nambafood.kg/dish_image/143700.png
Булочка на пару с красной фасолью,,Закуски,120 с,https://nambafood.kg/dish_image/143692.png
Булочка на пару с овощами,,Закуски,90 с,https://nambafood.kg/dish_image/144182.png
Чипсы из креветок,,Закуски,100 с,https://nambafood.kg/dish_image/144213.png
Вьетнамский кофе «Слякоть»‎‎,Тигровый молочный чай,Напитки,160 с,https://nambafood.kg/dish_image/143704.png
Лимонад,,Напитки,140 с,https://nambafood.kg/dish_image/143916.png
Coca-Cola 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/144210.png
Fanta 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/144211.png
Sprite 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/144212.png
"Fanta 0,5 л",,Напитки,55 с,https://nambafood.kg/dish_image/144214.png
"Coca-cola 0,5 л",,Напитки,55 с,https://nambafood.kg/dish_image/144215.png
"Sprite 0,5 л",,Напитки,55 с,https://nambafood.kg/dish_image/144216.png
