Наименование,Описание,Категория,Цена,Фото
Пицца с соусом «Чимичурри»‎‎ 30 см,"Куриная грудка, помидоры, сыр тильзитский, шампиньоны, соус чимичурри",Пицца 30 см,429 с,https://nambafood.kg/dish_image/142674.png
Овощная пицца 30 см,"Сыр тильзитский, лук красный, калифорния перец, шампиньоны",Пицца 30 см,429 с,https://nambafood.kg/dish_image/142675.png
Пицца «Арома»‎‎ 30 см,"Куриное филе в сливочном соусе, грибы вешенки, помидоры, майонез, сыр тильзитский, орегано, базилик",Пицца 30 см,479 с,https://nambafood.kg/dish_image/142676.png
Пицца «Неополитана»‎‎ 30 см,"Охотничьи колбаски, лук красный, шампиньоны, перец халапеньо, перец калифорния, маслины, сыр тильзитский, соус для пиццы",Пицца 30 см,429 с,https://nambafood.kg/dish_image/142677.png
Пицца «Мексика»‎‎ 30 см,"Фарш из говядины, перец чили, сыр тильзитский, соус тар-тар, лук репчатый, чеснок, зелень",Пицца 30 см,539 с,https://nambafood.kg/dish_image/142678.png
«Чикен Ренч»‎‎ 30 см,"Курица копченая, помидоры, чеснок, соус ренч, сыр тильзитский, пицца соус, орегано, базилик",Пицца 30 см,489 с,https://nambafood.kg/dish_image/142679.png
Времена года 30 см,"Ветчина, говядина, шампиньоны, маслины, болгарский перец, помидоры, сыр тильзитский, пицца соус",Пицца 30 см,499 с,https://nambafood.kg/dish_image/142680.png
Куриная 30 см,"Куриное филе в сливочном соусе, лук репчатый, сыр тильзитский, пицца соус, орегано, базилик",Пицца 30 см,489 с,https://nambafood.kg/dish_image/142681.png
Пицца мясная 30 см,"Салями, ветчина говяжья, сыр тильзитский, соус для пиццы, соус болоньезе",Пицца 30 см,539 с,https://nambafood.kg/dish_image/142682.png
Пепперони 30 см,"Колбаса салями, сыр тильзитский, пицца соус, орегано, базилик",Пицца 30 см,429 с,https://nambafood.kg/dish_image/142683.png
Маргарита 30 см,"Сыр тильзитский, помидоры, орегано, базилик, пицца соус",Пицца 30 см,349 с,https://nambafood.kg/dish_image/142684.png
