Наименование,Описание,Категория,Цена,Фото
"Салат из микса зелени с пластинками лосося, апельсиновыми дольками и сыром",,Салаты,390 с,https://nambafood.kg/dish_image/130552.png
"Салат с телятиной и стручковой фасолью, с легким сыром Фета",,Салаты,390 с,https://nambafood.kg/dish_image/130553.png
Цезарь с курицей на гриле,,Салаты,350 с,https://nambafood.kg/dish_image/104215.png
Греческий салат,,Салаты,320 с,https://nambafood.kg/dish_image/104216.png
Том Ям с креветками и рыбой,,Супы,380 с,https://nambafood.kg/dish_image/104221.png
Суп-лапша с курицей и яйцом,,Супы,250 с,https://nambafood.kg/dish_image/104224.png
Бургер на пшеничной булочке с курицей,Подается с картошкой фри.,Закуски,450 с,https://nambafood.kg/dish_image/117169.png
Бургер на пшеничной булочке с сочной телятиной,Подается с картошкой фри.,Закуски,450 с,https://nambafood.kg/dish_image/117171.png
Тортилья с курицей и шпинатом в томатной сальсе,,Закуски,300 с,https://nambafood.kg/dish_image/130550.png
Тортилья Цезарь,,Закуски,340 с,https://nambafood.kg/dish_image/130551.png
Панини с курицей,Подается с картошкой фри.,Закуски,340 с,https://nambafood.kg/dish_image/117173.png
Т-бон стейк,,Блюда на дровяной печи,690 с,https://nambafood.kg/dish_image/112872.png
Рибай стейк,,Блюда на дровяной печи,690 с,https://nambafood.kg/dish_image/112873.png
Ковбой стейк,,Блюда на дровяной печи,690 с,https://nambafood.kg/dish_image/112874.png
Медальоны с соусом чимичурри и картофельными оладьями,,Блюда на дровяной печи,590 с,https://nambafood.kg/dish_image/112875.png
Пиде со стейком Рибай и яйцом пашот,,Блюда на дровяной печи,790 с,https://nambafood.kg/dish_image/112876.png
Филе ягнёнка со свежим салатом,,Блюда на дровяной печи,550 с,https://nambafood.kg/dish_image/112877.png
Филе ягнёнка с чесночным картофелем,С крымским луком и соусом мацони.,Блюда на дровяной печи,550 с,https://nambafood.kg/dish_image/117179.png
Домашний цыплёнок с печёным картофелем,,Блюда на дровяной печи,550 с,https://nambafood.kg/dish_image/112878.png
Дорадо на гриле,,Блюда на дровяной печи,750 с,https://nambafood.kg/dish_image/112880.png
Стейк из семги в икорном соусе с диким рисом,,Блюда на дровяной печи,750 с,https://nambafood.kg/dish_image/112883.png
Форель по-домашнему,,Блюда на дровяной печи,520 с,https://nambafood.kg/dish_image/112884.png
Форель на гриле с зелёным салатом,,Блюда на дровяной печи,520 с,https://nambafood.kg/dish_image/112885.png
Деревенская с измельчённой говядиной и баклажанами,,Пицца Римская на тонком  месте,480 с,https://nambafood.kg/dish_image/130546.png
Пицца с грушей и голубым сыром,,Пицца Римская на тонком  месте,490 с,https://nambafood.kg/dish_image/130547.png
Пицца с копчёным карпаччо из курицы,,Пицца Римская на тонком  месте,490 с,https://nambafood.kg/dish_image/130548.png
Неаполитанская пицца с сардинами,,Пицца Римская на тонком  месте,450 с,https://nambafood.kg/dish_image/130549.png
Фирменная пицца «Bruno» с кониной,,Пицца Римская на тонком  месте,490 с,https://nambafood.kg/dish_image/104201.png
Острая пепперони,,Пицца Римская на тонком  месте,490 с,https://nambafood.kg/dish_image/104227.png
Пепперони,,Пицца Римская на тонком  месте,490 с,https://nambafood.kg/dish_image/104203.png
Пицца «4 сезона»,,Пицца Римская на тонком  месте,480 с,https://nambafood.kg/dish_image/104225.png
Маргарита,,Пицца Римская на тонком  месте,460 с,https://nambafood.kg/dish_image/104204.png
Четыре сыра,,Пицца Римская на тонком  месте,490 с,https://nambafood.kg/dish_image/104178.png
Пицца с курицей и шпинатом в сливочном соусе,,Пицца Римская на тонком  месте,480 с,https://nambafood.kg/dish_image/104181.png
Хачапури классический с молодым сыром,,Хачапури,430 с,https://nambafood.kg/dish_image/104186.png
Хачапури-лодочка с сыром и яйцом,,Хачапури,430 с,https://nambafood.kg/dish_image/130543.png
Хрустящий фокаччо с базиликом,,Хачапури,150 с,https://nambafood.kg/dish_image/104184.png
Фокаччо с томатами  и пармезаном,,Хачапури,160 с,https://nambafood.kg/dish_image/104185.png
Спагетти Карбонара,С подкопчёной ветчиной из телятины,Паста,380 с,https://nambafood.kg/dish_image/130542.png
Феттучини с курицей в сливочном соусе,,Паста,380 с,https://nambafood.kg/dish_image/112887.png
Феттучини с лососем в сливочном соусе,,Паста,390 с,https://nambafood.kg/dish_image/112888.png
Спагетти Болоньезе,,Паста,350 с,https://nambafood.kg/dish_image/112889.png
Бефстроганов с рисом Басмати,,Вторые блюда,470 с,https://nambafood.kg/dish_image/112892.png
Телятина с грибами в сливочном соусе и картофельными чипсами,,Вторые блюда,480 с,https://nambafood.kg/dish_image/112893.png
Строганов с домашним цыпленком и диким рисом,,Вторые блюда,390 с,https://nambafood.kg/dish_image/112894.png
Картошка фри,,Гарниры,180 с,https://nambafood.kg/dish_image/112896.png
Рис на пару,,Гарниры,90 с,https://nambafood.kg/dish_image/112897.png
Овощи на гриле,,Гарниры,250 с,https://nambafood.kg/dish_image/112898.png
Картошка жареная с лесными грибами,,Гарниры,200 с,https://nambafood.kg/dish_image/112899.png
Печёный картофель по деревенски,,Гарниры,200 с,https://nambafood.kg/dish_image/112900.png
Оладьи из кабачков,,Гарниры,200 с,https://nambafood.kg/dish_image/112901.png
Картофельные драники,,Гарниры,200 с,https://nambafood.kg/dish_image/112902.png
Гренки чесночные,,Гарниры,180 с,https://nambafood.kg/dish_image/117183.png
Сыр чечил «Паутинка»,,Гарниры,180 с,https://nambafood.kg/dish_image/117189.png
Чипсы сырные,,Гарниры,190 с,https://nambafood.kg/dish_image/117191.png
Сырные палочки,,Гарниры,280 с,https://nambafood.kg/dish_image/117193.png
Сырные шарики,,Гарниры,300 с,https://nambafood.kg/dish_image/117195.png
Очень шоколадный торт,,Наши собственные десерты,250 с,https://nambafood.kg/dish_image/104229.png
Карамельно- арахисовый Чизкейк,,Наши собственные десерты,200 с,https://nambafood.kg/dish_image/129058.png
Муравейник домашний со сгущёнкой,,Наши собственные десерты,200 с,https://nambafood.kg/dish_image/129062.png
Морковный торт с корицей,,Наши собственные десерты,220 с,https://nambafood.kg/dish_image/130540.png
Хлебная корзинка,"(булочка ржаная, булочка пшеничная, хлеб зерновой, гриссини)",Собственный хлеб,100 с,https://nambafood.kg/dish_image/104236.png
Булочка ржаная с семечками,,Собственный хлеб,25 с,https://nambafood.kg/dish_image/104237.png
Булочка белая с овсяными хлопьями,,Собственный хлеб,25 с,https://nambafood.kg/dish_image/104238.png
