Наименование,Описание,Категория,Цена,Фото
Салат из соевой спаржи,170 г. Отварная соевая спаржа со свежими овощами в кисло-остром соусе.,Салаты,125 с,https://nambafood.kg/dish_image/69969.png
Салат из грибов «Муэр»,"170 г. Древесные грибы «Муэр» заправленные кисло-остром соусом, с добавлением свежих огурцов.",Салаты,160 с,https://nambafood.kg/dish_image/70320.png
Брокколи в ароматно-чесночном соусе,170 г. Свежие отварные брокколи заправленные ароматно-острым соусом.,Салаты,165 с,https://nambafood.kg/dish_image/69971.png
Чёрная фунчеза в кисло-остром соусе,170 г. Отварная черная фунчёза заправленная кисло-острым соусом с добавлением свежих огурцов и чеснока.,Салаты,170 с,https://nambafood.kg/dish_image/69970.png
Цезарь с курицей,"170 г. Нежная куриная грудка, сочные листья салата и румяные сухарики заправленные фирменым соусом.",Салаты,195 с,https://nambafood.kg/dish_image/69972.png
Морковь ча со спаржой,"170 г. Традиционный корейский салат, морковь нарезается соломкой и заправляется соусом, с добавлением спаржи и чеснока.",Салаты,130 с,https://nambafood.kg/dish_image/69974.png
Картофель соломкой в кисло-остром соусе,"170 г. Картофель, нарезанный соломкой, бланшируется и заправляется фирменным острым соусом.",Салаты,130 с,https://nambafood.kg/dish_image/69975.png
Шпинат в чесночном соусе,170 г. Свежие листья шпината бланшируются и заправляются чесночным соусом.,Салаты,180 с,https://nambafood.kg/dish_image/69977.png
Баклажаны с овощами,"170 г. Обжаренные дольки баклажана со свежими овощами и зеленью Овощи: перец, помидор и кинза.",Салаты,195 с,https://nambafood.kg/dish_image/69978.png
Греческий салат с фетаксой,"170 г. Изысканный салат из свежих овощей, оливок и сыра Фетакса.",Салаты,190 с,https://nambafood.kg/dish_image/69979.png
Фунчеза со свежими овощами,"170 г. Крахмальная лапша с овощами, нарезанными соломкой в кисло-остром соусе.",Салаты,125 с,https://nambafood.kg/dish_image/69981.png
Огурцы и помидоры по-китайски,170 г. Свежие огурцы и помидоры нарезаются кубиками и заправляются чесночным соусом.,Салаты,130 с,https://nambafood.kg/dish_image/69982.png
Огурцы с телятиной с кисло-остром соусе,170 г,Салаты,205 с,https://nambafood.kg/dish_image/85999.png
Ассорти из закусок,250 г,Холодные закуски,225 с,https://nambafood.kg/dish_image/69983.png
Закуска перец в соевом соусе,50 г,Холодные закуски,45 с,https://nambafood.kg/dish_image/69984.png
Закуска квашенная капуста,50 г,Холодные закуски,45 с,https://nambafood.kg/dish_image/69985.png
Закуска морковча,50 г,Холодные закуски,45 с,https://nambafood.kg/dish_image/69986.png
Закуска маринованные грибочки,50 г,Холодные закуски,45 с,https://nambafood.kg/dish_image/70328.png
Том-ям,"350 г. Популярный тайский острый суп с морепродуктами, на основе сливок.",Бульоны и супы,325 с,https://nambafood.kg/dish_image/69988.png
Чечевичный суп,400 г,Бульоны и супы,180 с,https://nambafood.kg/dish_image/69989.png
Солянка,"350 г. Мясная солянка с добавлением копченых колбасок, оливок, маринованных огурчиков и лимона.",Бульоны и супы,200 с,https://nambafood.kg/dish_image/69991.png
Кукси с говядиной (холодное),"400 г. Традиционный корейский суп из крахмальной лапши в соевом соусе, с обжаренной говядиной, капустой, маринованными огурцами, помидорами и кинзой.",Бульоны и супы,190 с,https://nambafood.kg/dish_image/69992.png
Телятина с луком и картофелем + рис с яйцом и овощами,400 г. Нежная телятина обжаренная со свежим репчатым луком и картофелем.,Блюда из мяса,260 с,https://nambafood.kg/dish_image/116206.png
Телятина с луком и картофелем + лапша,400 г. Нежная телятина обжаренная со свежим репчатым луком и картофелем.,Блюда из мяса,260 с,https://nambafood.kg/dish_image/116208.png
Телятина с луком и картофелем + рис,400 г. Нежная телятина обжаренная со свежим репчатым луком и картофелем.,Блюда из мяса,260 с,https://nambafood.kg/dish_image/116210.png
Телятина с грибами «Муэр» + рис с овощами и яйцом,"320 г. Говяжья вырезка, нарезанная пластинками и обжаренная с древесными грибами «Муэр».",Блюда из мяса,240 с,https://nambafood.kg/dish_image/116215.png
Телятина с грибами «Муэр» + лапша,"320 г. Говяжья вырезка, нарезанная пластинками и обжаренная с древесными грибами «Муэр».",Блюда из мяса,240 с,https://nambafood.kg/dish_image/116217.png
Телятина с грибами «Муэр» + рис,"320 г. Говяжья вырезка, нарезанная пластинками и обжаренная с древесными грибами «Муэр».",Блюда из мяса,240 с,https://nambafood.kg/dish_image/116219.png
Филе куриное «Кумбо» + припущенные овощи,"380 г. Известнейшее китайское блюдо из курицы с добавлением огурцов, арахиса и острых перчиков.",Блюда из мяса,235 с,https://nambafood.kg/dish_image/116309.png
Филе куриное «Гун Бао» + рис с овощами и яйцом,"380 г. Известнейшее китайское блюдо из курицы с добавлением огурцов, арахиса и острых перчиков.",Блюда из мяса,235 с,https://nambafood.kg/dish_image/116313.png
Филе куриное «Гун Бао» + лапша,"380 г. Известнейшее китайское блюдо из курицы с добавлением огурцов, арахиса и острых перчиков.",Блюда из мяса,235 с,https://nambafood.kg/dish_image/116315.png
Филе куриное «Гун Бао» + рис,"380 г. Известнейшее китайское блюдо из курицы с добавлением огурцов, арахиса и острых перчиков.",Блюда из мяса,235 с,https://nambafood.kg/dish_image/116317.png
Телятина со стручками фасоли + рис с овощами и яйцом,"380 г. Нежная телятина, обжаренная со свежими стручками фасоли.",Блюда из мяса,240 с,https://nambafood.kg/dish_image/116294.png
Телятина со стручками фасоли + лапша,"380 г. Нежная телятина, обжаренная со свежими стручками фасоли.",Блюда из мяса,240 с,https://nambafood.kg/dish_image/116296.png
Телятина со стручками фасоли + рис,"380 г. Нежная телятина, обжаренная со свежими стручками фасоли.",Блюда из мяса,240 с,https://nambafood.kg/dish_image/116298.png
Яки соба,380 г. Гречневая лапша приготовленая по особому рецепту с телятиной и овощами.,Блюда из мяса,220 с,https://nambafood.kg/dish_image/116256.png
Хрустящая говядина в остром соусе + лапша,"380 г. Молодая телятина, нарезанная тонкой соломкой, обжаренная в кляре с сельдереем и острым перцем.",Блюда из мяса,260 с,https://nambafood.kg/dish_image/116269.png
Хрустящая говядина в остром соусе + рис с овощами и яйцом,"380 г. Молодая телятина, нарезанная тонкой соломкой, обжаренная в кляре с сельдереем и острым перцем.",Блюда из мяса,260 с,https://nambafood.kg/dish_image/116268.png
Хрустящая говядина в остром соусе + рис,"380 г. Молодая телятина, нарезанная тонкой соломкой, обжаренная в кляре с сельдереем и острым перцем.",Блюда из мяса,260 с,https://nambafood.kg/dish_image/116270.png
Филе куриное в кисло-сладком соусе + рис с овощами и яйцом,"450 г. Куриная грудка, обжаривается в кляре и заливается кисло-сладким соусом.",Блюда из птицы,235 с,https://nambafood.kg/dish_image/116303.png
Филе куриное в кисло-сладком соусе + лапша,"450 г. Куриная грудка, обжаривается в кляре и заливается кисло-сладким соусом.",Блюда из птицы,235 с,https://nambafood.kg/dish_image/116306.png
Филе куриное в кисло-сладком соусе + рис,"450 г. Куриная грудка, обжаривается в кляре и заливается кисло-сладким соусом.",Блюда из птицы,235 с,https://nambafood.kg/dish_image/116308.png
Филе куриное в кисло-остром соусе + рис с овощами и яйцом,"450 г. Куриная грудка, обжаривается в кляре под кисло-острым соусом.",Блюда из птицы,235 с,https://nambafood.kg/dish_image/116231.png
Филе куриное в кисло-остром соусе + лапша,"450 г. Куриная грудка, обжаривается в кляре под кисло-острым соусом.",Блюда из птицы,235 с,https://nambafood.kg/dish_image/116235.png
Филе куриное в кисло-остром соусе + рис,"450 г. Куриная грудка, обжаривается в кляре под кисло-острым соусом.",Блюда из птицы,235 с,https://nambafood.kg/dish_image/116237.png
Филе куриное в пикантном соусе + рис с овощами и яйцом,380 г. Куриная грудка в кляре с грибами «Муэр» и побегами бамбука в пикантном соусе.,Блюда из птицы,235 с,https://nambafood.kg/dish_image/116322.png
Филе куриное в пикантном соусе + лапша,380 г. Куриная грудка в кляре с грибами «Муэр» и побегами бамбука в пикантном соусе.,Блюда из птицы,235 с,https://nambafood.kg/dish_image/116324.png
Филе куриное в пикантном соусе + рис,380 г. Куриная грудка в кляре с грибами «Муэр» и побегами бамбука в пикантном соусе.,Блюда из птицы,235 с,https://nambafood.kg/dish_image/116326.png
Филе куриное с грибами «Муэр» + рис с овощами и яйцом,380 г,Блюда из птицы,235 с,https://nambafood.kg/dish_image/116329.png
Филе куриное с грибами «Муэр» + лапша,380 г,Блюда из птицы,235 с,https://nambafood.kg/dish_image/116336.png
Филе куриное с грибами «Муэр» + рис,380 г,Блюда из птицы,235 с,https://nambafood.kg/dish_image/116334.png
Филе судака в кисло-сладком соусе (без гарнира),450 г. Филе судака в нежном кляре под кисло-сладким соусом.,Блюда из рыбы,250 с,https://nambafood.kg/dish_image/116271.png
Филе судака в кисло-сладком соусе + рис с овощами и яйцом,450 г. Филе судака в нежном кляре под кисло-сладким соусом.,Блюда из рыбы,235 с,https://nambafood.kg/dish_image/116275.png
Филе судака в кисло-сладком соусе + лапша,450 г. Филе судака в нежном кляре под кисло-сладким соусом.,Блюда из рыбы,235 с,https://nambafood.kg/dish_image/116277.png
Филе судака в кисло-сладком соусе + рис,450 г. Филе судака в нежном кляре под кисло-сладким соусом.,Блюда из рыбы,235 с,https://nambafood.kg/dish_image/116279.png
Филе судака в кисло-остром соусе (без гарнира),450 г. Филе судака в нежном кляре под кисло-острым соусом.,Блюда из рыбы,250 с,https://nambafood.kg/dish_image/116281.png
Филе судака в кисло-остром соусе + рис с овощами и яйцом,450 г. Филе судака в нежном кляре под кисло-острым соусом.,Блюда из рыбы,235 с,https://nambafood.kg/dish_image/116285.png
Филе судака в кисло-остром соусе + лапша,450 г. Филе судака в нежном кляре под кисло-острым соусом.,Блюда из рыбы,235 с,https://nambafood.kg/dish_image/116289.png
Филе судака в кисло-остром соусе + рис,450 г. Филе судака в нежном кляре под кисло-острым соусом.,Блюда из рыбы,235 с,https://nambafood.kg/dish_image/116287.png
Лю Мян,"380 г. Китайский лагман с мясом, грибами и овощами.",Национальные и европейские блюда,220 с,https://nambafood.kg/dish_image/70012.png
Чебуреки,"3 шт. Чебуреки с джусаем, мясом и яйцом.",Национальные и европейские блюда,145 с,https://nambafood.kg/dish_image/70014.png
Тёзы с мясом,12 шт. Китайские жареные пельмени с мясом.,Национальные и европейские блюда,210 с,https://nambafood.kg/dish_image/105645.png
Тёзы с джусаем и мясом,12 шт. Китайские жареные пельмени с мясом и джусаем.,Национальные и европейские блюда,200 с,https://nambafood.kg/dish_image/70026.png
Филе судака на пару,"250 г. Филейная часть судака, выпаривается и подается с припущенными овощами.",Национальные и европейские блюда,240 с,https://nambafood.kg/dish_image/70018.png
Котлеты на пару с овощами,350 г. Говяжьи котлеты на пару с припущенными овощами.,Национальные и европейские блюда,230 с,https://nambafood.kg/dish_image/70019.png
Комплекс с котлетами,400 г. Говяжьи котлетки в традиционном соусе с картофельным пюре и салатом на ваш вкус.,Национальные и европейские блюда,230 с,https://nambafood.kg/dish_image/70021.png
Цо Мян,350 г. Китайский жареный лагман с мясом и свежим болгарским перцем.,Национальные и европейские блюда,220 с,https://nambafood.kg/dish_image/70023.png
Манты с мясом жареные,5 шт.,Национальные и европейские блюда,220 с,https://nambafood.kg/dish_image/70024.png
Манты с говядиной,5 шт.,Национальные и европейские блюда,210 с,https://nambafood.kg/dish_image/70025.png
Припущенные овощи,"170 г. Свежие овощи, припущенные в пароварке овощи: баклажан, цветная капуста, брокколи, морковь и свежий перец.",Гарниры,100 с,https://nambafood.kg/dish_image/70027.png
Картофель фри,"170 г. Картофель, нарезанный соломкой и обжаренный во фритюре до хрустящей корочки.",Гарниры,105 с,https://nambafood.kg/dish_image/70028.png
Рис жареный с овощами и яйцом,"170 г. Отварной рис обжаренный с яйцом, огурцами, морковью и зеленым луком.",Гарниры,90 с,https://nambafood.kg/dish_image/70322.png
Лапша домашняя,170 г. Свежая лапша домашнего приготовления.,Гарниры,90 с,https://nambafood.kg/dish_image/70323.png
Рис отварной рассыпчатый,170 г. Китайский рассыпчатый отварной рис.,Гарниры,90 с,https://nambafood.kg/dish_image/70029.png
Боорсоки,150 г,Хлеб,55 с,https://nambafood.kg/dish_image/70030.png
Лепешка,1 шт. Свежая домашняя лепешка с кунжутом.,Хлеб,35 с,https://nambafood.kg/dish_image/70033.png
Ржаной хлеб,"100 г. Домашний ржаной хлеб, испеченный по старинному рецепту с добавлением хмеля и солода.",Хлеб,40 с,https://nambafood.kg/dish_image/70031.png
Пампушка,"50 г. Традиционный китайский хлеб (момо), приготовленный на пару из дрожжевого теста.",Хлеб,20 с,https://nambafood.kg/dish_image/70032.png
