Наименование,Описание,Категория,Цена,Фото
Комбо №1 Coca-Cola 0.5л.+Шаурма с кебабом+ Рамен,,Coca-Cola Комбо,329 с,https://nambafood.kg/dish_image/113456.png
Комбо №2 Coca-Cola 0.5л.+Пита с курицей+Рамен с яйцом,,Coca-Cola Комбо,"329 с


                    328 с",https://nambafood.kg/dish_image/113189.png
Комбо №3 Coca-Cola 0.5л.+Пита с курицей+ Шаурма,,Coca-Cola Комбо,"349 с


                    348 с",https://nambafood.kg/dish_image/113457.png
Комбо №4 Coca-Cola 0.5л.+Пита с кебабом и сыром+Шаурма,,Coca-Cola Комбо,"349 с


                    368 с",https://nambafood.kg/dish_image/113458.png
Комбо №5 Coca-Cola 1л.+ пита с куриным шашлыком+ фри + рамен,,Coca-Cola Комбо,"439 с


                    683 с",https://nambafood.kg/dish_image/145421.png
Пита с кебабом,"500 гр. Булочка, кебаб, салат, огурцы, помидоры, соус.",Вторые блюда,159 с,https://nambafood.kg/dish_image/111874.png
Пита с кебабом и с сыром,"500 гр. Булочка, сыр, кебаб, салат, огурцы, помидоры, соус.",Вторые блюда,189 с,https://nambafood.kg/dish_image/111875.png
Пита с куриным шашлыком,"500 гр. Булочка, куриный шашлык, салат, огурцы, помидоры, соус.",Вторые блюда,159 с,https://nambafood.kg/dish_image/111861.png
Пита с куриным шашлыком и сыром,"500 гр. Булочка, зелень, куриный шашлык, сыр, салат, огурцы, помидоры, соус.",Вторые блюда,189 с,https://nambafood.kg/dish_image/113449.png
Пита с говяжьим шашлыком,"500 гр. Булочка, говяжий шашлык, салат, огурцы, помидоры, соус.",Вторые блюда,249 с,https://nambafood.kg/dish_image/111871.png
Пита с бараньим шашлыком,"500 гр. Булочка, бараний шашлык, салат, огурцы, помидоры, соус.",Вторые блюда,249 с,https://nambafood.kg/dish_image/135972.png
Пита с креветками,"500 гр. Булочка, креветки, салат, огурцы, помидоры, соус.",Вторые блюда,299 с,https://nambafood.kg/dish_image/112114.png
Пита гурман,"500 г. Булочка, шашлык, салат, огурцы, помидоры, соус.",Вторые блюда,169 с,https://nambafood.kg/dish_image/127804.png
Пита двойная,"500 г. Булочка, шашлык, салат, огурцы, помидоры, соус.",Вторые блюда,199 с,https://nambafood.kg/dish_image/127805.png
Бургер биф,"500 гр. Булочка, котлета, салат, огурцы, помидоры, соус.",Вторые блюда,169 с,https://nambafood.kg/dish_image/111873.png
Чизбургер «Banzai»‎‎,"Булочка, сыр, котлета, салат, огурцы, помидоры, соус.",Вторые блюда,289 с,https://nambafood.kg/dish_image/111866.png
Двойной бургер,"Булочка, двойная котлета, салат, огурцы, помидоры, соус.",Вторые блюда,219 с,https://nambafood.kg/dish_image/111878.png
Сэндвич с кебабом,"250 гр. Булочка, кебаб, салат, огурцы, помидоры, соус.",Вторые блюда,129 с,https://nambafood.kg/dish_image/111872.png
Сэндвич с куриным шашлыком,"250 гр. Булочка, куриный шашлык, салат, огурцы, помидоры, соус.",Вторые блюда,129 с,https://nambafood.kg/dish_image/111857.png
Шаурма с кебабом,"500 гр. Лаваш, кебаб, салат, огурцы, помидоры, соус.",Вторые блюда,159 с,https://nambafood.kg/dish_image/111879.png
Шаурма с куриным шашлыком,"500 гр. Лаваш, куриный шашлык, салат, огурцы, помидоры, соус.",Вторые блюда,159 с,https://nambafood.kg/dish_image/111862.png
Шаурма запеченная с кебабом,"500 гр. Запеченный лаваш, кебаб, салат, огурцы, помидоры, соус.",Вторые блюда,179 с,https://nambafood.kg/dish_image/111854.png
Шаурма запеченная с куриным шашлыком,"500 гр. Запеченный лаваш, куриный шашлык, салат, огурцы, помидоры, соус.",Вторые блюда,179 с,https://nambafood.kg/dish_image/111855.png
Шаурма с кебабом и сыром,"500 гр. Лаваш, зелень, кебаб, сыр, салат, огурцы, помидоры, соус.",Вторые блюда,189 с,https://nambafood.kg/dish_image/113450.png
Шаурма с куриным шашлыком и сыром,"350 гр. Лаваш, куриный шашлык, сыр, салат, огурцы, помидоры, соус.",Вторые блюда,189 с,https://nambafood.kg/dish_image/113451.png
Шаурма двойная,"350 гр. Лаваш, шашлык, салат, огурцы, помидоры, соус.",Вторые блюда,199 с,https://nambafood.kg/dish_image/113452.png
Шаурма для гурманов ассорти,"350 гр. Лаваш, кебаб, куриное мясо, салат, огурцы, помидоры, соус.",Вторые блюда,169 с,https://nambafood.kg/dish_image/113453.png
Мини шаурма с куриным шашлыком,"350 гр. Лаваш, куриный шашлык, салат, огурцы, помидоры, соус.",Вторые блюда,129 с,https://nambafood.kg/dish_image/111882.png
Мини шаурма с кебабом,"350 гр. Лаваш, кебаб, салат, огурцы, помидоры, соус.",Вторые блюда,129 с,https://nambafood.kg/dish_image/111881.png
Люля-кебаб,60/30 гр. Фарш,Вторые блюда,99 с,https://nambafood.kg/dish_image/111865.png
Шашлык из баранины,80/30 гр. Мясо баранины,Вторые блюда,189 с,https://nambafood.kg/dish_image/111868.png
Шашлык из говядины,80/30 гр. Мясо говяжье,Вторые блюда,179 с,https://nambafood.kg/dish_image/111869.png
Шашлык из куриного филе,110/30 гр. Куриное филе,Вторые блюда,169 с,https://nambafood.kg/dish_image/111870.png
Ассорти шашлыков,"4 палочки всего: говядина, баранина, куриное филе, кебаб.",Вторые блюда,599 с,https://nambafood.kg/dish_image/111887.png
Пита с запеченной бараниной,,Вторые блюда,269 с,https://nambafood.kg/dish_image/135973.png
Мини пицца с пепперони,,Вторые блюда,149 с,https://nambafood.kg/dish_image/135974.png
Том-Ям с креветками и рисом,"400/150 гр. Лист лайма, лемонграсс, корень имбиря, лимон, свежие овощи, креветки, кокосовое молоко, паста Том-Ям, рис. (Острый суп)",Первые блюда,349 с,https://nambafood.kg/dish_image/113197.png
Том-Ям с говядиной,"400/150 гр. Лист лайма, лемонграсс, корень имбиря, лимон, свежие овощи, говядина, кокосовое молоко, паста Том-Ям, рис. (Острый суп)",Первые блюда,289 с,https://nambafood.kg/dish_image/113196.png
Том-Ям с курицей и лапшой,"400/150 гр. Лист лайма, лемонграсс, корень имбиря, лимон, свежие овощи, куриное филе, кокосовое молоко, паста Том-Ям, лапша удон. (Острый суп)",Первые блюда,249 с,https://nambafood.kg/dish_image/111864.png
Том-Ям с курицей и рисом,"400/150 гр. Лист лайма, лемонграсс, корень имбиря, лимон, свежие овощи, филе курицы, кокосовое молоко, паста Том-Ям, рис. (Острый суп)",Первые блюда,249 с,https://nambafood.kg/dish_image/127803.png
