Наименование,Описание,Категория,Цена,Фото
Big Burger,Котлета из говядины,Бургеры,120 с,https://nambafood.kg/dish_image/97408.png
Big Chilli Burger,"Булочка с кунжутом, майонез, лук маринованный, говяжья котлета, помидор, перец халапеньо, соус чили.",Бургеры,120 с,https://nambafood.kg/dish_image/97407.png
Gipper Burger,"Большая говяжья котлета, приготовленная по специальной технологии прожарки, особый французский соус, и нежная булочка с кунжутом.",Бургеры,130 с,https://nambafood.kg/dish_image/97405.png
Crispy chicken burger,,Бургеры,140 с,https://nambafood.kg/dish_image/117957.png
Хот Дог классический,,Бургеры,80 с,https://nambafood.kg/dish_image/100569.png
Хот Дог сырный,,Бургеры,80 с,https://nambafood.kg/dish_image/100570.png
Гамбургер с курицей,"Аппетитная куриная котлета, нежный майонез, помидор,сочные листья салата и капусты, свежие огурцы, кетчуп.",Гамбургеры,100 с,https://nambafood.kg/dish_image/97457.png
Гамбургер с говядиной,"Аппетитная говяжья котлета, нежный майонез, сочные листья салата и капусты, маринованные огурцы, кетчуп.",Гамбургеры,100 с,https://nambafood.kg/dish_image/97458.png
Бургер с омлетом - курица,,Гамбургеры,105 с,https://nambafood.kg/dish_image/97446.png
Бургер с омлетом - говядина,,Гамбургеры,105 с,https://nambafood.kg/dish_image/97447.png
Двойной гамбургер с курицей,"Две куриные котлеты с овощами, маринованным огурцом, майонезом, листьями салата и кетчупом.",Гамбургеры,160 с,https://nambafood.kg/dish_image/97438.png
Двойной гамбургер с говядиной,"Две говяжьи котлеты с овощами, маринованным огурцом, майонезом, листьями салата и кетчупом.",Гамбургеры,160 с,https://nambafood.kg/dish_image/97428.png
Двойной чизбургер с курицей,"Две куриные котлеты, два ломтика сыра, маринованные огурцы, майонез, листья салата и кетчуп.",Чизбургер,180 с,https://nambafood.kg/dish_image/97423.png
Двойной чизбургер с говядиной,"Две говяжьи котлеты, два ломтика сыра, маринованные огурцы, майонез, листья салата и кетчуп.",Чизбургер,180 с,https://nambafood.kg/dish_image/97424.png
Чизбургер с курицей со свежими овощами,"Дольки свежих овощей, майонез, листья салата, куриная котлета с кусочком сыра.",Чизбургер,110 с,https://nambafood.kg/dish_image/97422.png
Чизбургер с говядиной со свежими овощами,"Дольки свежих овощей, майонез, листья салата, говяжья котлета с кусочком сыра.",Чизбургер,110 с,https://nambafood.kg/dish_image/97421.png
Чизбургер с говядиной,"Сочная говяжья котлета, сыр, маринованные огурчики, свежая капуста, кетчуп.",Чизбургер,110 с,https://nambafood.kg/dish_image/97420.png
Чизбургер с курицей,"Сочная куриная котлета, сыр, маринованные огурчики, свежая капуста, кетчуп.",Чизбургер,110 с,https://nambafood.kg/dish_image/97419.png
Cheese Max бургер,"Булочка с кунжутом, свежая капуста, свежие огурцы, сливочный сыр, куриная котлета, сырный соус.",Чизбургер,110 с,https://nambafood.kg/dish_image/97418.png
Мини-самсы говядина маленькая порция,4 шт.,National Series,70 с,https://nambafood.kg/dish_image/97409.png
Мини-самсы говядина большая порция,8 шт.,National Series,130 с,https://nambafood.kg/dish_image/97410.png
Мини-самсы курица маленькая порция,4 шт.,National Series,70 с,https://nambafood.kg/dish_image/97411.png
Мини-самсы курица большая порция,8 шт.,National Series,130 с,https://nambafood.kg/dish_image/97412.png
King Roll обычный,Мясо говядины,Степ-роллы,140 с,https://nambafood.kg/dish_image/97386.png
King Roll острый,Мясо говядины,Степ-роллы,140 с,https://nambafood.kg/dish_image/97387.png
Биг ролл с курицей,,Степ-роллы,150 с,https://nambafood.kg/dish_image/130191.png
Биг ролл с говядиной,,Степ-роллы,150 с,https://nambafood.kg/dish_image/130192.png
Куриные крылышки большая порция (не острые),8 шт.,Chicken&Fries,260 с,https://nambafood.kg/dish_image/97397.png
Куриные крылышки маленькая порция (не острые),4 шт.,Chicken&Fries,135 с,https://nambafood.kg/dish_image/97399.png
Куриные крылышки большая порция (острые),8 шт.,Chicken&Fries,260 с,https://nambafood.kg/dish_image/97401.png
Куриные крылышки маленькая порция (острые),4 шт.,Chicken&Fries,135 с,https://nambafood.kg/dish_image/97400.png
Фри,,Chicken&Fries,80 с,https://nambafood.kg/dish_image/97403.png
Chicken Stickens 4 шт.,,Chicken&Fries,115 с,https://nambafood.kg/dish_image/118285.png
Chicken Stickens 8 шт.,,Chicken&Fries,220 с,https://nambafood.kg/dish_image/118286.png
Chicken Stickens 4 шт.  ( острый ),,Chicken&Fries,115 с,https://nambafood.kg/dish_image/119250.png
Chicken Stickens 8 шт. ( острый ),,Chicken&Fries,220 с,https://nambafood.kg/dish_image/119251.png
Coca-Cola 1 л,,Напитки,75 с,https://nambafood.kg/dish_image/85156.png
Fanta 1 л,,Напитки,75 с,https://nambafood.kg/dish_image/85155.png
Sprite 1 л,,Напитки,75 с,https://nambafood.kg/dish_image/85157.png
Fanta 0.5 л,,Напитки,40 с,https://nambafood.kg/dish_image/3646.png
