Наименование,Описание,Категория,Цена,Фото
Блинчики с творогом,"Блинчики с творогом, подаются с домашним вареньем и сметаной",Завтраки,190 с,https://nambafood.kg/dish_image/89189.png
Блинчики с творогом и фруктами,"Блинчики с сочными яблоками, творогом и апельсином, подаются с медом, орехами и домашним вареньем",Завтраки,190 с,https://nambafood.kg/dish_image/89190.png
Завтрак чемпиона,"Яйца, жареные грибы, малосольная форель, хрустящие тосты, подается с салатом из свежих листьев салата, рукколы и сочных помидоров черри с оливковым маслом",Завтраки,330 с,https://nambafood.kg/dish_image/89256.png
Каша рисовая,"Подается с изюмом, сливочным маслом, медом и хрустящими тостами",Завтраки,170 с,https://nambafood.kg/dish_image/89191.png
Каша овсяная,"Подается с грецкими орехами, сливочным маслом, медом и хрустящими тостами",Завтраки,170 с,https://nambafood.kg/dish_image/89192.png
Яйцо бенедикт,С малосольной семгой и свежим салатом.,Завтраки,390 с,https://nambafood.kg/dish_image/110498.png
Каша овсяная с вишней и корицей,На кокосовом молоке.,Завтраки,190 с,https://nambafood.kg/dish_image/110500.png
Каша овсяная с сухофруктами,И грецкими орехами на молоке.,Завтраки,170 с,https://nambafood.kg/dish_image/110501.png
Каша овсяная со свежими фруктами,И зернами гранола на молоке.,Завтраки,170 с,https://nambafood.kg/dish_image/110499.png
Сырники,,Завтраки,150 с,https://nambafood.kg/dish_image/94239.png
Фриттата с овощами,"Фриттата с овощами, брокколи, болгарским перцем, цветной капустой, цуккини, черри, сыром. Подается с салатом из рукколы, черри и листьев салата.",Завтраки,250 с,https://nambafood.kg/dish_image/89255.png
Завтрак по-милански,"Яйцо пашот, малосольная семга, креметто, бездрожжевой хлеб, микс рукколы и груши",Завтраки,330 с,https://nambafood.kg/dish_image/133160.png
Английский завтрак,"Глазунья, говяжьи колбаски гриль, фасоль в томате, жареная картошка с грибами и луком, бездрожжевой хлеб",Завтраки,350 с,https://nambafood.kg/dish_image/133162.png
Брускетта фунги с яйцом пашот,,Закуски,250 с,https://nambafood.kg/dish_image/124424.png
Брускетта с копченой говядиной,,Закуски,290 с,https://nambafood.kg/dish_image/124426.png
Брускетта с грушей дор блю,Подается с бокалом белого вина.,Закуски,290 с,https://nambafood.kg/dish_image/124428.png
Брускетта с малосольной семгой,И свежим огурцом.,Закуски,320 с,https://nambafood.kg/dish_image/124430.png
Брускетта со свеклой и апельсинами,,Закуски,190 с,https://nambafood.kg/dish_image/124432.png
"Брускетта с авокадо, моцареллой и помидором",,Закуски,290 с,https://nambafood.kg/dish_image/124433.png
Бургер рататуй,"Бургер рататуй, cочная котлета из бон-филе, свежая руккола и рататуй из кабачков и помидоров, заправляется соусом по эксклюзивному рецепту.",Закуски,490 с,https://nambafood.kg/dish_image/89258.png
Стейк хаус бургер с говядиной,"Стейк хаус бургер с говядиной, хрустящая булочка и сочная котлета из говядины, сыр чеддер, сочные томаты и малосольные огурцы Подаётся с картофельными клиньями и микс салатом",Закуски,490 с,https://nambafood.kg/dish_image/89262.png
Стейк хаус бургер с курицей,"Стейк бургер с курицей, сочная куриная котлета с сыром чеддер, листьями салата и сочными томатами. подаётся с картофельными клиньями и микс салатом.",Закуски,390 с,https://nambafood.kg/dish_image/89259.png
Сырная тарелка,"Сыры Дор-блю, Камамбер, Маасдам, грецкие орехи и мед.",Закуски,550 с,https://nambafood.kg/dish_image/89208.png
"Круассан со шпинатом, семгой и яйцом пашот",,Закуски,450 с,https://nambafood.kg/dish_image/89261.png
Круассан с малосоленой форелью,Подается с зеленым салатом и свежими черри.,Закуски,290 с,https://nambafood.kg/dish_image/89205.png
Баклажановый пирог,"Старинный итальянский рецепт: баклажаны, томатный соус, сыры Моцарелла и Джюгас.",Закуски,390 с,https://nambafood.kg/dish_image/94253.png
Круассан с шампиньонами в сливочном соусе,Подается с зеленым салатом и свежим черри.,Закуски,380 с,https://nambafood.kg/dish_image/89206.png
Ролл «Цезарь»,,Закуски,250 с,https://nambafood.kg/dish_image/89207.png
Хумус с авокадо,,Закуски,250 с,https://nambafood.kg/dish_image/124435.png
Пестрый салат с зеленью,"Перепелиными яйцами, свежими черри, нежной Моцареллой под медово- горчичным соусом",Салаты,330 с,https://nambafood.kg/dish_image/89263.png
Салат со свеклой и грецкими орехами,"Микс салата, запеченная свекла с грецкими орехами, заправленные соусом бальзамик",Салаты,190 с,https://nambafood.kg/dish_image/89247.png
Салат Витаминка,"Микс из свежих овощей, яблока, зелени с семечками под соусом Цитронет",Салаты,190 с,https://nambafood.kg/dish_image/89211.png
