Наименование,Описание,Категория,Цена,Фото
Пирожок 1 кг,,Блюда на заказ (Время приготовления 2 часа),1800 с,https://nambafood.kg/dish_image/141834.png
Форель,,Блюда на заказ (Время приготовления 2 часа),1500 с,https://nambafood.kg/dish_image/141836.png
Курица гриль,,Блюда на заказ (Время приготовления 2 часа),900 с,https://nambafood.kg/dish_image/141964.png
Чайханский плов 1 кг,"Только по предзаказу. Ташкентский рис лазер, мясо баранины, говядины, курдючный жир, морковь красная, желтая, чеснок, острый перец, специи",Плов на заказ,2000 с,https://nambafood.kg/dish_image/135628.png
Узгенский плов 1 кг,"Только по предзаказу. Узгенский рис, мясо баранины, курдючный жир, морковь желтая, специи",Плов на заказ,1700 с,https://nambafood.kg/dish_image/135627.png
Особый плов 1 кг,"Только по предзаказу. Ташкентский рис лазер, оливковое масло, мясо баранины, говядины, морковь красная, желтая, нут, киш-миш, специи",Плов на заказ,2000 с,https://nambafood.kg/dish_image/134823.png
Казы,,Добавки к плову,40 с,https://nambafood.kg/dish_image/141849.png
Куриное яйцо,,Добавки к плову,20 с,https://nambafood.kg/dish_image/134833.png
Перепелиное яйцо,,Добавки к плову,15 с,https://nambafood.kg/dish_image/134138.png
Долма,,Добавки к плову,40 с,https://nambafood.kg/dish_image/141850.png
"Шорпо 0,7",,Первые блюда,200 с,https://nambafood.kg/dish_image/141843.png
Шорпо порция,,Первые блюда,220 с,https://nambafood.kg/dish_image/141844.png
"Мампар 0,7",,Первые блюда,185 с,https://nambafood.kg/dish_image/141845.png
Мампар порция,,Первые блюда,200 с,https://nambafood.kg/dish_image/141846.png
Куриный суп,,Первые блюда,200 с,https://nambafood.kg/dish_image/141847.png
Морковный,100 г,Салаты к плову,80 с,https://nambafood.kg/dish_image/134685.png
Квашенная капуста,,Салаты к плову,80 с,https://nambafood.kg/dish_image/134826.png
Кимчи острый,100 г,Салаты к плову,80 с,https://nambafood.kg/dish_image/134687.png
Шакарап,100 г,Салаты к плову,80 с,https://nambafood.kg/dish_image/134686.png
Соленья,100 г,Салаты к плову,80 с,https://nambafood.kg/dish_image/134829.png
Свежий салат,100 г,Салаты к плову,100 с,https://nambafood.kg/dish_image/134827.png
Сюзмо домашний,,Салаты к плову,80 с,https://nambafood.kg/dish_image/141962.png
Салат к плову,,Салаты к плову,100 с,https://nambafood.kg/dish_image/141963.png
Самсы тандырные «Тамчы»,,Самсы,80 с,https://nambafood.kg/dish_image/141854.png
Нежный,,Салаты,280 с,https://nambafood.kg/dish_image/141838.png
Тайский острый,"Мясо, огурцы, помидор, болгарский перец",Салаты,280 с,https://nambafood.kg/dish_image/141842.png
Баклажаны в кисло-сладком соусе,"Баклажан, кинза, помидоры",Салаты,340 с,https://nambafood.kg/dish_image/141841.png
Цезарь с курицей,,Салаты,240 с,https://nambafood.kg/dish_image/134683.png
Греческий,,Салаты,240 с,https://nambafood.kg/dish_image/141840.png
Сырная нарезка,,Салаты,580 с,https://nambafood.kg/dish_image/141965.png
Мясная нарезка,"450 г. Конина, говядина, курица",Салаты,420 с,https://nambafood.kg/dish_image/141966.png
Овощной букет,,Салаты,200 с,https://nambafood.kg/dish_image/141967.png
Лепешка,,Выпечка,30 с,https://nambafood.kg/dish_image/134824.png
Боорсок 1 кг,,Выпечка,220 с,https://nambafood.kg/dish_image/134688.png
"Боорсок 0,5 кг",,Выпечка,120 с,https://nambafood.kg/dish_image/141961.png
Порция плов «Той ашы»‎‎,"Ташкентский рис лазер, мясо баранины, говядины, морковь красная,морковь желтая, нут, киш-миш, специи",Плов,250 с,https://nambafood.kg/dish_image/134830.png
Каймак домашний,50 г,Дополнительно,80 с,https://nambafood.kg/dish_image/134828.png
Coca-Cola 1 л,,Напитки,100 с,https://nambafood.kg/dish_image/134131.png
Sprite 1 л,,Напитки,100 с,https://nambafood.kg/dish_image/141858.png
Fanta 1 л,,Напитки,100 с,https://nambafood.kg/dish_image/141859.png
"Coca-cola 0,5 л",,Напитки,75 с,https://nambafood.kg/dish_image/134134.png
"Fanta 0,5 л",,Напитки,75 с,https://nambafood.kg/dish_image/141860.png
"Sprite 0,5 л",,Напитки,75 с,https://nambafood.kg/dish_image/134136.png
Компот 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/134137.png
Американо,,Кофе,145 с,https://nambafood.kg/dish_image/134920.png
Капучино,,Кофе,165 с,https://nambafood.kg/dish_image/134921.png
Латте,,Кофе,190 с,https://nambafood.kg/dish_image/134922.png
Айс кофе,,Кофе,165 с,https://nambafood.kg/dish_image/134923.png
