Наименование,Описание,Категория,Цена,Фото
Пиде тавуклу,"Куриная грудка, помидор, перец, фирменный соус, фирменное тесто",Пиде,400 с,https://nambafood.kg/dish_image/136450.png
4 пейнирли пиде,"Моцарелла, чеддер, белый сыр, сулугуни, специальное тесто",Пиде,450 с,https://nambafood.kg/dish_image/139888.png
Пиде бохча,"Говяжий фарш, ростбиф, колбаса, шпинат, сливочное масло, моцарелла, специальное тесто",Пиде,650 с,https://nambafood.kg/dish_image/139889.png
Кизбасили пиде,"Говядина, помидор, перец, фирменный соус, фирменное тесто",Пиде,500 с,https://nambafood.kg/dish_image/139890.png
Пиде сужуклу касарли,"Говяжья колбаса, сливочное масло, сыр чеддер, специальное тесто",Пиде,500 с,https://nambafood.kg/dish_image/136452.png
Пиде кимали,"Говяжий фарш, лук, специальные приправы, специальное тесто",Пиде,400 с,https://nambafood.kg/dish_image/139892.png
Пиде капали кавурмали,"Жареная говядина, сливочное масло, специальное тесто",Пиде,500 с,https://nambafood.kg/dish_image/139893.png
Пиде кузбаси патликани,"Говядина, баклажан, помидор, перец, фирменный соус, фирменное тесто",Пиде,450 с,https://nambafood.kg/dish_image/136456.png
Пиде касарли,"Моцарелла, творог, специальное тесто",Пиде,400 с,https://nambafood.kg/dish_image/136451.png
Пиде сужуклу,"Колбаса говяжья, сливочное масло, специальное тесто",Пиде,450 с,https://nambafood.kg/dish_image/139894.png
Пиде карадениз кавурмали,"Жареная говядина, моцарелла, творог, яйцо, специальное тесто",Пиде,600 с,https://nambafood.kg/dish_image/136453.png
Пиде испанакли,"Шпинат, творожный сыр, фирменный соус, фирменное тесто",Пиде,420 с,https://nambafood.kg/dish_image/136455.png
Кимали кашарли пиде,"Говяжий фарш, лук, спец. приправы, сыр, фирменное тесто",Пиде,450 с,https://nambafood.kg/dish_image/139895.png
Пиде бейдонер спешл,"Мясо донера, лук, помидор, перец, фирменный соус, фирменное тесто",Пиде,650 с,https://nambafood.kg/dish_image/136454.png
Пиде тавуклу касарли,"Куриная грудка, помидор, перец, специальный соус, сыр чеддер, особое тесто",Пиде,420 с,https://nambafood.kg/dish_image/136449.png
Пиде лав,"Говяжий фарш, моцарелла, сыр чеддер, яйцо, специальное тесто",Пиде,620 с,https://nambafood.kg/dish_image/139896.png
Пиде себзели,"Моцарелла, помидоры, перец, грибы, кукуруза, специальный соус, особое тесто",Пиде,420 с,https://nambafood.kg/dish_image/139897.png
Тоблерон музлу татли пиде,"Шоколад «Тоблерон»‎‎, банан, тахини, сахарная пудра",Пиде,550 с,https://nambafood.kg/dish_image/139898.png
Карадениз кавурмали пиде,"Жареная говядина, моцарелла, турецкий сыр колот, яйцо, фирменное тесто",Пиде,600 с,https://nambafood.kg/dish_image/139899.png
Лахмаджун,"Говяжий фарш, баранина, перец, лук, петрушка, специальные приправы, особое тесто",Пиде,160 с,https://nambafood.kg/dish_image/136457.png
Кузбаси пиде,"Антрекот из говядины, помидоры, перец, фирменный соус, фирменное тесто",Пиде,450 с,https://nambafood.kg/dish_image/139984.png
Кузбаси касарли пиде,"Говядина, моцарелла, помидоры, перец, фирменный соус, фирменное тесто",Пиде,500 с,https://nambafood.kg/dish_image/139991.png
Сужук дияри пиде,"Фирменная говяжья колбаса Bey Doner, сливочное масло, яйцо, фирменное тесто",Пиде,550 с,https://nambafood.kg/dish_image/139996.png
Маргарита,"Моцарелла, помидоры, тимьян, фирменный соус, фирменное тесто",Пицца,450 с,https://nambafood.kg/dish_image/139900.png
Пицца вегетарианская,"Моцарелла, грибы, кукуруза, оливки, помидоры, перец, тимьян, специальный соус, особое тесто",Пицца,500 с,https://nambafood.kg/dish_image/136458.png
Пицца тавуклу,"Моцарелла, куриная грудка, перец, кукуруза, лук, тимьян, фирменный соус, фирменное тесто",Пицца,580 с,https://nambafood.kg/dish_image/139901.png
Пицца неаполитанская,"Моцарелла, говяжья вырезка, лук, перец, кукуруза, оливки, фирменный соус, фирменное тесто",Пицца,650 с,https://nambafood.kg/dish_image/136460.png
Пицца сужуклу,"Колбаса говяжья, перец, помидор, грибы, кукуруза, фирменный соус, фирменное тесто",Пицца,550 с,https://nambafood.kg/dish_image/139902.png
Пицца «Тон Балык»‎‎,"Моцарелла, тунец, лук, перец, грибы, кукуруза, специальный соус, особое тесто",Пицца,600 с,https://nambafood.kg/dish_image/136459.png
Пицца каришик,"Моцарелла, фирменная говяжья колбаса Bey Doner, салями из говядины, помидоры, перец, грибы, кукуруза, специальный соус, фирменное тесто",Пицца,650 с,https://nambafood.kg/dish_image/139995.png
Тавук шиш,"Куриная грудка, перечная паста, йогурт, чеснок, фирменный соус",Кебабы,450 с,https://nambafood.kg/dish_image/139903.png
Кебаб адана,"Баранина, говядина, красный перец, фирменный соус",Кебабы,450 с,https://nambafood.kg/dish_image/139904.png
Кузу шиш,"Мясо ягненка, фирменный соус",Кебабы,550 с,https://nambafood.kg/dish_image/139905.png
Касап кофте,"Баранина, говядина и специальный маринованный соус",Кебабы,450 с,https://nambafood.kg/dish_image/139906.png
Тавук канат,"Куриные крылышки, перечная паста, йогурт, чеснок, фирменный соус",Кебабы,450 с,https://nambafood.kg/dish_image/139907.png
Кузу пирзола,"Пирзола из баранины, помидоры, перец и фирменный соус",Кебабы,600 с,https://nambafood.kg/dish_image/136461.png
Касарли кофте,"Баранина, говядина, специальный маринованный соус и моцарелла",Кебабы,500 с,https://nambafood.kg/dish_image/139908.png
Дана пирзола,"Пирзола из баранины в фирменном маринаде, помидоры, перец, фирменный соус",Кебабы,750 с,https://nambafood.kg/dish_image/139942.png
Кузу чоп шиш,"Мясо ягненка, тимьян, оливковое масло, фирменный соус",Кебабы,500 с,https://nambafood.kg/dish_image/139943.png
Бейти сарма,"Баранина, говядина, красный перец и фирменный соус",Кебабы,600 с,https://nambafood.kg/dish_image/139944.png
Доматесли кебаб,"Баранина, говядина, красный перец, помидоры, фирменный соус",Кебабы,450 с,https://nambafood.kg/dish_image/139946.png
