Наименование,Описание,Категория,Цена,Фото
Цезарь,"Курица, салатныя листья, соус цезарь, сыр пармезан, сухарики и помидор черри",Салаты,189 с,https://nambafood.kg/dish_image/131024.png
Греческий,"Помидор, огурец, салатные листья, соус фетакса и оливки",Салаты,189 с,https://nambafood.kg/dish_image/131025.png
Восточный,"Помидор, огурец, салатные листья, оливковое масло, лимонный сок, мята и соус",Салаты,159 с,https://nambafood.kg/dish_image/131026.png
Фаттуш,"Помидор, огурец, салатные листья, оливки, оливковое масло,  соус и лук",Салаты,189 с,https://nambafood.kg/dish_image/131027.png
Биг Байт салат,"Макарон, ханимастерд соус, перец зеленый, копченное мясо, кукуруза и черри помидор",Салаты,159 с,https://nambafood.kg/dish_image/131028.png
Фахитта,"С курицей микс перцов, лук,шампиньоны, соевый соус, сыр моцарелла и фри",Блюда,399 с,https://nambafood.kg/dish_image/131046.png
Барбекю,"Курица,шампиньон, бербекю соус, сыр моцарелла и фри.",Блюда,399 с,https://nambafood.kg/dish_image/130589.png
Смокт,"Курица,шампиньон, копченное мясо, белый соус, сыр пармезан и фри",Блюда,399 с,https://nambafood.kg/dish_image/131045.png
Шиштаук,,Блюда,389 с,https://nambafood.kg/dish_image/131047.png
Креспи,"Курица, сыр чеддер, майонез, салатные листья и соленый огурец",Сэндвичи,199 с,https://nambafood.kg/dish_image/131020.png
Зинжер,"Курица, сыр чеддер, майонез, салатные листья и соленый огурец и острый соус",Сэндвичи,210 с,https://nambafood.kg/dish_image/131021.png
Сана,"Курица, сыр чеддер, копченное мясо, соленый огурец и ханимастерд соус",Сэндвичи,215 с,https://nambafood.kg/dish_image/131022.png
Биг Байт сендвич,"Курица с хлопьями, сыр чеддер, ханимастерд, соус и кукуруза",Сэндвичи,229 с,https://nambafood.kg/dish_image/131023.png
Шиштаук сендвич,"Курица, колслоу соус, фри и соленый огурец",Сэндвич с курицей на гриле,199 с,https://nambafood.kg/dish_image/131033.png
Франшиско сенвич,"Курица , шампиньоны, кукуруза, сыр моцарелла",Сэндвич с курицей на гриле,215 с,https://nambafood.kg/dish_image/131034.png
Смокт сендвич,"Курица, шампиньоны, копченное мясо, белый соус и сыр пармезан",Сэндвич с курицей на гриле,215 с,https://nambafood.kg/dish_image/131035.png
Барбекю сендвич,"Курица, шампиньоны, барбекю соус, сыр моцарелла и майонез",Сэндвич с курицей на гриле,215 с,https://nambafood.kg/dish_image/131036.png
Фахитта сендвич,"Курица, микс перцов, лук, шампиньоны, соевый соус, сыр моцарелла и майонез",Сэндвич с курицей на гриле,215 с,https://nambafood.kg/dish_image/131037.png
Бургер с курицей,"Куриная котлета, сыр чеддер, майонез, салатные листья, соленый огурец,.лук, помидор и кетчуп",Бургеры,169 с,https://nambafood.kg/dish_image/131039.png
Биг байт бургер с курицей,"Куриная котлета, сыр чеддер, курица креспи, майонез, помидор, салатные листья и ханимастерд соус",Бургеры,219 с,https://nambafood.kg/dish_image/131040.png
Классический,"Говяжая котлета, сыр чеддер, майонез, салатные листья, помидор, лук, кетчуп и соленый огурец",Бургеры,189 с,https://nambafood.kg/dish_image/131041.png
Смокт бургер,"Говяжая котлета, сыр чеддер, майонез, салатные листья, помидор, лук, кетчуп и соленый огурец",Бургеры,189 с,https://nambafood.kg/dish_image/131042.png
Барбекю,"Говяжая котлета, сыр чеддер, барбекю соус, майонез, салатные листья, помидор, лук, соленый огурец",Бургеры,189 с,https://nambafood.kg/dish_image/131043.png
Карам бургер,"Котлета с сыром, сыр чеддер, ханимастерд соус, салатные листья, помидор, лук и соленый огурец",Бургеры,210 с,https://nambafood.kg/dish_image/131044.png
Вегетарианский,"Пицца соус, помидор, перец зеленый, оливки, сыр моцарелла и орегано",Пицца,389 с,https://nambafood.kg/dish_image/131052.png
Маргарита,"Пицца соус, помидор, перец зеленый, оливки, сыр моцарелла и орегано",Пицца,359 с,https://nambafood.kg/dish_image/131053.png
Смокт пицца,"Пицца соус, копченное мясо, сыр моцарелла, шампиньон, лук и орегано",Пицца,389 с,https://nambafood.kg/dish_image/131054.png
Сырный,"Соус пицца, сыр моцарелла, чеддер, пармезан и орегано",Пицца,389 с,https://nambafood.kg/dish_image/131055.png
Биг Байт пицца,"Барбекю соус, курица, сыр моцарелла, шампиньон и орегано",Пицца,419 с,https://nambafood.kg/dish_image/131056.png
Айс американо,,Айс кофе,75 с,https://nambafood.kg/dish_image/131068.png
Айс американо большой,,Айс кофе,110 с,https://nambafood.kg/dish_image/131069.png
Айс капучино,,Айс кофе,120 с,https://nambafood.kg/dish_image/131070.png
Айс капучино большой,,Айс кофе,150 с,https://nambafood.kg/dish_image/131071.png
Айс мокко,,Айс кофе,130 с,https://nambafood.kg/dish_image/131072.png
Айс мокко большой,,Айс кофе,160 с,https://nambafood.kg/dish_image/131073.png
Шоколадный милкшейк,,Милкшейки,150 с,https://nambafood.kg/dish_image/131074.png
Клубничный милкшейк,,Милкшейки,150 с,https://nambafood.kg/dish_image/131075.png
Эспрессо милкшейк,,Милкшейки,150 с,https://nambafood.kg/dish_image/131076.png
Фраппучино,,Фраппе,125 с,https://nambafood.kg/dish_image/131077.png
Карамельный фраппе,,Фраппе,125 с,https://nambafood.kg/dish_image/131078.png
Клубничный фраппе,,Фраппе,125 с,https://nambafood.kg/dish_image/131079.png
Нутелла фраппе,,Фраппе,150 с,https://nambafood.kg/dish_image/131080.png
Классический мохито,,Мохито,125 с,https://nambafood.kg/dish_image/131128.png
Голубая лагуна,,Мохито,150 с,https://nambafood.kg/dish_image/131082.png
Клубничный мохито,,Мохито,125 с,https://nambafood.kg/dish_image/131083.png
Киви с апельсином,,Мохито,125 с,https://nambafood.kg/dish_image/131129.png
Огуречно мятный мохито,,Мохито,125 с,https://nambafood.kg/dish_image/131081.png
Морковный фреш,,Фреш,125 с,https://nambafood.kg/dish_image/131084.png
Клубничный фреш,,Фреш,150 с,https://nambafood.kg/dish_image/131085.png
Ассорти фреш,,Фреш,150 с,https://nambafood.kg/dish_image/131130.png
Апельсиновый фреш,,Фреш,175 с,https://nambafood.kg/dish_image/131086.png
Лимонный фреш,,Фреш,150 с,https://nambafood.kg/dish_image/131087.png
Яблочный фреш,,Фреш,125 с,https://nambafood.kg/dish_image/131088.png
Раф кофе большой,,Кофе,150 с,https://nambafood.kg/dish_image/131062.png
Раф кофе,,Кофе,120 с,https://nambafood.kg/dish_image/131063.png
Турецкий кофе,,Кофе,120 с,https://nambafood.kg/dish_image/131057.png
Турецкий кофе большой,,Кофе,150 с,https://nambafood.kg/dish_image/131058.png
Флетуайт,,Кофе,75 с,https://nambafood.kg/dish_image/131064.png
Мокко большой,,Кофе,150 с,https://nambafood.kg/dish_image/131065.png
Мокко,,Кофе,120 с,https://nambafood.kg/dish_image/131066.png
Капучино,,Кофе,120 с,https://nambafood.kg/dish_image/131059.png
Американо большой,,Кофе,110 с,https://nambafood.kg/dish_image/131131.png
Капучино большой,,Кофе,150 с,https://nambafood.kg/dish_image/131132.png
Латте,,Кофе,120 с,https://nambafood.kg/dish_image/131060.png
Латте большой,,Кофе,150 с,https://nambafood.kg/dish_image/131061.png
Американо,,Кофе,75 с,https://nambafood.kg/dish_image/131067.png
