Наименование,Описание,Категория,Цена,Фото
Сокоги кимпаб,Кимпаб с говядиной,Ким-паб,280 с,https://nambafood.kg/dish_image/94441.png
Кемасаль кимпаб,Кимпаб с крабовыми палочками,Ким-паб,260 с,https://nambafood.kg/dish_image/94442.png
Чамчи кимпаб,Кимпаб с тунцом,Ким-паб,280 с,https://nambafood.kg/dish_image/94443.png
Чикенкас кимпаб,Кимпаб с курицей в кляре,Ким-паб,280 с,https://nambafood.kg/dish_image/94444.png
Кимчи чиге,"Суп кимчи, тофу, говядина, + рис",Первые блюда,280 с,https://nambafood.kg/dish_image/94447.png
Мийокгук,"Суп из морской капусты с говядиной, + рис",Первые блюда,280 с,https://nambafood.kg/dish_image/94446.png
Рамен с яйцом,Можно заказать средней остроты и острый,Рамен,185 с,https://nambafood.kg/dish_image/94463.png
Рамен с сыром,Можно заказать средней остроты и острый,Рамен,200 с,https://nambafood.kg/dish_image/94460.png
Фирменный рамен Бингсу,Можно заказать средней остроты и острый,Рамен,240 с,https://nambafood.kg/dish_image/94464.png
Рамен чикенкас,"Рамен с курицей в кляре и сыром, можно заказать средней остроты и острый,",Рамен,260 с,https://nambafood.kg/dish_image/94459.png
Кимчи Покумпаб,"Жареный рис с кимчи, покрытый сыром",Горячие блюда,250 с,https://nambafood.kg/dish_image/94468.png
Пулькоги добпаб,"Жареное бон-филе говядины, рис",Горячие блюда,280 с,https://nambafood.kg/dish_image/94466.png
Так покумпаб,"Курица с овощами, рис",Горячие блюда,280 с,https://nambafood.kg/dish_image/94467.png
Бибимпаб,"Рис, овощи, говядина",Горячие блюда,330 с,https://nambafood.kg/dish_image/94458.png
Чапче паб,"Крахмальная лапша, бон-филе говядины, рис",Горячие блюда,330 с,https://nambafood.kg/dish_image/94465.png
Кимчи спагетти,,Горячие блюда,250 с,https://nambafood.kg/dish_image/94479.png
Спагетти в сливочном соусе,,Горячие блюда,250 с,https://nambafood.kg/dish_image/94482.png
Спагетти в томатном соусе,,Горячие блюда,250 с,https://nambafood.kg/dish_image/94481.png
Спагетти в сливочном соусе с креветками,,Горячие блюда,310 с,https://nambafood.kg/dish_image/94480.png
Чикен кас,Курица в кляре,Горячие блюда,380 с,https://nambafood.kg/dish_image/94455.png
Такканжан,Курица в остро-сладком соусе,Горячие блюда,410 с,https://nambafood.kg/dish_image/94457.png
Такальби стейк,"Стейк из курицы с фирменным соусом, покрытый сыром",Горячие блюда,440 с,https://nambafood.kg/dish_image/94456.png
Аншим пулькоги,"Бон-филе говядины, рис, фри",Горячие блюда,480 с,https://nambafood.kg/dish_image/94454.png
Токпокки,,Горячие блюда,360 с,https://nambafood.kg/dish_image/94484.png
Гунмуль токпокки,,Горячие блюда,360 с,https://nambafood.kg/dish_image/94462.png
Токпокки с сыром,,Горячие блюда,360 с,https://nambafood.kg/dish_image/104332.png
Рис,,Гарниры,60 с,https://nambafood.kg/dish_image/94448.png
Кимчи,,Гарниры,70 с,https://nambafood.kg/dish_image/94449.png
Фри,,Гарниры,80 с,https://nambafood.kg/dish_image/94473.png
Луковые кольца,,Гарниры,140 с,https://nambafood.kg/dish_image/94474.png
Хлеб,,Гарниры,25 с,https://nambafood.kg/dish_image/94485.png
Сливки,,Добавки,30 с,https://nambafood.kg/dish_image/94486.png
Мед,,Добавки,50 с,https://nambafood.kg/dish_image/94487.png
Лимон,,Добавки,40 с,https://nambafood.kg/dish_image/94488.png
Пеперо в ассортименте,,Десерты,120 с,https://nambafood.kg/dish_image/94498.png
Классический лимонад,"0,350 мл.",Напитки,140 с,https://nambafood.kg/dish_image/94490.png
Цитрусовый лимонад,"0,350 мл.",Напитки,140 с,https://nambafood.kg/dish_image/94491.png
Ягодный лимонад,"0,350 мл.",Напитки,140 с,https://nambafood.kg/dish_image/94492.png
Натуральные соки в ассортименте,1 л.,Напитки,170 с,https://nambafood.kg/dish_image/94493.png
"Фанта 0,5 л.",,Напитки,60 с,https://nambafood.kg/dish_image/94404.png
Фанта 1 л.,,Напитки,90 с,https://nambafood.kg/dish_image/94405.png
"Кока-кола 0,5 л.",,Напитки,60 с,https://nambafood.kg/dish_image/94406.png
Кока-кола 1 л.,,Напитки,90 с,https://nambafood.kg/dish_image/94407.png
"Спрайт 0,5 л.",,Напитки,60 с,https://nambafood.kg/dish_image/94408.png
Спрайт 1 л.,,Напитки,90 с,https://nambafood.kg/dish_image/94409.png
