Наименование,Описание,Категория,Цена,Фото
"Комбо №1 Чикен бургер + Coca- Cola 0,5 л.",,Coca-Cola Комбо,"250 с


                    300 с",https://nambafood.kg/dish_image/132285.png
"Комбо №2 Чикен мини бургер + Coca-Cola 0,5 л.",,Coca-Cola Комбо,"210 с


                    250 с",https://nambafood.kg/dish_image/132286.png
"Комбо №3 Чикен ролл + Coca-Cola 0,5 л.",,Coca-Cola Комбо,"270 с


                    300 с",https://nambafood.kg/dish_image/132287.png
Бургер BBQ,Сочный цыпленок в хрустящей панировке приготовленный по секретному рецепту BFC в булочке с кунжутом с соусом BBQ,Зингеры и Бургеры,190 с,https://nambafood.kg/dish_image/28487.png
Чесночный бургер,Сочный цыпленок со вкусом чеснока...попробуй,Зингеры и Бургеры,190 с,https://nambafood.kg/dish_image/28468.png
Лайт бургер,Сочный цыпленок в хрустящей панировке приготовленный по секретному рецепту BFC в в булочке с кунжутом...ммм...пальчики оближешь,Зингеры и Бургеры,130 с,https://nambafood.kg/dish_image/28479.png
MAX бургер,Сочный цыпленок в хрустящей панировке приготовленный по секретному рецепту BFC в булочке с кунжутом...ммм...пальчики оближешь,Зингеры и Бургеры,170 с,https://nambafood.kg/dish_image/28488.png
Бургер с сырным соусом,Попробуй бургер с сырным соусом и с сочным цыпленком в хрустящей панировке,Зингеры и Бургеры,190 с,https://nambafood.kg/dish_image/28621.png
Лайт бургер чиз,Попробуй бургер с сырным соусом с сочным цыпленком,Зингеры и Бургеры,150 с,https://nambafood.kg/dish_image/28492.png
Бургер чиз,Попробуй бургер с сыром и с сочным цыпленком в хрустящей понеровке,Зингеры и Бургеры,190 с,https://nambafood.kg/dish_image/28490.png
Джой Бургер,"Новый сендвич «Джой бургер» - ярко, как никогда прежде, раскрывает знаменитый вкус. Он приготовлен вручную из свежего куриного мяса по знаменитому секретному рецепту. Нежное куриное мясо с хрустящими маринованными огурчиками, сочным луком, заправленные кетчупом и майонезным соусом в мягкой булочке!",Зингеры и Бургеры,170 с,https://nambafood.kg/dish_image/28469.png
Фреш Бургер,"Встречайте новый бургер Фрешер — сочное цельное куриное мясо, свежий салат, помидоры и хрустящие огурчики! Фреш бургер  — очень сочно, пробуй срочно!",Зингеры и Бургеры,190 с,https://nambafood.kg/dish_image/28491.png
Дабл бургер,,Зингеры и Бургеры,240 с,https://nambafood.kg/dish_image/93145.png
Чикен ролл по-американски,"Кусочки нежнейшего куриного мяса в хрустящей острой или оригинальной панировке с сочными листьями салата, помидором и хрустящими огурчиками мы завернули в пшеничную лепешку и поджарили в тостере.",Зингеры и Бургеры,200 с,https://nambafood.kg/dish_image/28475.png
Чикен Ролл,"Кусочки нежнейшего куриного мяса в хрустящей острой или оригинальной панировке с сочными листьями салата, помидором и нежным соусом мы завернули в пшеничную лепешку и поджарили в тостере",Зингеры и Бургеры,180 с,https://nambafood.kg/dish_image/28481.png
Дабл чиккен ролл,,Зингеры и Бургеры,230 с,https://nambafood.kg/dish_image/93146.png
Баскет Крылышки 24 шт.,24 шт. Порция фри в подарок,Курица и Гарниры,750 с,https://nambafood.kg/dish_image/28483.png
Баскет Крылышки 16 шт.,16 шт.,Курица и Гарниры,550 с,https://nambafood.kg/dish_image/28484.png
Баскет Крылышки 12 шт.,12 шт.,Курица и Гарниры,450 с,https://nambafood.kg/dish_image/28482.png
Баскет Крылышки  6 шт,,Курица и Гарниры,180 с,https://nambafood.kg/dish_image/63648.png
Крылышки 8 шт.,8 шт.,Курица и Гарниры,250 с,https://nambafood.kg/dish_image/28485.png
Крылышки 4 шт.,4 шт.,Курица и Гарниры,150 с,https://nambafood.kg/dish_image/28470.png
"Fuse Tea 0,5 л.","0,5 л.",Напитки,50 с,https://nambafood.kg/dish_image/28493.png
"Coca-Cola 0,5","0,5 л.",Напитки,50 с,https://nambafood.kg/dish_image/28476.png
Coca-Cola 1 л,1 л.,Напитки,70 с,https://nambafood.kg/dish_image/28477.png
