Наименование,Описание,Категория,Цена,Фото
Куриный суп,С домашней лапшой,Супы,220 с,https://nambafood.kg/dish_image/53744.png
Солянка,,Супы,250 с,https://nambafood.kg/dish_image/1820.png
Суп крем из чечевицы,1 порция.,Супы,220 с,https://nambafood.kg/dish_image/1821.png
Уха по-Царски,1 порция.,Супы,330 с,https://nambafood.kg/dish_image/1824.png
Острый суп с говядиной,,Супы,330 с,https://nambafood.kg/dish_image/104196.png
Суп Том-ям с креветками,,Супы,450 с,https://nambafood.kg/dish_image/67880.png
Пельмени с бульоном,,Супы,330 с,https://nambafood.kg/dish_image/139149.png
Рыбная тарелка к пиву,"Чебак вяленый, форель, вобла",Закуски,1100 с,https://nambafood.kg/dish_image/53709.png
Чесночные гренки,Сырный соус,Закуски,200 с,https://nambafood.kg/dish_image/1770.png
Сырные палочки,Сыр сулугуни в панировке,Закуски,250 с,https://nambafood.kg/dish_image/6838.png
Кольца кальмара,1 порция.,Закуски,300 с,https://nambafood.kg/dish_image/1750.png
Пивные креветки,1 порция.,Закуски,600 с,https://nambafood.kg/dish_image/1744.png
Тигровые креветки жареные (очищенные),1 порция.,Закуски,750 с,https://nambafood.kg/dish_image/1742.png
Сыр Чечил,,Закуски,250 с,https://nambafood.kg/dish_image/67867.png
Сырные чипсы,,Закуски,250 с,https://nambafood.kg/dish_image/67868.png
Чебак вяленый,,Закуски,360 с,https://nambafood.kg/dish_image/53711.png
Форель копченая,,Закуски,350 с,https://nambafood.kg/dish_image/53712.png
Сиг копченый,,Закуски,200 с,https://nambafood.kg/dish_image/53714.png
Вобла вяленая,,Закуски,180 с,https://nambafood.kg/dish_image/75274.png
"Крылышки "" Баффало """,1 порция.,Закуски,400 с,https://nambafood.kg/dish_image/1739.png
Крылышки в панировке,,Закуски,400 с,https://nambafood.kg/dish_image/67866.png
Луковые кольца в кляре,1 порция.,Закуски,200 с,https://nambafood.kg/dish_image/1751.png
Бараний задок с хрустящим картофелем,2.5 кг. Предзаказ за два дня,Блюда на заказ (заранее за 2 дня),3500 с,https://nambafood.kg/dish_image/103729.png
Куурдак из баранины 2 кг,"Баранья корейка, картофель, лук репчатый, болгарский перец, чеснок, зелень",Блюда на заказ (заранее за 2 дня),3500 с,https://nambafood.kg/dish_image/53716.png
Каре ягненка на гриле 3 кг,,Блюда на заказ (заранее за 2 дня),3500 с,https://nambafood.kg/dish_image/53717.png
Форель по-царски 2 кг,"Икра красная, соус тар-тар, лимон, оливки",Блюда на заказ (заранее за 2 дня),2500 с,https://nambafood.kg/dish_image/104192.png
Мясное ассорти на гриле,"Каре ягненка, цыпленок BBQ, говяжии ребра, куриные крылья,люля- кебаб в лаваше",Закуски на компанию,2500 с,https://nambafood.kg/dish_image/85209.png
"Ассорти шашлыков ""Mangal""","Шашлык из баранины, шашлык из говядины, шашлык из курицы, шашлык утиная грудка, шашлык люля кебаб, шашлык из говяжей печени, шашлык из бараньих ребрышек",Закуски на компанию,2600 с,https://nambafood.kg/dish_image/53720.png
"Ассорти фирменных колбасок ""Blonder""","Телятина, баранина, курица, острые из телятины, соус, соленья",Закуски на компанию,1800 с,https://nambafood.kg/dish_image/53721.png
"Пивной пир ""XXL""","Чесночные гренки, кольца кальмара, куриные крылышки, фри, луковые кольца, начосы, сырные палочки, соус. В Подарок 2 литра пива",Закуски на компанию,2300 с,https://nambafood.kg/dish_image/64495.png
Ассорти колбасок на гриле,"Колбаски с зеленью, колбаски с сыром, сардельки, соус, соленья",Закуски на компанию,1550 с,https://nambafood.kg/dish_image/53723.png
Ассорти из птиц,"Крылышки Баффало, крылышки Bon-Bon, шашлык из куриных крылышек, куриные колбаски, цыпленок по-домашнему",Закуски на компанию,2300 с,https://nambafood.kg/dish_image/53724.png
Ассорти из копченых колбас,"Краковские, охотничьи, сервелат. В Подарок 2 литра пива",Закуски на компанию,1500 с,https://nambafood.kg/dish_image/53725.png
Цезарь с цыпленком и чесночным багетом,,Салаты,450 с,https://nambafood.kg/dish_image/53726.png
Цезарь с тигровыми креветками,"Тигровые креветки, хрустящий чесночный багет",Салаты,500 с,https://nambafood.kg/dish_image/53727.png
Греческий с листьями салат,,Салаты,350 с,https://nambafood.kg/dish_image/64496.png
Греческий с тигровыми креветками,"Тигровые креветки, ароматный соус Песто",Салаты,450 с,https://nambafood.kg/dish_image/64497.png
Салат из свежих овощей и домашней брынзой,"Свежие овощи, домашняя брынза",Салаты,350 с,https://nambafood.kg/dish_image/53729.png
Салат «Калифорния»‎‎,"Телятина, свежие шампиньоны, сыр пармезан, соус калифорния.",Салаты,450 с,https://nambafood.kg/dish_image/1804.png
"Салат с говядиной, овощами и соусом «терияки»",,Салаты,450 с,https://nambafood.kg/dish_image/104193.png
Салат со стручковой фасолью и телятиной,,Салаты,450 с,https://nambafood.kg/dish_image/67870.png
Салат с говяжьим языком,,Салаты,430 с,https://nambafood.kg/dish_image/64499.png
Острый по-тайски,,Салаты,450 с,https://nambafood.kg/dish_image/53732.png
"Салат со шпинатом, куриной грудкой и гречневой лапшой",,Салаты,430 с,https://nambafood.kg/dish_image/104194.png
Салат со шпинатом и сыром моцарелла,,Салаты,410 с,https://nambafood.kg/dish_image/67873.png
Рыбная тарелка,,Холодные закуски,1500 с,https://nambafood.kg/dish_image/66949.png
Закуска из свежих овощей,,Холодные закуски,350 с,https://nambafood.kg/dish_image/53736.png
Соленья домашние,"соленые огурцы, помидоры, корнишоны, квашеная капуста, помидоры черри.",Холодные закуски,350 с,https://nambafood.kg/dish_image/1778.png
Сырная тарелка,Из итальянских сыров,Холодные закуски,800 с,https://nambafood.kg/dish_image/53737.png
Ассорти к водочке,"Сельдь, картофель, корнишоны",Холодные закуски,400 с,https://nambafood.kg/dish_image/53738.png
Бастурма из говядины,,Холодные закуски,300 с,https://nambafood.kg/dish_image/66950.png
Картофельные драники,со сметаной,Горячие закуски,250 с,https://nambafood.kg/dish_image/1867.png
Хрустящий баклажан с соусом чили,,Горячие закуски,350 с,https://nambafood.kg/dish_image/75332.png
