Наименование,Описание,Категория,Цена,Фото
Винегрет,150 гр,Салаты,50 с,https://nambafood.kg/dish_image/143094.png
Хе из рыбы,150 гр,Салаты,60 с,https://nambafood.kg/dish_image/143093.png
Салат «Витаминка»,150 г,Салаты,50 с,https://nambafood.kg/dish_image/112789.png
Салат «Греческий»,150 г,Салаты,80 с,https://nambafood.kg/dish_image/112790.png
Салат «Капустный»,150 г,Салаты,50 с,https://nambafood.kg/dish_image/112792.png
Крабовый салат,150 г,Салаты,65 с,https://nambafood.kg/dish_image/112795.png
Салат «Морковный»,150 г,Салаты,50 с,https://nambafood.kg/dish_image/112801.png
Оливье,150 г,Салаты,65 с,https://nambafood.kg/dish_image/112794.png
Острый капустный салат,150 г,Салаты,50 с,https://nambafood.kg/dish_image/112798.png
Свекольный салат с орехом,150 г,Салаты,55 с,https://nambafood.kg/dish_image/112788.png
Салат «Спаржа»,150 г,Салаты,60 с,https://nambafood.kg/dish_image/112797.png
Фунчеза салат,150 г,Салаты,60 с,https://nambafood.kg/dish_image/95479.png
Борщ,300 г,Первые блюда,95 с,https://nambafood.kg/dish_image/112751.png
Гороховый суп,300 г,Первые блюда,70 с,https://nambafood.kg/dish_image/112736.png
Мампар,300 г,Первые блюда,90 с,https://nambafood.kg/dish_image/112740.png
Пельмени с бульоном,300 г,Первые блюда,100 с,https://nambafood.kg/dish_image/112735.png
Солянка,300 г,Первые блюда,105 с,https://nambafood.kg/dish_image/112742.png
Суп с фрикадельками,400 г,Первые блюда,90 с,https://nambafood.kg/dish_image/112741.png
Сырный суп с цветной капустой,300 г,Первые блюда,120 с,https://nambafood.kg/dish_image/112750.png
Чечевичный суп,300 г,Первые блюда,85 с,https://nambafood.kg/dish_image/112743.png
Щи,,Первые блюда,80 с,https://nambafood.kg/dish_image/112738.png
Окрошка,400 г,Первые блюда,95 с,https://nambafood.kg/dish_image/112744.png
Рассольник,300 г,Первые блюда,75 с,https://nambafood.kg/dish_image/112746.png
Тыквенный суп,,Первые блюда,75 с,https://nambafood.kg/dish_image/112747.png
Шорпо с курицей,,Первые блюда,100 с,https://nambafood.kg/dish_image/112748.png
Рис,,Гарниры,40 с,https://nambafood.kg/dish_image/112777.png
Картофельное пюре,,Гарниры,40 с,https://nambafood.kg/dish_image/112776.png
Гречка,,Гарниры,40 с,https://nambafood.kg/dish_image/112782.png
Овощи припущенные,,Гарниры,80 с,https://nambafood.kg/dish_image/112780.png
Сложный гарнир,,Гарниры,60 с,https://nambafood.kg/dish_image/112784.png
Картошка по-деревенски,,Гарниры,50 с,https://nambafood.kg/dish_image/112786.png
Макароны,,Гарниры,40 с,https://nambafood.kg/dish_image/112785.png
Капуста тушеная,,Гарниры,40 с,https://nambafood.kg/dish_image/112783.png
Фасоль,,Гарниры,65 с,https://nambafood.kg/dish_image/112778.png
Нут,,Гарниры,75 с,https://nambafood.kg/dish_image/112779.png
Овсяная каша,300 г,Завтраки до 11:00,50 с,https://nambafood.kg/dish_image/42973.png
Рисовая каша,300 г,Завтраки до 11:00,50 с,https://nambafood.kg/dish_image/42989.png
Блины,1 шт.,Завтраки до 11:00,25 с,https://nambafood.kg/dish_image/112712.png
Блины с творогом,1 шт.,Завтраки до 11:00,35 с,https://nambafood.kg/dish_image/112708.png
Яйца вареные,1 шт.,Завтраки до 11:00,20 с,https://nambafood.kg/dish_image/112703.png
Сырник 1 шт,,Завтраки до 11:00,40 с,https://nambafood.kg/dish_image/112713.png
Гренка,1 шт.,Завтраки до 11:00,25 с,https://nambafood.kg/dish_image/112709.png
Блинчик со сметаной,1 шт.,Завтраки до 11:00,30 с,https://nambafood.kg/dish_image/112707.png
Каша гречка,,Завтраки до 11:00,50 с,https://nambafood.kg/dish_image/102676.png
Омлет с колбасой и сыром,,Завтраки до 11:00,75 с,https://nambafood.kg/dish_image/112705.png
Яичница 1 шт,,Завтраки до 11:00,25 с,https://nambafood.kg/dish_image/112715.png
Английский завтрак,,Завтраки до 11:00,120 с,https://nambafood.kg/dish_image/112704.png
Фрикасе без гарнира,200 г,Вторые блюда с 8:00 до 19:00,125 с,https://nambafood.kg/dish_image/112648.png
Курица с овощами без гарнира,200 г,Вторые блюда с 8:00 до 19:00,130 с,https://nambafood.kg/dish_image/112660.png
Курица по-мексикански,200 г,Вторые блюда с 8:00 до 19:00,125 с,https://nambafood.kg/dish_image/112702.png
Бифштекс рубленный с яйцом,1 шт.,Вторые блюда с 8:00 до 19:00,110 с,https://nambafood.kg/dish_image/112679.png
Голень куриная,1 шт.,Вторые блюда с 8:00 до 19:00,80 с,https://nambafood.kg/dish_image/112676.png
Бризоль без гарнира,1 шт.,Вторые блюда с 8:00 до 19:00,125 с,https://nambafood.kg/dish_image/112697.png
Вареники,,Вторые блюда с 8:00 до 19:00,80 с,https://nambafood.kg/dish_image/112688.png
Котлета гречанка 1 шт,1 шт.,Вторые блюда с 8:00 до 19:00,90 с,https://nambafood.kg/dish_image/112690.png
Котлета по-киевски без гарнира,1 шт.,Вторые блюда с 8:00 до 19:00,120 с,https://nambafood.kg/dish_image/112678.png
Котлета из говядины,1 шт.,Вторые блюда с 8:00 до 19:00,90 с,https://nambafood.kg/dish_image/112698.png
Котлета из курицы,1 шт.,Вторые блюда с 8:00 до 19:00,90 с,https://nambafood.kg/dish_image/112663.png
Курица под снегом 1 шт,,Вторые блюда с 8:00 до 19:00,125 с,https://nambafood.kg/dish_image/112666.png
Курица под сыром 1 шт,,Вторые блюда с 8:00 до 19:00,125 с,https://nambafood.kg/dish_image/112700.png
Рыба жареная Судак 1 шт.,,Вторые блюда с 8:00 до 19:00,120 с,https://nambafood.kg/dish_image/112651.png
Сарделька,1 шт.,Вторые блюда с 8:00 до 19:00,60 с,https://nambafood.kg/dish_image/112652.png
Сосиска жареная,1 шт.,Вторые блюда с 8:00 до 19:00,35 с,https://nambafood.kg/dish_image/112656.png
Медовик,1 шт.,Пирожные,85 с,https://nambafood.kg/dish_image/42984.png
Шоколадный,1 шт.,Пирожные,85 с,https://nambafood.kg/dish_image/112716.png
Творожный чизкейк,,Пирожные,70 с,https://nambafood.kg/dish_image/112727.png
Пирожное Сникерс,1 шт.,Пирожные,85 с,https://nambafood.kg/dish_image/112731.png
Пирожное Каракум,1шт.,Пирожные,85 с,https://nambafood.kg/dish_image/62150.png
Сочинские,1 шт.,Пирожные,45 с,https://nambafood.kg/dish_image/62709.png
Круассан сэндвич,,Пирожные,75 с,https://nambafood.kg/dish_image/112714.png
Пирог с яблоком,,Пирожные,70 с,https://nambafood.kg/dish_image/112725.png
Синнабон с арахисом,,Пирожные,50 с,https://nambafood.kg/dish_image/112726.png
Пирог с курагой,,Пирожные,70 с,https://nambafood.kg/dish_image/112728.png
Синнабоны,1 шт.,Пирожные,50 с,https://nambafood.kg/dish_image/137086.png
Пирожное Красный бархат,1 шт.,Пирожные,85 с,https://nambafood.kg/dish_image/127732.png
Творожное пирожное,1 шт.,Пирожные,75 с,https://nambafood.kg/dish_image/112730.png
Пирожное Смородинка,1 шт.,Пирожные,85 с,https://nambafood.kg/dish_image/127734.png
Самсы с мясом,1 шт.,Печеное,55 с,https://nambafood.kg/dish_image/112775.png
Пирожок с капустой,1 шт.,Печеное,30 с,https://nambafood.kg/dish_image/112756.png
Сосиски в тесте печеная,1 шт.,Печеное,40 с,https://nambafood.kg/dish_image/112760.png
Маффин шоколадный,1 шт.,Печеное,55 с,https://nambafood.kg/dish_image/112732.png
Хошаны,1 шт.,Печеное,50 с,https://nambafood.kg/dish_image/112769.png
Курники,1 шт.,Печеное,50 с,https://nambafood.kg/dish_image/112774.png
Лепешка,1 шт.,Печеное,20 с,https://nambafood.kg/dish_image/112755.png
Пегодя,1 шт.,Печеное,60 с,https://nambafood.kg/dish_image/112758.png
Пирожок с картошкой,1 шт.,Печеное,30 с,https://nambafood.kg/dish_image/112757.png
Пирожок жареный с луком и яйцом,1 шт.,Печеное,35 с,https://nambafood.kg/dish_image/95489.png
Самсы с курицей и сыром,1 шт.,Печеное,55 с,https://nambafood.kg/dish_image/95490.png
Сосиска в тесте жареная,1 шт.,Печеное,40 с,https://nambafood.kg/dish_image/112761.png
Хлеб серый,1 шт.,Печеное,7 с,https://nambafood.kg/dish_image/112764.png
