Наименование,Описание,Категория,Цена,Фото
BIGшкекская глазунья,"Глазунья, колбаски, картофель с грибами, сыр халуми, фасоль и свежий микс.",Завтраки,450 с,https://nambafood.kg/dish_image/144444.png
Овсяная каша с орехами и изюмом,,Завтраки,170 с,https://nambafood.kg/dish_image/121454.png
Рисовая каша с карамелизированным бананом,,Завтраки,170 с,https://nambafood.kg/dish_image/120420.png
Глазунья их 2х яиц,С теплым тостом и помидором гриль.,Завтраки,160 с,https://nambafood.kg/dish_image/120461.png
Нежный омлет,"С салатом из авокадо, рукколы, помидор. Подается с муссом из пармезана. Ну очень вкусно!",Завтраки,350 с,https://nambafood.kg/dish_image/144457.png
Гренки с сыром сулугуни,,Завтраки,160 с,https://nambafood.kg/dish_image/120450.png
Бельгийские вафли,С кремчизом и форелью. Подаются с миксом зелени.,Завтраки,370 с,https://nambafood.kg/dish_image/120443.png
"Блинчики со сливочным сыром, форелью и красной икрой тобико",,Завтраки,330 с,https://nambafood.kg/dish_image/144454.png
Панкейки с ванильным соусом,,Завтраки,200 с,https://nambafood.kg/dish_image/128950.png
Сырники с топпингом из варенья и сметаны,,Завтраки,240 с,https://nambafood.kg/dish_image/120430.png
Бельгийские вафли с маскарпоне и ягодами,,Завтраки,350 с,https://nambafood.kg/dish_image/120446.png
Творог с фруктами,"Апельсин, яблоко, банан",Завтраки,270 с,https://nambafood.kg/dish_image/120452.png
Блинчики с нутеллой,,Завтраки,200 с,https://nambafood.kg/dish_image/144456.png
Блинчики с вареньем,,Завтраки,200 с,https://nambafood.kg/dish_image/125072.png
Овсяная каша с джемом,,Завтраки,150 с,https://nambafood.kg/dish_image/133013.png
Рисовая каша с джемом,,Завтраки,150 с,https://nambafood.kg/dish_image/133028.png
Болтунья из 3х яиц с индейкой,,Завтраки,370 с,https://nambafood.kg/dish_image/133014.png
Скрембл на тосте с сосисками,,Завтраки,270 с,https://nambafood.kg/dish_image/133015.png
Тост с креветками на авокадо в соусе песто,,Завтраки,450 с,https://nambafood.kg/dish_image/143566.png
Блинчики с творогом и джемом,,Завтраки,270 с,https://nambafood.kg/dish_image/144455.png
Боул с тунцом,,Салаты,400 с,https://nambafood.kg/dish_image/144459.png
Боул с телятиной,,Салаты,400 с,https://nambafood.kg/dish_image/144460.png
Боул с курицей,,Салаты,380 с,https://nambafood.kg/dish_image/144458.png
"Боул с форелью, киноа и бобами эдамами",,Салаты,470 с,https://nambafood.kg/dish_image/128943.png
Тёплый салат с лососем,,Салаты,470 с,https://nambafood.kg/dish_image/128942.png
Салат с хрустящими баклажанами,"Обжаренные во фритюре баклажаны, свежие помидоры, сыр фета и сладкий соус чили.",Салаты,350 с,https://nambafood.kg/dish_image/120456.png
Зелёный салат с жаренным халуми и авокадо,,Салаты,470 с,https://nambafood.kg/dish_image/128945.png
Салат «Цезарь»,,Салаты,450 с,https://nambafood.kg/dish_image/120432.png
Сицилийский салат,"Лист салата, шпинат, маслины, брынза с соусом песто.",Салаты,350 с,https://nambafood.kg/dish_image/120423.png
Свежий салат,"Огурчики, помидоры, лист салата, болгарский перец и красный лук с дрессингом из оливкового масла и лимона.",Салаты,220 с,https://nambafood.kg/dish_image/120449.png
Сэндвич с куриной грудкой,"Подается с картофельными дольками. Ну, очень сытный!",Сендвичи,350 с,https://nambafood.kg/dish_image/120454.png
Балык экмек,Форель с сочными томатами и полугорьким перцем в свежеиспеченном хлебе.,Сендвичи,390 с,https://nambafood.kg/dish_image/144462.png
Донер бакинский,"Без майонеза, сочный люля-кебаб с томатами в собственном соку.",Сендвичи,390 с,https://nambafood.kg/dish_image/120433.png
