Наименование,Описание,Категория,Цена,Фото
Классический бургер L,"лук, маринованный огурец, соус классический, сыр",Бургеры ( L ),270 с,https://nambafood.kg/dish_image/54650.png
Фирменный бургер L,"грибы, маринованный огурец, лук жаренный, соус барбекю, сыр",Бургеры ( L ),295 с,https://nambafood.kg/dish_image/54625.png
Лондон бургер L,"жаренный лук, маринованный огурец, соус лондон, сыр",Бургеры ( L ),275 с,https://nambafood.kg/dish_image/54643.png
Калифорния бургер L,"перчик Халапеньо, соус Силантро лайм, сыр",Бургеры ( L ),270 с,https://nambafood.kg/dish_image/54653.png
Куриный бургер L,"куриная грудка, листья салата, помидор, жареный лук, маринованный огурец, соус Пинк, сыр",Бургеры ( L ),260 с,https://nambafood.kg/dish_image/54646.png
Стейк Бургер (L),"Котлета из говядины на гриле, овощи на гриле, соус Демигляс, сыр",Бургеры ( L ),360 с,https://nambafood.kg/dish_image/54633.png
Мега Чизбургер L,"Котлета из говядины на гриле, крафтовый сыр в панировке, ломтик помидора, маринованные огурцы, шпинат, соус Cheese",Бургеры ( L ),400 с,https://nambafood.kg/dish_image/64267.png
Вторая котлета к Бургерам L,Сделай свой двойной бургер L,Бургеры ( L ),180 с,https://nambafood.kg/dish_image/67033.png
Токио Бургер куриный L,"Фирменная булочка, хрустящая куриная грудка ,лист салата,сыр, помидор, маринованный огурец , соус Пинк.",Бургеры ( L ),295 с,https://nambafood.kg/dish_image/127659.png
Flame Бургер L,"Фирменная булочка, говяжья котлета, овощи на гриле, сыр, соус BBQ.",Бургеры ( L ),280 с,https://nambafood.kg/dish_image/127545.png
Классический бургер M,"Лук, маринованный огурец, соус Классический, сыр",Бургеры ( M ),220 с,https://nambafood.kg/dish_image/54651.png
Фирменный бургер M,"Грибы, маринованный огурец, жареный лук, соус Барбекю, сыр",Бургеры ( M ),245 с,https://nambafood.kg/dish_image/54626.png
Лондон бургер M,"Жареный лук, маринованный огурец, соус Лондон, сыр",Бургеры ( M ),240 с,https://nambafood.kg/dish_image/54644.png
Калифорния бургер M,"Перчик Халапенью, красный лук, соус Силантро Лайм, сыр",Бургеры ( M ),235 с,https://nambafood.kg/dish_image/54654.png
Куриный бургер M,"куриная грудка, листья салата, помидор, жареный лук, маринованный огурец, соус Пинк, сыр",Бургеры ( M ),210 с,https://nambafood.kg/dish_image/54647.png
Стейк Бургер (М),"Рубленый стейк из говядины  на гриле, овощи на гриле, соус Айоли., сыр",Бургеры ( M ),295 с,https://nambafood.kg/dish_image/54634.png
Мега Чизбургер M,"Котлета из говядины на гриле, крафтовый сыр в панировке, ломтик помидора, маринованные огурцы, шпинат, соус Cheese",Бургеры ( M ),350 с,https://nambafood.kg/dish_image/64268.png
Вторая котлета к Бургерам М,Сделай свой двойной бургер М,Бургеры ( M ),140 с,https://nambafood.kg/dish_image/67034.png
Токио Бургер куриный M,"Состав фирменная булочка, хрустящая куриная грудка ,лист салата,сыр, помидор, маринованный огурец , соус Пинк.",Бургеры ( M ),230 с,https://nambafood.kg/dish_image/127660.png
Flame Бургер М,"Фирменная булочка, говяжья котлета, овощи на гриле, сыр, соус BBQ",Бургеры ( M ),230 с,https://nambafood.kg/dish_image/127570.png
Классический фри,,Фри и закуски,95 с,https://nambafood.kg/dish_image/54649.png
Картофель по-домашнему,,Фри и закуски,110 с,https://nambafood.kg/dish_image/54652.png
Наггетсы,,Фри и закуски,130 с,https://nambafood.kg/dish_image/127639.png
Корн дог,,Фри и закуски,100 с,https://nambafood.kg/dish_image/134934.png
Чечевичный крем суп,,Салаты и Супы,150 с,https://nambafood.kg/dish_image/54629.png
Грибной крем-суп,"грибы, сливки, сырный соус",Салаты и Супы,160 с,https://nambafood.kg/dish_image/54655.png
Салат Цезарь мини,"листья салата, тертый пармезан, курица крутоны, соус цезарь",Салаты и Супы,160 с,https://nambafood.kg/dish_image/54635.png
Салат Цезарь,"листья салата, тертый пармезан, курица крутоны, соус цезарь",Салаты и Супы,220 с,https://nambafood.kg/dish_image/54636.png
Салат греческий мини,"Листья салата, сыр фета, огурцы, помидоры, оливки, красный лук, оливковое масло.",Салаты и Супы,150 с,https://nambafood.kg/dish_image/54656.png
Салат греческий,"Листья салата, сыр фета, огурцы, помидоры, оливки, красный лук, оливковое масло.",Салаты и Супы,190 с,https://nambafood.kg/dish_image/54657.png
Теплый салат из курицы L,"Листья салата, перец,баклажан,кабачок, шампиньоны, курица.",Салаты и Супы,250 с,https://nambafood.kg/dish_image/127616.png
Добавка кетчуп,,Соусы,30 с,https://nambafood.kg/dish_image/31332.png
Шоколадный,,Молочные шейки,180 с,https://nambafood.kg/dish_image/31334.png
Ванильный,,Молочные шейки,180 с,https://nambafood.kg/dish_image/31335.png
Клубничный,,Молочные шейки,180 с,https://nambafood.kg/dish_image/31336.png
Банановый,,Молочные шейки,180 с,https://nambafood.kg/dish_image/31337.png
Fanta 1 л,,Прохладительные напитки,100 с,https://nambafood.kg/dish_image/127644.png
"Fanta 0,5 л",,Прохладительные напитки,65 с,https://nambafood.kg/dish_image/127643.png
"Fanta 0,33",,Прохладительные напитки,50 с,https://nambafood.kg/dish_image/127678.png
Sprite 1 л,,Прохладительные напитки,100 с,https://nambafood.kg/dish_image/127645.png
"Sprite 0,5",,Прохладительные напитки,65 с,https://nambafood.kg/dish_image/127646.png
"Sprite 0,33",,Прохладительные напитки,50 с,https://nambafood.kg/dish_image/127647.png
Coca-Cola 1 л,,Прохладительные напитки,100 с,https://nambafood.kg/dish_image/127648.png
"Coca-Cola 0,5",,Прохладительные напитки,65 с,https://nambafood.kg/dish_image/127649.png
