Наименование,Описание,Категория,Цена,Фото
Классический бургер L,"лук, маринованный огурец, соус классический, сыр",Бургеры ( L ),270 с,https://nambafood.kg/dish_image/55245.png
Фирменный бургер L,"грибы, маринованный огурец, лук жаренный, соус барбекю, сыр",Бургеры ( L ),295 с,https://nambafood.kg/dish_image/55246.png
Калифорния бургер L,"перчик Халапеньо, соус Силантро лайм, сыр",Бургеры ( L ),270 с,https://nambafood.kg/dish_image/55248.png
Куриный бургер L,"куриная грудка, листья салата, помидор, жареный лук, маринованный огурец, соус Пинк, сыр",Бургеры ( L ),260 с,https://nambafood.kg/dish_image/55314.png
Стейк Бургер (L),"Котлета из говядины на гриле, овощи на гриле, соус Демигляс, сыр",Бургеры ( L ),360 с,https://nambafood.kg/dish_image/55343.png
Мега Чизбургер L,"Котлета из говядины на гриле, крафтовый сыр в панировке, ломтик помидора, маринованные огурцы, шпинат, соус Cheese",Бургеры ( L ),400 с,https://nambafood.kg/dish_image/64272.png
Вторая котлета к Бургерам L,Сделай свой двойной бургер L,Бургеры ( L ),180 с,https://nambafood.kg/dish_image/67029.png
Токио Бургер куриный L,"Фирменная булочка, хрустящая куриная грудка ,лист салата,сыр, помидор, маринованный огурец , соус Пинк.",Бургеры ( L ),295 с,https://nambafood.kg/dish_image/127663.png
Flame Бургер L,"Фирменная булочка, говяжья котлета, овощи на гриле, сыр, соус BBQ",Бургеры ( L ),280 с,https://nambafood.kg/dish_image/127621.png
Классический бургер M,"Лук, маринованный огурец, соус Классический, сыр",Бургеры ( M ),220 с,https://nambafood.kg/dish_image/55327.png
Фирменный бургер M,"Грибы, маринованный огурец, жареный лук, соус Барбекю, сыр",Бургеры ( M ),245 с,https://nambafood.kg/dish_image/55328.png
Калифорния бургер M,"Перчик Халапенью, красный лук, соус Силантро Лайм, сыр",Бургеры ( M ),235 с,https://nambafood.kg/dish_image/55330.png
Куриный бургер M,"куриная грудка, листья салата, помидор, жареный лук, маринованный огурец, соус Пинк, сыр",Бургеры ( M ),210 с,https://nambafood.kg/dish_image/55331.png
Стейк Бургер (М),"Рубленый стейк из говядины  на гриле, овощи на гриле, соус Айоли., сыр",Бургеры ( M ),295 с,https://nambafood.kg/dish_image/55336.png
Мега Чизбургер M,"Котлета из говядины на гриле, крафтовый сыр в панировке, ломтик помидора, маринованные огурцы, шпинат, соус Cheese",Бургеры ( M ),350 с,https://nambafood.kg/dish_image/64273.png
Вторая котлета к Бургерам М,Сделай свой двойной бургер М,Бургеры ( M ),140 с,https://nambafood.kg/dish_image/67030.png
Токио Бургер куриный M,"Фирменная булочка, хрустящая куриная грудка ,лист салата,сыр, помидор, маринованный огурец , соус Пинк.",Бургеры ( M ),230 с,https://nambafood.kg/dish_image/127664.png
Flame Бургер М,"Фирменная булочка, говяжья котлета, овощи на гриле, сыр, соус BBQ",Бургеры ( M ),230 с,https://nambafood.kg/dish_image/127622.png
Классический фри,,Фри и закуски,95 с,https://nambafood.kg/dish_image/55259.png
Картофель по-домашнему,,Фри и закуски,110 с,https://nambafood.kg/dish_image/55261.png
Наггетсы,,Фри и закуски,130 с,https://nambafood.kg/dish_image/127640.png
Корн дог,,Фри и закуски,100 с,https://nambafood.kg/dish_image/134935.png
Чечевичный крем суп,,Салаты и Супы,150 с,https://nambafood.kg/dish_image/55308.png
Грибной крем-суп,"грибы, сливки, сырный соус",Салаты и Супы,160 с,https://nambafood.kg/dish_image/55256.png
Салат Цезарь мини,"листья салата, тертый пармезан, курица крутоны, соус цезарь",Салаты и Супы,160 с,https://nambafood.kg/dish_image/55253.png
Салат Цезарь,"листья салата, тертый пармезан, курица крутоны, соус цезарь",Салаты и Супы,220 с,https://nambafood.kg/dish_image/55252.png
Салат греческий мини,"Листья салата, сыр фета, огурцы, помидоры, оливки, красный лук, оливковое масло.",Салаты и Супы,150 с,https://nambafood.kg/dish_image/55306.png
Салат греческий,"Листья салата, сыр фета, огурцы, помидоры, оливки, красный лук, оливковое масло.",Салаты и Супы,190 с,https://nambafood.kg/dish_image/55307.png
Шоколадный,,Молочные шейки,180 с,https://nambafood.kg/dish_image/55264.png
Ванильный,,Молочные шейки,180 с,https://nambafood.kg/dish_image/55265.png
Клубничный,,Молочные шейки,180 с,https://nambafood.kg/dish_image/55266.png
Банановый,,Молочные шейки,180 с,https://nambafood.kg/dish_image/55267.png
Fanta 1 л,,Прохладительные напитки,100 с,https://nambafood.kg/dish_image/127668.png
"Fanta 0,5",,Прохладительные напитки,65 с,https://nambafood.kg/dish_image/127669.png
"Fanta 0,33",,Прохладительные напитки,50 с,https://nambafood.kg/dish_image/127670.png
Sprite 1 л,,Прохладительные напитки,100 с,https://nambafood.kg/dish_image/127671.png
"Sprite 0,5",,Прохладительные напитки,65 с,https://nambafood.kg/dish_image/127672.png
"Sprite 0,33",,Прохладительные напитки,50 с,https://nambafood.kg/dish_image/127673.png
Coca-Cola 1 л,,Прохладительные напитки,100 с,https://nambafood.kg/dish_image/127674.png
"Coca-Cola 0,5",,Прохладительные напитки,65 с,https://nambafood.kg/dish_image/127675.png
"Coca-Cola 0,33",,Прохладительные напитки,50 с,https://nambafood.kg/dish_image/127676.png
Айс Ти зеленый,домашний,Прохладительные напитки,100 с,https://nambafood.kg/dish_image/55277.png
Айс Ти черный,домашний,Прохладительные напитки,100 с,https://nambafood.kg/dish_image/55276.png
Минеральная вода 1л,,Прохладительные напитки,50 с,https://nambafood.kg/dish_image/55288.png
"Минеральная вода 0,5",,Прохладительные напитки,30 с,https://nambafood.kg/dish_image/55287.png
Домашний лимонад,400 мл,Прохладительные напитки,120 с,https://nambafood.kg/dish_image/105017.png
Сок J7 в ассортименте 1 л.,,Прохладительные напитки,200 с,https://nambafood.kg/dish_image/105025.png
