Наименование,Описание,Категория,Цена,Фото
Бургер классический S,"230 гр. Сочный классический бургер из жареной котлеты весом 120 гр. приготовленный из нежнейшей мраморной говядины, сверху которого проложен салат айсберг, дольки свежего помидора и мариновых огурцов заправленный в  фирменном соусе барбекю и маковой пасте.",Бургеры ( S ),269 с,https://nambafood.kg/dish_image/108333.png
Чизбургер классический S,"230 гр. Удивительно вкусный Чизбургер  из жареной котлеты приготовленный из нежнейшей мраморной говядины вес котлеты 120 гр, сверху которого проложен салат айсберг, знаменитый сыр чеддер, дольки свежего помидора и маринованных огурцов, заправленные в маковой пасте.",Бургеры ( S ),269 с,https://nambafood.kg/dish_image/108336.png
Бургер с соусом BBQ S,"230 гр. Американские бургеры с соусом барбекю   из  жареной котлеты весом 120 гр.  приготовленный из нежнейшей мраморной говядины,сверху проложенный салат айсберг и знаменитый английский сыр Чеддер, накрытый пряными огурцами, заправленный с классическим соусом Барбекю в сочетании с Француским соусом Тар-Тар.",Бургеры ( S ),269 с,https://nambafood.kg/dish_image/108348.png
Вишневый сад S,"230 гр. Фирменный Бургер ""Вишневый сад"" из  жареной котлеты весом 120 гр. приготовленный из нежнейшей мраморной говядины и знаменитого английского сыра Чеддер, заправленный  вишневым соусом с кусочками вишни от Шеф повара.",Бургеры ( S ),269 с,https://nambafood.kg/dish_image/108339.png
Бургер карамель лук S,"230 гр. Особенный Бургер ""Карамель лук"" из  жареной котлеты весом 120 гр. приготовленный из нежнейшей мраморной говядины сверху которого уникальный мармелад из красного лука, салат Коул-Слоу, заправленный Французским соусом Тар-Тар.",Бургеры ( S ),269 с,https://nambafood.kg/dish_image/108342.png
Бургер с соусом карри S,"230 гр. Бургер с экзотичным соусом Карри из  жареной котлеты весом 120 гр. приготовленный из нежнейшей мраморной говядины, сверху которого проложен салат айсберг, дольки свежих помидоров, заправленные в соусе карри-креметте.",Бургеры ( S ),269 с,https://nambafood.kg/dish_image/108345.png
Бургер Буасье с Гаргонзолой S,"230 гр. Насыщенный бургер ""Буасье"" из   жареной котлеты весом 120 гр. приготовленный из нежнейшей мраморной говядины, покрытый в груше с трюфелем заправленный ароматным соусом Горгонзола в сочетании с медом.",Бургеры ( S ),269 с,https://nambafood.kg/dish_image/108351.png
Бургер классический M,"300 гр. Сочный классический бургер из жареной котлеты весом 160 гр. приготовленный из нежнейшей мраморной говядины, сверху которого проложен салат айсберг, дольки свежего помидора и мариновых огурцов заправленный в фирменном соусе барбекю и маковой пасте.",Бургеры ( M ),319 с,https://nambafood.kg/dish_image/108334.png
Чизбургер классический M,"300 гр. Удивительно вкусный Чизбургер  из жареной котлеты весом 160 гр. приготовленный из нежнейшей мраморной говядины, сверху которого проложен салат айсберг, знаменитый сыр чеддер, дольки свежего помидора и маринованных огурцов, заправленные в маковой пасте.",Бургеры ( M ),319 с,https://nambafood.kg/dish_image/108337.png
Бургер с соусом BBQ M,"300 гр. Американские бургеры с соусом барбекю из жареной котлеты весом 160 гр. приготовленный из нежнейшей мраморной говядины, сверху проложенный салат айсберг и знаменитый английский сыр Чеддер, накрытый пряными огурцами, заправленный с классическим соусом Барбекю в сочетании с Француским соусом Тар-Тар.",Бургеры ( M ),319 с,https://nambafood.kg/dish_image/108349.png
