Наименование,Описание,Категория,Цена,Фото
Салат со шпинатом,"Шпинат, руккола, свекла, сыр, соус.",Салаты,390 с,https://nambafood.kg/dish_image/141609.png
Греческий салат,"Сыр, оливки, помидор, листья салата, огурцы, лук.",Салаты,420 с,https://nambafood.kg/dish_image/31753.png
Фитнес цезарь,"Салат айсберг, запеченные грудки, помидоры, сыр пармезан",Салаты,480 с,https://nambafood.kg/dish_image/141610.png
Салат с баклажаном,"Баклажан, соевый сыр тофу, соус, болгарский перец, помидор.",Салаты,390 с,https://nambafood.kg/dish_image/141611.png
Кимпаб с говядиной 4 шт,"Говяжий фарш, огурцы, морковь, корейская редька, яйцо, рис завернутый в ким.",Ким-паб,220 с,https://nambafood.kg/dish_image/82482.png
Кимпаб с говядиной 8 шт,"Говяжий фарш, огурцы, морковь, корейская редька, яйцо, рис завернутый в ким.",Ким-паб,370 с,https://nambafood.kg/dish_image/82484.png
Кимпаб с тунцом 4 шт,"Тунец, огурцы, морковь, корейская редька, яйцо и рис, завернутый в ким.",Ким-паб,230 с,https://nambafood.kg/dish_image/82485.png
Кимпаб с тунцом 8 шт,"Тунец, огурцы, морковь, корейская редька, яйцо и рис, завернутый в ким.",Ким-паб,380 с,https://nambafood.kg/dish_image/82487.png
Кимчи кимпаб 4 шт,"Кимчи, огурец, морковь, корейская редька, яйцо и рис, завернутый в ким.",Ким-паб,220 с,https://nambafood.kg/dish_image/82486.png
Кимчи кимпаб 8 шт,"Кимчи, огурец, морковь, корейская редька, яйцо и рис, завернутый в ким.",Ким-паб,370 с,https://nambafood.kg/dish_image/82488.png
Кимпаб овощной 4 шт,"Огурцы, морковь, корейская редька, яйцо, рис завернутый в ким.",Ким-паб,200 с,https://nambafood.kg/dish_image/82489.png
Кимпаб овощной 8 шт,"Огурцы, морковь, корейская редька, яйцо, рис завернутый в ким.",Ким-паб,340 с,https://nambafood.kg/dish_image/82490.png
Кимпаб с сыром 4 шт,"Сыр, огурцы, морковь, корейская редька, яйцо, рис завернутый в ким.",Ким-паб,220 с,https://nambafood.kg/dish_image/82491.png
Кимпаб с сыром 8 шт,"Сыр, огурцы, морковь, корейская редька, яйцо, рис завернутый в ким.",Ким-паб,370 с,https://nambafood.kg/dish_image/82492.png
Корейский соус,,Соусы,220 с,https://nambafood.kg/dish_image/75448.png
Корейский острый,,Соусы,240 с,https://nambafood.kg/dish_image/75449.png
Чесночный соус,,Соусы,180 с,https://nambafood.kg/dish_image/75453.png
Фирменный соус Chiken Star,,Соусы,220 с,https://nambafood.kg/dish_image/75452.png
Соус опасно,,Соусы,240 с,https://nambafood.kg/dish_image/75450.png
Хрустящие куриные грудки 4 шт,,Куриные грудки,390 с,https://nambafood.kg/dish_image/82507.png
Хрустящие куриные грудки 8 шт,,Куриные грудки,690 с,https://nambafood.kg/dish_image/82508.png
Куриные грудки в корейском соусе 4 шт,,Куриные грудки,390 с,https://nambafood.kg/dish_image/82509.png
Куриные грудки в корейском соусе 8 шт,,Куриные грудки,760 с,https://nambafood.kg/dish_image/82511.png
Куриные грудки в остро-корейском соусе 4 шт,,Куриные грудки,420 с,https://nambafood.kg/dish_image/82513.png
Куриные грудки в остро-корейском соусе 8 шт,,Куриные грудки,790 с,https://nambafood.kg/dish_image/82512.png
Грудки в чесночном соусе 4 шт,,Куриные грудки,390 с,https://nambafood.kg/dish_image/82514.png
Грудки в чесночном соусе 8 шт,,Куриные грудки,760 с,https://nambafood.kg/dish_image/82517.png
Грудки в фирменном соусе Чикен Стар 4 шт,Жареные в фирменном соусе.,Куриные грудки,390 с,https://nambafood.kg/dish_image/82518.png
Грудки в фирменном соусе Чикен Стар 8 шт,Жареные в фирменном соусе.,Куриные грудки,760 с,https://nambafood.kg/dish_image/82520.png
Грудки запеченные в духовке 8 шт,Запеченные в муке куриные грудки в кляре,Куриные грудки,760 с,https://nambafood.kg/dish_image/70219.png
Крылышки в чесночном соусе 6 шт,,Крылышки,380 с,https://nambafood.kg/dish_image/141612.png
Крылышки в чесночном соусе 12 шт,,Крылышки,740 с,https://nambafood.kg/dish_image/141617.png
Крылышки в фирменном соусе 6 шт,,Крылышки,380 с,https://nambafood.kg/dish_image/141613.png
Крылышки в фирменном соусе 12 шт,,Крылышки,740 с,https://nambafood.kg/dish_image/141619.png
Крылышки в корейском соусе 6 шт,,Крылышки,380 с,https://nambafood.kg/dish_image/141614.png
Крылышки в корейском соусе 12 шт,,Крылышки,740 с,https://nambafood.kg/dish_image/141620.png
Крылышки хрустящие 6 шт,,Крылышки,360 с,https://nambafood.kg/dish_image/141616.png
Крылышки хрустящие 12 шт,,Крылышки,690 с,https://nambafood.kg/dish_image/141618.png
Овощной суп,"Овощной суп. В состав входят цветная капуста, кабачки, баклажаны, морковь.",Супы,240 с,https://nambafood.kg/dish_image/70211.png
Куриный суп с лапшой,,Супы,290 с,https://nambafood.kg/dish_image/70216.png
Грибной крем-суп,,Супы,260 с,https://nambafood.kg/dish_image/70215.png
Кимчи чиге,,Супы,350 с,https://nambafood.kg/dish_image/109459.png
Кимчи плов,Рис обжаренный с кимчи. Сверху яичница глазунья.,Корейские особые блюда,390 с,https://nambafood.kg/dish_image/141882.png
Бибимпаб с мясом S,"В составе тертая морковь, огурцы, листья салата, рис, острый соус кочу жанг и глазунья. Подается с маринованными огурчиками.",Корейские особые блюда,380 с,https://nambafood.kg/dish_image/75442.png
Бибимпаб с мясом L,"В составе тертая морковь, огурцы, листья салата, рис, острый соус кочу жанг и глазунья. Подается с маринованными огурчиками.",Корейские особые блюда,440 с,https://nambafood.kg/dish_image/75443.png
Токпокки,"Корейские рисовые палочки, морковь, лук, капуста, зеленый лук и корейская заправка из перца.",Корейские особые блюда,480 с,https://nambafood.kg/dish_image/31771.png
Жареный рис с курицей,"Куриные грудки, перец, лук, грибы, рис, и устричный соус.",Корейские особые блюда,380 с,https://nambafood.kg/dish_image/141621.png
Токкочи 8 шт,Жареные рисовые палочки в корейском соусе.,Прочее,260 с,https://nambafood.kg/dish_image/82523.png
Жареный картофель,,Прочее,180 с,https://nambafood.kg/dish_image/82521.png
Сырные палочки,в панировке,Прочее,330 с,https://nambafood.kg/dish_image/31797.png
Рис,100 г,Прочее,120 с,https://nambafood.kg/dish_image/31881.png
Кимчи,100 г,Прочее,180 с,https://nambafood.kg/dish_image/31884.png
Coca cola 1 л,,Напитки,160 с,https://nambafood.kg/dish_image/31992.png
"Coca cola 0,5 л",,Напитки,90 с,https://nambafood.kg/dish_image/31993.png
Fanta 1 л,,Напитки,160 с,https://nambafood.kg/dish_image/31996.png
"Fanta 0,5 л",,Напитки,90 с,https://nambafood.kg/dish_image/31997.png
Sprite 1 л,,Напитки,160 с,https://nambafood.kg/dish_image/31994.png
"Sprite 0,5 л",,Напитки,90 с,https://nambafood.kg/dish_image/31995.png
Минеральная вода с газом 0.5 л,,Напитки,80 с,https://nambafood.kg/dish_image/75462.png
Минеральная вода без газа 0.5 л,,Напитки,140 с,https://nambafood.kg/dish_image/75463.png
Минеральная вода без газа 1 л,,Напитки,140 с,https://nambafood.kg/dish_image/75433.png
Минеральная вода с газом 1 л,,Напитки,140 с,https://nambafood.kg/dish_image/75461.png
Апельсиновый сок J 7,1 л.,Напитки,240 с,https://nambafood.kg/dish_image/32000.png
Яблочный сок J 7,1 л.,Напитки,240 с,https://nambafood.kg/dish_image/32003.png
Домашний чизкейк,,Десерты,290 с,https://nambafood.kg/dish_image/31804.png
Домашний брауни,,Десерты,240 с,https://nambafood.kg/dish_image/75445.png
Домашнее печенье 1 шт,,Десерты,95 с,https://nambafood.kg/dish_image/72753.png
Орео бингсу маленький,,Десерты,360 с,https://nambafood.kg/dish_image/31798.png
Орео бингсу гигант,,Десерты,620 с,https://nambafood.kg/dish_image/31799.png
Фруктовый бингсу маленький,,Десерты,390 с,https://nambafood.kg/dish_image/31800.png
Фруктовый бингсу гигант,,Десерты,660 с,https://nambafood.kg/dish_image/31801.png
Кофе бингсу маленький,,Десерты,360 с,https://nambafood.kg/dish_image/31802.png
