Наименование,Описание,Категория,Цена,Фото
Свежий салат,,Салаты,260 с,https://nambafood.kg/dish_image/116957.png
Легкий салат с авокадо и креветками,,Салаты,490 с,https://nambafood.kg/dish_image/116958.png
Греческий салат,,Салаты,350 с,https://nambafood.kg/dish_image/116960.png
Цезарь с курицей,,Салаты,420 с,https://nambafood.kg/dish_image/116961.png
Цезарь с креветками,,Салаты,490 с,https://nambafood.kg/dish_image/116962.png
"Салат с баклажанами, имбирем и страчателлой","Баклажаны, шпинат, помидоры, соус кисло-сладкий, имбирь, свежий сыр страчателла",Салаты,420 с,https://nambafood.kg/dish_image/116963.png
Китайский салат,"Говядина бон филе, огурцы, помидоры, лук красный, перец болгарский полугорький, чили перец, кинза, кунжут",Салаты,420 с,https://nambafood.kg/dish_image/116969.png
Спагетти «Болоньезе»,,Паста,340 с,https://nambafood.kg/dish_image/116941.png
Фетучини с курицей,,Паста,340 с,https://nambafood.kg/dish_image/116944.png
Спагетти с креветками,,Паста,490 с,https://nambafood.kg/dish_image/116945.png
Спагетти «Карбонара»,,Паста,340 с,https://nambafood.kg/dish_image/116946.png
Куриный суп-лапша с яйцом,,Супы,220 с,https://nambafood.kg/dish_image/116975.png
"Том ям с морепродуктами, рисом и лаймом",,Супы,460 с,https://nambafood.kg/dish_image/118873.png
"Рамен с телятиной, сыром и яйцом",,Супы,360 с,https://nambafood.kg/dish_image/118017.png
Грибной крем-суп,,Супы,250 с,https://nambafood.kg/dish_image/116976.png
Чечевичный крем-суп,,Супы,250 с,https://nambafood.kg/dish_image/116977.png
Борщ,,Супы,260 с,https://nambafood.kg/dish_image/116982.png
Уха,,Супы,290 с,https://nambafood.kg/dish_image/116979.png
Пельмени,,Супы,220 с,https://nambafood.kg/dish_image/116983.png
Филе форели с овощами на гриле,,Блюда из рыбы,500 с,https://nambafood.kg/dish_image/116955.png
Семга на гриле с рисом и брокколи,,Блюда из рыбы,700 с,https://nambafood.kg/dish_image/116956.png
Тибон стейк с овощами на гриле и сливочным соусом,,Блюда из мяса,800 с,https://nambafood.kg/dish_image/116936.png
Рибай стейк,Говядина,Блюда из мяса,800 с,https://nambafood.kg/dish_image/117007.png
Нью-Йорк стейк,Говядина,Блюда из мяса,800 с,https://nambafood.kg/dish_image/116937.png
Ковбой стейк,Говядина,Блюда из мяса,800 с,https://nambafood.kg/dish_image/116938.png
Филе миньон со сливочно-картофельным пюре,"Говядина, картофельное пюре",Блюда из мяса,600 с,https://nambafood.kg/dish_image/116935.png
Баранья рулька с картофельным пюре,,Блюда из мяса,800 с,https://nambafood.kg/dish_image/116939.png
Медальоны с овощами на гриле,Говядина,Блюда из мяса,600 с,https://nambafood.kg/dish_image/116940.png
Томленая говядина с картофельным пюре,,Блюда из мяса,650 с,https://nambafood.kg/dish_image/135334.png
Крафт куурдак,,Блюда из мяса,580 с,https://nambafood.kg/dish_image/135335.png
Цыпленок табака с картофельным пюре,,Блюда из птицы,560 с,https://nambafood.kg/dish_image/118018.png
Куриная грудка с овощами на гриле,,Блюда из птицы,430 с,https://nambafood.kg/dish_image/116931.png
Куриный рулет со шпинатом и сыром,,Блюда из птицы,450 с,https://nambafood.kg/dish_image/116932.png
Перепелка с жареной картошкой и грибами,,Блюда из птицы,510 с,https://nambafood.kg/dish_image/135336.png
Бургер с говядиной и картофелем фри,,Бургеры,390 с,https://nambafood.kg/dish_image/118019.png
Бургер с курицей и картофелем фри,,Бургеры,360 с,https://nambafood.kg/dish_image/116995.png
Клаб сэндвич с картофелем фри,,Бургеры,340 с,https://nambafood.kg/dish_image/116999.png
Крафт бургер с томленой говядиной,,Бургеры,400 с,https://nambafood.kg/dish_image/135337.png
Кольца кальмара,,Закуски,290 с,https://nambafood.kg/dish_image/116910.png
Сырные палочки,,Закуски,250 с,https://nambafood.kg/dish_image/116911.png
Жареные креветки,,Закуски,650 с,https://nambafood.kg/dish_image/116912.png
Рыбные наггетсы,,Закуски,290 с,https://nambafood.kg/dish_image/116913.png
Куриные наггетсы,,Закуски,290 с,https://nambafood.kg/dish_image/116914.png
Форель копченая,Подается с рукколой.,Закуски,450 с,https://nambafood.kg/dish_image/116915.png
Албанские колбаски,"Говядина, баранина",Закуски,380 с,https://nambafood.kg/dish_image/116917.png
Венские колбаски,,Закуски,380 с,https://nambafood.kg/dish_image/116918.png
Альпийские колбаски,,Закуски,380 с,https://nambafood.kg/dish_image/116919.png
Мергез колбаски,,Закуски,380 с,https://nambafood.kg/dish_image/117008.png
Луковые кольца,,Закуски,150 с,https://nambafood.kg/dish_image/116920.png
Ассорти солений,,Закуски,420 с,https://nambafood.kg/dish_image/117000.png
Русская закуска,,Закуски,420 с,https://nambafood.kg/dish_image/116921.png
Сырная тарелка,,Закуски,450 с,https://nambafood.kg/dish_image/116923.png
Овощная нарезка,,Закуски,380 с,https://nambafood.kg/dish_image/116925.png
Лаваш с домашним сыром,,Закуски,270 с,https://nambafood.kg/dish_image/116927.png
Гарлики,Хрустящие хлебные гренки с чесноком.,Закуски,220 с,https://nambafood.kg/dish_image/116928.png
Брускетта с авокадо и сёмгой,,Закуски,440 с,https://nambafood.kg/dish_image/135340.png
Креветки темпура,,Закуски,590 с,https://nambafood.kg/dish_image/135341.png
Пепперони,,Пиццы,420 с,https://nambafood.kg/dish_image/116948.png
Грибная пицца,,Пиццы,420 с,https://nambafood.kg/dish_image/116949.png
Куриная пицца,,Пиццы,420 с,https://nambafood.kg/dish_image/118021.png
Чили пицца,,Пиццы,430 с,https://nambafood.kg/dish_image/118020.png
Сырная пицца,,Пиццы,430 с,https://nambafood.kg/dish_image/116934.png
Цезарь пицца,,Пиццы,430 с,https://nambafood.kg/dish_image/116952.png
Маргарита,,Пиццы,420 с,https://nambafood.kg/dish_image/135342.png
Баранина мякоть,,Шашлыки,320 с,https://nambafood.kg/dish_image/116984.png
Антрекот из баранины,,Шашлыки,430 с,https://nambafood.kg/dish_image/116985.png
Семечки из баранины,,Шашлыки,340 с,https://nambafood.kg/dish_image/116986.png
Печень в рубашке,,Шашлыки,280 с,https://nambafood.kg/dish_image/116987.png
Шашлык из говядина,,Шашлыки,320 с,https://nambafood.kg/dish_image/117001.png
Люля кебаб,"Говядина, бараний жир",Шашлыки,280 с,https://nambafood.kg/dish_image/116988.png
