Наименование,Описание,Категория,Цена,Фото
Блины с вареньем,Блины с малиновым вареньем,Завтраки,290 с,https://nambafood.kg/dish_image/131929.png
Блины с шоколадом,Блины с шоколадной пастой,Завтраки,290 с,https://nambafood.kg/dish_image/131927.png
Блины со сметаной,,Завтраки,200 с,https://nambafood.kg/dish_image/131928.png
Бутик завтрак,"Маслины, зеленые оливки, белый сыр, козий сыр, сыр кашар, мед, сливочное масло, варенье, шоколадная паста, вареное яйцо, борек муска с начинкой сыра, помидоры, огурцы",Завтраки,590 с,https://nambafood.kg/dish_image/133580.png
Глазунья,"Яйцо, черри, перец",Завтраки,230 с,https://nambafood.kg/dish_image/87355.png
Глазунья с колбасой,"Яйцо, черри, суджук, перец",Завтраки,400 с,https://nambafood.kg/dish_image/87356.png
Жареное мясо со взбитыми яйцами,"Жареное мясо, яйцо, сливочное масло",Завтраки,500 с,https://nambafood.kg/dish_image/87357.png
Менемен,"Помидоры, яйцо, перец болгарский",Завтраки,330 с,https://nambafood.kg/dish_image/87358.png
Менемен с колбасой,"Помидоры, яйцо, перец болгарский, суджук",Завтраки,460 с,https://nambafood.kg/dish_image/87712.png
Овсяная каша,"Овсяные хлопья, сливки, сливочное масло, сахар",Завтраки,230 с,https://nambafood.kg/dish_image/87359.png
Омлет микс,"омлет, картофель по-деревенски, перец болгарский, черри, сыр, колбаса, овощи",Завтраки,340 с,https://nambafood.kg/dish_image/107701.png
Омлет с сыром,"Яйца, картофель по-деревенски, перец болгарский, черри, сыр",Завтраки,290 с,https://nambafood.kg/dish_image/107692.png
Тост с сыром,"Тостерный хлеб, сыр, зелени по сезону. На гарнир картофель фри",Завтраки,400 с,https://nambafood.kg/dish_image/87364.png
Тост с сыром и колбасой,"Тостерный хлеб, сыр, колбаса, зелени по сезону. На гарнир картофель фри",Завтраки,520 с,https://nambafood.kg/dish_image/87365.png
