Наименование,Описание,Категория,Цена,Фото
Пицца с курицей и шпинатом,,Пицца,450 с,https://nambafood.kg/dish_image/142223.png
Пицца с ветчиной из говядины,,Пицца,450 с,https://nambafood.kg/dish_image/142224.png
Охотничья пицца с копченостями,,Пицца,450 с,https://nambafood.kg/dish_image/142225.png
Пицца грибная,,Пицца,420 с,https://nambafood.kg/dish_image/142226.png
Пицца с цыпленком мексиканская,,Пицца,480 с,https://nambafood.kg/dish_image/142227.png
Кавказское хачапури с молодым сыром,,Пицца,390 с,https://nambafood.kg/dish_image/142228.png
Пицца с грибами и трюфельной пастой,,Пицца,490 с,https://nambafood.kg/dish_image/142229.png
Маргарита,,Пицца,430 с,https://nambafood.kg/dish_image/142667.png
Пепперони,,Пицца,490 с,https://nambafood.kg/dish_image/142668.png
Картофель фри,,Гарниры,180 с,https://nambafood.kg/dish_image/142233.png
Картофель по-деревенски,,Гарниры,150 с,https://nambafood.kg/dish_image/142234.png
Капучино,,Напитки,210 с,https://nambafood.kg/dish_image/105835.png
"Кофе ""Латте""",,Напитки,210 с,https://nambafood.kg/dish_image/105837.png
"Coca-Cola 0,5 л",,Напитки,80 с,https://nambafood.kg/dish_image/142230.png
"Fanta 0,5 л",,Напитки,80 с,https://nambafood.kg/dish_image/142231.png
"Sprite 0,5 л",,Напитки,80 с,https://nambafood.kg/dish_image/142232.png
