Наименование,Описание,Категория,Цена,Фото
Avo омлет,"Омлет из 3х яиц, авокадо, йогуртовый соус, томатный соус, микс салат, картофельные дольки, тост.",Завтраки,340 с,https://nambafood.kg/dish_image/121749.png
Глазунья из 3х яиц,,Завтраки,125 с,https://nambafood.kg/dish_image/121954.png
Скрэмбл,"2 яйца, ветчина телятина, свежие помидоры, лечо,  ароматное масло, брынза, чиабатта ржаная",Завтраки,270 с,https://nambafood.kg/dish_image/121955.png
Омлет с наполнением,"Омлет из 3х яиц, помидоры черри, микс салат, картофельные дольки, тосты.",Завтраки,150 с,https://nambafood.kg/dish_image/121956.png
Шакшука,"Глазунья из 3х яиц, томаты, тосты.",Завтраки,230 с,https://nambafood.kg/dish_image/121957.png
Фирменный завтрак круассан,"Круассан, йогуртовый соус, яйцо пашот, соус берблан, микс салат, помидоры черри.",Завтраки,280 с,https://nambafood.kg/dish_image/121755.png
Английский завтрак,"Глазунья из 2х яиц, картофельные драники, охотничьи колбаски, малосольная форель, сыр брынза, сыр креметта и чиабатта",Завтраки,395 с,https://nambafood.kg/dish_image/121751.png
Панкейки с заварным кремом,"Ягодный конфитюр, сливки, ягоды по сезону.",Завтраки,250 с,https://nambafood.kg/dish_image/131228.png
Блины,"Подаются со сливочным маслом, ягодным конфитюром и кленовым сиропом.",Завтраки,140 с,https://nambafood.kg/dish_image/121786.png
Сырники,"3 шт. Масло сливочное, ягодный конфитюр, кленовый сироп.",Завтраки,230 с,https://nambafood.kg/dish_image/121773.png
Сытный завтрак,"глазунья из двух яиц, фасоль красная, микс грибов, говяжьи колбаски, горчица, чиабатта ржаная",Завтраки,260 с,https://nambafood.kg/dish_image/131229.png
Фритата с брокколи,"омлет, брокколи, зеленый лук, фетакса, чиабатта ржаная",Завтраки,260 с,https://nambafood.kg/dish_image/131230.png
Чоризо с колбасками,"говяжьи колбаски, глазунья из 2 яиц, томатная основа, чиабатта ржаная",Завтраки,290 с,https://nambafood.kg/dish_image/131232.png
Завтрак «‎Монте Кристо»‎,"сыр тильзитский, ветчина, яичная рубашка, Подается с лечо",Завтраки,260 с,https://nambafood.kg/dish_image/131233.png
Сэндвич с малосольной форелью,,Завтраки,355 с,https://nambafood.kg/dish_image/131234.png
Сэндвич с тунцом,в яичной рубашке,Завтраки,335 с,https://nambafood.kg/dish_image/131235.png
Кабачковые вафли,"яйцо пашот, сырный соус.",Завтраки,290 с,https://nambafood.kg/dish_image/131236.png
Каша овсяная,,Завтраки,120 с,https://nambafood.kg/dish_image/133488.png
Каша рисовая,,Завтраки,120 с,https://nambafood.kg/dish_image/133490.png
"Каша рисовая на альтернативном молоке(кокосовое,миндальное)",,Завтраки,180 с,https://nambafood.kg/dish_image/133487.png
