Наименование,Описание,Категория,Цена,Фото
Овсяная каша с ягодами,"350 гр. Ягоды, фрукты по сезону",Завтраки,135 с,https://nambafood.kg/dish_image/131480.png
Рисовая каша с ягодами,"350 гр. Ягоды, фрукты по сезону",Завтраки,135 с,https://nambafood.kg/dish_image/131481.png
Английский завтрак,"хрустящие тосты, яичница глазунья с томатным соусом салься, козий сыр, колбаски домашние, микс зелени, картофельные драники и малосольный лосось",Завтраки,385 с,https://nambafood.kg/dish_image/131482.png
Сырники со сметаной и ягодным джемом,"ягоды, фрукты по сезону",Завтраки,189 с,https://nambafood.kg/dish_image/132300.png
Блинчики с мёдом,,Завтраки,145 с,https://nambafood.kg/dish_image/132299.png
Блинчики со сметаной,,Завтраки,145 с,https://nambafood.kg/dish_image/132298.png
Блинчики с ягодным джемом,,Завтраки,145 с,https://nambafood.kg/dish_image/132297.png
Глазунья из 3-х яиц с зеленью,,Завтраки,185 с,https://nambafood.kg/dish_image/132292.png
Омлет из 3 яиц классический,,Завтраки,185 с,https://nambafood.kg/dish_image/132293.png
Омлет из 3 яйц с грибами,,Завтраки,220 с,https://nambafood.kg/dish_image/132294.png
Омлет из 3 яйц с курицей,,Завтраки,220 с,https://nambafood.kg/dish_image/132295.png
Омлет из 3 яиц с овощами,,Завтраки,220 с,https://nambafood.kg/dish_image/132296.png
Завтрак по деревенски,"Хрустящие тосты, картофель, ветчина, яичница-глазунья с томатным соусом сальса, грибы шампиньоны, зелень, масло сливочное",Завтраки,385 с,https://nambafood.kg/dish_image/132637.png
Сет Хит,"1 шт Бургер с говядиной, 1 шт Бургер со стипцама, Куриные крылышки 12 шт, 2 порции Фри, 3 соуса",Сеты,1100 с,https://nambafood.kg/dish_image/132503.png
Сет Курочка,"Куриные крылышки 12 шт,Куриные стрипсы 12 шт, 2 порции фри, 2 соуса",Сеты,770 с,https://nambafood.kg/dish_image/132504.png
Сет Курочка плюс,"Куриные крылышки 12 шт,Куриные стрипсы 12 шт, 2 порции фри, 2 соуса,Пицца Маргарита (30 см)",Сеты,880 с,https://nambafood.kg/dish_image/132505.png
Мега Сет,"1 шт Бургер с говядиной, 1 шт Бургер со стипцама, Куриные крылышки 12 шт, 2 порции Фри,2 шт Корн Дог, 2 Пицца (30 см), 3 шт соуса",Сеты,1999 с,https://nambafood.kg/dish_image/132506.png
Сет Star,"Роллы Филадельфия,Роллы Кавасаки и Пицца Маргарита (30 см), 2 порции Фри",Сеты,990 с,https://nambafood.kg/dish_image/132518.png
Сет Star плюс,"Роллы Филадельфия,Роллы Кавасаки и Пицца Маргарита (30 см),Куриные стрипсы 6 шт, 2 порции Фри",Сеты,1100 с,https://nambafood.kg/dish_image/132519.png
Сосиски в тесте с фри,350 гр.,Закуски,190 с,https://nambafood.kg/dish_image/131462.png
Корн-Доги с фри,,Закуски,230 с,https://nambafood.kg/dish_image/132526.png
Кесадилья с курицей,350 гр.,Закуски,340 с,https://nambafood.kg/dish_image/131461.png
Куриные крылышки 12 шт с кисло-сладким соусом,,Закуски,330 с,https://nambafood.kg/dish_image/132313.png
Куриные крылышки 24 шт с кисло-сладким соусом,,Закуски,580 с,https://nambafood.kg/dish_image/132314.png
Куриные стрипсы 6 шт с соусом барбекю,,Закуски,190 с,https://nambafood.kg/dish_image/132315.png
Куриные стрипсы 12 шт с соусом барбекю,,Закуски,330 с,https://nambafood.kg/dish_image/132316.png
Куриные стрипсы 24 шт с соусом барбекю,,Закуски,580 с,https://nambafood.kg/dish_image/132317.png
Китайский салат с баклажанами,Помидоры черри с хрустящими баклажанами заправленный соусом от Шеф-повара,Салаты,330 с,https://nambafood.kg/dish_image/131463.png
Цезарь с курицей,400 гр.,Салаты,360 с,https://nambafood.kg/dish_image/131464.png
Салат нисуаз,"Микс из листьев салата, тунец, картофель, каперсы, помидоры черри, сливки, яицо, апельсиновый соус",Салаты,385 с,https://nambafood.kg/dish_image/131465.png
Чечевичный суп,"суп на основе овощного бульона, чечевицы, томатного соуса и репчатого лука. Подается с лимоном и крутонами",Супы,190 с,https://nambafood.kg/dish_image/131472.png
Пельмени,400 гр.,Супы,190 с,https://nambafood.kg/dish_image/132288.png
Солянка,"набор мясных продуктов: копченая колбаса, копченая курица, отварная говядина с томатом, огурцами и репчатым луком, оливки и маслины. Подается с лимонами и крутонами",Супы,265 с,https://nambafood.kg/dish_image/131473.png
Куриный суп,с яйцом и домашней лапшой,Супы,185 с,https://nambafood.kg/dish_image/131474.png
