Наименование,Описание,Категория,Цена,Фото
Каша Киноа Чиа,Гранола и с лесными ягодами,Завтраки до 11:00,145 с,https://nambafood.kg/dish_image/139840.png
Пшеничная каша,Каша с жаренным бананом,Завтраки до 11:00,145 с,https://nambafood.kg/dish_image/139841.png
Каша из булгура,Каша из булгура с яблоками и ананасом,Завтраки до 11:00,145 с,https://nambafood.kg/dish_image/139842.png
Шакшука,"Помидор, яичница, соус пелатти, томатный сок, лаваш чиабатта",Завтраки до 11:00,245 с,https://nambafood.kg/dish_image/139843.png
Вареники с творогом,,Завтраки до 11:00,145 с,https://nambafood.kg/dish_image/139845.png
Вареники с вишней,,Завтраки до 11:00,145 с,https://nambafood.kg/dish_image/139844.png
Вареники с с картошкой,,Завтраки до 11:00,145 с,https://nambafood.kg/dish_image/139846.png
Фритата,"Омлет с овощами, кабачки, лук, красный перец, шампиньоны, брокколи, цветная капуста",Завтраки до 11:00,225 с,https://nambafood.kg/dish_image/141340.png
Блинчики со сметаной,,Завтраки до 11:00,105 с,https://nambafood.kg/dish_image/139847.png
Блинчики с творогом,,Завтраки до 11:00,125 с,https://nambafood.kg/dish_image/139848.png
Грибной крем суп,"Шампиьоны, вешенки, лук репчатый, сливки, тимьян",Супы,185 с,https://nambafood.kg/dish_image/139820.png
Чечевичный,"Чечевица, морковка, лук репчатый, сливки",Супы,195 с,https://nambafood.kg/dish_image/139819.png
Том-Ям,"Класический тайский суп с остро-кислым вкусом. Креветки,судак, семга, форель, паста чили с соевыми бобами.",Супы,415 с,https://nambafood.kg/dish_image/139835.png
Куриная суп лапша,"Курица по домашнему, яичная лапша, перепелиное яйцо, морковка",Супы,185 с,https://nambafood.kg/dish_image/139830.png
Острый рамен,"Куриный бульон, соевый соус, куриная грудка, шампиньоны, нори, шпинат",Супы,315 с,https://nambafood.kg/dish_image/139833.png
Китайский суп,"Острый суп с говядиной, вешенки, куриное яйцо, имбирь, чеснок, перец чили стручковый,соевый соус",Супы,285 с,https://nambafood.kg/dish_image/139836.png
Солянка сборная,"Говядина, куриная грудка, колбаса салями, маслины, том паста,",Супы,265 с,https://nambafood.kg/dish_image/139821.png
Славянский борщ,"Говядина, капуста, свекла, томатная паста, сок лимона",Супы,215 с,https://nambafood.kg/dish_image/139834.png
Минестроне,"Овощной суп, брокколи, цветная капуста,баклажан, картофель, морковь",Супы,215 с,https://nambafood.kg/dish_image/139829.png
Томатный очаг,"Томатный суп на основе говядины и куриного филе, с добавлением кобачков и картофеля, соус пелатти",Супы,315 с,https://nambafood.kg/dish_image/139817.png
Цезарь с курицей,"Листья салата, айсберг, куриная грудка, помидоры черри, перепелинное яйцо, пармезан, соус цезарь",Салаты,345 с,https://nambafood.kg/dish_image/139849.png
Цезарь с креветками,"Листья салата, айсберг, креветки, помидоры черри, перепелинное яйцо, пармезан, соус цезарь",Салаты,425 с,https://nambafood.kg/dish_image/139856.png
Деревенская свежесть,"Помидоры, огурцы, микс салат, соус дрейсинг",Салаты,215 с,https://nambafood.kg/dish_image/139851.png
Азиатский салат,"Микс зелени, шпинат, красный лук, огурцы, помидор, бон филе, кунжутный соус",Салаты,335 с,https://nambafood.kg/dish_image/139853.png
Салат с семгой,"Семга, руккола, шпинат, айсберг, листья салата, оливки, помидоры черри, каперсы, соус дрейсинг",Салаты,375 с,https://nambafood.kg/dish_image/139832.png
Чука с руколой,"Руккола, чука, копченный угорь, кунжут, виноградный соус",Салаты,295 с,https://nambafood.kg/dish_image/139818.png
Хрустящие баклажаны,"Баклажаны, соус свит чили, кинза",Салаты,365 с,https://nambafood.kg/dish_image/139854.png
Салат с языком,"Говяжий язык, шпинат, черри, кабачки, огурцы, красный лук, литья салата, перец, соус терияки",Салаты,325 с,https://nambafood.kg/dish_image/139852.png
Греческий,"Листья салата, помидоры, огурцы, перец, красный лук, фетаки, соус дрейсинг",Салаты,315 с,https://nambafood.kg/dish_image/139850.png
Запеченная свекла,"Запеченная свекла, шпинат, сыр креметта, орехи, виноградный соус",Салаты,315 с,https://nambafood.kg/dish_image/139857.png
Кесадилья с курицей,"Тортилья, куриная грудка, помидоры, перец, листья салата, кетчуп, майонез, халапеньо",Закуски,285 с,https://nambafood.kg/dish_image/139883.png
Кесадилья с говядиной,"Тортилья, говядина, помидоры, перец, листья салата, кетчуп, майонез, халапеньо",Закуски,285 с,https://nambafood.kg/dish_image/139884.png
Спринг рол с курицей,"Куриная грудка, помидоры, перец, тесто для спринг рола",Закуски,235 с,https://nambafood.kg/dish_image/139858.png
Спринг рол с говядиной,"Говядина, помидоры, перец, тесто для спринг рола",Закуски,235 с,https://nambafood.kg/dish_image/139859.png
Сырные палочки,"Сыр моцарелла, яйцо, мука",Закуски,275 с,https://nambafood.kg/dish_image/139860.png
Рулет из кабачков,"Кабачки, перец, лук, майонез, куриная грудка, зернистая горчица, черри, крем базилик",Закуски,285 с,https://nambafood.kg/dish_image/139855.png
Форель на подушке,"Фореь на подушке из булгура, шпинат, микс салат, сливочный соус, лимон",Рыба,395 с,https://nambafood.kg/dish_image/140235.png
Дорадо в конверте,"Бейби картофель, перец красный, желтый перец, брокколи, черри, овощные биточки",Рыба,615 с,https://nambafood.kg/dish_image/140233.png
Сибас на мангале,"Сибас, баклажаны, кабачки, перец, шампиньоны, черри, соус чимучири",Рыба,675 с,https://nambafood.kg/dish_image/140234.png
Нежный судак,"Судак, вино белое, слив масло, рыбный соус, кабачки, черри, сливки",Рыба,415 с,https://nambafood.kg/dish_image/139868.png
Медальоны,"Бон филе, соус демиглас, шампиньоны, вешенки, шпинат",Горячие блюда,445 с,https://nambafood.kg/dish_image/139864.png
Бефстроганов,"Бон филе, лук, сливки, горчица, картофель, сыр сулугуни, слив масло, маринованные огурцы, черри",Горячие блюда,425 с,https://nambafood.kg/dish_image/139837.png
Каре ягненка,"Ребра ягненка, бейби катофель, соус демиглас, микс салата, черри, соус дрейсинг",Горячие блюда,615 с,https://nambafood.kg/dish_image/139869.png
Томленые говяжьи ребра,"Говяжьи ребра, морковь, баклажан, кабачки, пюре черри",Горячие блюда,535 с,https://nambafood.kg/dish_image/139866.png
Куриное филе,"Куриная грудка с фаршированными грибами, сыр сулугуни, моцарелла, кукуруза, сливочный соус, перец",Горячие блюда,425 с,https://nambafood.kg/dish_image/139867.png
