Наименование,Описание,Категория,Цена,Фото
Овощи по-кавказски,"Огурцы, томаты, паприка, редис, зелень, сыр домашний",Закуски,400 с,https://nambafood.kg/dish_image/145379.png
Соления,"Патиссоны, черри маринованные, огурцы соленые, квашенная капуста, капуста по гууриски",Закуски,350 с,https://nambafood.kg/dish_image/145344.png
Крылья баффало с соусом BBQ,"Куриные крылья, соус BBQ",Закуски,450 с,https://nambafood.kg/dish_image/138314.png
Сырное плато,"Сыр бри, дор блю, пармезан, чеддер, чечил",Закуски,600 с,https://nambafood.kg/dish_image/145345.png
Национальный колорит,"Чучук, карта, телятина копченая",Закуски,800 с,https://nambafood.kg/dish_image/145346.png
Сырные палочки,,Закуски,300 с,https://nambafood.kg/dish_image/145347.png
Черная фунчоза с мясом,"Фунчоза, говядина, перец болгарский, соевый соус",Салаты,320 с,https://nambafood.kg/dish_image/138053.png
Баклажаны фри,,Салаты,350 с,https://nambafood.kg/dish_image/138040.png
Микс салат с креветками,"Микс салата, креветки тигровые темпура, черри, сыр пармезан, грибы шампиньоны",Салаты,450 с,https://nambafood.kg/dish_image/138044.png
Салат Далида,"Микс зелени, форель гравлакс, черри, творожный сыр, апельскин, пармезан",Салаты,350 с,https://nambafood.kg/dish_image/145348.png
Салат греческий,"Огурцы, томаты, маслины, сыр фета и шалот",Салаты,350 с,https://nambafood.kg/dish_image/145350.png
Салат овощной,"Огурцы, томаты, листья салата, шалот и кунжут",Салаты,250 с,https://nambafood.kg/dish_image/145349.png
Салат витаминка,"Яблоко, свекла, морковь, капуста белокочанная, виноград и семечки",Салаты,250 с,https://nambafood.kg/dish_image/145351.png
Салат батуми,"Филе куриное, соленые огурцы, свежие огурцы. зелень, гранат, грецкие орехи",Салаты,300 с,https://nambafood.kg/dish_image/145352.png
Говяжий язык с острыми специями,"Язык говяжий, помидоры, огурцы, лук репчатый, перец болгарский, соевый соус",Салаты,350 с,https://nambafood.kg/dish_image/138303.png
Салат цезарь с креветками,"Микс зелени, креветки, черри, гренки и пармезан",Салаты,450 с,https://nambafood.kg/dish_image/145356.png
Цезарь с курицей,"Куриная грудка, листья айсберга, листья салата, черри, сыр пармезан, крутоны, соус цезарь",Салаты,380 с,https://nambafood.kg/dish_image/145355.png
Салат капрезе,"Слайсы из свежих томатов, моцарелла в рассоле, руккола и пармезан",Салаты,400 с,https://nambafood.kg/dish_image/145354.png
Чечевичный суп,,Супы,250 с,https://nambafood.kg/dish_image/138058.png
Суп лапша по-домашнему,"Курица домашняя, лапша яичная, зелень",Супы,210 с,https://nambafood.kg/dish_image/145357.png
Окрошка мясная,,Супы,220 с,https://nambafood.kg/dish_image/145358.png
Суп том-ям кунг,"Филе куриное, шампиньоны, черри, креветки и кинза",Супы,400 с,https://nambafood.kg/dish_image/145359.png
Суп с фрикадельками,"Говяжьи фрикадельки, картофель, морковь",Супы,250 с,https://nambafood.kg/dish_image/138070.png
Ковбой стейк,,Блюда на хоспере,790 с,https://nambafood.kg/dish_image/138060.png
Тибон стейк,,Блюда на хоспере,880 с,https://nambafood.kg/dish_image/138059.png
Рибай на кости,1 шт.,Блюда на хоспере,880 с,https://nambafood.kg/dish_image/145360.png
Рибай стейк классика,,Блюда на хоспере,900 с,https://nambafood.kg/dish_image/138061.png
Медальоны из говядины,,Блюда на хоспере,700 с,https://nambafood.kg/dish_image/145361.png
Бургер из телятины с картофелем фри,1 шт.,Блюда на хоспере,320 с,https://nambafood.kg/dish_image/145363.png
Семга под икорным соусом,,Вторые блюда,750 с,https://nambafood.kg/dish_image/143923.png
Форель по домашнему,,Вторые блюда,500 с,https://nambafood.kg/dish_image/138316.png
Стейк из семги с овощами,300 г,Вторые блюда,750 с,https://nambafood.kg/dish_image/145362.png
Цыпленок с сливочном соусе,,Вторые блюда,450 с,https://nambafood.kg/dish_image/138052.png
