Наименование,Описание,Категория,Цена,Фото
Цезарь с креветками,"креветки, помидоры черри, микс салата, крутоны, Цезарь соус, сыр Грано Падано",Салаты,370 с,https://nambafood.kg/dish_image/34744.png
Цезарь с курицей,"куриное филе, помидоры черри, микс салата, крутоны, Цезарь соус, сыр Грано Падано",Салаты,270 с,https://nambafood.kg/dish_image/34743.png
Греческий салат,"огурцы, помидоры, маслины, болг перец, сыр  фетакса",Салаты,220 с,https://nambafood.kg/dish_image/34742.png
Теплый салат от Шефа,"бон филе, лист салата, шпинат, лук красный, перец болгарский, цукини, чеснок, растительное масло",Салаты,250 с,https://nambafood.kg/dish_image/56835.png
Фреш салат,"огурцы, помидор, лист салата, лук, красеный дрессинг",Салаты,200 с,https://nambafood.kg/dish_image/58026.png
Салат с семгой,,Салаты,330 с,https://nambafood.kg/dish_image/103066.png
Капрезе,"помидоры, фетакса, масло олив,  орегано, базилик",Закуски,380 с,https://nambafood.kg/dish_image/34757.png
Закуска по-деревенски,"огурцы соленные, корнишон, помидоры, сол черри, паттисон, капуста квашеная,  зелень, лук красный, селедка",Закуски,220 с,https://nambafood.kg/dish_image/56839.png
Мясная закуска,"говядина отварная,  конина копченная, куринный рулет, бастурма, окарочка коп, зелень, чеснок",Закуски,450 с,https://nambafood.kg/dish_image/56844.png
Рыбная закуска,"семга,  эсколар, лимон, зелень, маслины, сл масло, икра красная",Закуски,1050 с,https://nambafood.kg/dish_image/58027.png
Сырная закуска,,Закуски,600 с,https://nambafood.kg/dish_image/58028.png
Домашние пельмени,"пельмени, говяжий бульон, укроп, сметана",Супы,200 с,https://nambafood.kg/dish_image/34775.png
Лапша по-домашнему,"курица, кур бульон, лапша, морковь, вар петрушка",Супы,180 с,https://nambafood.kg/dish_image/34782.png
Уха по-царски,"семга, форель, креветки тигровые, картофель, морковь, икра кр, перец болг, специи",Супы,230 с,https://nambafood.kg/dish_image/56847.png
Чечевичный крем суп,"чечевица, морковь, томат, паста, картошка, соль, сливки 20, масло рост, тостер, лимон",Супы,150 с,https://nambafood.kg/dish_image/34776.png
Харчо,"бульон гов, голень, лук реп, морковь, чеснок, перец болг, зелень, томат паста, соль, черный перец, кристалик, специи (орегано), аджика, раст масло, рис лазер",Супы,200 с,https://nambafood.kg/dish_image/56849.png
Т-бон стейк  с соусом Демиглас,На гарнир овощи гриль,Блюда на гриле,650 с,https://nambafood.kg/dish_image/34814.png
Рибай стейк с перечно-коньячным соусом,На гарнир овощи гриль,Блюда на гриле,650 с,https://nambafood.kg/dish_image/34813.png
Медальоны от Шефа,На гарнир картофель кантри,Блюда на гриле,550 с,https://nambafood.kg/dish_image/56851.png
Стейк из форели с овощами,На гарнир овощи гриль,Блюда на гриле,560 с,https://nambafood.kg/dish_image/56852.png
Стейк из семги с овощами,На гарнир овощи гриль,Блюда на гриле,750 с,https://nambafood.kg/dish_image/56853.png
Тигровые креветки с овощами,На гарнир овощи гриль,Блюда на гриле,550 с,https://nambafood.kg/dish_image/56854.png
Фрикасе,"кур грудка, лук реп, вешанки, виола сливки 20, раст масло",Горячие блюда из птицы,230 с,https://nambafood.kg/dish_image/56862.png
Куриные крылышки баффало,"крылья, чеснок, томат,  перец п/г,  томат сок, раст масло",Горячие блюда из птицы,300 с,https://nambafood.kg/dish_image/56863.png
Курица Терияки,"куриное филе, соус терияки, мед, раст масло, специи",Горячие блюда из птицы,250 с,https://nambafood.kg/dish_image/58030.png
Бефстроганов,,Горячие блюда из птицы,320 с,https://nambafood.kg/dish_image/86217.png
Мясо по-тайски,,Горячие блюда из птицы,350 с,https://nambafood.kg/dish_image/86218.png
Манты,,Национальная кухня,220 с,https://nambafood.kg/dish_image/35286.png
Лагман,,Национальная кухня,250 с,https://nambafood.kg/dish_image/34819.png
Лагман босо,,Национальная кухня,270 с,https://nambafood.kg/dish_image/56864.png
Куурдак из говядины,,Национальная кухня,300 с,https://nambafood.kg/dish_image/34817.png
Феттучини с курицей,,Паста,250 с,https://nambafood.kg/dish_image/56866.png
Феттучини с грибами,,Паста,250 с,https://nambafood.kg/dish_image/56867.png
Спагетти Болоньезе,,Паста,320 с,https://nambafood.kg/dish_image/56865.png
Паста с морепродуктами,,Паста,350 с,https://nambafood.kg/dish_image/86216.png
Клаб сендвич с курицей,,Фастфуд,250 с,https://nambafood.kg/dish_image/34783.png
Шеф бургер куриный,"сыр, соленые огурцы",Фастфуд,250 с,https://nambafood.kg/dish_image/34784.png
Рис,,Гарниры,90 с,https://nambafood.kg/dish_image/34825.png
Фри,,Гарниры,100 с,https://nambafood.kg/dish_image/34820.png
Овощи гриль,,Гарниры,120 с,https://nambafood.kg/dish_image/34826.png
Картофель Кантри,,Гарниры,90 с,https://nambafood.kg/dish_image/58033.png
Картофель по-домашнему,,Гарниры,90 с,https://nambafood.kg/dish_image/34824.png
Картофель с грибами,,Гарниры,120 с,https://nambafood.kg/dish_image/58034.png
Тар-Тар,,Соусы,50 с,https://nambafood.kg/dish_image/58036.png
Чили,,Соусы,50 с,https://nambafood.kg/dish_image/58037.png
Демиглас,,Соусы,50 с,https://nambafood.kg/dish_image/58038.png
Сальса,,Соусы,50 с,https://nambafood.kg/dish_image/58039.png
Шашлычный,,Соусы,50 с,https://nambafood.kg/dish_image/58040.png
Сливочный,,Соусы,50 с,https://nambafood.kg/dish_image/58041.png
Песто,,Соусы,50 с,https://nambafood.kg/dish_image/58042.png
Кетчуп,,Соусы,50 с,https://nambafood.kg/dish_image/58043.png
