Наименование,Описание,Категория,Цена,Фото
Додо Микс 25 см (традиционное тесто),"25 см, 430 г. Моцарелла, ветчина из цыпленка, цыпленок, сыр блю чиз, сыры чеддер и пармезан, соус песто, кубики брынзы, красный лук, соус альфредо, чеснок, итальянские травы, томаты.",Стандартная пицца,429 с,https://nambafood.kg/dish_image/125159.png
Жгучая пепперони 25 см (традиционное тесто),"25 см. Сыр моцарелла, пицца-соус, пепперони, халапеньо, лук красный.",Стандартная пицца,399 с,https://nambafood.kg/dish_image/125149.png
Пицца Деревенская 25 см (традиционное тесто),"Картофель из печи, соленые огурчики, цыпленок, соус ранч, томаты, красный лук, чеснок, моцарелла, томатный соус.",Стандартная пицца,429 с,https://nambafood.kg/dish_image/113886.png
Пицца Двойной цыпленок 25 см.,"Цыпленок, моцарелла, альфредо соус",Стандартная пицца,289 с,https://nambafood.kg/dish_image/119425.png
Сырная 25 см (традиционное тесто),"Пицца-соус, сыр моцарелла.",Стандартная пицца,259 с,https://nambafood.kg/dish_image/96484.png
Пепперони Фреш 25 см (традиционное тесто),"25 см, 440 г. Пепперони из цыпленка, увеличенная порция моцареллы, томаты, томатный соус.",Стандартная пицца,259 с,https://nambafood.kg/dish_image/76436.png
Ветчина и сыр 25 см (традиционное тесто),"Соус сливочный, ветчина из цыпленка, сыр моцарелла.",Стандартная пицца,289 с,https://nambafood.kg/dish_image/76441.png
Ветчина и грибы 25 см (традиционное тесто),"Ветчина из говядины, пицца-соус, сыр моцарелла и шампиньоны свежие.",Стандартная пицца,399 с,https://nambafood.kg/dish_image/92805.png
Маргарита 25 см (традиционное тесто),"Пицца-соус, сыр моцарелла, орегано и томаты.",Стандартная пицца,399 с,https://nambafood.kg/dish_image/92810.png
Пепперони 25 см (традиционное тесто),"Пицца-соус, салями из говядины и сыр моцарелла.",Стандартная пицца,399 с,https://nambafood.kg/dish_image/92820.png
Чизбургер-пицца 25 см (традиционное тесто),"Мясной соус болоньезе, соус бургер, томаты, моцарелла, соленые огурчики, красный лук.",Стандартная пицца,429 с,https://nambafood.kg/dish_image/71286.png
Сырный цыплёнок 25 см (традиционное тесто),"Сыр моцарелла, томаты, цыпленок и соус сырный для пиццы.",Стандартная пицца,429 с,https://nambafood.kg/dish_image/92858.png
Пицца Аррива! 25 см,"Чоризо, цыпленок, томаты, сладкий перец, красный лук, чеснок, моцарелла, соус ранч, соус бургер.",Стандартная пицца,429 с,https://nambafood.kg/dish_image/92775.png
Пицца Песто 25 см (традиционное тесто),"Соус песто, сливочный соус, цыплёнок, кубики брынзы, томаты черри, моцарелла.",Стандартная пицца,429 с,https://nambafood.kg/dish_image/99213.png
Пицца Карбонара 25 см (традиционное тесто),"Ветчина из цыпленка, сыры чеддер и пармезан, моцарелла, томаты черри, красный лук, чеснок, сливочный соус, итальянские травы.",Стандартная пицца,429 с,https://nambafood.kg/dish_image/102261.png
Гавайская 25 см (традиционное тесто),"Ветчина, ананасы, моцарелла, томатный соус",Стандартная пицца,399 с,https://nambafood.kg/dish_image/92815.png
Четыре сезона 25 см (традиционное тесто),"Шампиньоны свежие, пицца-соус, ветчина из говядины, сыр брынза, орегано, сыр моцарелла, томаты и салями из говядины.",Стандартная пицца,429 с,https://nambafood.kg/dish_image/92835.png
Додо 25 см (традиционное тесто),"Ветчина из цыпленка, фарш из говядины халал, пепперони из цыпленка, моцарелла, томаты черри, шампиньоны, сладкий перец, красный лук, чеснок, томатный соус.",Стандартная пицца,429 с,https://nambafood.kg/dish_image/92795.png
Мясная 25 см (традиционное тесто),"Ветчина из говядины, фарш из говядины халал, пицца-соус, салями из говядины и сыр моцарелла.",Стандартная пицца,429 с,https://nambafood.kg/dish_image/92800.png
Четыре сыра 25 см (традиционное тесто),"Томатный соус, увеличенная порция сыра моцарелла, пармезан, чеддер, сыр с голубой плесенью",Стандартная пицца,429 с,https://nambafood.kg/dish_image/92868.png
Цыпленок Ранч 25 см (традиционное тесто),"Ветчина из говядины, ранч / майонез, сыр моцарелла, томаты, цыпленок и чеснок свежий.",Стандартная пицца,429 с,https://nambafood.kg/dish_image/92830.png
Цыпленок барбекю 25 см (традиционное тесто),"Ветчина из говядины, лук красный, пицца-соус, сыр моцарелла, цыпленок и соус барбекю для пиццы.",Стандартная пицца,429 с,https://nambafood.kg/dish_image/92853.png
Двойная пепперони 25 см (традиционное тесто),"Пицца-соус, салями из говядины и сыр моцарелла.",Стандартная пицца,429 с,https://nambafood.kg/dish_image/92825.png
Супермясная 25 см (традиционное тесто),"Ветчина из говядины, колбаски охотничьи, пицца-соус, салями из говядины, сыр моцарелла и цыпленок",Стандартная пицца,429 с,https://nambafood.kg/dish_image/92841.png
Овощи и грибы 25 см (традиционное тесто),"Орегано, шампиньоны свежие, маслины резанные, лук красный, перец сладкий, сыр моцарелла, пицца-соус, сыр брынза и томаты.",Стандартная пицца,399 с,https://nambafood.kg/dish_image/92846.png
Азиатская 25см.,"Моцарелла, сладкий перец, томаты, красный лук, фарш из говядины, сушенный перец чили, томатный соус",Стандартная пицца,429 с,https://nambafood.kg/dish_image/130835.png
Жгучая пепперони 30 см (традиционное тесто),"30 см. Сыр моцарелла, пицца-соус, пепперони, халапеньо, лук красный.",Средняя пицца,579 с,https://nambafood.kg/dish_image/125150.png
Жгучая пепперони 30 см (тонкое тесто),"30 см. Сыр моцарелла, пицца-соус, пепперони, халапеньо, лук красный.",Средняя пицца,579 с,https://nambafood.kg/dish_image/125151.png
Додо Микс 30 см (традиционное тесто),"30 см, 660 г. Моцарелла, ветчина из цыпленка, цыпленок, сыр блю чиз, сыры чеддер и пармезан, соус песто, кубики брынзы, красный лук, соус альфредо, чеснок, итальянские травы, томаты.",Средняя пицца,649 с,https://nambafood.kg/dish_image/125160.png
Додо Микс 30 см (тонкое тесто),"30 см, 570 г. Моцарелла, ветчина из цыпленка, цыпленок, сыр блю чиз, сыры чеддер и пармезан, соус песто, кубики брынзы, красный лук, соус альфредо, чеснок, итальянские травы, томаты.",Средняя пицца,649 с,https://nambafood.kg/dish_image/125161.png
Деревенская 30 см (традиционное тесто),"Картофель из печи, соленые огурчики, цыпленок, соус ранч, томаты, красный лук, чеснок, моцарелла, томатный соус.",Средняя пицца,649 с,https://nambafood.kg/dish_image/113916.png
Деревенская 30 см (тонкое тесто),"Картофель из печи, соленые огурчики, цыпленок, соус ранч, томаты, красный лук, чеснок, моцарелла, томатный соус.",Средняя пицца,649 с,https://nambafood.kg/dish_image/113917.png
Пицца Двойной цыпленок 30 см (традиционное тесто),"30 см, 520 г. Цыпленок , моцарелла, альфредо соус.",Средняя пицца,429 с,https://nambafood.kg/dish_image/119426.png
Пицца Двойной цыпленок 30 см (тонкое тесто),"30 см, 430 г. Цыпленок , моцарелла, альфредо соус.",Средняя пицца,429 с,https://nambafood.kg/dish_image/125164.png
Сырная 30 см (традиционное тесто),"Пицца-соус, сыр моцарелла.",Средняя пицца,429 с,https://nambafood.kg/dish_image/96485.png
Сырная 30 см (тонкое тесто),"Пицца-соус, сыр моцарелла.",Средняя пицца,429 с,https://nambafood.kg/dish_image/96486.png
Пепперони Фреш 30 см (традиционное тесто),"30 см, 630 г. Пепперони из цыпленка, увеличенная порция моцареллы, томаты, томатный соус.",Средняя пицца,429 с,https://nambafood.kg/dish_image/76437.png
Пепперони Фреш 30 см (тонкое тесто),"30 см, 630 г. Пепперони из цыпленка, увеличенная порция моцареллы, томаты, томатный соус.",Средняя пицца,429 с,https://nambafood.kg/dish_image/76438.png
Ветчина и сыр 30 см (традиционное тесто),"Соус сливочный, ветчина из цыпленка, сыр моцарелла.",Средняя пицца,429 с,https://nambafood.kg/dish_image/76442.png
