Наименование,Описание,Категория,Цена,Фото
"Классический бургер с говядиной + фри + Пепси 0,5 л.",,Комбо меню,"235 с


                    255 с",https://nambafood.kg/dish_image/143713.png
"Классический бургер с курицей + фри + Пепси 0,5 л.",,Комбо меню,"235 с


                    255 с",https://nambafood.kg/dish_image/143714.png
"Премиум сытный бургер с говядиной и яйцом + пепси 0,5 л.",,Комбо меню,"245 с


                    280 с",https://nambafood.kg/dish_image/143708.png
"Премиум сытный бургер с курицей и яйцом + пепси 0,5 л.",,Комбо меню,"245 с


                    280 с",https://nambafood.kg/dish_image/143707.png
Три любые пиццы 30 см.,,Комбо меню,"999 с


                    1500 с",https://nambafood.kg/dish_image/100459.png
"Азиатский бургер с говядиной + Пепси 0,5 л.",,Комбо меню,"245 с


                    280 с",https://nambafood.kg/dish_image/143709.png
"Азиатский бургер с курицей + Пепси 0,5 л.",,Комбо меню,"245 с


                    280 с",https://nambafood.kg/dish_image/143710.png
"Чизбургер Domino с говядиной + Пепси 0,5 л.",,Комбо меню,"245 с


                    239 с",https://nambafood.kg/dish_image/143711.png
"Чизбургер Domino с курицей + Пепси 0,5 л.",,Комбо меню,"245 с


                    239 с",https://nambafood.kg/dish_image/143712.png
4 сыра 25 см,"Нежное тесто с фирменным соусом, смесь дорогих сыров с традиционными специями",Маленькая пицца 25 см,300 с,https://nambafood.kg/dish_image/89498.png
Маргарита 25 см,Нежное тесто с фирменным соусом со свежими томатами под смесью из дорогих сыров,Маленькая пицца 25 см,170 с,https://nambafood.kg/dish_image/89512.png
Капричоза 25 см,"Нежное тесто с фирменным соусом, копчёная конина с жаренными шампиньонами и томатами под смесью дорогих сыров",Маленькая пицца 25 см,280 с,https://nambafood.kg/dish_image/89501.png
Цезарь 25 см,"Нежное тесто с соусом, листья айсберга со свежими листьями салата и куриной грудкой на гриле под смесью дорогих сыров",Маленькая пицца 25 см,260 с,https://nambafood.kg/dish_image/89502.png
Пепперони 25 см,Нежное тесто с фирменным соусом с копченой колбаской и чесноком под смесью дорогих сыров,Маленькая пицца 25 см,270 с,https://nambafood.kg/dish_image/89514.png
