Наименование,Описание,Категория,Цена,Фото
Чобан,"250 гр. Помидоры, перец, лук, огурцы, оливковое масло.",Салаты,220 с,https://nambafood.kg/dish_image/81098.png
Яичный салат,"250 гр. Яйцо, лук, помидор, майонез, зелень, перец, лимон.",Салаты,220 с,https://nambafood.kg/dish_image/114905.png
Мевсим,"250 гр. Свежая морковь, красная капуста, кукуруза, листья салата, оливковое масло.",Салаты,220 с,https://nambafood.kg/dish_image/114917.png
Нурдаг,"300 гр. Помидоры, перец, грецкий орех, лук, оливковое масло, гранатовый соус.",Салаты,350 с,https://nambafood.kg/dish_image/81082.png
Панчо,"150 гр. Картофель, баклажан, сузьма, чеснок.",Закуски,220 с,https://nambafood.kg/dish_image/81084.png
Хавуч Таратор,"150 гр. Сузьма, морковь, чеснок, укроп, оливковое масло.",Закуски,220 с,https://nambafood.kg/dish_image/81095.png
Мужвер,"130 гр. Оладьи из кабачков, морковь, чеснок, укроп.",Закуски,220 с,https://nambafood.kg/dish_image/114908.png
Япрак сарма,"5 шт. Рулет из маринованных виноградных листьев, тушеный рис, лук, изюм.",Закуски,290 с,https://nambafood.kg/dish_image/81104.png
Атом,"160 гр. Сюзма, перец огонек, чеснок.",Закуски,220 с,https://nambafood.kg/dish_image/81044.png
Ажылы эзме,"150 гр. Помидор, острый перец, лук, чеснок, томатный соус, петрушка.",Закуски,220 с,https://nambafood.kg/dish_image/81042.png
Хайдари,"160 гр. Сузьма, укроп, чеснок.",Закуски,220 с,https://nambafood.kg/dish_image/81096.png
Шак шука,"150 гр. Баклажан, перец, помидоры, кабачки, чеснок, томатный соус.",Закуски,260 с,https://nambafood.kg/dish_image/81099.png
Ассорти из закусок,"330 гр. Хайдари, япрак сарма, панчо, ажылы эзме, шак шука, перец огонек.",Закуски,500 с,https://nambafood.kg/dish_image/81043.png
Мержимек,"260 гр. Чечевица, картофель, морковь, лук.",Супы,180 с,https://nambafood.kg/dish_image/81080.png
Мержимек  0.5,"160 гр. Чечевица, картофель, морковь, лук.",Супы,130 с,https://nambafood.kg/dish_image/81081.png
Эт пача,"260 гр. Говяжье филе, йогурт, чеснок, соус.",Супы,280 с,https://nambafood.kg/dish_image/81105.png
Эт пача 0.5,"160 гр. Говяжье филе, йогурт, чеснок, соус.",Супы,180 с,https://nambafood.kg/dish_image/81070.png
DuЭт кебаб,"2 кг. Ассорти из кебабов на 4 персоны: адана, канат, изгара кофте, пирзола, бон филе, донер, булгур, помидоры, болгарский перец, тандырный лаваш.",Кебабы,3100 с,https://nambafood.kg/dish_image/81058.png
Адана кебаб,"600 гр. Мясо телятины и ягненка,  овощи на гриле, тандырный лаваш, булгур.",Кебабы,480 с,https://nambafood.kg/dish_image/81041.png
Урфа кебаб,"600 гр. Мясо телятины и ягненка,  овощи на гриле, тандырный лаваш, булгур.",Кебабы,480 с,https://nambafood.kg/dish_image/81093.png
Изгара кофте,"600 гр. Котлеты из говядины и баранины на угле, овощи на гриле, булгур, тандырный лаваш.",Кебабы,380 с,https://nambafood.kg/dish_image/81062.png
Изгара кашарлы кофте,"600 гр. Котлеты с сыром на угле, булгур, овощи на гриле, тандырный лаваш.",Кебабы,460 с,https://nambafood.kg/dish_image/81061.png
Сарма бейти,"600 гр. Мясо телятины и ягненка, овощи на гриле, тандырный лаваш, турецкое сливочное масло.",Кебабы,500 с,https://nambafood.kg/dish_image/81091.png
Фырын бейти,"600 гр. Мясо телятины и ягненка, овощи на гриле, сыр, тандырный лаваш, турецкое сливочное масло.",Кебабы,570 с,https://nambafood.kg/dish_image/81094.png
Кузу шиш,"600 гр. Филе ягненка на угле, овощи на гриле, тандырный лаваш, булгур.",Кебабы,540 с,https://nambafood.kg/dish_image/81075.png
Канат,"550 гр. Отборные куриные крылышки на угле, овощи на гриле, булгур, тандырный лаваш.",Кебабы,470 с,https://nambafood.kg/dish_image/81071.png
Адана дурум,"300 гр. Мясо телятины и ягненка, помидоры, лук, тандырный лаваш.",Кебабы,400 с,https://nambafood.kg/dish_image/114911.png
Али назик,"600 гр. Мясо ягненка, баклажан, йогурт, чеснок, помидоры, перец, специальный соус.",Кебабы,750 с,https://nambafood.kg/dish_image/114909.png
Карышык кебаб,"700 гр. Ассорти из кебабов на 1 персону: адана, канат, котлета, антрекот, пирзола, фындык лахмаджун, помидоры, болгарский перец, булгур, лаваш.",Кебабы,750 с,https://nambafood.kg/dish_image/81065.png
Кузу кульбасты,"600 гр. Филе ягнёнка, овощи на гриле, булгур, тандырный лаваш.",Кебабы,540 с,https://nambafood.kg/dish_image/81072.png
Кузу пирзола,"600 гр. Рёбрышки ягнёнка, булгур, овощи на гриле, тандырный лаваш.",Кебабы,590 с,https://nambafood.kg/dish_image/81073.png
Кузу мини бифтек,"600 гр. Антрекот из баранины, овощи на гриле, булгур, тандырный лаваш.",Кебабы,550 с,https://nambafood.kg/dish_image/114910.png
Дана антрекот,"600 гр. Антрекот из говядины, овощи на гриле, булгур, тандырный лаваш.",Кебабы,650 с,https://nambafood.kg/dish_image/81048.png
Дана локум,"600 гр. Бон филе из говядины, овощи на гриле, булгур, тандырный лаваш.",Кебабы,790 с,https://nambafood.kg/dish_image/81052.png
Дана бон филе,"600 гр. Бон филе, булгур, овощи на гриле, тандырный лаваш.",Кебабы,790 с,https://nambafood.kg/dish_image/81049.png
Дана бон филе тереялы,"500 гр. Бон филе, булгур, овощи на гриле, тандырный лаваш, турецкое сливочное масло",Кебабы,850 с,https://nambafood.kg/dish_image/81050.png
Дана локум тереялы,"600 гр. Антрекот из баранины, овощи на гриле, булгур, тандырный лаваш",Кебабы,850 с,https://nambafood.kg/dish_image/81211.png
Лахмаджун,400 гр.Тонко раскатанное тесто с фаршем и овощами.,Пиде,330 с,https://nambafood.kg/dish_image/81079.png
Лахмаджун 0.5,200 гр. Тонко раскатанное тесто с фаршем и овощами.,Пиде,185 с,https://nambafood.kg/dish_image/81210.png
Пеймажун пиде,"420 гр. Тонко раскатанное тесто с фаршем, овощами и сыром.",Пиде,330 с,https://nambafood.kg/dish_image/134689.png
Пеймажун пиде 0.5,"210 гр. Тонко раскатанное тесто с фаршем, овощами и сыром",Пиде,185 с,https://nambafood.kg/dish_image/134690.png
DuЭт лахмаджун,"430 гр. Тонко раскатанное тесто с фаршем ,овощами, сыром и грецкими орехами.",Пиде,380 с,https://nambafood.kg/dish_image/81059.png
DuЭт лахмаджун 0.5,"210 гр. Тонко раскатанное тесто с фаршем ,овощами, сыром и грецкими орехами.",Пиде,210 с,https://nambafood.kg/dish_image/81301.png
Кыймалы пиде,"420 гр. Мясо телятины, перец, помидор, специальное тесто.",Пиде,380 с,https://nambafood.kg/dish_image/81253.png
Кашарлы себзели пиде,"400 гр. Сыр, помидор, перец, специальное тесто.",Пиде,390 с,https://nambafood.kg/dish_image/81068.png
Кашарлы пиде,"420 гр. Сыр, специальное тесто.",Пиде,390 с,https://nambafood.kg/dish_image/114913.png
Кыймалы кашарлы пиде,"440 гр. Мясо телятины, сыр,  перец, помидор, специальное тесто.",Пиде,400 с,https://nambafood.kg/dish_image/81300.png
Каурмалы кашарлы   пиде,"420 гр. Мясо телятины, сыр, специальное тесто.",Пиде,450 с,https://nambafood.kg/dish_image/81067.png
Kушбашылы кашарлы пиде,"440 гр. Телятина, перец, помидор, сыр, томатная паста, специальное тесто.",Пиде,450 с,https://nambafood.kg/dish_image/81077.png
Донер с сыром пиде,"420 гр. Донер, сыр, специальное тесто.",Пиде,550 с,https://nambafood.kg/dish_image/114912.png
