Наименование,Описание,Категория,Цена,Фото
Блинчики с сёмгой и крем-сыром,,Завтраки,290 с,https://nambafood.kg/dish_image/133495.png
Маргарита,"пицца тесто, соус пицца, томаты, сыр моцарелла",Завтраки,290 с,https://nambafood.kg/image_by_id/105607
Пепперони,"пицца тесто, соус пицца, пепперони, сыр моцарелла",Завтраки,350 с,https://nambafood.kg/image_by_id/105607
Блинчики со сметаной,,Завтраки,120 с,https://nambafood.kg/dish_image/133496.png
Мясная (натуральное мясо /рубленое мясо),"пицца тесто, соус пицца, томленая говядина, сыр",Завтраки,350 с,https://nambafood.kg/image_by_id/105607
Блинчики карамель-банан,,Завтраки,160 с,https://nambafood.kg/dish_image/133498.png
Куриная,"пицца тесто, соус пицца, шпинат, куриная грудка, сыр",Завтраки,330 с,https://nambafood.kg/image_by_id/105607
Круассан баварский,,Завтраки,170 с,https://nambafood.kg/dish_image/133500.png
5 сыров,"пицца тесто, соус пицца, дор блю, джугас, моцарелла, фета, чедр",Завтраки,420 с,https://nambafood.kg/image_by_id/105607
"Круассан сёмга, руккола, крем-сыр",,Завтраки,250 с,https://nambafood.kg/dish_image/133502.png
Ассорти “Енот”,"пицца тесто, соус пицца, курица, ллелятина, оливки, перец калифорния",Завтраки,450 с,https://nambafood.kg/image_by_id/105607
Охотничья,"пицца тесто, соус пицца, колб. Охот., сыр",Завтраки,330 с,https://nambafood.kg/image_by_id/105607
Чили,"пицца тесто, соус пицца, рубленое мясо, халопеньо, фасоль красн, сыр",Завтраки,360 с,https://nambafood.kg/image_by_id/105607
Пшенная каша с тыквой,,Завтраки,130 с,https://nambafood.kg/dish_image/133508.png
Каша овсяная с корицей и яблоком,"Корица, зеленое яблоко, мед, тостер хлеб.",Завтраки,130 с,https://nambafood.kg/dish_image/133509.png
Рисовая каша с карамелью,,Завтраки,130 с,https://nambafood.kg/dish_image/133510.png
Манная каша,,Завтраки,150 с,https://nambafood.kg/dish_image/116819.png
Скандинавский завтрак,,Завтраки,280 с,https://nambafood.kg/dish_image/133511.png
Омлет с овощами,,Завтраки,150 с,https://nambafood.kg/dish_image/133512.png
Омлет с грибами,,Завтраки,150 с,https://nambafood.kg/dish_image/133513.png
Омлет с сыром,,Завтраки,160 с,https://nambafood.kg/dish_image/133514.png
Четыре сыра,"дорблю, моцарелла, пармезан, сливочный сыр",Завтраки,440 с,https://nambafood.kg/dish_image/133515.png
Фокачча,"соус песто, пармезан",Завтраки,140 с,https://nambafood.kg/dish_image/133516.png
Фета-руккола,"сыр фета, свежая руккола, помидоры, сыр моцарелла",Завтраки,350 с,https://nambafood.kg/dish_image/133517.png
Фрикасе,"курица, белые грибы, сливочный соус, укроп, сыр моцарелла",Завтраки,390 с,https://nambafood.kg/dish_image/133518.png
Кальцоне с салями,"салями, сыр моцарелла",Завтраки,290 с,https://nambafood.kg/dish_image/133519.png
Неаполитана,"сыр моцарелла, томаты, базилик",Завтраки,370 с,https://nambafood.kg/dish_image/133520.png
Тортилья курица с грибами,"Курица, грибы, моцарелла, фри, листья салатов",Закуски,280 с,https://nambafood.kg/dish_image/134075.png
Бургер енот с филе цыплёнка,"нежный бургер с куриным стейком, картофель фри",Закуски,290 с,https://nambafood.kg/dish_image/134077.png
Бургер Енот с котлетой из рубленого мяса,"сочный бургер с котлетой из натурального рубленого мяса с добавление соуса, сыра, перчиков халапеньо, картофель фри",Закуски,300 с,https://nambafood.kg/dish_image/134079.png
Бургер Енот с томленой телятиной,"сочный бургер с котлетой из натурального рваного мяса и сыра, картофель фри",Закуски,360 с,https://nambafood.kg/dish_image/134081.png
Альфредо с курицей и грибами,"Паста, куриное филе, шампиньоны, сливочный соус, пармезан",Паста,280 с,https://nambafood.kg/dish_image/106194.png
Карбонара с вяленой телятиной,,Паста,290 с,https://nambafood.kg/dish_image/105736.png
Спагетти с сыром,,Паста,230 с,https://nambafood.kg/dish_image/105739.png
Болоньезе аррабиата,Острая паста,Паста,270 с,https://nambafood.kg/dish_image/105738.png
Феттучини с семгой и креветками,,Паста,370 с,https://nambafood.kg/dish_image/105740.png
Хумус,"Нутовая паста, кунжутная паста",Салаты,230 с,https://nambafood.kg/dish_image/134070.png
Гриль-салат с мясом,"Телятина, цукини, баклажан, помидор, соевый соус, сыр джугас, сливочный соус.",Салаты,290 с,https://nambafood.kg/dish_image/105470.png
Витаминка,,Салаты,170 с,https://nambafood.kg/dish_image/116861.png
Греческий салат,"Помидоры, огурцы, лола роса, фета, крутоны, маслины, красный лук, апельсиновый дрессинг.",Салаты,280 с,https://nambafood.kg/dish_image/105749.png
Цезарь с курицей,"Лист салат, курица, перепелиные яйца, черри, сыр джугас, соус айоли, лола роса.",Салаты,310 с,https://nambafood.kg/dish_image/105750.png
Салат с киноа и печеными томатами,"Киноа, печёные томаты, руккола, шпинат",Салаты,290 с,https://nambafood.kg/dish_image/134071.png
Доминго,"Крем-чиз, малосольная сёмга, тортилья, микс листьев салата",Салаты,260 с,https://nambafood.kg/dish_image/134067.png
Том ям,"Паста том ям, креветки, кальмары, осьминог, мидии, нори, кокосовое молоко, лемонграсс, лайм.",Первые блюда,460 с,https://nambafood.kg/dish_image/105741.png
Куриный суп-лапша,"Бульон, лапша яичная, курица.",Первые блюда,180 с,https://nambafood.kg/dish_image/105743.png
Рамен классический,"Лапша, специи, яйцо пашот, сыр, зеленый лук, нори.",Первые блюда,260 с,https://nambafood.kg/dish_image/106198.png
Рамен с говядиной,"Говядина, лапша, специи, яйцо пашот, сыр, зеленый лук, нори.",Первые блюда,290 с,https://nambafood.kg/dish_image/106199.png
Рамен с курицей,"Курица, лапша, специи, яйцо пашот, сыр, зеленый лук, нори.",Первые блюда,270 с,https://nambafood.kg/dish_image/105467.png
Сливочно-грибной суп,"Грибы шампиньоны, лук, морковь, сливки, сливочный сыр.",Первые блюда,190 с,https://nambafood.kg/dish_image/105468.png
Чечевичный крем суп,Шелковистый крем суп из красной чечевицы,Первые блюда,190 с,https://nambafood.kg/dish_image/134072.png
Сырный крем суп,Кремовый суп на основе 2 сыров,Первые блюда,190 с,https://nambafood.kg/dish_image/134073.png
Боул с курицей,"Булгур, авокадо, черри, яйцо пашот, курица, шпинат, греческий йогурт.",Боулы,290 с,https://nambafood.kg/dish_image/105474.png
Боул с семгой и персиком,"Малосольная сёмга, черри, булгур, огурцы, авокадо, персик, пекинская капуста, йогурт",Боулы,370 с,https://nambafood.kg/dish_image/134068.png
Курица в горчично-медовом соусе,"Курица, овощи, мёд, горчица, соевый соус",Вторые блюда,240 с,https://nambafood.kg/image_by_id/105607
Курица в ореховом соусе,"Курица, сливочное масло, грецкий орех, специи",Вторые блюда,180 с,https://nambafood.kg/image_by_id/105607
Курица с хрустящей картошкой,,Вторые блюда,180 с,https://nambafood.kg/image_by_id/105607
