Наименование,Описание,Категория,Цена,Фото
Салат Etiler,"250 г. Латук, ростбиф, особый соус, пармезан.",Салаты,720 с,https://nambafood.kg/dish_image/121869.png
Салат «Цезарь»,"180 г. Лист салата (латук), черри помидор, курица, гренки, цезарь соус, пармезан.",Салаты,630 с,https://nambafood.kg/dish_image/121876.png
Овощное ассорти,"480 г. Черри помидор, огурец, редис, перец, кинза, зеленый лук, петрушка, укроп, зелень рока.",Салаты,300 с,https://nambafood.kg/dish_image/121861.png
Королевский салат,"200 г. Мясо, грецкий орех, чеснок, домашняя сметана.",Салаты,350 с,https://nambafood.kg/dish_image/121865.png
Салат «Зеленое яблоко»,"180 г. Зеленое яблоко, огурец, творог, капуста, йогурт, укроп.",Салаты,250 с,https://nambafood.kg/dish_image/121881.png
Салат «Мангал»,"180 г. Баклажан, цуккини, перец, лук, чеснок, масло.",Салаты,350 с,https://nambafood.kg/dish_image/107734.png
Греческий салат,"480 г. Черри помидор, огурец, лист салата, сыр фетакса, оливки, лимонный соус, оливковое масло, красный сладкий перец, красный лук, тимьян.",Салаты,450 с,https://nambafood.kg/dish_image/121870.png
Green salad,"180 г. Зелень, помидоры.",Салаты,300 с,https://nambafood.kg/dish_image/121871.png
Ассорти мясо и сыр,400 г,Салаты,950 с,https://nambafood.kg/dish_image/121859.png
Грибной салат,"180 г. Грибы опята, лук, чеснок, масло.",Салаты,280 с,https://nambafood.kg/dish_image/121868.png
Соленья,"180 г. Красная капуста, белая капуста, соленые огурцы,  помидор, грибы, перец.",Салаты,280 с,https://nambafood.kg/dish_image/121867.png
Чобан салат,"180 г. Помидор, огурец, лук, зеленый перец, петрушка, лимонный соус, оливковое масло, гранатовый соус.",Салаты,310 с,https://nambafood.kg/dish_image/121875.png
Кашик салат,"200 г. Помидор, огурцы, лук, сыр тулум, нар соус, грецкий орех, гранат.",Салаты,350 с,https://nambafood.kg/dish_image/121866.png
"Салат с козьим сыром 0,7","300 г. Мини зелень рока, козий сыр, греческий орех, гранатовый соус, лимонный соус, масло.",Салаты,480 с,https://nambafood.kg/dish_image/121873.png
Салат с козьим сыром,"480 г. Мини зелень рока, козий сыр, грецкий орех, гранатовый соус, лимонный соус, масло.",Салаты,800 с,https://nambafood.kg/dish_image/121874.png
Салат авокадо,"180 г. Авокадо, моцарелла, кукуруза, черри, фасоль, лимонный соус, оливковое масло.",Салаты,580 с,https://nambafood.kg/dish_image/121872.png
Хайдары,"180 г. Сюзме, йогурт, мята, масло, чеснок.",Холодные  закуски,180 с,https://nambafood.kg/dish_image/121882.png
Баклажаны на мангале,180 г,Холодные  закуски,250 с,https://nambafood.kg/dish_image/121880.png
Эзме,"180 г. Помидор, красный перец, зеленый перец, лук, чеснок, томат, сумак, мята, петрушка, пул перец, черный перец, лимонный соус, масло.",Холодные  закуски,300 с,https://nambafood.kg/dish_image/121878.png
Хумус,180 г,Холодные  закуски,280 с,https://nambafood.kg/dish_image/121879.png
Сет мэзе,,Холодные  закуски,750 с,https://nambafood.kg/dish_image/121860.png
Чечевичный суп,"240 г. Красная чечевица, лук.",Супы,240 с,https://nambafood.kg/dish_image/121864.png
Спаржа суп,"330 г. Спаржа, базилик, чеснок, сливки.",Супы,360 с,https://nambafood.kg/dish_image/121863.png
Оссобуко,"450 г. Говяжья голень, цуккини, морковь, сельдерей, Worcestershire соус, томатная паста.",Горячее,710 с,https://nambafood.kg/dish_image/121837.png
Овощная лазанья,"150 г. Баклажан на гриле, цуккини, морковь, бешамель соус, неаполитано соус, моцарелла, пармезан.",Горячее,430 с,https://nambafood.kg/dish_image/121833.png
Фажита,"500 г. Говяжий контр филе, лук, перец, грибы, кукуруза, мексиканская фасоль, соус Demi-glace.",Горячее,1180 с,https://nambafood.kg/dish_image/121827.png
Медальон провансаль,"400 г. Бон Филе, пюре батат, говяжий костный мозг, чеснок, масло, розмарин, тимьян.",Горячее,850 с,https://nambafood.kg/dish_image/121830.png
Вулкан,"400 г. Бон Филе, маринованное в особом соусе, листовая нарезка картофеля, лук, сырный соус.",Горячее,1070 с,https://nambafood.kg/dish_image/121824.png
Классический бургер,"Помидор, лист салата, соленые огурцы, лук, фри",Бургеры,660 с,https://nambafood.kg/dish_image/107736.png
Чизбургер,"Помидор, лист салата, соленые огурцы, лук, фри.",Бургеры,720 с,https://nambafood.kg/dish_image/121854.png
Этилер бургер,"Фарш, лист салата, лук, грибы, черная булочка, ростбиф, помидор, корнишон, домашние чипсы.",Бургеры,810 с,https://nambafood.kg/dish_image/121856.png
Люля бургер,"Фарш, овощной гриль, фирменная булочка, сыр халуми, картошка по-деревенски.",Бургеры,740 с,https://nambafood.kg/dish_image/121852.png
Адана кебаб,250 г,Кебабы,720 с,https://nambafood.kg/dish_image/121838.png
Люля кебаб из баранины,250 г,Кебабы,690 с,https://nambafood.kg/dish_image/121841.png
Люля кебаб из курицы,250 г,Кебабы,510 с,https://nambafood.kg/dish_image/121846.png
Касап кофте,300 г,Кебабы,400 с,https://nambafood.kg/dish_image/108996.png
Кашарлы кофте,300 г,Кебабы,650 с,https://nambafood.kg/dish_image/107104.png
Ассорти Мангал,"(на 4 персоны) 1,4 кг.",Кебабы,4380 с,https://nambafood.kg/dish_image/103669.png
Турецкий хлеб,,Хлеб,45 с,https://nambafood.kg/dish_image/103698.png
Хлеб баллон,,Хлеб,45 с,https://nambafood.kg/dish_image/121877.png
Хлеб ассорти,,Хлеб,70 с,https://nambafood.kg/dish_image/103700.png
Хлеб ржаной,,Хлеб,45 с,https://nambafood.kg/dish_image/103701.png
Каре ягненка,1 кг,Стейки,2600 с,https://nambafood.kg/dish_image/121832.png
Асадо стейк,1 кг,Стейки,1900 с,https://nambafood.kg/dish_image/121844.png
Антрекот стейк,400 г,Стейки,1200 с,https://nambafood.kg/dish_image/121855.png
Перзола ягненка,300 г,Стейки,900 с,https://nambafood.kg/dish_image/121849.png
Бифстейк,300 г,Стейки,810 с,https://nambafood.kg/dish_image/121848.png
Dallas стейк,450 г,Стейки,1600 с,https://nambafood.kg/dish_image/121847.png
T-bone стейк,450 г,Стейки,1600 с,https://nambafood.kg/dish_image/121851.png
Tomahawk стейк,700 г,Стейки,2200 с,https://nambafood.kg/dish_image/121836.png
New York стейк,300 г,Стейки,1300 с,https://nambafood.kg/dish_image/107743.png
Gold Tomahawk стейк,750 г,Стейки,5000 с,https://nambafood.kg/dish_image/103711.png
Картошка гратен,"150 г. Чеснок, пармезан, сливки.",Гарниры,250 с,https://nambafood.kg/dish_image/121850.png
Запеченная картошка в фольге,"200 г. Картошка, сыр, сливочное масло.",Гарниры,150 с,https://nambafood.kg/dish_image/121842.png
Запеченные грибы с сыром,"150 г. Шампиньоны, сыр кашар.",Гарниры,270 с,https://nambafood.kg/dish_image/121829.png
Овощи гриль,"150 г. Баклажан, цуккини, перцы, лук, грибы.",Гарниры,150 с,https://nambafood.kg/dish_image/121834.png
