Наименование,Описание,Категория,Цена,Фото
Мисо рамэн с курицей слабой остроты,"500 гр. Острый суп с лапшой, овощами и курицей.",Рамэн,690 с,https://nambafood.kg/dish_image/109320.png
Мисо рамэн с курицей средней остроты,"500 гр. Острый суп с лапшой, овощами и курицей.",Рамэн,690 с,https://nambafood.kg/dish_image/109754.png
Мисо рамэн с курицей острый,"500 гр. Острый суп с лапшой, овощами и курицей.",Рамэн,690 с,https://nambafood.kg/dish_image/109755.png
Мисо рамэн с морепродуктами слабой остроты,"500 гр. Острый суп с лапшой, овощами и морепродуктами.",Рамэн,860 с,https://nambafood.kg/dish_image/109321.png
Мисо рамэн с морепродуктами средней остроты,"500 гр. Острый суп с лапшой, овощами и морепродуктами.",Рамэн,860 с,https://nambafood.kg/dish_image/109756.png
Мисо рамэн с морепродуктами острый,"500 гр. Острый суп с лапшой, овощами и морепродуктами.",Рамэн,860 с,https://nambafood.kg/dish_image/109757.png
Тан-тан мэн слабой остроты,500 гр. Острый суп лапша с рубленной говядиной и имбирем.,Рамэн,690 с,https://nambafood.kg/dish_image/109322.png
Тан-тан мэн средней остроты,500 гр. Острый суп лапша с рубленной говядиной и имбирем.,Рамэн,690 с,https://nambafood.kg/dish_image/109763.png
Тан-тан мэн острый,500 гр. Острый суп лапша с рубленной говядиной и имбирем.,Рамэн,690 с,https://nambafood.kg/dish_image/109762.png
Кантон мэн,"500 гр. Густой суп по-Кантонски с лапшой, овощами и курицей.",Рамэн,690 с,https://nambafood.kg/dish_image/109323.png
Стамина рамэн,"500 гр. Чеснок, сырое яйцо, ростки фасоли, джусай, морковь, лук, болгарский перец, лапша, китайская капуста, курица.",Рамэн,690 с,https://nambafood.kg/dish_image/109326.png
Санраатан с курицей слабой остроты,"500 гр. Кисло-острый суп с лапшой (курица, грибы, овощи, тофу, яйцо)",Рамэн,690 с,https://nambafood.kg/dish_image/111362.png
Санраатан с курицей средней остроты,"500 гр. Кисло-острый суп с лапшой (курица, грибы, овощи, тофу, яйцо)",Рамэн,690 с,https://nambafood.kg/dish_image/109324.png
Санраатан с курицей острый,"500 гр. Кисло-острый суп с лапшой (курица, грибы, овощи, тофу, яйцо)",Рамэн,690 с,https://nambafood.kg/dish_image/111363.png
Санраатан с морепродуктами слабой остроты,"500 гр. Кисло-острый суп с лапшой (морепродукты, грибы, овощи, тофу, яйцо)",Рамэн,860 с,https://nambafood.kg/dish_image/109325.png
Санраатан с морепродуктами средней остроты,"500 гр. Кисло-острый суп с лапшой (морепродукты, грибы, овощи, тофу, яйцо)",Рамэн,860 с,https://nambafood.kg/dish_image/111364.png
Санраатан с морепродуктами острый,"500 гр. Кисло-острый суп с лапшой (морепродукты, грибы, овощи, тофу, яйцо)",Рамэн,860 с,https://nambafood.kg/dish_image/111365.png
Ояката рамэн - свинина,"500 гр. Суп на основе рыбы, курицы, соевого соуса. Состав: Свинина, шпинат, зеленый лук, грибы черные, сушеные водоросли, ростки сои, яйцо лапша.",Рамэн,690 с,https://nambafood.kg/dish_image/109327.png
Ояката рамэн - курица,"500 гр. Суп на бульоне из рыбы, курицы, соевого соуса. Состав: Курица, шпинат, зеленый лук, грибы черные, сушеные водоросли, ростки сои, яйцо лапша.",Рамэн,690 с,https://nambafood.kg/dish_image/109328.png
Ояката рамэн - говядина,"500 гр. Суп на бульоне из рыбы, курицы, соевого соуса. Состав: Говядина, шпинат, зеленый лук, грибы черные, сушеные водоросли, ростки сои, яйцо лапша.",Рамэн,690 с,https://nambafood.kg/dish_image/109329.png
Неги чаашуу рамэн - свинина,"Суп на бульоне из рыбы, курицы, соевого соуса. Состав: Свинина, лук зеленый, ростки сои, кунжутное масло, лапша.",Рамэн,690 с,https://nambafood.kg/dish_image/109333.png
Неги чаашуу рамэн - курица,"Суп на бульоне из рыбы, курицы, соевого соуса. Состав: Курица, лук зеленый, ростки сои, кунжутное масло, лапша.",Рамэн,690 с,https://nambafood.kg/dish_image/109334.png
Неги чаашуу рамэн - говядина,"Суп на бульоне из рыбы, курицы, соевого соуса. Состав: Говядина, лук зеленый, ростки сои, кунжутное масло, лапша.",Рамэн,690 с,https://nambafood.kg/dish_image/109335.png
Моящи рамэн - свинина,"500 гр. Суп на бульоне из рыбы, курицы, соевого соуса. Немного острый! Состав: Свинина, ростки сои, лук зеленый, лапша.",Рамэн,690 с,https://nambafood.kg/dish_image/109330.png
Моящи рамэн - курица,"500 гр. Суп на бульоне из рыбы, курицы, соевого соуса. Немного острый! Состав: Курица, ростки сои, лук зеленый, лапша.",Рамэн,690 с,https://nambafood.kg/dish_image/109331.png
Моящи рамэн - говядина,"500 гр. Суп на бульоне из рыбы, курицы, соевого соуса. Немного острый! Состав: Говядина, ростки сои, лук зеленый, лапша.",Рамэн,690 с,https://nambafood.kg/dish_image/109332.png
Зару Удон,Холодная пшеничная лапша с бульоном из соевого соуса.,Сеты с лапшой,630 с,https://nambafood.kg/dish_image/110984.png
Зару Удон с сушеными водорослями,Холодная пшеничная лапша с бульоном из соевого соуса и с добавкой из тонко нарезанных сушеных водорослей.,Сеты с лапшой,730 с,https://nambafood.kg/dish_image/110986.png
Зару Соба,Холодная гречневая лапша с бульоном из соевого соуса.,Сеты с лапшой,630 с,https://nambafood.kg/dish_image/111349.png
Зару Соба с тонко сушеными водорослями,Холодная гречневая лапша с бульоном из соевого соуса и с добавкой из тонко нарезанных сушеных водорослей.,Сеты с лапшой,730 с,https://nambafood.kg/dish_image/109337.png
Карри суп - Удон,"400 мл. Суп карри, пшеничная лапша, жареный тофу, японский зеленый лук, курица.",Сеты с лапшой,690 с,https://nambafood.kg/dish_image/109338.png
Карри суп - Соба,"400 мл. Суп карри, гречневая лапша, жареный тофу, японский зеленый лук, курица.",Сеты с лапшой,690 с,https://nambafood.kg/dish_image/109339.png
Вакаме - Удон,400 мл. Суп на бульоне из рыбы и соевого соуса с водорослями вакамэ и пшеничной лапшой.,Сеты с лапшой,575 с,https://nambafood.kg/dish_image/109340.png
Вакаме - Соба,400 мл. Суп на бульоне из рыбы и соевого соуса с водорослями вакамэ и гречневой лапшой.,Сеты с лапшой,575 с,https://nambafood.kg/dish_image/109341.png
Тори киноко - Удон,"400 мл. Пшеничная лапша, грибы, лук, курица. Бульон на основе соевого соуса и рыбного бульона.",Сеты с лапшой,750 с,https://nambafood.kg/dish_image/109344.png
Тори киноко - Соба,"400 мл. Гречневая лапша, грибы, лук, курица. Бульон на основе соевого соуса и рыбного бульона.",Сеты с лапшой,750 с,https://nambafood.kg/dish_image/109345.png
Какитама - Удон,"400 мл. Суп на рыбном бульоне и соевом соусе с курицей, яйцами и пшеничной лапшой. Имбирь по желанию!",Сеты с лапшой,575 с,https://nambafood.kg/dish_image/110744.png
Какитама - Соба,"400 мл. Суп на рыбном бульоне и соевом соусе с курицей, яйцами и гречневой лапшой. Имбирь по желанию!",Сеты с лапшой,575 с,https://nambafood.kg/dish_image/109343.png
Камонанбан - Удон,"400 мл. Мясо курицы, японский зеленый лук и пшеничная лапша.",Сеты с лапшой,750 с,https://nambafood.kg/dish_image/109346.png
Камонанбан - Соба,"400 мл. Мясо курицы, японский зеленый лук и гречневая лапша.",Сеты с лапшой,750 с,https://nambafood.kg/dish_image/109347.png
Какиаге - Удон,400 мл. Темпура из овощей и суп с пшеничной лапшой.,Сеты с лапшой,630 с,https://nambafood.kg/dish_image/109348.png
Какиаге - Соба,400 мл. Темпура из овощей и суп с гречневой лапшой.,Сеты с лапшой,630 с,https://nambafood.kg/dish_image/109349.png
Камосейро - Удон,"250 мл. Мясо курицы, японский зеленый лук, пшеничная лапша, васаби или перец.",Сеты с лапшой,690 с,https://nambafood.kg/dish_image/110966.png
Камосейро - Соба,"250 мл. Мясо курицы, японский зеленый лук, гречневая лапша, васаби или перец.",Сеты с лапшой,750 с,https://nambafood.kg/dish_image/109351.png
Тороро цукими - Удон,"400 мл. Пшеничная лапша, сырое яйцо, зеленый лук и тороро - пюре из ямаимо (японский картофель со слизистой текстурой)",Сеты с лапшой,690 с,https://nambafood.kg/dish_image/109352.png
Тороро цукими - Соба,"400 мл. Гречневая лапша, сырое яйцо, зеленый лук и тороро - пюре из ямаимо (японский картофель со слизистой текстурой)",Сеты с лапшой,690 с,https://nambafood.kg/dish_image/109353.png
Магуро Кацу,250 гр. Тунец средней прожарки в панировочных сухарях.,Блюда из рыбы,1380 с,https://nambafood.kg/dish_image/109369.png
Салмон Терияки,250 гр. Стейк из лосося средней прожарки в панировочных сухарях.,Блюда из рыбы,1380 с,https://nambafood.kg/dish_image/109370.png
Саба,200 гр. Жареная на гриле скумбрия.,Блюда из рыбы,690 с,https://nambafood.kg/dish_image/109371.png
Мойва,200 гр. Жареная в панировочных сухарях мойва с соусом тонкацу.,Блюда из рыбы,630 с,https://nambafood.kg/dish_image/109373.png
Гомадаре саба,220 гр. Жареная скумбрия в кунжутной заправке с луком.,Блюда из рыбы,690 с,https://nambafood.kg/dish_image/109372.png
Тара но фрай,250 гр. Хрустящий жареный минтай с соусами тар-тар и карри.,Блюда из рыбы,690 с,https://nambafood.kg/dish_image/109366.png
Саба но хираки,300 гр. Жареная на гриле сушеная скумбрия.,Блюда из рыбы,1380 с,https://nambafood.kg/dish_image/109365.png
Понзу щаке,"250 гр. Лосось на пару среднего приготовления, с капустой, грибами, сливочным маслом и лимонной заправкой.",Блюда из рыбы,1265 с,https://nambafood.kg/dish_image/109368.png
Мисо щаке,"250 гр. Лосось на пару средней готовности, с капустой, грибами, сливочным маслом с заправкой из мисо пасты.",Блюда из рыбы,1265 с,https://nambafood.kg/dish_image/109367.png
Саба но мисони,300 гр. Скумбрия вареная в мисо соусе с имбирем.,Блюда из рыбы,690 с,https://nambafood.kg/dish_image/109486.png
Якимеши,"300 гр. Жареный рис с лососем, креветками и овощами.",Блюда из рыбы,920 с,https://nambafood.kg/dish_image/109489.png
Сайдояки,"300 гр. Пассерованные овощи,   креветки, грибы, лосось.",Блюда из рыбы,920 с,https://nambafood.kg/dish_image/109496.png
Камбара,300 гр. Хрустящая жареная камбала.,Блюда из рыбы,920 с,https://nambafood.kg/dish_image/109499.png
Говядина в имбирном соусе в чашке с рисом,200 гр. Чашка риса с говядиной бон филе обжаренной в имбирном соусе.,Блюда из говядины,860 с,https://nambafood.kg/dish_image/109374.png
Говядина в терияки соусе в чашке с рисом,200 гр. Чашка риса с говядиной бон филе обжаренной в соусе терияки.,Блюда из говядины,860 с,https://nambafood.kg/dish_image/109375.png
Говядина в имбирном соусе,"200 гр. Говядина бон филе, обжаренная в имбирном соусе.",Блюда из говядины,860 с,https://nambafood.kg/dish_image/109376.png
Говядина в терияки соусе,"200 гр. Говядина бон филе, обжаренная в соусе терияки.",Блюда из говядины,860 с,https://nambafood.kg/dish_image/109377.png
Чинжаросу,"250 гр. Жареные в устричном соусе говядина, бамбук и овощи.",Блюда из говядины,860 с,https://nambafood.kg/dish_image/109378.png
Биф кацу,250 гр. Говядина средней прожарки под соусом демиглас.,Блюда из говядины,980 с,https://nambafood.kg/dish_image/109379.png
Чаашу дон - говядина,200 гр. Чашка риса со говядиной и луком-пореем.,Блюда из говядины,750 с,https://nambafood.kg/dish_image/111292.png
Тонкацу,200 гр. Свиная отбивная в панировочных сухарях и с соусом тонкацу.,Блюда из свинины,850 с,https://nambafood.kg/dish_image/109380.png
Тонкацу с чесноком,200 гр. Свиная отбивная в панировочных сухарях и с соусом тонкацу.,Блюда из свинины,965 с,https://nambafood.kg/dish_image/110219.png
Тонкацу с сыром,200 гр. Свиная отбивная в панировочных сухарях и с соусом тонкацу.,Блюда из свинины,965 с,https://nambafood.kg/dish_image/110220.png
Чаашу дон - свинина,200 гр. Чашка риса со свининой и луком-пореем.,Блюда из свинины,750 с,https://nambafood.kg/dish_image/108703.png
Свинина в имбирном соусе,"200 гр. Свинина, обжаренная в имбирном соусе.",Блюда из свинины,750 с,https://nambafood.kg/dish_image/109381.png
