Наименование,Описание,Категория,Цена,Фото
Пицца «Султан»,"Моцарелла, соус для пиццы, казы-карта, красный болгарский перец, чесночный айоли.",Пицца Феличита,550 с,https://nambafood.kg/dish_image/93602.png
Пицца «Полло Пиканте»,"Моцарелла, соус для пиццы, куриная грудка, красный перец, орегано.",Пицца Феличита,430 с,https://nambafood.kg/dish_image/93606.png
Пицца «Салсичия и Пататине»,"Моцарелла, соус для пиццы, охотничьи колбаски, картофель фри, орегано.",Пицца Феличита,430 с,https://nambafood.kg/dish_image/93603.png
Пицца «Тоннорелла»,"Моцарелла, соус для пиццы, тунец, помидор черри, красный лук, петрушка.",Пицца Феличита,440 с,https://nambafood.kg/dish_image/93604.png
Пицца «Вегетарианец»,"Моцарелла, томатный соус, баклажан, красный перец, кабачки, помидоры черри, петрушка.",Пицца Феличита,420 с,https://nambafood.kg/dish_image/93605.png
Триколор пицца,"Моцарелла в рассоле, томатный соус, авокадо, помидоры, пармезан, руккола.",Пицца Феличита,450 с,https://nambafood.kg/dish_image/112478.png
Пицца «Маргарита»,"Моцарелла, соус для пиццы, пармезан, орегано, базилик.",Пицца,350 с,https://nambafood.kg/dish_image/93607.png
Пицца «Капричоза»,"Моцарелла, соус для пиццы, салями, артишоки, грибы, оливки, орегано.",Пицца,440 с,https://nambafood.kg/dish_image/93601.png
Пицца «Пепперони»,"Моцарелла, соус для пиццы, салями, оливковое масло, орегано.",Пицца,440 с,https://nambafood.kg/dish_image/112480.png
Пицца «4 сыра»,"Моцарелла, соус для пиццы, копченный сыр, пармезан, сыр с плесенью.",Пицца,430 с,https://nambafood.kg/dish_image/93600.png
Кальцоне,"Моцарелла, соус для пиццы, салями, высушенный на солнце помидор, грибы, базилик, орегано.",Пицца,400 с,https://nambafood.kg/dish_image/57248.png
Пицца Эмилиана,"Моцарелла, соус для пиццы, говядина, зеленый горошек, пармезан, оливковое масло.",Пицца,430 с,https://nambafood.kg/dish_image/93599.png
Брускетта классика с помидорами,"Хлеб, помидор, базилик, бальзамический соус, руккола.",Снэки и Салаты,180 с,https://nambafood.kg/dish_image/57247.png
Салат Цезарь,"Курица, пармезан, салат айсберг, кроутоны, соус Цезарь.",Снэки и Салаты,320 с,https://nambafood.kg/dish_image/57254.png
Салат из руколы и Моцарелла,"Моцарелла, сухой помидор, руккола, лист салата.",Снэки и Салаты,310 с,https://nambafood.kg/dish_image/57259.png
Салат Капрезе,"Помидоры, моцарелла, базилик, бальзамический соус, орегано, оливковое масло.",Снэки и Салаты,330 с,https://nambafood.kg/dish_image/57251.png
Греческий салат,"Огурцы, помидоры акварель, красный лук, оливки, салатные листья, сыр фетакса, перец калифорния.",Снэки и Салаты,290 с,https://nambafood.kg/dish_image/112482.png
Куриный сэндвич большой,"Пицца тесто, томатный соус, куриная грудка, красный перец, домашний полусухой томатный, моцарелла, копченный сыр, руколла, фри",Сэндвичи,420 с,https://nambafood.kg/dish_image/57252.png
Интеграло алле вердуре сэндвич большой,"Пицца тесто, моцарелла, красный перец, баклажан, кабачки, высушенный на солнце помидор, чесночный аиолли, картофель фри",Сэндвичи,420 с,https://nambafood.kg/dish_image/57264.png
Интеграло алле вердуре сэндвич маленький,"Пицца тесто, моцарелла, красный перец, баклажан, кабачки, высушенный на солнце помидор, чесночный аиолли, картофель фри",Сэндвичи,280 с,https://nambafood.kg/dish_image/57265.png
Фетучине с грибами,"Паста фетучини, грибы шампиньоны, лук красный, чеснок, петрушка.",Паста,365 с,https://nambafood.kg/dish_image/112476.png
Фетучине с курицей,"Паста фетучини, курица обжаренная на гриле, сливки, пармезан, оливковое масло.",Паста,365 с,https://nambafood.kg/dish_image/112488.png
Спагетти карбонара,"Паста спагетти, чеснок, копченая говядина, сливки, пармезан, яичный желток.",Паста,365 с,https://nambafood.kg/dish_image/112474.png
Черные спагетти с креветками,"Черные спагетти, креветки, зеленый лук, сливочное масло, лаймовый сок, болгарский перец калифорния.",Паста,380 с,https://nambafood.kg/dish_image/112490.png
Паста Арабията,"Паста спагетти, томатный соус, оливки, помидор черри, чеснок, лук зеленый, кинза.",Паста,285 с,https://nambafood.kg/dish_image/112472.png
Картофель фри,,Гарниры,150 с,https://nambafood.kg/dish_image/57250.png
Картофель фри с пармезаном,,Гарниры,170 с,https://nambafood.kg/dish_image/57256.png
Картофель Арросто,,Гарниры,110 с,https://nambafood.kg/dish_image/112494.png
Coca-Cola 250 мл.,,Напитки,45 с,https://nambafood.kg/dish_image/57271.png
Coca-Cola 500 мл.,,Напитки,65 с,https://nambafood.kg/dish_image/57272.png
Coca-Cola 1 л,,Напитки,95 с,https://nambafood.kg/dish_image/57273.png
Fanta 250 мл.,,Напитки,45 с,https://nambafood.kg/dish_image/57274.png
Fanta 500 мл,,Напитки,65 с,https://nambafood.kg/dish_image/57275.png
Fanta 1 л,,Напитки,95 с,https://nambafood.kg/dish_image/57276.png
Sprite 500 мл,,Напитки,65 с,https://nambafood.kg/dish_image/57278.png
Sprite 1 л,,Напитки,95 с,https://nambafood.kg/dish_image/57279.png
