Наименование,Описание,Категория,Цена,Фото
Каша пшеная молочная с тостами и сливочным маслом,350 г,Завтраки,135 с,https://nambafood.kg/dish_image/125293.png
Блинчики с шоколадом,200 г,Завтраки,105 с,https://nambafood.kg/dish_image/125299.png
Блинчики с клубничным сиропом,200 г,Завтраки,105 с,https://nambafood.kg/dish_image/125298.png
Блинчики с творогом,"250 г. Персики, банан",Завтраки,165 с,https://nambafood.kg/dish_image/134175.png
Шакшука с яйцами пашот,"300 г. 2 яйца, овощи, томаты, зелень, тост, соус",Завтраки,215 с,https://nambafood.kg/dish_image/134176.png
Английский завтрак,"350 г. Тост, колбаски обжаренные на гриле, глазунья из 2х яиц, фасоль с томатным соусом и овощами.",Завтраки,275 с,https://nambafood.kg/dish_image/125261.png
Американский завтрак,"350 г. Картофель фри, охотничьи колбаски, черри, болтунья.",Завтраки,285 с,https://nambafood.kg/dish_image/125284.png
Омлетный сэндвич,"300 г. Омлет, ветчина, томаты, шпинат, сыр, соус.",Завтраки,195 с,https://nambafood.kg/dish_image/125304.png
Сырники со сметаной,250 г,Завтраки,185 с,https://nambafood.kg/dish_image/134177.png
Каша рисовая молочная с тостами и сливочным маслом,350 г,Завтраки,135 с,https://nambafood.kg/dish_image/125294.png
Круассан с клубничным сиропом,1 шт.,Круассаны,135 с,https://nambafood.kg/dish_image/125278.png
Круассан с шоколадным сиропом,1 шт.,Круассаны,135 с,https://nambafood.kg/dish_image/125277.png
Круассан с малосольной форелью и микс салатом,,Круассаны,285 с,https://nambafood.kg/dish_image/134179.png
Круассан греческий,"200 г. Томаты, сыр фета, листья салата, маслины, оливковое масло.",Круассаны,225 с,https://nambafood.kg/dish_image/125285.png
Круассан с бананом и орехами,200 г,Круассаны,225 с,https://nambafood.kg/dish_image/125308.png
Круассан с телятиной и микс салатом,"250 г. Лист салата, томаты, огурцы, ростбиф, соус.",Круассаны,275 с,https://nambafood.kg/dish_image/125306.png
Круассан с курицей и грибами и микс салатом,,Круассаны,285 с,https://nambafood.kg/dish_image/134180.png
"Тосты с вялеными томатами, сыром страчетелла и микс салатом",,Круассаны,295 с,https://nambafood.kg/dish_image/140010.png
Боул с мясом,"450 г. Медальоны, микс салата, гречневая лапша, черри, корнишоны, картофельные чипсы, соус.",Боулы,385 с,https://nambafood.kg/dish_image/125246.png
Боул с форелью,"350 г. Форель, рис, черри, брокколи, яйца пашот, микс салат, лимон и капуста.",Боулы,365 с,https://nambafood.kg/dish_image/125249.png
Боул с курицей,"350 г. Спагетти, куриное филе, микс салат, кабачок, лаваш, черри, яйцо вареное, кисло-сладкий соус.",Боулы,355 с,https://nambafood.kg/dish_image/125250.png
Салат с форелью и яйцом пашот,"250 г. Микс салат, руккола, картофель, малосольная форель, шампиньоны, черри, розовый соус.",Салаты,265 с,https://nambafood.kg/dish_image/125327.png
Цезарь с креветками,"250 г. Креветки, пармезан, черри, листья салата, соус цезарь, крутоны.",Салаты,375 с,https://nambafood.kg/dish_image/125313.png
Цезарь с курицей,"320 г. Куриная грудка, пармезан, черри, листья салата, соус цезарь, крутоны.",Салаты,325 с,https://nambafood.kg/dish_image/125315.png
Салат с креветками и сыром фета,"250 г. Креветки, микс салат, огурцы, черри, сыр фета, яйцо перепелиное.",Салаты,375 с,https://nambafood.kg/dish_image/125317.png
Стейк салат с телятиной,"420 г. Медальоны, овощи гриль, микс салат, соус.",Салаты,445 с,https://nambafood.kg/dish_image/125319.png
Греческий салат,"350 г. Огурцы, томаты, сыр фета, маслины заправленные в оливковом масле и специями.",Салаты,255 с,https://nambafood.kg/dish_image/125258.png
Теплый салаn с телятиной и баклажанами в остром соусе,"400 г. Баклажан, болгарский перец, лук, телятина, соус.",Салаты,385 с,https://nambafood.kg/dish_image/125330.png
Салат «Паназиат»,"400 г. Телятина, кабачки, баклажаны, ростки фасоли, китайский соус.",Салаты,319 с,https://nambafood.kg/dish_image/139981.png
Салат со страчетеллой,"320 г. Микс салат, апельсин, малосольная форель, французкий соус, сыр страчетелла.",Салаты,369 с,https://nambafood.kg/dish_image/140011.png
Грибной крем суп капучино,350 г,Супы,255 с,https://nambafood.kg/dish_image/125332.png
Том-ям с рисом,"450 г. Форель, креветки, шампиньоны, кокосовое молоко, лайм, черри, паста том-ям.",Супы,425 с,https://nambafood.kg/dish_image/125333.png
Чечевичный суп,"350 г. Чечевица, лимонный сок.",Супы,195 с,https://nambafood.kg/dish_image/125276.png
Домашний куриный суп,"350 г. Куриное филе, яичная лапша, петрушка, яйцо.",Супы,165 с,https://nambafood.kg/dish_image/125283.png
