Наименование,Описание,Категория,Цена,Фото
Моримото,"8 шт. Спайси лосось, унаги соус, креветка, огурец, спайси майонез, сыр творожный.",Новинки,400 с,https://nambafood.kg/dish_image/116669.png
Сумо,"12 шт. Лосось, угорь, сыр, унаги соус, огурец, тобико.",Новинки,390 с,https://nambafood.kg/dish_image/103989.png
Золотой дракон,"12 шт. Угорь, сыр, унаги соус, темпура хлопья, кляр.",Новинки,400 с,https://nambafood.kg/dish_image/101913.png
Якудза ролл,"12 шт. Угорь, спайси тунец, краб, сыр, острый майонез, унаги соус, огурец.",Новинки,340 с,https://nambafood.kg/dish_image/101916.png
Нагасаки ролл,"8 шт. Угорь, унаги соус, креветка, огурец, тобико, сыр творожный.",Новинки,400 с,https://nambafood.kg/dish_image/116671.png
Юмми ролл,"10 шт. Угорь, лосось, краб, сыр, унаги соус, креветки, огурцы, тобико.",Новинки,450 с,https://nambafood.kg/dish_image/132657.png
Кику ролл,"Креветки, огурцы, тобико, унаги соус.",Новинки,300 с,https://nambafood.kg/dish_image/132651.png
Камикадзе ролл,"Краб, сыр, унаги соус, креветки, огурцы, тобико.",Новинки,320 с,https://nambafood.kg/dish_image/132653.png
Токио ролл,"8 шт. Унаги соус, тамаго, креветка, огурец, спайси майонез, тобико, фирменный состав.",Новинки,360 с,https://nambafood.kg/dish_image/116734.png
Хоккайдо ролл,"10 шт. Угорь спайси унаги соус, тамаго, огурец, тобико, фирменный состав, тунец.",Новинки,380 с,https://nambafood.kg/dish_image/103994.png
Банзай,"10 шт. Лосось, угорь, острый майонез, унаги соус, тамаго, креветка, огурец, фирменный состав.",Новинки,420 с,https://nambafood.kg/dish_image/116679.png
Филадельфия премиум,"8 шт. Лосось, сыр, огурец, тобико.",Новинки,500 с,https://nambafood.kg/dish_image/116668.png
Корн-дог с сосиской,,Новинки,80 с,https://nambafood.kg/dish_image/125775.png
Корн-дог с сосиской и сыром,,Новинки,90 с,https://nambafood.kg/dish_image/125777.png
Корн-дог с сыром,,Новинки,100 с,https://nambafood.kg/dish_image/125779.png
Магуро ролл,"Спайси тунец, сыр, унаги соус, креветки, огурцы, тобико.",Новинки,370 с,https://nambafood.kg/dish_image/132866.png
Тамаго,1 шт. Японский омлет,Cуши,50 с,https://nambafood.kg/dish_image/101881.png
Лосось суши,1 шт.,Cуши,120 с,https://nambafood.kg/dish_image/39787.png
Острый лосось,1 шт.,Cуши,100 с,https://nambafood.kg/dish_image/39789.png
Копченый лосось,,Cуши,100 с,https://nambafood.kg/dish_image/137159.png
Креветка суши,1 шт.,Cуши,80 с,https://nambafood.kg/dish_image/39784.png
Острый краб,1 шт.,Cуши,80 с,https://nambafood.kg/dish_image/39790.png
Острая креветка,1 шт.,Cуши,90 с,https://nambafood.kg/dish_image/39791.png
Угорь суши,1 шт.,Cуши,120 с,https://nambafood.kg/dish_image/39785.png
Острый тунец,1 шт.,Cуши,80 с,https://nambafood.kg/dish_image/39786.png
Огурец маки,8 шт. Огурец нори снаружи.,Вегетарианские роллы,80 с,https://nambafood.kg/dish_image/103999.png
Авокадо маки,8 шт. Авокадо нори снаружи.,Вегетарианские роллы,140 с,https://nambafood.kg/dish_image/104000.png
Овощной маки,"8 шт. Авокадо, огурец, морковь, айсберг, тобико.",Вегетарианские роллы,150 с,https://nambafood.kg/dish_image/104001.png
Филадельфия премиум,"8 шт. Лосось, сыр, огурец, тобико.",Суши роллы с сырой рыбой,500 с,https://nambafood.kg/dish_image/116668.png
Лосось маки,"8 шт. Лосось, рис, нори.",Суши роллы с сырой рыбой,180 с,https://nambafood.kg/dish_image/103968.png
Острый тунец маки,"8 шт. Тунец с острым соусом, нори снаружи.",Суши роллы с сырой рыбой,170 с,https://nambafood.kg/dish_image/103969.png
Ичибан,"8 шт. Спайси лосось, спайси соус, сыр, огурец, тобико.",Суши роллы с сырой рыбой,280 с,https://nambafood.kg/dish_image/103971.png
Спайси тунец,"8 шт. Спайси тунец, спайси соус, сыр, унаги соус, огурец.",Суши роллы с сырой рыбой,270 с,https://nambafood.kg/dish_image/101886.png
Тайфун,"8 шт. Лосось, сыр, острый майонез, кожа лосося, унаги соус, огурец, тобико.",Суши роллы с сырой рыбой,220 с,https://nambafood.kg/dish_image/103972.png
Филадельфия Россия,"8 шт. Лосось, сыр, тамаго, огурец, тобико.",Суши роллы с сырой рыбой,320 с,https://nambafood.kg/dish_image/101887.png
Филадельфия США,"8 шт. Лосось, авокадо, сыр, тобико.",Суши роллы с сырой рыбой,350 с,https://nambafood.kg/dish_image/103974.png
Пенсильвания,"8 шт. Лосось, краб, сыр, огурец, тобико.",Суши роллы с сырой рыбой,370 с,https://nambafood.kg/dish_image/101888.png
Филадельфия смок,"8 шт. Сыр, огурец, копченый лосось, тобико.",Суши роллы с сырой рыбой,340 с,https://nambafood.kg/dish_image/103975.png
Радуга,"8 шт. Лосось, авокадо, спайси тунец, краб, острый майонез, креветка, огурец, тобико.",Суши роллы с сырой рыбой,340 с,https://nambafood.kg/dish_image/101889.png
Танцующая креветка,"8 шт. Лосось, авокадо, спайси тунец, острый майонез, унаги соус, креветка, темпура креветка, огурец.",Суши роллы с сырой рыбой,420 с,https://nambafood.kg/dish_image/101892.png
Горящий лосось,"8 шт. Авокадо, спайси лосось, сыр, острый майонез, унаги соус, темпура креветка, огурец, гриль лосось.",Суши роллы с сырой рыбой,450 с,https://nambafood.kg/dish_image/101893.png
Годзилла,"8 шт. Лосось, угорь, сыр, острый майонез, унаги соус, огурец, тобико.",Суши роллы с сырой рыбой,470 с,https://nambafood.kg/dish_image/101894.png
Любитель лосося,"8 шт. Лосось, острый майонез, огурец, тобико.",Суши роллы с сырой рыбой,450 с,https://nambafood.kg/dish_image/103976.png
Три самурая,"8 шт. Лосось, угорь, краб, сыр, унаги соус, темпура креветка, огурец.",Суши роллы с сырой рыбой,450 с,https://nambafood.kg/dish_image/101895.png
Гейша,"8 шт. Спайси лосось, острый майонез, унаги соус, креветка, темпура креветка, авокадо, огурец.",Суши роллы с сырой рыбой,450 с,https://nambafood.kg/dish_image/101896.png
Ниндзя,"8 шт. Угорь, спайси тунец, сыр, острый майонез, унаги соус, темпура креветка, огурец.",Суши роллы с сырой рыбой,400 с,https://nambafood.kg/dish_image/101897.png
Триада,"8 шт. Лосось, угорь, сыр, унаги соус, темпура креветка, огурец.",Суши роллы с сырой рыбой,450 с,https://nambafood.kg/dish_image/101898.png
Унаги маки,"8 шт. Угорь, унаги соус.",Суши роллы без сырой рыбы,180 с,https://nambafood.kg/dish_image/103980.png
Кентаки,"8 шт. Спайси, унаги соус, темпура курица, огурец, майонез.",Суши роллы без сырой рыбы,200 с,https://nambafood.kg/dish_image/101900.png
Касуми,"8 шт. Унаги соус, тамаго, хрустящая кожа, огурец, майонез.",Суши роллы без сырой рыбы,200 с,https://nambafood.kg/dish_image/101901.png
