Наименование,Описание,Категория,Цена,Фото
Блинчики со сметаной,,Завтраки,159 с,https://nambafood.kg/dish_image/123010.png
Блинчики с медом,,Завтраки,159 с,https://nambafood.kg/dish_image/123011.png
Блинчики с джемом,,Завтраки,159 с,https://nambafood.kg/dish_image/123012.png
Блинчики с персиком и творогом,,Завтраки,229 с,https://nambafood.kg/dish_image/123013.png
Овсяная каша на молоке,,Завтраки,129 с,https://nambafood.kg/dish_image/123016.png
Рисовая каша на молоке,,Завтраки,129 с,https://nambafood.kg/dish_image/123018.png
Овсяная каша на воде,,Завтраки,129 с,https://nambafood.kg/dish_image/123021.png
Рисовая каша на воде,,Завтраки,129 с,https://nambafood.kg/dish_image/123022.png
Гречневая каша на воде,,Завтраки,129 с,https://nambafood.kg/dish_image/123023.png
Манная каша на воде,,Завтраки,129 с,https://nambafood.kg/dish_image/123024.png
Домашние гренки,,Завтраки,109 с,https://nambafood.kg/dish_image/123025.png
Сырники со сметаной и джемом,,Завтраки,289 с,https://nambafood.kg/dish_image/123027.png
Легкий завтрак с ягодами и семенами чиа,,Завтраки,299 с,https://nambafood.kg/dish_image/123029.png
Творог с йогуртом и фруктами,,Завтраки,279 с,https://nambafood.kg/dish_image/123033.png
Омлет с грибами,,Завтраки,189 с,https://nambafood.kg/dish_image/123037.png
Омлет с овощами,,Завтраки,199 с,https://nambafood.kg/dish_image/123038.png
Омлет с сыром,,Завтраки,199 с,https://nambafood.kg/dish_image/123039.png
Шакшука,Блюдо из яиц в томатном соусе с луком и приправами.,Завтраки,229 с,https://nambafood.kg/dish_image/123040.png
Деревенский завтрак,"2 яца на выбор: омлет/ скрембл/ глазунья; телятина/ сосиска/ брынза; шампиньона, запеченный картофель, маринованные корнишоны.",Завтраки,409 с,https://nambafood.kg/dish_image/123050.png
Завтрак Джейми Оливера,"Курица, томаты, брокколи, яйцо пашот со сливочным соусом на белом тосте.",Завтраки,299 с,https://nambafood.kg/dish_image/123051.png
Мини-слайдеры 2 шт.,,Завтраки,299 с,https://nambafood.kg/dish_image/142391.png
Круассан с форелью,,Завтраки,289 с,https://nambafood.kg/dish_image/142392.png
Круассан с индейкой,,Завтраки,359 с,https://nambafood.kg/dish_image/142393.png
Бублик с грибами и шпинатом,,Завтраки,229 с,https://nambafood.kg/dish_image/142394.png
Картофельные драники с форелью,,Завтраки,289 с,https://nambafood.kg/dish_image/142396.png
Кабачковые драники,,Завтраки,219 с,https://nambafood.kg/dish_image/142397.png
Панкейки с молочным кремом,,Завтраки,239 с,https://nambafood.kg/dish_image/142418.png
Яйцо пашот на ржаном хлебе с малосольной форелью,,Завтраки,359 с,https://nambafood.kg/dish_image/142419.png
Фреш салат,"Микс салат, редис, изюм, грецкие орехи, ягоды по сезону, руккольный салат.",Салаты,309 с,https://nambafood.kg/dish_image/123056.png
Салат свекольный с сыром бри,,Салаты,299 с,https://nambafood.kg/dish_image/123134.png
Греческий салат с сыром фета,,Салаты,299 с,https://nambafood.kg/dish_image/123148.png
Руккола с креветками,,Салаты,469 с,https://nambafood.kg/dish_image/123062.png
Цезарь с курицей,,Салаты,399 с,https://nambafood.kg/dish_image/123143.png
Куриный салат с хрустящими чипсами,,Салаты,289 с,https://nambafood.kg/dish_image/123140.png
Салат с имбирной заправкой,,Салаты,439 с,https://nambafood.kg/dish_image/142398.png
Салат из говядины с имбирной заправкой,,Салаты,439 с,https://nambafood.kg/dish_image/123139.png
Витаминка,,Салаты,199 с,https://nambafood.kg/dish_image/123144.png
Салат «Нисуаз»,,Салаты,379 с,https://nambafood.kg/dish_image/123146.png
Салат с ростбифом,,Салаты,409 с,https://nambafood.kg/dish_image/123149.png
Африн с брынзой,,Салаты,249 с,https://nambafood.kg/dish_image/123058.png
Салат с форелью и запеченным картофелем,,Салаты,379 с,https://nambafood.kg/dish_image/123156.png
Оливье с курицей,,Салаты,249 с,https://nambafood.kg/dish_image/123137.png
Сырная нарезка,"Пармезан, ореховый сыр, Блю чиз, Моцарелла, Гриссини, мед.",Салаты,599 с,https://nambafood.kg/dish_image/123157.png
Хачапури по-аджарски,,Горячие закуски,199 с,https://nambafood.kg/dish_image/142402.png
Хачапури по-имертински,,Горячие закуски,199 с,https://nambafood.kg/dish_image/142403.png
Хачапури по-мегрельски,,Горячие закуски,199 с,https://nambafood.kg/dish_image/142401.png
Сэндвич с грибами и сыром,,JUNK FOOD,229 с,https://nambafood.kg/dish_image/135665.png
Сэндвич с ветчиной,,JUNK FOOD,229 с,https://nambafood.kg/dish_image/135666.png
Сэндвич с курицей,,JUNK FOOD,239 с,https://nambafood.kg/dish_image/135667.png
Сэндвич с тунцом,,JUNK FOOD,239 с,https://nambafood.kg/dish_image/135668.png
Сэндвич с копченой индейкой,,JUNK FOOD,249 с,https://nambafood.kg/dish_image/135669.png
Сэндвич с лососем,,JUNK FOOD,289 с,https://nambafood.kg/dish_image/135670.png
Панини с грибами и сыром,,JUNK FOOD,229 с,https://nambafood.kg/dish_image/135664.png
Панини с ветчиной,,JUNK FOOD,229 с,https://nambafood.kg/dish_image/135671.png
Панини с курицей,,JUNK FOOD,239 с,https://nambafood.kg/dish_image/135672.png
Панини с копченой индейкой,,JUNK FOOD,249 с,https://nambafood.kg/dish_image/135673.png
Панини с тунцом,,JUNK FOOD,239 с,https://nambafood.kg/dish_image/135674.png
Панини с лососем,,JUNK FOOD,289 с,https://nambafood.kg/dish_image/135675.png
Тортилья с курицей,,JUNK FOOD,289 с,https://nambafood.kg/dish_image/123180.png
Хот дог,,JUNK FOOD,269 с,https://nambafood.kg/dish_image/135663.png
Фирменный бургер с курицей,,JUNK FOOD,359 с,https://nambafood.kg/dish_image/123182.png
Фирменный бургер с говядиной,,JUNK FOOD,399 с,https://nambafood.kg/dish_image/123183.png
Наггетсы с фри,,JUNK FOOD,269 с,https://nambafood.kg/dish_image/123186.png
Френч фрайз болоньезе,,Мексиканские блюда,479 с,https://nambafood.kg/dish_image/123187.png
Фахитос «Мексика»,,Мексиканские блюда,349 с,https://nambafood.kg/dish_image/123190.png
Френч фрайз мексикано,,Мексиканские блюда,379 с,https://nambafood.kg/dish_image/123189.png
Кутабы с яйцом и зеленью,,Мексиканские блюда,189 с,https://nambafood.kg/dish_image/142399.png
Гезлеме с сыром,,Мексиканские блюда,219 с,https://nambafood.kg/dish_image/142400.png
Сырники на кокосовой муке со стевией,"*Калории - 369, Белки - 43, Жиры - 11, Углеводы - 23.",Здоровое питание,299 с,https://nambafood.kg/dish_image/123193.png
Асаи боул,"Смузи на миндальном молоке с гранолой, бананом, и ягодами по сезону. *Калории - 170, Белки - 3, Жиры - 6, Углеводы - 27",Здоровое питание,309 с,https://nambafood.kg/dish_image/123232.png
Шоколадный панкейки на кокосовой муке с бананом и стевией,"*Калории - 596, Белки - 24, Жиры - 26, Углеводы - 66.",Здоровое питание,259 с,https://nambafood.kg/dish_image/123234.png
Фитнес салат с киноа,"*Калории - 490, Белки - 10, Жиры - 28, Углеводы - 46.",Здоровое питание,329 с,https://nambafood.kg/dish_image/123196.png
Пельмени «Чиииз»,"Сыр гауда, пармезан, моцарелла.",Пельмени и вареники,289 с,https://nambafood.kg/dish_image/123235.png
Бабулины вареники,С картошкой.,Пельмени и вареники,189 с,https://nambafood.kg/dish_image/123236.png
Пельмени «Жадина-говядина»,,Пельмени и вареники,259 с,https://nambafood.kg/dish_image/123237.png
Вареники «Зимняя вишня»,Со сладкой вишней,Пельмени и вареники,199 с,https://nambafood.kg/dish_image/123238.png
Пельмени «Грибная охота»,,Пельмени и вареники,259 с,https://nambafood.kg/dish_image/123239.png
Пельмени «Цыпа-цыпа»,,Пельмени и вареники,259 с,https://nambafood.kg/dish_image/123240.png
Пицца с ветчиной,,Пиццы,499 с,https://nambafood.kg/dish_image/123241.png
Пицца с сыром страчателла,,Пиццы,499 с,https://nambafood.kg/dish_image/123242.png
Пицца «Неаполитано»,,Пиццы,479 с,https://nambafood.kg/dish_image/123243.png
Пицца со шпинатом,С грибами и куриным филе.,Пиццы,479 с,https://nambafood.kg/dish_image/123244.png
Пепперони,,Пиццы,469 с,https://nambafood.kg/dish_image/123248.png
Пицца 4 сыра,"Моцарелла, пармезан, дор блю, сливочный сыр.",Пиццы,469 с,https://nambafood.kg/dish_image/123247.png
Маргарита,,Пиццы,379 с,https://nambafood.kg/dish_image/123249.png
Детская пицца с сосисками,,Пиццы,419 с,https://nambafood.kg/dish_image/123250.png
Пицца «Цезарь»,"Курица, листья салата, моцарелла, пармезан, соус цезарь.",Пиццы,559 с,https://nambafood.kg/dish_image/123252.png
Пицца «Болоньезе»,"Фарш из говядины, томаты, моцарелла.",Пиццы,499 с,https://nambafood.kg/dish_image/123257.png
Домашняя пицца,"Говяжья вырезка, куриная грудка, лук, укроп, моцарелла, базилик, сливочный соус, помидоры.",Пиццы,559 с,https://nambafood.kg/dish_image/123253.png
Пицца с курицей и брокколи,,Пиццы,499 с,https://nambafood.kg/dish_image/123246.png
Куриная пицца в сливочном соусе,,Пиццы,489 с,https://nambafood.kg/dish_image/123259.png
Куриная пицца в томатном соусе,,Пиццы,459 с,https://nambafood.kg/dish_image/123258.png
Мексика пицца,"Фарш из говядины, кукуруза, острый перчик, халапеньо, моцарелла, томаты, базилик.",Пиццы,569 с,https://nambafood.kg/dish_image/123263.png
Кебаб-пицца с ягненком,,Пиццы,629 с,https://nambafood.kg/dish_image/123260.png
Фокачча,Итальянская пшеничная лепешка с соусом песто и сыром пармезан.,Пиццы,299 с,https://nambafood.kg/dish_image/123256.png
Суп-лапша с курицей,,Супы,199 с,https://nambafood.kg/dish_image/123266.png
Крем-суп из грибов,,Супы,239 с,https://nambafood.kg/dish_image/123267.png
Рамен с тофу,,Супы,359 с,https://nambafood.kg/dish_image/123275.png
Рамен с курицей,,Супы,379 с,https://nambafood.kg/dish_image/123276.png
Рамен с говядиной,,Супы,409 с,https://nambafood.kg/dish_image/126056.png
Борщ московский,,Супы,239 с,https://nambafood.kg/dish_image/123269.png
Чечевичный суп,,Супы,219 с,https://nambafood.kg/dish_image/123273.png
Кукси,,Супы,279 с,https://nambafood.kg/dish_image/123274.png
Солянка,,Супы,239 с,https://nambafood.kg/dish_image/123278.png
Том ям с креветками,,Супы,529 с,https://nambafood.kg/dish_image/123277.png
Монгольский суп с нутом,,Супы,279 с,https://nambafood.kg/dish_image/123279.png
Карбонара с курицей,,Паста,399 с,https://nambafood.kg/dish_image/123281.png
Альфредо с курицей,,Паста,399 с,https://nambafood.kg/dish_image/123282.png
Алио Олио,,Паста,279 с,https://nambafood.kg/dish_image/123288.png
Спагетти болоньезе,,Паста,389 с,https://nambafood.kg/dish_image/123286.png
Феттучини с семгой и черри,,Паста,429 с,https://nambafood.kg/dish_image/123290.png
Пенне арабьята,,Паста,379 с,https://nambafood.kg/dish_image/123289.png
Пад тай с курицей,,Азиатская кухня,399 с,https://nambafood.kg/dish_image/123291.png
Гречнева лапша с тофу,,Азиатская кухня,309 с,https://nambafood.kg/dish_image/123292.png
Гречневая лапша с курицей,,Азиатская кухня,339 с,https://nambafood.kg/dish_image/123293.png
Поке боул с форелью и рисом,"Рис, лосось, авокадо, кабачок, проросшая пшеница, яйцо пашот, спайси соус.",Азиатская кухня,399 с,https://nambafood.kg/dish_image/123295.png
Поке боул с лососем и киноа,"Киноа, лосось, авокадо, кабачок, проросшая пшеница, яйцо пашот, спайси соус.",Азиатская кухня,429 с,https://nambafood.kg/dish_image/123296.png
Удон с говядиной,,Азиатская кухня,389 с,https://nambafood.kg/dish_image/123298.png
