Наименование,Описание,Категория,Цена,Фото
Английский завтрак,"Яйца, помидоры черри, колбаски, овощные муссы, фасоль.",Завтраки,425 с,https://nambafood.kg/dish_image/98227.png
Каша овсяная,,Завтраки,140 с,https://nambafood.kg/dish_image/97849.png
Каша рисовая,,Завтраки,140 с,https://nambafood.kg/dish_image/98262.png
Каша гречневая,,Завтраки,140 с,https://nambafood.kg/dish_image/98263.png
Блинчики со сметаной,,Завтраки,150 с,https://nambafood.kg/dish_image/98268.png
Блинчики с джемом,,Завтраки,150 с,https://nambafood.kg/dish_image/98269.png
Блинчики с медом,,Завтраки,150 с,https://nambafood.kg/dish_image/98270.png
Омлет скрембл с авокадо,,Завтраки,210 с,https://nambafood.kg/dish_image/111549.png
Омлет скрембл с курицей и сыром,,Завтраки,175 с,https://nambafood.kg/dish_image/111548.png
Омлет скрембл со шпинатом,,Завтраки,140 с,https://nambafood.kg/dish_image/111550.png
Омлет скрембл с грибами,,Завтраки,210 с,https://nambafood.kg/dish_image/98266.png
Омлет скрембл с овощами,,Завтраки,150 с,https://nambafood.kg/dish_image/111547.png
Омлет скрембл,,Завтраки,115 с,https://nambafood.kg/dish_image/111546.png
Творог с фруктами,,Завтраки,220 с,https://nambafood.kg/dish_image/111545.png
Творог ванильный,,Завтраки,175 с,https://nambafood.kg/dish_image/111551.png
Сырники со сметаной,,Завтраки,220 с,https://nambafood.kg/dish_image/111552.png
Сырники с джемом,,Завтраки,220 с,https://nambafood.kg/dish_image/111553.png
Сырники из рисовой муки,"Сметана, джем",Завтраки,220 с,https://nambafood.kg/dish_image/111555.png
Салат «Green food»,"Микс салата, брокколи, горох, стручковая фасоль.",Салаты,255 с,https://nambafood.kg/dish_image/111590.png
"Салат с рукколой, курицей и грибами",,Салаты,335 с,https://nambafood.kg/dish_image/111589.png
Цезарь с курицей,,Салаты,405 с,https://nambafood.kg/dish_image/98275.png
Шпинат с тофу,,Салаты,210 с,https://nambafood.kg/dish_image/111591.png
Салат витаминка с фирменным соусом,,Салаты,210 с,https://nambafood.kg/dish_image/98209.png
Салат с слабосоленым лососем,,Салаты,405 с,https://nambafood.kg/dish_image/98212.png
Баклажаны хрустящие в китайском стиле,,Салаты,335 с,https://nambafood.kg/dish_image/98221.png
Греческий салат с сыром сиртаки и семечками,,Салаты,335 с,https://nambafood.kg/dish_image/97947.png
Кесадилья с овощами и курицей,,Закуски,335 с,https://nambafood.kg/dish_image/98224.png
Кесадилья с овощами,,Закуски,290 с,https://nambafood.kg/dish_image/97843.png
Кесадилья со шпинатом и сыром,,Закуски,290 с,https://nambafood.kg/dish_image/97833.png
Брускетта с лососем,,Закуски,405 с,https://nambafood.kg/dish_image/97950.png
Брускетта с грибами,,Закуски,315 с,https://nambafood.kg/dish_image/111586.png
Брускетта с томатами,,Закуски,175 с,https://nambafood.kg/dish_image/98277.png
Ролл-сэндвич с курицей,,Бургеры и сэндвичи,300 с,https://nambafood.kg/dish_image/98222.png
Клаб-сэндвич с курицей,,Бургеры и сэндвичи,310 с,https://nambafood.kg/dish_image/98220.png
Сэндвич с сыром и салатом,,Бургеры и сэндвичи,220 с,https://nambafood.kg/dish_image/98281.png
Бургер с фасолью,,Бургеры и сэндвичи,345 с,https://nambafood.kg/dish_image/98282.png
Бургер с говядиной,,Бургеры и сэндвичи,405 с,https://nambafood.kg/dish_image/98207.png
Бургер с курицей,,Бургеры и сэндвичи,345 с,https://nambafood.kg/dish_image/98229.png
Тыквенный крем-суп с семечками,,Супы,180 с,https://nambafood.kg/dish_image/97835.png
"Мисо суп с гречневой лапшой, цветной капустой и тофу",,Супы,220 с,https://nambafood.kg/dish_image/97828.png
Лапша по-домашнему,,Супы,175 с,https://nambafood.kg/dish_image/97830.png
Том-ям с рисом,,Супы,450 с,https://nambafood.kg/dish_image/111582.png
Чечевичный суп,,Супы,195 с,https://nambafood.kg/dish_image/98287.png
Гречневый суп Веган с брокколи,,Супы,180 с,https://nambafood.kg/dish_image/98504.png
Рисовый суп Веган с брокколи и маринованными огурчиками,,Супы,140 с,https://nambafood.kg/dish_image/98503.png
Крем-суп из брокколи и зеленого горошка,,Супы,290 с,https://nambafood.kg/dish_image/97834.png
Овощной суп,,Супы,190 с,https://nambafood.kg/dish_image/98283.png
Грибной крем-суп,,Супы,230 с,https://nambafood.kg/dish_image/97842.png
Соба с курицей,,Пасты,490 с,https://nambafood.kg/dish_image/98289.png
Соба с овощами,,Пасты,290 с,https://nambafood.kg/dish_image/98218.png
Фетучини с грибами и креветками в сливочном соусе,,Пасты,520 с,https://nambafood.kg/dish_image/98213.png
Пенне Арабиата,,Пасты,290 с,https://nambafood.kg/dish_image/98217.png
Фетучини с семгой,,Пасты,520 с,https://nambafood.kg/dish_image/98290.png
Карбонара,,Пасты,405 с,https://nambafood.kg/dish_image/98293.png
Крылышки BBQ,,Горячие блюда,630 с,https://nambafood.kg/dish_image/98298.png
Куриная грудка с кускусом,,Горячие блюда,430 с,https://nambafood.kg/dish_image/98206.png
Филе индейки су-вид,,Горячие блюда,430 с,https://nambafood.kg/dish_image/98296.png
Куриное филе с пакчой,,Горячие блюда,370 с,https://nambafood.kg/dish_image/111580.png
Фирменные говяжьи сосиски,,Горячие блюда,370 с,https://nambafood.kg/dish_image/98279.png
Дорадо на гриле,,Горячие блюда,720 с,https://nambafood.kg/dish_image/111579.png
Форель по-норвежски,,Горячие блюда,565 с,https://nambafood.kg/dish_image/111578.png
Стейк из семги,,Горячие блюда,770 с,https://nambafood.kg/dish_image/111577.png
Судак под сливочным и сырным соусом,,Горячие блюда,485 с,https://nambafood.kg/dish_image/111576.png
Стейк рибай,,Горячие блюда,870 с,https://nambafood.kg/dish_image/97825.png
Медальоны из телятины с овощами гриль,,Горячие блюда,680 с,https://nambafood.kg/dish_image/111575.png
Говядина по-деревенски,,Горячие блюда,520 с,https://nambafood.kg/dish_image/111574.png
Боул поке с курочкой,,Боулы,450 с,https://nambafood.kg/dish_image/98216.png
Боул поке с телятиной и авокадо,,Боулы,565 с,https://nambafood.kg/dish_image/111570.png
Боул поке веган с авокадо,,Боулы,370 с,https://nambafood.kg/dish_image/111573.png
"Боул поке с киноа, авокадо, с сыром Сиртаки",,Боулы,440 с,https://nambafood.kg/dish_image/111572.png
Боул поке с семгой и авокадо,,Боулы,540 с,https://nambafood.kg/dish_image/111571.png
Котлеты из брокколи и цветной капусты с картофельным пюре,,Вегетарианские блюда,290 с,https://nambafood.kg/dish_image/111567.png
Стейк тофу,"Гречневая лапша, брокколи, цветная капуста с соусом терияки.",Вегетарианские блюда,370 с,https://nambafood.kg/dish_image/98204.png
Рис с фасолью и овощами,,Вегетарианские блюда,230 с,https://nambafood.kg/dish_image/98592.png
