Наименование,Описание,Категория,Цена,Фото
Сет «Премиум»‎‎,"44 шт. Канада, калифорния с лососем, айдахо, самурай, классик с лососем, классик с креветкой",Сеты,1550 с,https://nambafood.kg/dish_image/102743.png
Сет «Люкс»‎‎,"48 шт. Канада, филадельфия, калифорния с лососем, самурай, бонито, итальянские",Сеты,1850 с,https://nambafood.kg/dish_image/102749.png
Сет «Икра»‎‎,"24 шт. Калифорния с лососем, калифорния с крабом, калифорния с креветкой",Сеты,995 с,https://nambafood.kg/dish_image/102747.png
Сет «FIT»‎‎,"24 шт. Дракон FIT, калифорния с лососем, филадельфия",Сеты,999 с,https://nambafood.kg/dish_image/102772.png
Сет «Темпура»‎‎,"24 шт. Терияки, токио хот, унаги хот",Сеты,889 с,https://nambafood.kg/dish_image/102774.png
Сет «Запеченный»‎‎,"24 шт. Запеченный с лососем, запеченный с угрем, запеченный с креветкой",Сеты,999 с,https://nambafood.kg/dish_image/102792.png
Сет №1,"16 шт. Филадельфия, канада",Сеты,645 с,https://nambafood.kg/dish_image/102777.png
Сет №2,"16 шт. Филадельфия, эби",Сеты,665 с,https://nambafood.kg/dish_image/102760.png
Сет №3,"16 шт. Филадельфия, калифорния",Сеты,625 с,https://nambafood.kg/dish_image/102764.png
Сет Микс,"32 шт. Филадельфия, калифорния, филадельфия, темпура тэрияки",Сеты,1289 с,https://nambafood.kg/dish_image/102773.png
Сет «Экономия 1»‎‎,"Роллы 46 шт., Филадельфия лайт, спайси краб, запеченная терияки, калифорния, токио темпура, лосось, пицца «Густос»‎‎ + Coca-Cola 1 л",Сеты,1310 с,https://nambafood.kg/dish_image/141481.png
Сет «44»‎‎,"Роллы 44 шт. Филадельфия лайт, Red дракон‎‎, Калифорния, Темпура токио, терияки запеченные, пицца пепперони + Coca-Cola 1 л",Сеты,1389 с,https://nambafood.kg/dish_image/141476.png
Сет «64»‎‎  Пицца Маргарита + Пицца  пепперони + Coca-Cola 1 л,"Роллы 64 шт. Калифорния, Red дракон, филадельфия, терияки токио хот, яки запеченные, яки тамага, лосось",Сеты,1610 с,https://nambafood.kg/dish_image/141477.png
Сет «Хай»‎‎,"Роллы 56 шт. Фладельфия лайт, калифорния, темпура токио, Red дракон, лосось, яки запеченные, яки тамага Маргарита, пепперони + Coca-Cola 1 л",Сеты,1790 с,https://nambafood.kg/dish_image/141478.png
Сет «56»‎‎,"Роллы 56 шт. Дайкон унаги, филадельфия лайт, спайси кани, огурец, темпура терияки, яки запеченные + Coca-Cola 1 л",Сеты,1200 с,https://nambafood.kg/dish_image/141479.png
