Наименование,Описание,Категория,Цена,Фото
Чиа боул,,Завтраки,320 с,https://nambafood.kg/dish_image/141519.png
Завтрак по-американски,"Глазунья из 2х яиц, микс салата, жареный бекон, картофельный драник, охотничья сосиска, маринованные грибы, ржаные тосты.",Завтраки,350 с,https://nambafood.kg/dish_image/141567.png
Завтрак по-грузински,"Шакшука из 2-ух яиц в томатном остром соусе, 6 тостов, сливочное масло.",Завтраки,250 с,https://nambafood.kg/dish_image/141518.png
Завтрак с омлетом,"Омет из 2х яич, сосиска, грибы, ветчина, картофельный драник, тосты, микс-салат.",Завтраки,280 с,https://nambafood.kg/dish_image/141568.png
Каша овсяная с бананом,,Завтраки,150 с,https://nambafood.kg/dish_image/117771.png
Каша рисовая,,Завтраки,150 с,https://nambafood.kg/dish_image/117772.png
Сырники со сливовым джемом и сметаной,,Завтраки,220 с,https://nambafood.kg/dish_image/141351.png
Блинчики с творожным кремом и клубникой,,Завтраки,180 с,https://nambafood.kg/dish_image/141352.png
Дранники с соусом сальса и сметаной,,Завтраки,150 с,https://nambafood.kg/dish_image/141353.png
Гуляш по-венгерски,,Завтраки,290 с,https://nambafood.kg/dish_image/141520.png
Салат с креветками и начос,острая заправка.,Салаты,280 с,https://nambafood.kg/dish_image/107488.png
Классический салат с семгой,,Салаты,280 с,https://nambafood.kg/dish_image/107623.png
Салат с карамелизованной грушей и пармезаном,,Салаты,280 с,https://nambafood.kg/dish_image/110147.png
Цезарь с креветками,,Салаты,420 с,https://nambafood.kg/dish_image/139107.png
Цезарь с курицей,,Салаты,360 с,https://nambafood.kg/dish_image/139108.png
Салат с бастурмой,,Салаты,360 с,https://nambafood.kg/dish_image/141525.png
Салат с виноградом под соусом песто,,Салаты,280 с,https://nambafood.kg/dish_image/141526.png
Боул по-азиатски,,Боулы,520 с,https://nambafood.kg/dish_image/141867.png
Боул с креветками,,Боулы,420 с,https://nambafood.kg/dish_image/139109.png
Боул с курицей,,Боулы,390 с,https://nambafood.kg/dish_image/107471.png
Боул с семгой,,Боулы,480 с,https://nambafood.kg/dish_image/141868.png
Куриный суп с лапшой,,Супы,200 с,https://nambafood.kg/dish_image/141566.png
Острый суп с фаршем,,Супы,250 с,https://nambafood.kg/dish_image/141564.png
Том ям,,Супы,440 с,https://nambafood.kg/dish_image/141552.png
Крем-суп чечевичный,,Супы,190 с,https://nambafood.kg/dish_image/110138.png
Крем-суп грибной,,Супы,240 с,https://nambafood.kg/dish_image/141565.png
Окрошка классическая,,Супы,250 с,https://nambafood.kg/dish_image/124772.png
Крем-суп из брокколи,,Супы,250 с,https://nambafood.kg/dish_image/141569.png
Огуречный суп,,Супы,200 с,https://nambafood.kg/dish_image/141522.png
Равиоли с грибами и шпинатом,,Равиоли,350 с,https://nambafood.kg/dish_image/141527.png
Равиоли с сёмгой и брокколи,,Равиоли,390 с,https://nambafood.kg/dish_image/141528.png
Фетучинни с семгой и шпинатом,,Вторые блюда,540 с,https://nambafood.kg/dish_image/141354.png
Спагетти с томленой говядиной,,Вторые блюда,370 с,https://nambafood.kg/dish_image/141355.png
Бефстроганов из говядины,,Вторые блюда,350 с,https://nambafood.kg/dish_image/141521.png
Гавайская пицца,,Пицца,450 с,https://nambafood.kg/dish_image/107484.png
Пепперони халяль,,Пицца,450 с,https://nambafood.kg/dish_image/107487.png
