Наименование,Описание,Категория,Цена,Фото
Каша овсяная с бананом,,Завтраки,150 с,https://nambafood.kg/dish_image/117769.png
Каша рисовая,,Завтраки,150 с,https://nambafood.kg/dish_image/117770.png
Брускетта с томатами,3 шт.,Завтраки,170 с,https://nambafood.kg/dish_image/91143.png
Брускетта с авокадо и пармезаном,,Завтраки,280 с,https://nambafood.kg/dish_image/93004.png
Брускетта с авокадо и пармезаном и лососем,,Завтраки,370 с,https://nambafood.kg/dish_image/91142.png
Бельгийские вафли с джемом,,Завтраки,180 с,https://nambafood.kg/dish_image/91137.png
Панкейк с яблоком и кленовым сиропом,,Завтраки,200 с,https://nambafood.kg/dish_image/117768.png
Сырники с джемом и сметаной,,Завтраки,220 с,https://nambafood.kg/dish_image/91262.png
Блины с мясом,,Завтраки,200 с,https://nambafood.kg/dish_image/91138.png
Блины с творогом,,Завтраки,180 с,https://nambafood.kg/dish_image/92939.png
Глазунья с сосисками,,Завтраки,210 с,https://nambafood.kg/dish_image/100786.png
Глазунья с беконом,,Завтраки,250 с,https://nambafood.kg/dish_image/91287.png
Омлет с овощным салатом,,Завтраки,250 с,https://nambafood.kg/dish_image/91290.png
Чечевичный крем-суп,,Супы,190 с,https://nambafood.kg/dish_image/91294.png
Грибной крем-суп с сухариками,,Супы,240 с,https://nambafood.kg/dish_image/139095.png
Том-ям,,Супы,440 с,https://nambafood.kg/dish_image/139092.png
Суп гаспачо,,Супы,200 с,https://nambafood.kg/dish_image/95379.png
Сырный крем-суп на курином больоне,,Супы,350 с,https://nambafood.kg/dish_image/131411.png
Огуречный суп,,Супы,200 с,https://nambafood.kg/dish_image/141869.png
Окрошка классическая,,Супы,250 с,https://nambafood.kg/dish_image/118219.png
Ростбиф салат,"Микс салат, бон филе, яйцо перепелиное, черри.",Салаты,460 с,https://nambafood.kg/dish_image/117766.png
Цезарь с курицей,,Салаты,360 с,https://nambafood.kg/dish_image/91274.png
Цезарь с креветками,"Листья салата, айсберг, томаты черри, крветки, крутоны, пармезан, соус цезарь",Салаты,420 с,https://nambafood.kg/dish_image/117758.png
Цезарь с семгой,Содержит сок лимона.,Салаты,550 с,https://nambafood.kg/dish_image/142883.png
Салат с авокадо и индейкой,"Индейка, авокадо, шпинат, лук шалот, томаты черри, соус бальзамик, горчичный соус.",Салаты,400 с,https://nambafood.kg/dish_image/139096.png
Салат с грушей и лососем,"Груша карамелизованная, огурцы, сельдерей, каперсы, шпинат, болгарский перец, творожный сыр, заправка на выбор - кунжутный или бальзамический соус.",Салаты,550 с,https://nambafood.kg/dish_image/117763.png
Салат с яйцом пашот и творожным сыром,"Микс из зелени, черри, яйцо, творожный сыр, голландский соус.",Салаты,360 с,https://nambafood.kg/dish_image/117761.png
Греческий салат,,Салаты,200 с,https://nambafood.kg/dish_image/91148.png
Салат по-деревенски с семгой,"Руккола, сельдерей, морковь, огурцы, редис, французский соус.",Салаты,550 с,https://nambafood.kg/dish_image/117759.png
Салат по-деревенски с мясом,"Руккола, сельдерей, морковь, огурцы, редис, французский соус.",Салаты,400 с,https://nambafood.kg/dish_image/117760.png
Салат с тунцом,,Салаты,450 с,https://nambafood.kg/dish_image/139106.png
Салат с бастурмой,,Салаты,360 с,https://nambafood.kg/dish_image/141873.png
Салат с виноградом под соусом песто,,Салаты,280 с,https://nambafood.kg/dish_image/141874.png
Рыбные палочки,,Салаты,290 с,https://nambafood.kg/dish_image/142355.png
Энчиладос,,Салаты,320 с,https://nambafood.kg/dish_image/142356.png
«Tako Dish bowl»‎‎ с курицей,,Боулы,360 с,https://nambafood.kg/dish_image/142881.png
«Tako Dish bowl»‎‎ с говядиной,,Боулы,360 с,https://nambafood.kg/dish_image/142882.png
Чиа боул,,Боулы,320 с,https://nambafood.kg/dish_image/141870.png
Боул с курицей,,Боулы,390 с,https://nambafood.kg/dish_image/107209.png
Боул с семгой,,Боулы,480 с,https://nambafood.kg/dish_image/107210.png
Боул с креветками,,Боулы,420 с,https://nambafood.kg/dish_image/139093.png
Боул по-азиатски,,Боулы,520 с,https://nambafood.kg/dish_image/139088.png
Хумус с черри и рукколой,,Боулы,220 с,https://nambafood.kg/dish_image/139090.png
Мясо по-тайски,,Вторые блюда,650 с,https://nambafood.kg/dish_image/139089.png
Гуляш по-венгерски,,Вторые блюда,290 с,https://nambafood.kg/dish_image/142369.png
Бефстроганов из говядины,,Вторые блюда,350 с,https://nambafood.kg/dish_image/142368.png
Куриные медальоны с грибами под сливочным соусом с пюре,пюре на гарнир,Вторые блюда,450 с,https://nambafood.kg/dish_image/100790.png
Филе форели под сливочным соусом,,Вторые блюда,450 с,https://nambafood.kg/dish_image/131409.png
Т-бон стейк с соленьями,,Стейки,900 с,https://nambafood.kg/dish_image/117752.png
Рибай стейк на кости с запеченными овощами,,Стейки,900 с,https://nambafood.kg/dish_image/91172.png
Пельмешки,,Детское меню,120 с,https://nambafood.kg/dish_image/139097.png
Лапшичка куриная,,Детское меню,200 с,https://nambafood.kg/dish_image/107213.png
Нагетсы куриные,,Детское меню,260 с,https://nambafood.kg/dish_image/107214.png
Черепашка с рисом на гарнир,,Детское меню,250 с,https://nambafood.kg/dish_image/107217.png
Черепашка с пюре на гарнир,,Детское меню,250 с,https://nambafood.kg/dish_image/142353.png
Шоколадный молочный коктейль,,Детское меню,100 с,https://nambafood.kg/dish_image/107219.png
Банановый молочный коктейль,,Детское меню,100 с,https://nambafood.kg/dish_image/107220.png
Клубничный молочный коктель,,Детское меню,100 с,https://nambafood.kg/dish_image/107221.png
Картофель фри,,Гарниры,150 с,https://nambafood.kg/dish_image/91296.png
