Наименование,Описание,Категория,Цена,Фото
Кимчи 1 кг.,"Острый салат из китайской капусты. 1 кг. Состав: пекинская капуста, яблоко, груша, имбирь, каша из рисовой муки, чеснок, свежий красный перец и морковь.",Салаты,500 с,https://nambafood.kg/dish_image/95438.png
Тямпонпаб,суп с морепродуктами и рисом,Супы,450 с,https://nambafood.kg/dish_image/90112.png
Угоди Кальбитан,"Суп из говяжьих рёбер, соевой пасты, говядины и с китайской сушенной капустой Подается с рисом",Супы,420 с,https://nambafood.kg/dish_image/90113.png
Кимчи Тиге,"суп из кимчи, крахмальной лапши, говядины, тофу, подается с рисом",Супы,450 с,https://nambafood.kg/dish_image/81532.png
Пулькогитукбеги,"Суп с говядиной, лук грибы, крахмальная лапша и морковь сладковатом соусе, рис",Супы,450 с,https://nambafood.kg/dish_image/82159.png
Кальбитан суп,"Суп из говяжьих рёбер, зеленый лук, лапша, яичный белок Подается с рисом",Супы,450 с,https://nambafood.kg/dish_image/90114.png
Тендян Тиге,"Суп из соевой пасты, говядины, тофу, кабачки, картошки, грибы, подается с рисом",Супы,450 с,https://nambafood.kg/dish_image/81535.png
Тямпон,Острый суп с морепродуктами с лапшой,Супы,500 с,https://nambafood.kg/dish_image/90115.png
Юкедян,"Суп из говядины, яйцо, грибы, проросшие бобы и папоротник.",Супы,450 с,https://nambafood.kg/dish_image/90116.png
Такторитан,Острый суп из курицы и овощей по корейски.,Супы,1300 с,https://nambafood.kg/dish_image/95425.png
Чамчи Кимпаб 8 шт.,"Роллы редка, морковь, яйцо, огурцы, тунец",Ким-паб,250 с,https://nambafood.kg/dish_image/82162.png
Чамчи Кимпаб 16 шт.,"Роллы редка, морковь, яйцо, огурцы, тунец",Ким-паб,450 с,https://nambafood.kg/dish_image/82163.png
Ячче Кимпаб 8 шт.,"Роллы редка, морковь, яйцо, огурцы",Ким-паб,200 с,https://nambafood.kg/dish_image/81540.png
Ячче Кимпаб 16 шт.,"Роллы редка, морковь, яйцо, огурцы",Ким-паб,370 с,https://nambafood.kg/dish_image/81541.png
Сокоги Кимпаб 8 шт.,"Корейские роллы рис, говядина маринованная, маринованный дайкон, яйцо",Ким-паб,250 с,https://nambafood.kg/dish_image/81986.png
Сокоги Кимпаб 16 шт.,"Корейские роллы рис, говядина маринованная, маринованная дайкон, яйцо",Ким-паб,450 с,https://nambafood.kg/dish_image/81987.png
Соседжи Кимпаб 8 шт.,"Роллы редка, морковь, яйцо, огурцы, сосиски",Ким-паб,250 с,https://nambafood.kg/dish_image/81989.png
