Наименование,Описание,Категория,Цена,Фото
Боул с нежной куриной грудкой,"Нежная куриная грудка, сыр фетакса, яйцо, морковь су вид, бразильский киноа, авокадо, микс полезных трав (салат, айсберг, шпинат, руккола, микрозелень) и орешки",Боулы,350 с,https://nambafood.kg/dish_image/142928.png
Боул с куриными крокетами,"Сытные куриные крокеты, перец калифорния, кукуруза, оливки, помидоры черри, булгур, микс полезных трав (салат, айсберг, шпинат, руккола, микрозелень) и орешки",Боулы,350 с,https://nambafood.kg/dish_image/143064.png
Боул с куриными палочками,"Сытные куриные палочки, перец калифорния, кукуруза, оливки, помидоры черри, булгур, микс полезных трав (салат, айсберг, шпинат, руккола, микрозелень) и орешки",Боулы,350 с,https://nambafood.kg/dish_image/142930.png
Боул с сёмгой,"Филе норвежской семги, свежий редис, бразильский киноа, проросший маш, помидоры черри, свекла, микс полезных трав (салат, айсберг, шпинат, руккола, микрозелень) и орешки",Боулы,370 с,https://nambafood.kg/dish_image/143030.png
Боул с форелью,"Свежая токтогульская форель, кус кус, перепелиное яйцо, зеленый горошек, брокколи, помидоры черри, авокадо, микс полезных трав (салат айсберг, шпинат, руккола, микрозелень) и орешки",Боулы,370 с,https://nambafood.kg/dish_image/143031.png
Боул с угрем,"Японский угорь, морская капуста, мякоть огурца, киноа, помидоры черри, рис басмати, микс полезных трав (салат айсберг, шпинат, руккола, микрозелень) и орешки",Боулы,380 с,https://nambafood.kg/dish_image/142937.png
Боул с нарезанным мясом,"Сочные кусочки говяжьей вырезки, морская капуста, свежий  редис, шампиньоны, чечевица, помидоры черри, авокадо, микс полезных трав (салат айсберг, шпинат, руккола, микрозелень) и орешки",Боулы,350 с,https://nambafood.kg/dish_image/142938.png
Боул с томленной говяжьей грудинкой,"Нежная говяжья грудинка су вид, мексиканские чипсы начос, рис басмати, морковь, помидоры черри, микс полезных трав (айсберг, шпинат, руккола, микрозелень) и орешки",Боулы,350 с,https://nambafood.kg/dish_image/142939.png
Боул вегетарианский с шампиньонами,"Шампиньоны, яйцо, помидоры черри, перец калифорния, африканский кус кус, микс полезных трав (айсберг, шпинат, руккола, микрозелень) и орешки",Боулы,280 с,https://nambafood.kg/dish_image/142940.png
Боул вегетарианский с тофу,"Пекинский тофу, морковь, сельдерей, помидоры черри, оливки, брокколи, бразильский киноа, микс полезных трав (айсберг, шпинат, руккола, микрозелень) и орешки",Боулы,280 с,https://nambafood.kg/dish_image/142941.png
Двойная порция куриной грудки,,Дополнительно,100 с,https://nambafood.kg/dish_image/142949.png
Двойная порция куриных палочек,,Дополнительно,100 с,https://nambafood.kg/dish_image/142943.png
Двойная порция куриных крокетов,,Дополнительно,100 с,https://nambafood.kg/dish_image/142944.png
Двойная порция норвежской семги,,Дополнительно,100 с,https://nambafood.kg/dish_image/142945.png
Двойная порция токтогульской форели,,Дополнительно,100 с,https://nambafood.kg/dish_image/142946.png
Двойная порция нежной говяжьей вырезкой,,Дополнительно,100 с,https://nambafood.kg/dish_image/142947.png
Двойная порция томленной говяжьей грудки,,Дополнительно,100 с,https://nambafood.kg/dish_image/142948.png
Арахис,,Дополнительно,50 с,https://nambafood.kg/dish_image/142950.png
Кунжутный,,Дополнительно,50 с,https://nambafood.kg/dish_image/142951.png
Миндаль,,Дополнительно,50 с,https://nambafood.kg/dish_image/142952.png
Тыквенные семечки,,Дополнительно,50 с,https://nambafood.kg/dish_image/142953.png
Кунжутный соус,,Соусы,0 с,https://nambafood.kg/dish_image/142954.png
Соус терияки,,Соусы,0 с,https://nambafood.kg/dish_image/142955.png
Имбирный соус,,Соусы,0 с,https://nambafood.kg/dish_image/142956.png
Татаки соус,,Соусы,0 с,https://nambafood.kg/dish_image/142957.png
Соус «Sweet Chili»‎‎,,Соусы,0 с,https://nambafood.kg/dish_image/142958.png
Латте на классическом молоке 250 мл,,Кофе на альтернативном молоке 250 мл,100 с,https://nambafood.kg/dish_image/142959.png
Латте на кокосовом молоке 250 мл,,Кофе на альтернативном молоке 250 мл,130 с,https://nambafood.kg/dish_image/142960.png
Латте на овсяном молоке 250 мл,,Кофе на альтернативном молоке 250 мл,130 с,https://nambafood.kg/dish_image/142961.png
Латте на миндальном молоке 250 мл,,Кофе на альтернативном молоке 250 мл,130 с,https://nambafood.kg/dish_image/142962.png
Латте на рисовом молоке 250 мл,,Кофе на альтернативном молоке 250 мл,130 с,https://nambafood.kg/dish_image/142963.png
Латте на соевом молоке 250 мл,,Кофе на альтернативном молоке 250 мл,130 с,https://nambafood.kg/dish_image/142964.png
Капучино на классическом молоке 250 мл,,Кофе на альтернативном молоке 250 мл,100 с,https://nambafood.kg/dish_image/142965.png
Капучино на кокосовом молоке 250 мл,,Кофе на альтернативном молоке 250 мл,130 с,https://nambafood.kg/dish_image/142966.png
Капучино на овсяном молоке 250 мл,,Кофе на альтернативном молоке 250 мл,130 с,https://nambafood.kg/dish_image/142967.png
Капучино на миндальном молоке 250 мл,,Кофе на альтернативном молоке 250 мл,130 с,https://nambafood.kg/dish_image/142968.png
Капучино на рисовом молоке 250 мл,,Кофе на альтернативном молоке 250 мл,130 с,https://nambafood.kg/dish_image/142969.png
Капучино на соевом молоке 250 мл,,Кофе на альтернативном молоке 250 мл,130 с,https://nambafood.kg/dish_image/142970.png
Американо классический 250 мл,,Кофе на альтернативном молоке 250 мл,100 с,https://nambafood.kg/dish_image/142971.png
Американо с классическим молоком 250 мл,,Кофе на альтернативном молоке 250 мл,130 с,https://nambafood.kg/dish_image/142972.png
Американо на кокосовом молоке 250 мл,,Кофе на альтернативном молоке 250 мл,130 с,https://nambafood.kg/dish_image/142973.png
Американо на овсяном молоке 250 мл,,Кофе на альтернативном молоке 250 мл,130 с,https://nambafood.kg/dish_image/142974.png
Американо на миндальном молоке 250 мл,,Кофе на альтернативном молоке 250 мл,130 с,https://nambafood.kg/dish_image/142975.png
Американо на рисовом молоке 250 мл,,Кофе на альтернативном молоке 250 мл,130 с,https://nambafood.kg/dish_image/142976.png
Американо на соевом молоке 250 мл,,Кофе на альтернативном молоке 250 мл,130 с,https://nambafood.kg/dish_image/142977.png
Латте на классическом молоке 400 мл,,Кофе на альтернативном молоке 400 мл,140 с,https://nambafood.kg/dish_image/142978.png
Латте на кокосовом молоке 400 мл,,Кофе на альтернативном молоке 400 мл,200 с,https://nambafood.kg/dish_image/142979.png
Латте на овсяном молоке 400 мл,,Кофе на альтернативном молоке 400 мл,200 с,https://nambafood.kg/dish_image/142981.png
Латте на миндальном молоке 400 мл,,Кофе на альтернативном молоке 400 мл,200 с,https://nambafood.kg/dish_image/142982.png
Латте на рисовом молоке 400 мл,,Кофе на альтернативном молоке 400 мл,200 с,https://nambafood.kg/dish_image/142983.png
Латте на соевом молоке 400 мл,,Кофе на альтернативном молоке 400 мл,200 с,https://nambafood.kg/dish_image/142984.png
Капучино на классическом молоке 400 мл,,Кофе на альтернативном молоке 400 мл,140 с,https://nambafood.kg/dish_image/142985.png
Капучино на кокосовом молоке 400 мл,,Кофе на альтернативном молоке 400 мл,200 с,https://nambafood.kg/dish_image/142986.png
Капучино на овсяном молоке 400 мл,,Кофе на альтернативном молоке 400 мл,200 с,https://nambafood.kg/dish_image/142987.png
Капучино на миндальном молоке 400 мл,,Кофе на альтернативном молоке 400 мл,200 с,https://nambafood.kg/dish_image/142988.png
Капучино на рисовом молоке 400 мл,,Кофе на альтернативном молоке 400 мл,200 с,https://nambafood.kg/dish_image/142989.png
Капучино на соевом молоке 400 мл,,Кофе на альтернативном молоке 400 мл,200 с,https://nambafood.kg/dish_image/142990.png
Американо классический 400 мл,,Кофе на альтернативном молоке 400 мл,140 с,https://nambafood.kg/dish_image/142991.png
