Наименование,Описание,Категория,Цена,Фото
Рисовая лапша «Фо бо»‎‎ с говядиной (острая),Похмельный суп.,Первые блюда,329 с,https://nambafood.kg/dish_image/120707.png
Рисовая лапша «Фо бо»‎ с говядиной (не острая)‎,Похмельный суп.,Первые блюда,329 с,https://nambafood.kg/dish_image/120709.png
Рисовая лапша «Фо га»‎ с курицей (острая)‎,Похмельный суп.,Первые блюда,329 с,https://nambafood.kg/dish_image/120713.png
Рисовая лапша «Фо га»‎ с курицей (не острая)‎,Похмельный суп.,Первые блюда,329 с,https://nambafood.kg/dish_image/120712.png
Рисовая лапша «Бун бо»‎‎ с говядиной,,Первые блюда,329 с,https://nambafood.kg/dish_image/142634.png
Рисовая лапша «Бун бо»‎‎ с говядиной (не острая),,Первые блюда,229 с,https://nambafood.kg/dish_image/142635.png
Рисовая лапша «Бун га»‎‎ с курицей (острая),,Первые блюда,329 с,https://nambafood.kg/dish_image/142636.png
Рисовая лапша «Бун га»‎‎ с курицей (не острая),,Первые блюда,329 с,https://nambafood.kg/dish_image/142637.png
Рисовая лапша «Бун шай хан»‎‎ с морепродуктами (острая),,Первые блюда,439 с,https://nambafood.kg/dish_image/142638.png
Рисовая лапша с морепродуктами «Бун хай шан»‎‎ (не остро),,Первые блюда,439 с,https://nambafood.kg/dish_image/142639.png
Суп из лапши «Ми»‎‎ (острый),,Первые блюда,109 с,https://nambafood.kg/dish_image/142640.png
Суп из лапши «Ми»‎‎ (не острый),,Первые блюда,109 с,https://nambafood.kg/dish_image/142641.png
Том Ям (острый),Кисло-острый суп с морепродуктами,Первые блюда,439 с,https://nambafood.kg/dish_image/142642.png
Лапша с говядиной «Ми Бо»‎‎ (острая),,Первые блюда,219 с,https://nambafood.kg/dish_image/142643.png
Лапша с говядиной «Ми Бо»‎‎ (не острая),,Первые блюда,219 с,https://nambafood.kg/dish_image/142644.png
Лапша с курицей «Ми га»‎‎ (острая),,Первые блюда,219 с,https://nambafood.kg/dish_image/142645.png
Лапша с курицей «Ми Га»‎ (не острая)‎,,Первые блюда,219 с,https://nambafood.kg/dish_image/142646.png
Лапша с морепродуктами «Ми хай шан»‎‎ (острая),,Первые блюда,385 с,https://nambafood.kg/dish_image/142647.png
Лапша с морепродуктами «Ми хай шан»‎‎ (не острая),,Первые блюда,385 с,https://nambafood.kg/dish_image/142648.png
