Наименование,Описание,Категория,Цена,Фото
Чикен касы,600 г. Курица в панировочных сухарях с соусом с медом и майонезом.,Закуски,550 с,https://nambafood.kg/dish_image/137578.png
Чеюкпокым,"1200 г. Говядина, либо свинина на выбор, жареная с овощами в остром соусе.",Закуски,1800 с,https://nambafood.kg/dish_image/79152.png
Чабче,1500 г. Горячий салат из фунчезы с овощами и говядиной.,Закуски,1800 с,https://nambafood.kg/dish_image/75320.png
Тансуюк - свинина,"1400 г. Свинина в кляре, в кисло-сладком соусе",Закуски,1800 с,https://nambafood.kg/dish_image/124738.png
Тансуюк - курица,"1000 г. Курица в кляре, в кисло-сладком соусе с лимоном.",Закуски,1800 с,https://nambafood.kg/dish_image/124740.png
Ханс чикинсел,"600 г. Курица в кляре, лист салата, помидор, красный лук, паприка, горчичный не острый соус.",Закуски,500 с,https://nambafood.kg/dish_image/75281.png
Юринги,"600 г. Курица в кляре, лист салата, помидор, красный лук, паприка, острый соевый соус.",Закуски,500 с,https://nambafood.kg/dish_image/75282.png
Канпунгитоппап,600 г. Курица в кляре в кисло- сладком соусе с рисом.,Закуски,550 с,https://nambafood.kg/dish_image/124725.png
Кимчижон,500 г. Блинчики из кимчи.,Закуски,500 с,https://nambafood.kg/dish_image/124727.png
Канпунги,1000 г. Курица в кляре в кисло-сладком соусе с кетчупом.,Закуски,1800 с,https://nambafood.kg/dish_image/75323.png
Ожинопоккым,1000 г. Кальмары жареные в остром соусе,Закуски,2000 с,https://nambafood.kg/dish_image/75324.png
Чапчепап,600 г. Жареная фунчеза с говядиной с рисом.,Закуски,550 с,https://nambafood.kg/dish_image/124729.png
Чикин,1000 г. Хрустящая курица в кляре.,Закуски,1000 с,https://nambafood.kg/dish_image/75327.png
Янгнемчикин,1100 г. Курица в кляре в остро-сладком соусе.,Закуски,1100 с,https://nambafood.kg/dish_image/75328.png
Крим сэу,500 г. Креветки в кляре в сливочном соусе.,Закуски,1500 с,https://nambafood.kg/dish_image/112228.png
Дубужон,Котлеты из тофу,Закуски,500 с,https://nambafood.kg/dish_image/137584.png
Хотдог с пулькоги,Булочка с говядиной по корейски,Закуски,350 с,https://nambafood.kg/dish_image/137585.png
Салат из древесных грибов,,Салаты,500 с,https://nambafood.kg/dish_image/137588.png
Кимчи чиге с говядиной,600 г. Суп из кимчи с говядиной.,К-поп меню,550 с,https://nambafood.kg/dish_image/124742.png
Кимчи тиге со свининой,650 г. Суп из кимчи со свининой.,К-поп меню,550 с,https://nambafood.kg/dish_image/124741.png
Чеюктопап с говядиной,600 г. Говядина жареная с овощами в остром соусе.,К-поп меню,600 с,https://nambafood.kg/dish_image/124743.png
Чеюктопап со свининой,600 г. Свинина жареная с овощами в остром соусе.,К-поп меню,600 с,https://nambafood.kg/dish_image/124744.png
