Наименование,Описание,Категория,Цена,Фото
Арабская шаурма,"Лаваш, нарезка сочной говядины, картофель фри, салат айсберг, соленные огурцы, соус томатный, соус чесночный.",Шаурма из говядины,209 с,https://nambafood.kg/dish_image/122683.png
Шаурма из говядины классическая,"Лаваш, нарезка сочной говядины, картофель фри, свежие помидоры, огурцы свежие, чесночный соус, белый соус, томатный соус.",Шаурма из говядины,199 с,https://nambafood.kg/dish_image/122688.png
Запеченная шаурма,"Лаваш, нарезка сочной говядины, картофель фри, свежие помидоры, огурцы свежие, чесночный соус, белый соус, томатный соус, сыр, яичная посыпка с кунжутом.",Шаурма из говядины,219 с,https://nambafood.kg/dish_image/122687.png
Шаурма классическая говядина острая,"Лаваш, нарезка сочной говядины, картофель фри, свежие помидоры, огурцы свежие, чесночный соус, белый соус, томатный соус, соус острый.",Шаурма из говядины,209 с,https://nambafood.kg/dish_image/122689.png
Мини шаурма с говядиной,"Лаваш, нарезка сочной говядины, картофель фри, свежие помидоры, огурцы свежие, чесночный соус, белый соус, томатный.",Шаурма из говядины,169 с,https://nambafood.kg/dish_image/122699.png
Куриные крылья 6 шт,,Закуски,219 с,https://nambafood.kg/dish_image/117952.png
Куриные крылья 10 шт,,Закуски,319 с,https://nambafood.kg/dish_image/117953.png
Картофельные дольки - стандарт,,Закуски,119 с,https://nambafood.kg/dish_image/117788.png
Картофельные дольки - маленькая,,Закуски,99 с,https://nambafood.kg/dish_image/117789.png
Картофель фри - стандарт,,Закуски,109 с,https://nambafood.kg/dish_image/117790.png
Картофель фри - маленькая,,Закуски,89 с,https://nambafood.kg/dish_image/117791.png
Гамбургер,"Свежая булочка, нарезка сочной говядины, огурцы соленные, свежие помидоры, соус томатный, соус чесночный.",Бургеры,139 с,https://nambafood.kg/dish_image/122691.png
Чизбургер,"Свежая булочка, сочная говяжья котлета, свежие помидоры, огурцы соленные, салат айсберг, сыр, соус томатный, чесночный соус.",Бургеры,169 с,https://nambafood.kg/dish_image/122703.png
Двойной чизбургер,"Свежая булочка, двойная сочная говяжья котлета, свежие помидоры, огурцы соленные, салат айсберг, сыр, соус томатный, чесночный соус.",Бургеры,249 с,https://nambafood.kg/dish_image/122693.png
Классический бургер,"Свежая булочка, сочная говяжья котлета, огурцы соленные, свежие помидоры, салат айсберг, соус томатный, соус чесночный.",Бургеры,159 с,https://nambafood.kg/dish_image/122692.png
Coca cola 0.5 л,,Холодные напитки,45 с,https://nambafood.kg/dish_image/117798.png
Fanta 0.5 л,,Холодные напитки,45 с,https://nambafood.kg/dish_image/117799.png
Sprite 0.5 л,,Холодные напитки,45 с,https://nambafood.kg/dish_image/117800.png
Coca cola 1 л,,Холодные напитки,80 с,https://nambafood.kg/dish_image/117801.png
Fanta 1 л,,Холодные напитки,80 с,https://nambafood.kg/dish_image/117802.png
Sprite 1 л,,Холодные напитки,80 с,https://nambafood.kg/dish_image/117803.png
"Asu 0,5 л.",,Холодные напитки,40 с,https://nambafood.kg/dish_image/131274.png
Asu 1 л.,,Холодные напитки,50 с,https://nambafood.kg/dish_image/131273.png
Pepsi 1л.,,Холодные напитки,70 с,https://nambafood.kg/dish_image/131356.png
"Pepsi 0,5 л.",,Холодные напитки,50 с,https://nambafood.kg/dish_image/131357.png
Кофе 3в1,,Горячие напитки,30 с,https://nambafood.kg/dish_image/117810.png
Американо,,Горячие напитки,69 с,https://nambafood.kg/dish_image/117807.png
Капучино,,Горячие напитки,79 с,https://nambafood.kg/dish_image/117809.png
Латте,,Горячие напитки,79 с,https://nambafood.kg/dish_image/117808.png
