Наименование,Описание,Категория,Цена,Фото
Пицца куриная 25 см,"Состав: Соус, сыр, моцарелла, помидор, маринованная курица, перец, специи.",Пиццы,300 с,https://nambafood.kg/dish_image/106404.png
Пицца куриная 35 см,"Состав: Соус, сыр, моцарелла, помидор, маринованная курица, перец, специи.",Пиццы,500 с,https://nambafood.kg/dish_image/106405.png
Пицца куриная 40 см,"Состав: Соус, сыр, моцарелла, помидор, маринованная курица, перец, специи.",Пиццы,690 с,https://nambafood.kg/dish_image/106406.png
Пицца чили 25 см,"Состав: Соус, сыр, моцарелла, красный лук, говяжий фарш, перец, специи.",Пиццы,300 с,https://nambafood.kg/dish_image/106407.png
Пицца чили 35 см,"Состав: Соус, сыр, моцарелла, красный лук, говяжий фарш, перец, специи.",Пиццы,500 с,https://nambafood.kg/dish_image/106408.png
Пицца чили 40 см,"Состав: Соус, сыр, моцарелла, красный лук, говяжий фарш, перец, специи.",Пиццы,690 с,https://nambafood.kg/dish_image/106409.png
Пицца охотничья 25 см,"Состав: Соус, сыр, моцарелла, охотничьи сосиски, оливки.",Пиццы,300 с,https://nambafood.kg/dish_image/106410.png
Пицца охотничья 35 см,"Состав: Соус, сыр, моцарелла, охотничьи сосиски, оливки.",Пиццы,500 с,https://nambafood.kg/dish_image/106411.png
Пицца охотничья 40 см,"Состав: Соус, сыр, моцарелла, охотничьи сосиски, оливки.",Пиццы,690 с,https://nambafood.kg/dish_image/106412.png
Пицца детская 25 см,"Состав: Соус, сыр, моцарелла, курица, сосиски, кукуруза, кетчуп.",Пиццы,300 с,https://nambafood.kg/dish_image/106414.png
Пицца детская 35 см,"Состав: Соус, сыр, моцарелла, курица, сосиски, кукуруза, кетчуп.",Пиццы,500 с,https://nambafood.kg/dish_image/106413.png
Пицца детская 40 см,"Состав: Соус, сыр, моцарелла, курица, сосиски, кукуруза, кетчуп.",Пиццы,690 с,https://nambafood.kg/dish_image/106415.png
Пицца цезарь 25 см,"Состав: Соус, сыр, моцарелла, курица, листья салата, помидор, пармезан.",Пиццы,300 с,https://nambafood.kg/dish_image/106416.png
Пицца цезарь 35 см,"Состав: Соус, сыр, моцарелла, курица, листья салата, помидор, пармезан.",Пиццы,500 с,https://nambafood.kg/dish_image/106417.png
Пицца цезарь 40 см,"Состав: Соус, сыр моцарелла, курица, листья салата, помидор, пармезан.",Пиццы,690 с,https://nambafood.kg/dish_image/106418.png
Пицца от рыбака 25 см,"Состав: Соус, сыр, моцарелла, семга, соус и оливки.",Пиццы,300 с,https://nambafood.kg/dish_image/106421.png
Пицца от рыбака 35 см,"Состав: Соус, сыр, моцарелла, семга, соус и оливки.",Пиццы,500 с,https://nambafood.kg/dish_image/106420.png
Пицца от рыбака 40 см,"Состав: Соус, сыр, моцарелла, семга, соус и оливки.",Пиццы,690 с,https://nambafood.kg/dish_image/106419.png
Пицца ассорти 25 см,"Состав: Соус, сыр, моцарелла, мясо, курица, колбаса, перец.",Пиццы,300 с,https://nambafood.kg/dish_image/106422.png
Пицца ассорти 35 см,"Состав: Соус, сыр, моцарелла, мясо, курица, колбаса, перец.",Пиццы,500 с,https://nambafood.kg/dish_image/106423.png
Пицца ассорти 40 см,"Состав: Соус, сыр, моцарелла, мясо, курица, колбаса, перец.",Пиццы,690 с,https://nambafood.kg/dish_image/106424.png
Пицца пепперони 25 см,"Состав: Соус, сыр, моцарелла, колбаса, шампиньоны.",Пиццы,300 с,https://nambafood.kg/dish_image/106425.png
Пицца пепперони 35 см,"Состав: Соус, сыр, моцарелла, колбаса, шампиньоны.",Пиццы,500 с,https://nambafood.kg/dish_image/106426.png
Пицца пепперони 40 см,"Состав: Соус, сыр, моцарелла, колбаса, шампиньоны.",Пиццы,690 с,https://nambafood.kg/dish_image/106427.png
Пицца маргарита 25 см,"Состав: Соус, сыр, моцарелла, помидор.",Пиццы,300 с,https://nambafood.kg/dish_image/106428.png
Пицца маргарита 35 см,"Состав: Соус, сыр, моцарелла, помидор.",Пиццы,500 с,https://nambafood.kg/dish_image/106429.png
Пицца маргарита 40 см,"Состав: Соус, сыр, моцарелла, помидор.",Пиццы,690 с,https://nambafood.kg/dish_image/106430.png
Пицца 4 сыра 25 см,"Состав: Соус, сыр, моцарелла, тильзитский, пармезан, копченый сыр.",Пиццы,300 с,https://nambafood.kg/dish_image/106431.png
