Наименование,Описание,Категория,Цена,Фото
Бай-Куурдак,,Фирменные блюда,3800 с,https://nambafood.kg/dish_image/77523.png
Восточный сет,предзаказ 2 часа,Фирменные блюда,2500 с,https://nambafood.kg/dish_image/77524.png
"Европейский сет 2,5",,Фирменные блюда,2800 с,https://nambafood.kg/dish_image/77525.png
Метр пиццы,,Фирменные блюда,1555 с,https://nambafood.kg/dish_image/77527.png
"Метр шашлыка: Крылья, окорочка, люля-кебаб",,Фирменные блюда,1100 с,https://nambafood.kg/dish_image/78018.png
"Метр шашлыка: Говядина, баранина",,Фирменные блюда,1500 с,https://nambafood.kg/dish_image/78019.png
Торт-плов,,Фирменные блюда,2100 с,https://nambafood.kg/dish_image/77529.png
Маргеланский пирожок,,Фирменные блюда,2100 с,https://nambafood.kg/dish_image/77530.png
Дымляма-торт,,Фирменные блюда,2100 с,https://nambafood.kg/dish_image/77531.png
Ароматный баклажан с сыром и мясом,С сыром и Мясом,Салаты,350 с,https://nambafood.kg/dish_image/77481.png
Острый из Тофу,"куриное филе, тофу, кабачки, баклажан, помидор, перец красный+зеленый, зелень, специи, соевый соус, раст. масло - 400 гр.",Салаты,270 с,https://nambafood.kg/dish_image/77474.png
Радужный,"телятина копч., красная морковь, свекла, капуста, вешенки картофель пай, майонез, специи, лист салата, укроп - , 350 гр.",Салаты,270 с,https://nambafood.kg/dish_image/77475.png
Алюмет - французский салат,"куриная грудка, вареный картофель, вешенки, яйцо, майонез, сыр тильзитский, лист салата, зелень - 385 гр.",Салаты,300 с,https://nambafood.kg/dish_image/77476.png
Гнездо кукушки,"куриная грудка, яйцо, огурцы свеж., зеленый лук, картофель пай, перепелиные яйца, лист салата - 385 гр.",Салаты,270 с,https://nambafood.kg/dish_image/77477.png
Китайский,"утиная копченая грудка, перец красный+зеленый, помидор, огурцы, зелень, специи, масло растительное, зелееный лук, красный лук, соя- 385 гр.",Салаты,270 с,https://nambafood.kg/dish_image/77479.png
Свежий,"Огурцы, помидоры, зеленый лук",Салаты,200 с,https://nambafood.kg/dish_image/77480.png
Шакарап,"Помидоры, лук репчатый",Салаты,170 с,https://nambafood.kg/dish_image/77482.png
Русский салат (под водочку),"селедка, картошка вареная, красный лук, помидоры, лист салата, лимон сок, масло - 335 гр.",Салаты,250 с,https://nambafood.kg/dish_image/77489.png
Мужской каприз,,Салаты,300 с,https://nambafood.kg/dish_image/68756.png
Острый с языком,"язык говяжий, помидоры, огурцы, кинза, китайский соус",Салаты,350 с,https://nambafood.kg/dish_image/77492.png
Салат Joma,"Лист салата, ростбиф, овощи гриль, двойной соус",Салаты,320 с,https://nambafood.kg/dish_image/77496.png
Цезарь с креветками,"Салат микс, помидоры, креветки, крутоны, пармезан, соус цезарь",Салаты,380 с,https://nambafood.kg/dish_image/35175.png
Курица в кисло-сладком соусе,,Салаты,380 с,https://nambafood.kg/dish_image/77905.png
Рыбная нарезка ассорти,,Холодные  закуски,770 с,https://nambafood.kg/dish_image/77517.png
Кавказская закуска,,Холодные  закуски,300 с,https://nambafood.kg/dish_image/77518.png
Нарезка по-европейски,,Холодные  закуски,520 с,https://nambafood.kg/dish_image/77519.png
Нарезка по-кыргызски,,Холодные  закуски,750 с,https://nambafood.kg/dish_image/77520.png
Соленья ассорти,,Холодные  закуски,290 с,https://nambafood.kg/dish_image/77521.png
Куриные нагетсы,,Холодные  закуски,280 с,https://nambafood.kg/dish_image/122426.png
Суп JOMA с фрикадельками,"Баранина, говядина, картофель, горох, лапша, фрикадельки",Супы,280 с,https://nambafood.kg/dish_image/77907.png
Чечевичный крем-суп,220 гр,Супы,230 с,https://nambafood.kg/dish_image/35188.png
Грибной крем-суп,380 гр,Супы,300 с,https://nambafood.kg/dish_image/35189.png
Мампар,300 гр,Супы,250 с,https://nambafood.kg/dish_image/35192.png
Мастава,300 гр,Супы,250 с,https://nambafood.kg/dish_image/35193.png
Чучвара,300 гр,Супы,250 с,https://nambafood.kg/dish_image/35194.png
Фирменный суп с перепелками,,Супы,330 с,https://nambafood.kg/dish_image/35196.png
Солянка,"салями, докторская, окорочка копченая, говядина, огурцы соленые",Супы,250 с,https://nambafood.kg/dish_image/35187.png
Окрошка,,Супы,220 с,https://nambafood.kg/dish_image/68759.png
Мясо по-казахски,300 гр,Супы,250 с,https://nambafood.kg/dish_image/68760.png
Шашлык Ассорти,,Шашлыки,2100 с,https://nambafood.kg/dish_image/77908.png
Люля-кебаб (говядина),,Шашлыки,250 с,https://nambafood.kg/dish_image/77532.png
Говядина,,Шашлыки,350 с,https://nambafood.kg/dish_image/77533.png
Баранина,,Шашлыки,320 с,https://nambafood.kg/dish_image/77909.png
Баранина на косточке,,Шашлыки,390 с,https://nambafood.kg/dish_image/77534.png
Ребрышки бараньи,,Шашлыки,390 с,https://nambafood.kg/dish_image/77535.png
Люля кебаб по кавказски,Баранина + говядина,Шашлыки,250 с,https://nambafood.kg/dish_image/77536.png
Печень в оболочке,,Шашлыки,220 с,https://nambafood.kg/dish_image/77537.png
Окорочка,,Шашлыки,220 с,https://nambafood.kg/dish_image/77538.png
Куриные крылышки,,Шашлыки,220 с,https://nambafood.kg/dish_image/77539.png
Запеченный баклажан,,Шашлыки,90 с,https://nambafood.kg/dish_image/77914.png
Запеченный перец,,Шашлыки,90 с,https://nambafood.kg/dish_image/77916.png
Запеченный картофель,,Шашлыки,60 с,https://nambafood.kg/dish_image/77918.png
Соус шашлычный,,Шашлыки,50 с,https://nambafood.kg/dish_image/77919.png
Лепешка на мангале,,Шашлыки,70 с,https://nambafood.kg/dish_image/77920.png
Лаваш,,Шашлыки,40 с,https://nambafood.kg/dish_image/77921.png
Жаровня из курицы,,Вторые блюда,340 с,https://nambafood.kg/dish_image/77924.png
Жаровня из рыбы,,Вторые блюда,340 с,https://nambafood.kg/dish_image/77925.png
Жаровня из телятины,,Вторые блюда,400 с,https://nambafood.kg/dish_image/77927.png
Жаровня из баранины,,Вторые блюда,400 с,https://nambafood.kg/dish_image/77928.png
Спецплов,По предзаказу,Вторые блюда,3300 с,https://nambafood.kg/dish_image/77899.png
Азербайджанский плов,По предзаказу,Вторые блюда,1700 с,https://nambafood.kg/dish_image/77901.png
Плов обычный (узгенский),По предзаказу,Вторые блюда,1700 с,https://nambafood.kg/dish_image/77902.png
Плов обычный (лазер),По предзаказу,Вторые блюда,1700 с,https://nambafood.kg/dish_image/77903.png
Фирменное блюдо «ДильРабо»‎‎,,Вторые блюда,3100 с,https://nambafood.kg/dish_image/141828.png
Телятина с грибами,,Блюда из телятины,700 с,https://nambafood.kg/dish_image/68806.png
T-bone стейк,470 гр,Блюда из телятины,810 с,https://nambafood.kg/dish_image/35214.png
Ковбой стейк,300 гр,Блюда из телятины,810 с,https://nambafood.kg/dish_image/35215.png
Рибай стейк,300 гр,Блюда из телятины,810 с,https://nambafood.kg/dish_image/35216.png
Медальоны в восточном соусе,300 гр,Блюда из телятины,450 с,https://nambafood.kg/dish_image/35211.png
Телятина отбивная,,Блюда из телятины,610 с,https://nambafood.kg/dish_image/77933.png
Куурдак,250 гр,Блюда из баранины,420 с,https://nambafood.kg/dish_image/77513.png
Казан-кебаб,,Блюда из баранины,460 с,https://nambafood.kg/dish_image/77904.png
Чанахи,,Блюда из баранины,350 с,https://nambafood.kg/dish_image/77511.png
Перзола с пряностями и картофелем,,Блюда из баранины,540 с,https://nambafood.kg/dish_image/77934.png
Фрикасе,"куриная грудка, лук репчатый, вешенки",Блюда из птицы,350 с,https://nambafood.kg/dish_image/68761.png
Волшебный ларец,,Блюда из птицы,380 с,https://nambafood.kg/dish_image/77516.png
Курица Терияки с рисом,,Блюда из птицы,420 с,https://nambafood.kg/dish_image/77514.png
Чахохбили из курицы,,Блюда из птицы,380 с,https://nambafood.kg/dish_image/77936.png
Семга под икорным соусом,220 гр,Блюда из рыбы,700 с,https://nambafood.kg/dish_image/35205.png
Судак с гарниром рататуй,305 гр.,Блюда из рыбы,400 с,https://nambafood.kg/dish_image/68763.png
Феттучини с семгой,,Блюда из рыбы,400 с,https://nambafood.kg/dish_image/68764.png
Судак запеченный,,Блюда из рыбы,400 с,https://nambafood.kg/dish_image/77512.png
Фри,150 гр,Гарниры,120 с,https://nambafood.kg/dish_image/35252.png
Рис ризотто,150 гр,Гарниры,150 с,https://nambafood.kg/dish_image/35253.png
Цветная капуста в кляре,150 гр,Гарниры,180 с,https://nambafood.kg/dish_image/35254.png
Рис,150 гр,Гарниры,120 с,https://nambafood.kg/dish_image/35255.png
Пюре,150 гр,Гарниры,120 с,https://nambafood.kg/dish_image/35256.png
Овощи гриль,150 гр,Гарниры,180 с,https://nambafood.kg/dish_image/35257.png
Крокеты,150 гр,Гарниры,150 с,https://nambafood.kg/dish_image/35258.png
Фирменная jOMA ассорти,"350 гр. Тесто, соус пицца, ветчина, салями, охотничьи колбаски, яйца, соленые огурцы, помидоры, сыр",Пицца,500 с,https://nambafood.kg/dish_image/77937.png
Пепперони,"600 гр. Тесто, соус, салями, перец болгарский, шампиньоны, сыр",Пицца,470 с,https://nambafood.kg/dish_image/77503.png
Пицца Фрикасе,"600 гр. Тесто, соус сливочный, куриная грудка, шампиньоны, лук, сыр, кукуруза",Пицца,470 с,https://nambafood.kg/dish_image/77504.png
Хачапури по-аджарски,"500 гр. Сыр, яйцо, масло сливочное",Пицца,400 с,https://nambafood.kg/dish_image/77506.png
Пицца Цезарь,,Пицца,500 с,https://nambafood.kg/dish_image/77939.png
Охотничья,,Пицца,500 с,https://nambafood.kg/dish_image/77941.png
Детская пицца,,Пицца,370 с,https://nambafood.kg/dish_image/77944.png
Паола пицца,,Пицца,500 с,https://nambafood.kg/dish_image/77945.png
Болонез,"Спагетти, мясной соус, пармезан",Лапша / Паста,380 с,https://nambafood.kg/dish_image/35182.png
Паста «С лососем»‎‎,"спагетти феттучини, лосось, грибы, сливочный соус",Лапша / Паста,400 с,https://nambafood.kg/dish_image/35185.png
Кесадилья,"Куриная грудка, тартиля, тильзитский сыр, лук репчатый, шампиньоны, сливочный соус, апельсин, чери, лист салата, оливки - 750 гр.",Лапша / Паста,450 с,https://nambafood.kg/dish_image/68758.png
Манты с бараниной,5 шт,Национальные блюда,250 с,https://nambafood.kg/dish_image/35222.png
Лагман,300 гр,Национальные блюда,280 с,https://nambafood.kg/dish_image/35226.png
Лепешка,1 шт,Мучные изделия,50 с,https://nambafood.kg/dish_image/35263.png
Самсы с мясом,1 шт,Мучные изделия,70 с,https://nambafood.kg/dish_image/35265.png
Боорсоки,"0,5 кг",Мучные изделия,140 с,https://nambafood.kg/dish_image/35267.png
Боорсоки,1 кг,Мучные изделия,270 с,https://nambafood.kg/dish_image/122432.png
