Наименование,Описание,Категория,Цена,Фото
Бешбармак с брискетом,,Бешбармак,380 с,https://nambafood.kg/dish_image/131904.png
Бешбармак с бараниной BBQ,,Бешбармак,410 с,https://nambafood.kg/dish_image/131905.png
Бешбармак особый,,Бешбармак,480 с,https://nambafood.kg/dish_image/131906.png
Бешбармак на компанию,,Бешбармак,1550 с,https://nambafood.kg/dish_image/131907.png
Бургер «Mushroom trip»,,Бургеры,390 с,https://nambafood.kg/dish_image/131874.png
Брискет бургер,,Бургеры,310 с,https://nambafood.kg/dish_image/131875.png
Чизбургер,,Бургеры,380 с,https://nambafood.kg/dish_image/132004.png
Бургер «Чемпион»,,Бургеры,520 с,https://nambafood.kg/dish_image/131877.png
Бургер с рванной курицей,,Бургеры,290 с,https://nambafood.kg/dish_image/131878.png
Фри,,Гарниры,140 с,https://nambafood.kg/dish_image/131890.png
Овощи на гриле,,Гарниры,220 с,https://nambafood.kg/dish_image/131891.png
Картофель по-деревенски,,Гарниры,140 с,https://nambafood.kg/dish_image/131892.png
Луковые кольца,,Гарниры,160 с,https://nambafood.kg/dish_image/131893.png
Картофель жареный с грибами,,Гарниры,160 с,https://nambafood.kg/dish_image/132003.png
"Coca-Cola 0,25 л",,Прохладительные напитки,77 с,https://nambafood.kg/dish_image/131897.png
"Coca-Cola 0,5 л",,Прохладительные напитки,77 с,https://nambafood.kg/dish_image/131895.png
Coca-Cola 1 л,,Прохладительные напитки,107 с,https://nambafood.kg/dish_image/131896.png
Максым 1 л,,Прохладительные напитки,177 с,https://nambafood.kg/dish_image/131898.png
Жарма 1 л,,Прохладительные напитки,177 с,https://nambafood.kg/dish_image/131899.png
Бозо 1 л,,Прохладительные напитки,177 с,https://nambafood.kg/dish_image/131900.png
Копченный чучук 200 г,,Закуски,490 с,https://nambafood.kg/dish_image/131868.png
Копченный чучук 400 г,,Закуски,980 с,https://nambafood.kg/dish_image/131870.png
Копченный язык,,Закуски,940 с,https://nambafood.kg/dish_image/131869.png
Быжы,300 гр.,Закуски,210 с,https://nambafood.kg/dish_image/131914.png
Сет на компанию,"Бараньи ребрышки 300 гр, брискет 300 гр, курица BBQ 0.5 порции",Закуски,1700 с,https://nambafood.kg/dish_image/132040.png
Грибной крем-суп,,Супы,310 с,https://nambafood.kg/dish_image/131885.png
Рамен с курицей,,Супы,330 с,https://nambafood.kg/dish_image/131886.png
Рамен с брискетом,,Супы,450 с,https://nambafood.kg/dish_image/131887.png
Том ям,,Супы,450 с,https://nambafood.kg/dish_image/131888.png
Чили,,Супы,280 с,https://nambafood.kg/dish_image/131889.png
Греческий салат,"Сыр фетакса, огурцы, помидоры, салат айсберг, маслины, оливковое масло",Салаты,310 с,https://nambafood.kg/dish_image/131879.png
Цезарь с курицей,"Курица, помидоры черри, салат айсберг, сыр пармезан, сухарики, соус цезарь",Салаты,350 с,https://nambafood.kg/dish_image/131880.png
Ростбиф салат,"Ростбиф, огурцы, помидоры, айсберг, зелень, соус цезарь",Салаты,420 с,https://nambafood.kg/dish_image/131881.png
Грибной салат,"Курица, айсберг, грибы, соевый уксус",Салаты,350 с,https://nambafood.kg/dish_image/131882.png
Телячий язык,"Помидоры, огурцы, болг. перец, телячий язык, айсберг, устричный соус, соевый соус, кунжутное масло",Салаты,270 с,https://nambafood.kg/dish_image/131884.png
Лёгкий салат с киноа,"Киноа, огурцы, помидоры, айсберг, лук зеленый, орех греч. масло оливковое, лимон",Салаты,220 с,https://nambafood.kg/dish_image/131883.png
Маргарита,"Помидоры, соус, сыр моцарелла",Пицца,310 с,https://nambafood.kg/dish_image/131871.png
Пицца с курицей BBQ,"курица BBQ, халапеньо, грецкий орех, сыр моцарелла",Пицца,580 с,https://nambafood.kg/dish_image/132007.png
Пицца ассорти,"Куриная грудка, брискет, соус, маслины, сыр моцарелла",Пицца,610 с,https://nambafood.kg/dish_image/132008.png
Пицца 4 сыра,"Сыр моцарелла, брынза, пармезан",Пицца,520 с,https://nambafood.kg/dish_image/131872.png
Пицца пепперони,"Сосиски охотничьи, халапеньо, помидор, маслины, сыр моцарелла, соус",Пицца,440 с,https://nambafood.kg/dish_image/131873.png
Пицца карбонара,"Сыр моцарелла, филе курицы, яйцо, лук, соус.",Пицца,430 с,https://nambafood.kg/dish_image/132006.png
Пицца баранина BBQ,"Сыр моцарелла, баранина BBQ, халапеньо, орех грецкий, соус",Пицца,620 с,https://nambafood.kg/dish_image/132009.png
Пицца по деревенски,"Сыр моцарелла, помидоры, маслины, сосиски охотничьи, халапеньо, шампиньоны, лук красный, соус",Пицца,460 с,https://nambafood.kg/dish_image/132005.png
Брискет,100 г.,Вторые блюда,220 с,https://nambafood.kg/dish_image/132022.png
Бараньи рёбрышки 100 г,,Вторые блюда,220 с,https://nambafood.kg/dish_image/132113.png
