Наименование,Описание,Категория,Цена,Фото
Комбо на одного (оригинальный),"Твистер, ножка, фри мал., соус на выбор, Pepsi 0,5",Комбо меню,436 с,https://nambafood.kg/dish_image/138991.png
Комбо на одного (острый),"Твистер, ножка, фри мал., соус на выбор, Pepsi 0,5",Комбо меню,436 с,https://nambafood.kg/dish_image/139204.png
Комбо на двоих (оригинальный),"2 твистера, 2 фри станд., 2 соуса на выбор, 2 Pepsi 0,5",Комбо меню,746 с,https://nambafood.kg/dish_image/138992.png
Комбо на двоих (острый),"2 твистера, 2 фри станд., 2 соуса на выбор, 2 Pepsi 0,5",Комбо меню,746 с,https://nambafood.kg/dish_image/139215.png
Комбо на семью (оригинальный),"1 Острый баскет, 1 фри баскет, 4 Pepsi 0,5, 4 твистера, 4 соуса на выбор",Комбо меню,1860 с,https://nambafood.kg/dish_image/138993.png
Комбо на семью (острый),"1 Острый баскет, 1 фри баскет, 4 Pepsi 0,5, 4 твистера, 4 соуса на выбор",Комбо меню,1860 с,https://nambafood.kg/dish_image/139213.png
Чизбургер,"Пряный горчичный соус, кетчуп, сочные стрипсы в оригинальной панировке, лук, сыр Чеддер, огурцы на пшеничной булочке с кукурузной посыпкой.",Бургеры,145 с,https://nambafood.kg/dish_image/55712.png
ШефБургер оригинальный,"Попробуйте новый уникальный бургер от шефа! Сочная курица, томаты, свежий салат, соус Цезарь и аппетитная булочка с кунжутом. Такого вы еще не пробовали!",Бургеры,189 с,https://nambafood.kg/dish_image/97971.png
ШефБургер острый,"Попробуйте новый уникальный бургер от шефа! Сочная курица, томаты, свежий салат, соус Цезарь и аппетитная булочка с кунжутом. Такого вы еще не пробовали!",Бургеры,189 с,https://nambafood.kg/dish_image/97972.png
Чизбургер Де Люкс,"Пряный горчичный соус, кетчуп, сочное филе в оригинальной панировке, лук, сыр Чеддер, огурцы на пшеничной булочке с кукурузной посыпкой, свежий салат и ломтики помидора.",Бургеры,189 с,https://nambafood.kg/dish_image/97973.png
Шефбургер Де Люкс оригинальный,"Бургер от шефа теперь Де Люкс! Сочное филе в оригинальной панировке, томаты, салат айсберг, соус Цезарь, аппетитная булочка с кунжутом и нежный сыр!",Бургеры,219 с,https://nambafood.kg/dish_image/112223.png
Шефбургер Де Люкс острый,"Острый бургер от шефа теперь де Люкс! Острое филе в хрустящей панировке, салат айсберг, маринованные огурцы, лук, фирменный соус «Бургер», булочка с кунжутом и ломтик сыра.",Бургеры,219 с,https://nambafood.kg/dish_image/112224.png
Шефтауэр оригинальный,"Новинка от Шефа! Нежный сливочный соус Цезарь, сочное филе в оригинальной панировке, румяный хашбраун, ломтик сыра, салат айcберг и помидоры на пшеничной булочке с черно-белым кунжутом.",Бургеры,249 с,https://nambafood.kg/dish_image/141363.png
Шефтауэр острый,"Новинка от Шефа! Сочное филе в острой панировке, румяный хашбраун, ломтик сыра, сочные листья салата Айсберг, пикантные маринованные огурчики, лук, фирменный соус «Бургер» и булочка с черно-белым кунжутом.",Бургеры,249 с,https://nambafood.kg/dish_image/141364.png
Сандерс Бургер Оригинальный,"Уникальная рецептура, продуманная до мелочей – для создания неповторимого вкуса премиального бургера KFC. Сливочная булочка Бриошь, двойной сыр Чеддер, маринованные огурчики, хрустящий салат и легендарное куриное филе в оригинальной панировке- лучше просто не бывает!",Бургеры,249 с,https://nambafood.kg/dish_image/145688.png
Сандерс Бургер Острый,"Уникальная рецептура, продуманная до мелочей – для создания неповторимого вкуса премиального бургера KFC. Сливочная булочка Бриошь, двойной сыр Чеддер, маринованные огурчики, хрустящий салат и легендарное куриное филе в острой панировке- лучше просто не бывает!",Бургеры,249 с,https://nambafood.kg/dish_image/145689.png
Твистер из тостера оригинальный,"Закручен со вкусом! Кусочки нежнейшего куриного филе в хрустящей острой или оригинальной панировке с сочными листьями салата, кусочками помидора и нежным майонезом мы завернули в пшеничную лепешку и поджарили в тостере. Тут все и закрутилось!",Твистеры,175 с,https://nambafood.kg/dish_image/84542.png
Твистер из тостера острый,"Закручен со вкусом! Кусочки нежнейшего куриного филе в хрустящей острой или оригинальной панировке с сочными листьями салата, кусочками помидора и нежным майонезом мы завернули в пшеничную лепешку и поджарили в тостере. Тут все и закрутилось!",Твистеры,175 с,https://nambafood.kg/dish_image/55051.png
