Наименование,Описание,Категория,Цена,Фото
Завтраки на 1 персону,,Завтрак,500 с,https://nambafood.kg/dish_image/110033.png
Чечевичный суп без томата,,Супы,200 с,https://nambafood.kg/dish_image/110034.png
Чечевичный суп без томата 0.5,,Супы,110 с,https://nambafood.kg/dish_image/110035.png
Чечевичный суп,,Супы,200 с,https://nambafood.kg/dish_image/110036.png
Чечевичный суп 0.5,,Супы,110 с,https://nambafood.kg/dish_image/110037.png
Суп из требухи,,Супы,230 с,https://nambafood.kg/dish_image/110038.png
Суп из требухи 0.5,,Супы,125 с,https://nambafood.kg/dish_image/110039.png
Келле пача,,Супы,230 с,https://nambafood.kg/dish_image/110040.png
Келле пача 0.5,,Супы,125 с,https://nambafood.kg/dish_image/110041.png
Сигара бореги,,Салаты,200 с,https://nambafood.kg/dish_image/110132.png
Хайдари,,Салаты,230 с,https://nambafood.kg/dish_image/110063.png
Хумус,,Салаты,230 с,https://nambafood.kg/dish_image/110062.png
Салат из зелени,,Салаты,220 с,https://nambafood.kg/dish_image/110064.png
Эзме,,Салаты,230 с,https://nambafood.kg/dish_image/110060.png
Сузме,,Салаты,200 с,https://nambafood.kg/dish_image/110061.png
Йогурт,,Салаты,150 с,https://nambafood.kg/dish_image/110065.png
Окрошка по-турецки,,Салаты,190 с,https://nambafood.kg/dish_image/110066.png
Жареные баклажаны,,Салаты,280 с,https://nambafood.kg/dish_image/110067.png
Свежий салат,,Салаты,250 с,https://nambafood.kg/dish_image/110068.png
Ассорти долма,,Салаты,280 с,https://nambafood.kg/dish_image/110069.png
Фасоль в томатном соусе,,Салаты,230 с,https://nambafood.kg/dish_image/110070.png
Оливье,,Салаты,230 с,https://nambafood.kg/dish_image/110071.png
Свекольный салат,,Салаты,200 с,https://nambafood.kg/dish_image/110072.png
Шакшука,,Салаты,250 с,https://nambafood.kg/dish_image/110073.png
Греческий,,Салаты,250 с,https://nambafood.kg/dish_image/110074.png
Салат из фасоли,,Салаты,220 с,https://nambafood.kg/dish_image/110075.png
Яичный салат,,Салаты,230 с,https://nambafood.kg/dish_image/110076.png
Хашлама,Баранина,Вторые блюда,410 с,https://nambafood.kg/dish_image/110077.png
Котлеты Измир,Говядина,Вторые блюда,380 с,https://nambafood.kg/dish_image/110078.png
Гороховый суп по-турецки,,Вторые блюда,290 с,https://nambafood.kg/dish_image/110080.png
Фасолевый суп по-турецки,,Вторые блюда,290 с,https://nambafood.kg/dish_image/110082.png
Кавурма,Баранина,Вторые блюда,550 с,https://nambafood.kg/dish_image/110083.png
Кавурма 0.7,Баранина,Вторые блюда,290 с,https://nambafood.kg/dish_image/110084.png
Тандыр,Баранина,Вторые блюда,650 с,https://nambafood.kg/dish_image/110085.png
Куриное Соте,,Кебаб,450 с,https://nambafood.kg/dish_image/110086.png
Мясное Соте,Говядина,Кебаб,520 с,https://nambafood.kg/dish_image/110087.png
Шашлык из баранины,,Кебаб,510 с,https://nambafood.kg/dish_image/110109.png
Адана Кебаб,"Говядина, бараний жир",Кебаб,480 с,https://nambafood.kg/dish_image/110110.png
Урфа Кебаб,"Говядина, бараний жир",Кебаб,480 с,https://nambafood.kg/dish_image/110111.png
Шашлык из курицы,,Кебаб,410 с,https://nambafood.kg/dish_image/110112.png
Пирзола,,Кебаб,610 с,https://nambafood.kg/dish_image/110113.png
Шашлык из крылышек,,Кебаб,430 с,https://nambafood.kg/dish_image/110114.png
Симит Кебаб,,Кебаб,560 с,https://nambafood.kg/dish_image/110115.png
Бейти Кебаб,,Кебаб,550 с,https://nambafood.kg/dish_image/110116.png
Кебаб с Помидором,,Кебаб,450 с,https://nambafood.kg/dish_image/110117.png
Шашлык из бонфиле,,Кебаб,650 с,https://nambafood.kg/dish_image/110118.png
Котлеты Инеголь,Говядина,Кебаб,420 с,https://nambafood.kg/dish_image/110119.png
Ассорти кебаб,,Кебаб,650 с,https://nambafood.kg/dish_image/110120.png
Кебаб Хаус Ассорти на 4 персоны,,Кебаб,3400 с,https://nambafood.kg/dish_image/110134.png
Ассорти кебаб на 4 человека,,Кебаб,2600 с,https://nambafood.kg/dish_image/110122.png
Даллас Стейк,Говядина,Стейки,750 с,https://nambafood.kg/dish_image/110123.png
Рибай Стейк,Говядина,Стейки,780 с,https://nambafood.kg/dish_image/110124.png
Тибон Стейк,Говядина,Стейки,750 с,https://nambafood.kg/dish_image/110125.png
Семга стейк,,Стейки,780 с,https://nambafood.kg/dish_image/110107.png
Рыба Дорадо,,Стейки,780 с,https://nambafood.kg/dish_image/110108.png
Донер,"Говядина, бараний жир",Мясо на Вертеле,520 с,https://nambafood.kg/dish_image/110101.png
Донер 0.7,"Говядина, бараний жир",Мясо на Вертеле,280 с,https://nambafood.kg/dish_image/110102.png
Искендер,"Говядина, бараний жир",Мясо на Вертеле,550 с,https://nambafood.kg/dish_image/110103.png
Искендер 0.7,"Говядина, бараний жир",Мясо на Вертеле,290 с,https://nambafood.kg/dish_image/110104.png
Шаурма,,Мясо на Вертеле,290 с,https://nambafood.kg/dish_image/110105.png
Гамбургер,,Мясо на Вертеле,250 с,https://nambafood.kg/dish_image/110106.png
Пиде с фаршем,Говядина,Пиде,350 с,https://nambafood.kg/dish_image/110093.png
Пиде с мясом,Говядина,Пиде,420 с,https://nambafood.kg/dish_image/110094.png
Куриный пиде,,Пиде,330 с,https://nambafood.kg/dish_image/110095.png
Пиде с сыром,,Пиде,320 с,https://nambafood.kg/dish_image/110096.png
Пиде Ассорти,,Пиде,480 с,https://nambafood.kg/dish_image/110097.png
Лахмажун,,Пиде,320 с,https://nambafood.kg/dish_image/110098.png
Лахмажун 0.5,,Пиде,165 с,https://nambafood.kg/dish_image/110099.png
Лаваш,,Пиде,100 с,https://nambafood.kg/dish_image/110100.png
Булгур,,Гарниры,130 с,https://nambafood.kg/dish_image/110088.png
Булгур 0.5,,Гарниры,70 с,https://nambafood.kg/dish_image/110089.png
Рис,,Гарниры,120 с,https://nambafood.kg/dish_image/110090.png
Рис 0.5,,Гарниры,60 с,https://nambafood.kg/dish_image/110091.png
Фри,,Гарниры,140 с,https://nambafood.kg/dish_image/110092.png
Пепперони 30 см.,,Пиццы,380 с,https://nambafood.kg/dish_image/110642.png
Пепперони 40 см.,,Пиццы,480 с,https://nambafood.kg/dish_image/110045.png
Маргарита 30 см.,,Пиццы,290 с,https://nambafood.kg/dish_image/110644.png
Маргарита 40 см.,,Пиццы,380 с,https://nambafood.kg/dish_image/110047.png
Шашлычная 30 см.,,Пиццы,380 с,https://nambafood.kg/dish_image/110639.png
Шашлычная 40 см.,,Пиццы,480 с,https://nambafood.kg/dish_image/110043.png
Куриная 30 см.,,Пиццы,380 с,https://nambafood.kg/dish_image/110645.png
Куриная 40 см.,,Пиццы,480 с,https://nambafood.kg/dish_image/110049.png
Чили 30 см.,,Пиццы,380 с,https://nambafood.kg/dish_image/110640.png
Чили 40 см.,,Пиццы,480 с,https://nambafood.kg/dish_image/110051.png
Мексиканская 30 см.,,Пиццы,380 с,https://nambafood.kg/dish_image/110643.png
Мексиканская 40 см.,,Пиццы,480 с,https://nambafood.kg/dish_image/110053.png
Детская 30 см.,,Пиццы,380 с,https://nambafood.kg/dish_image/110646.png
Детская 40 см.,,Пиццы,480 с,https://nambafood.kg/dish_image/110055.png
Ассорти 30 см.,,Пиццы,400 с,https://nambafood.kg/dish_image/110647.png
Ассорти 40 см.,,Пиццы,500 с,https://nambafood.kg/dish_image/110057.png
4 Сыра 30 см.,,Пиццы,380 с,https://nambafood.kg/dish_image/110641.png
4 Сыра 40 см.,,Пиццы,480 с,https://nambafood.kg/dish_image/110059.png
Булбул баклава,,Десерты,220 с,https://nambafood.kg/dish_image/110126.png
Баклава,,Десерты,210 с,https://nambafood.kg/dish_image/110127.png
Фисташковая баклава,,Десерты,270 с,https://nambafood.kg/dish_image/110128.png
Мидия баклава,,Десерты,240 с,https://nambafood.kg/dish_image/110129.png
Баклава с грецким орехом,,Десерты,180 с,https://nambafood.kg/dish_image/110130.png
Сутлач,,Десерты,180 с,https://nambafood.kg/dish_image/110131.png
Тыква с сиропом,,Десерты,170 с,https://nambafood.kg/dish_image/110135.png
Coca-cola 1 л.,,Напитки,150 с,https://nambafood.kg/dish_image/140811.png
Соки в ассортименте 1 л.,,Напитки,190 с,https://nambafood.kg/dish_image/103544.png
Fuse Tea 0.5 л,,Напитки,80 с,https://nambafood.kg/dish_image/140814.png
Legenda 1 л.,,Напитки,80 с,https://nambafood.kg/dish_image/103541.png
Legenda 0.5 л.,,Напитки,60 с,https://nambafood.kg/dish_image/140819.png
Bonaqua 1 л.,,Напитки,70 с,https://nambafood.kg/dish_image/140815.png
"Bonaqua 0,5 л.",,Напитки,40 с,https://nambafood.kg/dish_image/140816.png
Компот 1 л.,,Напитки,200 с,https://nambafood.kg/dish_image/140817.png
"Турецкая Газировка 0,25 л.",,Напитки,100 с,https://nambafood.kg/dish_image/103538.png
"Coca-cola 0,5 л",,Напитки,80 с,https://nambafood.kg/dish_image/131705.png
