Наименование,Описание,Категория,Цена,Фото
Пуг тяй,"1 порция говядина, яйцо, овощи, тяй",Первые блюда (корейская кухня),260 с,https://nambafood.kg/dish_image/28912.png
"Пуг-тяй 0,7","0,7 порция говядина, яйцо, овощи, тяй",Первые блюда (корейская кухня),240 с,https://nambafood.kg/dish_image/28913.png
Сиряги-Тямури,"1 порция говядина, сушеная корейская капуста, тяй, тыби (тофу)",Первые блюда (корейская кухня),240 с,https://nambafood.kg/dish_image/15107.png
"Сиряги-тямури 0,7","0,7  порции  говядина, сушеная корейская капуста, тяй, тыби (тофу)",Первые блюда (корейская кухня),220 с,https://nambafood.kg/dish_image/28914.png
Кукси с говядиной,"1 порция говядина, огурцы, перец, капуста, яйцо",Первые блюда (корейская кухня),290 с,https://nambafood.kg/dish_image/28958.png
"Кукси с говядиной 0,7","0,7 порции говядина, огурцы, перец, капуста, яйцо",Первые блюда (корейская кухня),260 с,https://nambafood.kg/dish_image/28957.png
Тыби-тяй,"1 порция говядина, тыби (тофу)овощи, тяй",Первые блюда (корейская кухня),260 с,https://nambafood.kg/dish_image/28908.png
"Тыби-тяй 0,7","0,7 порция говядина, тыби (тофу) овощи, тяй",Первые блюда (корейская кухня),240 с,https://nambafood.kg/dish_image/28909.png
Пельмени по-корейски,"1 порция пельмени,соевый соус, чеснок, лук, огонек",Первые блюда (корейская кухня),280 с,https://nambafood.kg/dish_image/28911.png
Рыба Хе,"250 гр. свеже маринованный филе судака, с луком в уксусе со специями",Салаты Хе (корейская кухня),390 с,https://nambafood.kg/dish_image/15073.png
Хе из куриных желудков,250 гр. Отварные куриные желудки заправленные с луком в уксусе со специями,Салаты Хе (корейская кухня),290 с,https://nambafood.kg/dish_image/15074.png
Хе из спаржи,250 гр. Маринованная спаржа с луком в уксусе со специями,Салаты Хе (корейская кухня),240 с,https://nambafood.kg/dish_image/28920.png
Хе из говядины,"250 гр. Горячий салат из говядины обжаренный с луком, полугорьким перцем в уксусе со специями",Салаты Хе (корейская кухня),390 с,https://nambafood.kg/dish_image/28919.png
Требуха-хе,250 гр. Отварная говяжья требуха заправленная с луком в уксусе со специями,Салаты Хе (корейская кухня),290 с,https://nambafood.kg/dish_image/15079.png
Хе из грибов,"250 гр. Вешенки тушатся с луком, перцем в уксусе со специями",Салаты Хе (корейская кухня),280 с,https://nambafood.kg/dish_image/28915.png
Хе из баранины,"250 гр. Горячий салат из баранины обжаренный с луком, полугорьким перцем в уксусе со специями",Салаты Хе (корейская кухня),340 с,https://nambafood.kg/dish_image/105702.png
Чимчи,250 гр. Маринованная капуста бясай в соусе конкочи,Корейская кухня. Салаты,180 с,https://nambafood.kg/dish_image/15087.png
Баклажаны по китайски (по сезону),250 гр. Баклажаны обжаренные с луком и перцем в китайском  уксусе,Корейская кухня. Салаты,350 с,https://nambafood.kg/dish_image/28918.png
Опята,250 гр. Жаренные опята с мясом в соевым соусе со специями,Корейская кухня. Салаты,300 с,https://nambafood.kg/dish_image/15098.png
Требуха жареная,"250 гр. Обжаренная требуха с луком, полугорьким перцем в соевом соусе со специями",Корейская кухня. Салаты,280 с,https://nambafood.kg/dish_image/28925.png
