Наименование,Описание,Категория,Цена,Фото
Салат из языка по-китайски,"Говяжий язык, помидоры, огурцы, лук, специи острые.",Салаты (с 12:00),195 с,https://nambafood.kg/dish_image/136819.png
Гриль салат «Цезарь»,"Филе курицы гриль, сухари, листья салата, китайская капуста, сыр пармезан.",Салаты (с 12:00),205 с,https://nambafood.kg/dish_image/107585.png
Салат из говядины,по-китайски,Салаты (с 12:00),195 с,https://nambafood.kg/dish_image/136818.png
Салат «Свежий зеленый»,,Салаты (с 12:00),130 с,https://nambafood.kg/dish_image/107584.png
Теплый овощной салат,C филе телятины на гриле.,Салаты (с 12:00),240 с,https://nambafood.kg/dish_image/107583.png
Хрустящий салат с филе курочки,,Салаты (с 12:00),185 с,https://nambafood.kg/dish_image/107578.png
Салат из филе курочки заправленный соусом «Цезарь»,,Салаты (с 12:00),185 с,https://nambafood.kg/dish_image/125700.png
Греческий салат,,Салаты (с 12:00),160 с,https://nambafood.kg/dish_image/57997.png
Шакарап,,Салаты (с 12:00),105 с,https://nambafood.kg/dish_image/51307.png
Салат из требухи по-китайски,,Салаты (с 12:00),140 с,https://nambafood.kg/dish_image/51308.png
Салат свежий,,Салаты (с 12:00),130 с,https://nambafood.kg/dish_image/107611.png
Чечевичный крем-суп,,Первые блюда (с 12:00),135 с,https://nambafood.kg/dish_image/51256.png
Суп с фрикадельками,,Первые блюда (с 12:00),155 с,https://nambafood.kg/dish_image/80964.png
Пельмени,,Первые блюда (с 12:00),160 с,https://nambafood.kg/dish_image/80963.png
Шорпо с говядиной,,Первые блюда (с 12:00),175 с,https://nambafood.kg/dish_image/51310.png
Борщ,,Первые блюда (с 12:00),165 с,https://nambafood.kg/dish_image/51257.png
Суп-лапша куриная,,Первые блюда (с 12:00),165 с,https://nambafood.kg/dish_image/76978.png
Суп из щавеля с телятиной гриль,С телятиной гриль,Первые блюда (с 12:00),170 с,https://nambafood.kg/dish_image/51260.png
Мампар,,Первые блюда (с 12:00),155 с,https://nambafood.kg/dish_image/51312.png
Чучвара,Из говяжьего фарша,Первые блюда (с 12:00),160 с,https://nambafood.kg/dish_image/51259.png
Солянка сборная,,Первые блюда (с 12:00),175 с,https://nambafood.kg/dish_image/51261.png
Сырный суп,С филе курочки-гриль с поджаристым хлебушком,Первые блюда (с 12:00),165 с,https://nambafood.kg/dish_image/51258.png
Шорпо из курочки,,Первые блюда (с 12:00),165 с,https://nambafood.kg/dish_image/112210.png
Уха с форелью,,Первые блюда (с 12:00),180 с,https://nambafood.kg/dish_image/130076.png
Лапша вкус востока с курицей,,Первые блюда (с 12:00),175 с,https://nambafood.kg/dish_image/136757.png
Лапшка вкус востока с языком,,Первые блюда (с 12:00),175 с,https://nambafood.kg/dish_image/136758.png
Мясо со шпинатом,,Горячие блюда (с 12:00),275 с,https://nambafood.kg/dish_image/136821.png
Курица со шпинатом,,Горячие блюда (с 12:00),270 с,https://nambafood.kg/dish_image/112212.png
Бешбармак,,Горячие блюда (с 12:00),265 с,https://nambafood.kg/dish_image/80966.png
Азу по-татарски,,Горячие блюда (с 12:00),245 с,https://nambafood.kg/dish_image/107580.png
Бризоль,,Горячие блюда (с 12:00),200 с,https://nambafood.kg/dish_image/136767.png
Пельмени жареные,,Горячие блюда (с 12:00),200 с,https://nambafood.kg/dish_image/112213.png
Фрикасе с филе курочки без гарнира,,Горячие блюда (с 12:00),180 с,https://nambafood.kg/dish_image/51273.png
Бифштекс с яйцом,,Горячие блюда (с 12:00),185 с,https://nambafood.kg/dish_image/80968.png
