Наименование,Описание,Категория,Цена,Фото
Комбо 1,"Лапша, салат, пампушка, компот, яйцо.",Лапша,292 с,https://nambafood.kg/dish_image/129515.png
Комбо 2,"Лапша, дополнительное мясо, яйцо, салат.",Лапша,324 с,https://nambafood.kg/dish_image/129918.png
Комбо 3,"Лапша с тушеной говядиной, салат, пампушка, компот 0,25, яйцо по особому рецепту",Лапша,325 с,https://nambafood.kg/dish_image/136636.png
Комбо 4,"Лапша, дополнительное мясо, яйцо, салат, пампушка, компот, яйцо.",Лапша,373 с,https://nambafood.kg/dish_image/129920.png
Комбо 5,"Пельмени, компот, пампушка, салат.",Лапша,266 с,https://nambafood.kg/dish_image/129921.png
Дуэт,Жареные пельмени- 1 п. Фирменная лапша - 1 п. Салат - 2 п. Coca-Cola 1 л.,Сеты,526 с,https://nambafood.kg/dish_image/129923.png
"Фирменное блюдо ""Lanzhou""",,Горячие блюда,338 с,https://nambafood.kg/dish_image/87142.png
Гуйру,,Горячие блюда,294 с,https://nambafood.kg/dish_image/87141.png
Суйру,,Горячие блюда,294 с,https://nambafood.kg/dish_image/87152.png
Лагман цомян,,Горячие блюда,305 с,https://nambafood.kg/dish_image/129930.png
Цомян с джусаем,,Горячие блюда,316 с,https://nambafood.kg/dish_image/87154.png
Цомян с курицей и грибами,,Горячие блюда,305 с,https://nambafood.kg/dish_image/129931.png
Ланжоу кебаб,,Горячие блюда,344 с,https://nambafood.kg/dish_image/129933.png
Лагман сливочный,,Горячие блюда,316 с,https://nambafood.kg/dish_image/128055.png
Лагман овощной,,Горячие блюда,217 с,https://nambafood.kg/dish_image/129934.png
Казан кебаб,С рисом,Горячие блюда,382 с,https://nambafood.kg/dish_image/129935.png
Казан кебаб,С тестом лагмана,Горячие блюда,382 с,https://nambafood.kg/dish_image/129936.png
Жареный картофель с мясом,,Горячие блюда,303 с,https://nambafood.kg/dish_image/129937.png
Картофель с курицей,,Горячие блюда,276 с,https://nambafood.kg/dish_image/128056.png
Мошуру,,Горячие блюда,305 с,https://nambafood.kg/dish_image/87150.png
Лазджы с курицей,,Горячие блюда,316 с,https://nambafood.kg/dish_image/87147.png
Дополнительное мясо,,Гарниры,81 с,https://nambafood.kg/dish_image/128059.png
Бульон к лапше,,Гарниры,62 с,https://nambafood.kg/dish_image/128061.png
Пампушка 1 шт,1 шт,Гарниры,22 с,https://nambafood.kg/dish_image/88782.png
Пампушка жареная,1 шт,Гарниры,24 с,https://nambafood.kg/dish_image/128060.png
Рис,,Гарниры,73 с,https://nambafood.kg/dish_image/87497.png
Лапша,,Гарниры,75 с,https://nambafood.kg/dish_image/128062.png
Манты с мясом 3 шт.,,Манты,144 с,https://nambafood.kg/dish_image/87158.png
Манты с мясом жареные 3 шт.,,Манты,160 с,https://nambafood.kg/dish_image/87489.png
Манты с джусаем и яйцом 3 шт.,,Манты,127 с,https://nambafood.kg/dish_image/87156.png
Манты с джусаем и яйцом жареные 3 шт.,,Манты,144 с,https://nambafood.kg/dish_image/114758.png
Манты с джусаем и мясом 3 шт.,,Манты,144 с,https://nambafood.kg/dish_image/114756.png
Манты с джусаем и мясом жареные 3 шт.,,Манты,160 с,https://nambafood.kg/dish_image/123842.png
Пельмени жареные,,Манты,190 с,https://nambafood.kg/dish_image/106782.png
Пельмени фирменные,,Манты,184 с,https://nambafood.kg/dish_image/106783.png
Салат из спаржи,,Салаты,35 с,https://nambafood.kg/dish_image/87170.png
Картофельный салат,,Салаты,35 с,https://nambafood.kg/dish_image/87162.png
"Салат ""Басай""",,Салаты,35 с,https://nambafood.kg/dish_image/87163.png
Фунчоза,,Салаты,35 с,https://nambafood.kg/dish_image/87171.png
Coca-Cola 0.5 л,,Напитки,66 с,https://nambafood.kg/dish_image/140744.png
Coca-Cola 1 л.,,Напитки,101 с,https://nambafood.kg/dish_image/140743.png
Компот 1 л,,Напитки,106 с,https://nambafood.kg/dish_image/128051.png
"Bonaqua 0,5",,Напитки,44 с,https://nambafood.kg/dish_image/140742.png
