Наименование,Описание,Категория,Цена,Фото
Профитроли сливочные,,Десерт,100 с,https://nambafood.kg/dish_image/122562.png
Капкейки,Капкейк из бисквита шоколадного или красного бархата с крем-чизом,Десерт,110 с,https://nambafood.kg/dish_image/122551.png
Эскимо шоколадный,Классический бисквит картошка политый бельгийским шоколадом и орехами,Десерт,120 с,https://nambafood.kg/dish_image/122553.png
Творожные кольца,Хрустящее заварное тесто с творожным кремом,Десерт,120 с,https://nambafood.kg/dish_image/122542.png
Эклер с клубникой,Хрустящее заварное тесто с кремчизом и свежей клубникой,Десерт,150 с,https://nambafood.kg/dish_image/122541.png
Сладкий сендвич,Песочное шоколадное тесто с крем - чизом в прослойке украшенное клубникой или орехами,Десерт,150 с,https://nambafood.kg/dish_image/122572.png
Фисташковые кольца,,Десерт,170 с,https://nambafood.kg/dish_image/122567.png
Медовый,,Десерт,180 с,https://nambafood.kg/dish_image/122555.png
Красный бархат,Бисквит красного бархата и слои крем-чиза,Десерт,180 с,https://nambafood.kg/dish_image/122754.png
Морковный,Пряный морковный бисквит с дробленными орехами и крем - чизом,Десерт,180 с,https://nambafood.kg/dish_image/122556.png
Муссовые нарезные,Пирожные с шоколадным бисквитом и нежным муссом с орехами и карамелью,Десерт,185 с,https://nambafood.kg/dish_image/122751.png
Тарталетка,Песочный нежный тарт заполненый крем-чизом и свежими ягодами,Десерт,190 с,https://nambafood.kg/dish_image/122543.png
Честер,,Десерт,190 с,https://nambafood.kg/dish_image/122574.png
Меренговый рулет кусочек,Рулет из мягкого и нежного безе с крем-чизом и ягодами,Десерт,200 с,https://nambafood.kg/dish_image/122547.png
Чизкейк классический,Классический чизкейк Нью-Йорк из премиального творожного сыра с песочной основой из крекеров,Десерт,210 с,https://nambafood.kg/dish_image/122544.png
Исфахан,Тесто из миндальной муки с кремчизом в прослойки и со свежей малиной,Десерт,220 с,https://nambafood.kg/dish_image/122546.png
Ягодный чизкейк,Чизкейк из ягодного микса на фирменном соленном крекере,Десерт,240 с,https://nambafood.kg/dish_image/122558.png
Фисташковый рулет кусочек,"Рулет из мягкого, нежного безе с добавлением турецкой фисташковой муки с крем-чизом и ягодами",Десерт,250 с,https://nambafood.kg/dish_image/122571.png
Альмо белое,"Миндальное пирожное из теста с хрустящим безе, миксом орехов, ириски с использованием тростникового сахара и заварным кремом и лепестками миндаля",Десерт,250 с,https://nambafood.kg/dish_image/122575.png
Альмо шоколадное,"Миндальное пирожное из теста с хрустящим безе, миксом орехов, ириски с использованием тростникового сахара и заварным кремом и лепестками миндаля",Десерт,250 с,https://nambafood.kg/dish_image/122576.png
Шоколадный чизкейк,Шоколадный чизкейк с грецкими орехами и карамелью,Десерт,250 с,https://nambafood.kg/dish_image/122557.png
Профитроли,Нежное заварное тесто с фирменным заварным сливочным кремом MADA,Десерт,55 с,https://nambafood.kg/dish_image/122563.png
Меренговый рулет целый,Рулет из мягкого и нежного безе с крем-чизом и ягодами,Блюда на заказ,1200 с,https://nambafood.kg/dish_image/122579.png
Фисташковый меренговый рулет целый,"Рулет из мягкого, нежного безе с добавлением турецкой фисташковой муки с крем-чизом и ягодами",Блюда на заказ,1500 с,https://nambafood.kg/dish_image/122734.png
Ягодный лимонад 0.3 л.,,Напитки,150 с,https://nambafood.kg/dish_image/122735.png
Фисташковый лимонад 0.3 л.,,Напитки,150 с,https://nambafood.kg/dish_image/122736.png
Киви лимонад 0.3 л.,,Напитки,150 с,https://nambafood.kg/dish_image/122737.png
Грушевый лимонад 0.3 л.,,Напитки,150 с,https://nambafood.kg/dish_image/122738.png
