Наименование,Описание,Категория,Цена,Фото
Суп куриный,400 г,Первые блюда,140 с,https://nambafood.kg/dish_image/130483.png
Барбекю Пицца с курицей 13 см,"Пицца соус, курица барбекю, грибы, лук, сыр, болгарский перец",Пицца,150 с,https://nambafood.kg/dish_image/93169.png
Барбекю Пицца с курицей 18 см,"Пицца соус, курица барбекю, грибы, лук, сыр, болгарский перец",Пицца,325 с,https://nambafood.kg/dish_image/93170.png
Барбекю Пицца с курицей 30 см,"Пицца соус, курица барбекю, грибы, лук, сыр, болгарский перец",Пицца,450 с,https://nambafood.kg/dish_image/93171.png
Барбекю Пицца с курицей 40 см,"Пицца соус, курица барбекю, грибы, лук, сыр, болгарский перец",Пицца,675 с,https://nambafood.kg/dish_image/93172.png
Итальяно Пицца c курицей 13 см,"Пицца соус, курица, оливки, сладкая кукуруза, сыр, лук, болгарский перец",Пицца,150 с,https://nambafood.kg/dish_image/93174.png
Итальяно Пицца c курицей 18 см,"Пицца соус, курица, оливки, сладкая кукуруза, сыр, лук, болгарский перец",Пицца,325 с,https://nambafood.kg/dish_image/93175.png
Итальяно Пицца c курицей 30 см,"Пицца соус, курица, оливки, сладкая кукуруза, сыр, лук, болгарский перец",Пицца,450 с,https://nambafood.kg/dish_image/93176.png
Итальяно Пицца c курицей 40 см,"Пицца соус, курица, оливки, сладкая кукуруза, сыр, лук, болгарский перец",Пицца,675 с,https://nambafood.kg/dish_image/93177.png
Фахита 13 см,"Пицца соус, курица, сыр, оливки, стручковый перец",Пицца,150 с,https://nambafood.kg/dish_image/93178.png
Фахита 18 см,"Пицца соус, курица, сыр, оливки, стручковый перец",Пицца,325 с,https://nambafood.kg/dish_image/93179.png
Фахита 30 см,"Пицца соус, курица, сыр, оливки, стручковый перец",Пицца,450 с,https://nambafood.kg/dish_image/93180.png
Фахита 40 см,"Пицца соус, курица, сыр, оливки, стручковый перец",Пицца,675 с,https://nambafood.kg/dish_image/93181.png
Пицца 4 сыра 13 см,"Пицца соус, 4 вида сыра",Пицца,150 с,https://nambafood.kg/dish_image/93182.png
