Наименование,Описание,Категория,Цена,Фото
Комбо 5 пицц 30 см,,Комбо,"1699 с


                    2275 с",https://nambafood.kg/dish_image/135908.png
Комбо 1,"Сет теплый рай 24 шт, Пепперони 30 см",Комбо,999 с,https://nambafood.kg/dish_image/135911.png
Комбо 2,"Сет бинго 32 шт, Фирменный 30 см, Coca-Cola 1 л",Комбо,1299 с,https://nambafood.kg/dish_image/144315.png
Комбо 3 пиццы 30 см,"Шашлычная, пепперони и маргарита + Coca-Cola 1 л",Комбо,1099 с,https://nambafood.kg/dish_image/121589.png
Комбо 4,"Сет даймонд 72 шт, Пепперони 40 см, Маргарита 40 см",Комбо,2799 с,https://nambafood.kg/dish_image/135915.png
Комбо 6,"Сет сакура 40 шт, Пиццца oт шефа 30 см, Coca-Cola 1 л",Комбо,1599 с,https://nambafood.kg/dish_image/135917.png
Комбо 7 пицц 30 см,,Комбо,"1999 с


                    3263 с",https://nambafood.kg/dish_image/135909.png
Комбо «Горячий микс»,"Состав: сет запечённый 40 шт, пицца от шефа 25 см, Coca-cola 1 литр",Комбо,"1399 с


                    1468 с",https://nambafood.kg/dish_image/121587.png
Пепперони комбо,Пепперони 30 см 2 шт. + фри +  Piko 1 литр,Комбо,799 с,https://nambafood.kg/dish_image/136829.png
Комбо Панда,Сет лава 32 шт + пепперони 40 см + Coca-Cola 1 л,Комбо,1399 с,https://nambafood.kg/dish_image/136830.png
Комбо «Острый»,Сет на двоих 28 шт + Чили 30 см,Комбо,1299 с,https://nambafood.kg/dish_image/144316.png
Комбо «Ассорти»,Сет лава 32 шт. + Шашлычная 30 см + Coca-Cola 1 л,Комбо,1399 с,https://nambafood.kg/dish_image/121595.png
Комбо «Здоровяк»,Мега хит 48 шт. + пепперони 30 см + Чили 25 см + Coca-Cola 1 л,Комбо,1999 с,https://nambafood.kg/dish_image/121582.png
Комбо «Бишкек»‎‎,Сет классный 32 шт.  + пепперони 30 см + фри,Комбо,1099 с,https://nambafood.kg/dish_image/136831.png
Фила Макс,"Сет классный 32 шт, пицца цезарь 40 см + Coca-Cola 1 л",Комбо,1299 с,https://nambafood.kg/dish_image/136832.png
Дракон ролл,"225 г. Авокадо, нори, креветка тигровая, спайс соус, рис маринованный, кунжут белый, соус унаги, угорь копченый филе.",Роллы,399 с,https://nambafood.kg/dish_image/135934.png
Калифорния с кунжутом,"200 г. Состав: нори, рис маринованный ,сыр творожный, авокадо, лосось, кунжут белый",Роллы,249 с,https://nambafood.kg/dish_image/135933.png
Калифорния с крабовыми палочками,"210 г. Нори, икра тобико оранжевая, крабовые палочки, сыр сливочный, огурец свежий, рис маринованный.",Роллы,229 с,https://nambafood.kg/dish_image/135929.png
Калифорния с креветкой,"220 г. Авокадо, нори, икра тобико оранжевая, спайс соус, огурец свежий, рис маринованный, креветка тигровая.",Роллы,269 с,https://nambafood.kg/dish_image/135931.png
Калифорния с лососем,"220 г. Авокадо, нори, икра тобико оранжевая, лосось, спайс соус, огурец свежий, рис маринованный.",Роллы,299 с,https://nambafood.kg/dish_image/135930.png
Каппа маки мини,"126 г. Состав: нори, рис маринованный ,огурец",Роллы,119 с,https://nambafood.kg/dish_image/135927.png
Микс,"250 г. Состав: нори, рис маринованный ,сыр творожный, масага красный, листья салата, лосось, угорь",Роллы,349 с,https://nambafood.kg/dish_image/135924.png
Сяке маки мини,"125 г. Нори, лосось филе, рис маринованный.",Роллы,219 с,https://nambafood.kg/dish_image/135935.png
Тайгер,"260 г. Состав: нори, рис маринованный ,сыр творожный, ананас, лосось, лимон",Роллы,339 с,https://nambafood.kg/dish_image/135938.png
Треугольник ролл,"200 г. Состав: нори, рис маринованный, крошка для роллы, соус юнната, перец болгарский, огурец, капуста пекинская, помидор",Роллы,199 с,https://nambafood.kg/dish_image/135928.png
Филадельфия делюкс,"240 г. Нори, лосось филе, рис маринованный, сыр сливочный.",Роллы,399 с,https://nambafood.kg/dish_image/135918.png
Филадельфия классик,"230 г. Состав: нори, рис маринованный ,сыр творожный, лосось",Роллы,299 с,https://nambafood.kg/dish_image/135926.png
Филадельфия лайт,"205 г. Состав: нори, рис маринованный ,сыр творожный, огурец, лосось",Роллы,239 с,https://nambafood.kg/dish_image/135925.png
Филадельфия с авокадо,"250 г. Нори, рис маринованный, сыр сливочный, авокадо, лосось филе.",Роллы,409 с,https://nambafood.kg/dish_image/135936.png
Нежный темпура,"185 г. Нори, икра тобико оранжевая, лосось филе, лук зеленый (перо), рис маринованный, сыр сливочный, кляр, соус терияки.",Жареные роллы,249 с,https://nambafood.kg/dish_image/135948.png
Осака темпура,"260 г. Состав: нори, рис маринованный ,сыр творожный, сыр виола, лосось, икра тобико красная, крабовые палочки халал, огурец, спайси соус",Жареные роллы,289 с,https://nambafood.kg/dish_image/135947.png
Синсиро,"280 грамм. состав: нори, рис маринованный ,сыр творожный, сыр виола, лосось капченный, соус синсиро",Жареные роллы,249 с,https://nambafood.kg/dish_image/135943.png
Темпура креветки,"215 г. Состав: нори, рис маринованный , соус краб микс, огурец, креветки, кунжут белый, спайси соус, унаги соус",Жареные роллы,289 с,https://nambafood.kg/dish_image/135941.png
Темпура чука,"Состав: нори, рис маринованный , соус краб микс, угорь, авокадо, кунжут белый, спайси соус, салат чука",Жареные роллы,349 с,https://nambafood.kg/dish_image/135940.png
Чикаго,"250 г. Состав: нори, рис маринованный , икра тобико красная, крабовые палочки, лосось, капуста пекинская, лук зеленая, спайси соус",Жареные роллы,249 с,https://nambafood.kg/dish_image/135949.png
Юдзава,"220 г. Состав: нори, рис маринованный ,сыр виола, угорь, соус краб микс, огурец, спайси соус, унаги соус",Жареные роллы,249 с,https://nambafood.kg/dish_image/135945.png
Запеченый с крабовыми палочками,"155 г. Нори, крабовые палочки, рис маринованный, соус нежный.",Запеченные Роллы,179 с,https://nambafood.kg/dish_image/135969.png
Нежный с курицей,"235 г. Состав: нори, рис маринованный ,сыр творожный, курица терияки, капуста пекинская, нежный замес, соус унаги",Запеченные Роллы,229 с,https://nambafood.kg/dish_image/135964.png
Аяши ролл,"155 г. Нори, рис маринованный, сыр сливочный, омлет, соус аяши.",Запеченные Роллы,219 с,https://nambafood.kg/dish_image/135967.png
Годзила,"300 грамм. состав: нори, рис маринованный ,сыр творожный, креветки, икра тобико оранжевая, соус годзилла",Запеченные Роллы,309 с,https://nambafood.kg/dish_image/135956.png
Нежный с лосоем,"220 г. Состав: нори, рис маринованный ,сыр творожный, лосось терияки, соус унаги, капуста пекинская, нежный замес",Запеченные Роллы,249 с,https://nambafood.kg/dish_image/135966.png
Амори,"300 г. Состав: нори, рис маринованный ,сыр творожный, огурец, лосось терияки, соус амори, скра тобико оранжевая",Запеченные Роллы,299 с,https://nambafood.kg/dish_image/135953.png
Аригато,"310 грамм. состав: нори, рис маринованный ,сыр творожный, авокадо, лосось жареный, кунжут белый, соус аригато",Запеченные Роллы,309 с,https://nambafood.kg/dish_image/135958.png
Масахиро хот,"310 г. Состав: нори, рис маринованный ,сыр творожный, курица отварная, авокадо, кунжут черный и белый, соус масахиро",Запеченные Роллы,299 с,https://nambafood.kg/dish_image/135954.png
Сяке запеченный,"165 г. Нори, рис маринованный, лосось филе, замес нежный.",Запеченные Роллы,219 с,https://nambafood.kg/dish_image/135970.png
Нежный с сыром,"235 г. Состав: нори, рис маринованный ,сыр творожный, салат айберг, нежный замес, соус унаги",Запеченные Роллы,199 с,https://nambafood.kg/dish_image/135962.png
