Наименование,Описание,Категория,Цена,Фото
Томми запеченный,"10 шт. рис, нори, соус сыр курица терияки помидор",Запеченные Роллы,230 с,https://nambafood.kg/dish_image/133205.png
Калифорния запеченный,"10 шт. рис, нори, соус краб, сыр, икра масага, огурец",Запеченные Роллы,290 с,https://nambafood.kg/dish_image/133206.png
Токио запеченный,"10 шт. рис, нори, соус сыр лосось",Запеченные Роллы,240 с,https://nambafood.kg/dish_image/133207.png
Фирменный запеченный,"10 шт. рис, нори, соус креветка оргурец кунжут",Запеченные Роллы,280 с,https://nambafood.kg/dish_image/133208.png
Семга запеченный,"10 шт. рис, нори, соус кунжут сыр семга огурец",Запеченные Роллы,260 с,https://nambafood.kg/dish_image/133209.png
Сырный запеченный,"10 шт. рис, нори, соус сыр краб огурец",Запеченные Роллы,220 с,https://nambafood.kg/dish_image/133210.png
Овощной запеченный,"10 шт. рис, нори, соус помидор, огурец кунжут",Запеченные Роллы,200 с,https://nambafood.kg/dish_image/133211.png
Цезарь запеченный,"10 шт. рис, нори, соус курица терияки помидор, лист салат, соус цезарь",Запеченные Роллы,240 с,https://nambafood.kg/dish_image/133212.png
Филадельфия запеченная,"10 шт. рис, нори, соус сыр лосось",Запеченные Роллы,340 с,https://nambafood.kg/dish_image/134700.png
Спайси запеченный,"10 шт. рис нори соус, икра масага, сыр жаренный лосось",Запеченные Роллы,280 с,https://nambafood.kg/dish_image/133214.png
Греческий жаренный,"10 шт. рис, нори огурец помидор имбирь спайси соус",Жареные роллы,200 с,https://nambafood.kg/dish_image/133188.png
Цезарь жаренный,"10 шт. рис, нори, лист салата, сыр, курица терияки, помидор",Жареные роллы,230 с,https://nambafood.kg/dish_image/133191.png
Овощной жаренный,"10 шт. рис, нори, огурец, сыр, помидор, лист салата",Жареные роллы,180 с,https://nambafood.kg/dish_image/136700.png
Жаренный краб,"10 шт. рис, нори, сыр, огурец, краб",Жареные роллы,220 с,https://nambafood.kg/dish_image/133186.png
Чикен темпура,"10 шт. рис, нори, огурец, сыр, курица терияки",Жареные роллы,210 с,https://nambafood.kg/dish_image/133183.png
Унаги темпура,"10 шт. рис, нори, соус, огурец, сыр, угорь, унаги, кунжут, унаги соус",Жареные роллы,330 с,https://nambafood.kg/dish_image/133184.png
Фетаки,"10 шт. рис, нори, сыр, помидор, копченая семга",Жареные роллы,270 с,https://nambafood.kg/dish_image/133187.png
Филадельфия темпура,"10 шт. рис, нори, сыр, лосось",Жареные роллы,330 с,https://nambafood.kg/dish_image/136699.png
Жареный лосось,"Нори, огурец, икра масаго, сыр, лосось жареный",Жареные роллы,300 с,https://nambafood.kg/dish_image/137165.png
Спайси жареный лосось,"Рис, нори, сыр, лосось спайси",Жареные роллы,250 с,https://nambafood.kg/dish_image/137166.png
Огурец,"10 шт. рис, нори, огурец",Роллы,100 с,https://nambafood.kg/dish_image/133192.png
Овощной,"10 шт. рис, нори, сыр, лист салата, помидор, огурец",Роллы,140 с,https://nambafood.kg/dish_image/133193.png
Огурец лосось,"10 шт. рис, нори, лосось, огурец",Роллы,150 с,https://nambafood.kg/dish_image/134701.png
Лосось,"10 шт. рис, нори, лосось",Роллы,170 с,https://nambafood.kg/dish_image/133195.png
Филадельфия,"10 шт. рис, нори, лосось, сыр",Роллы,310 с,https://nambafood.kg/dish_image/133196.png
Калифорния,"10 шт. рис, нори, краб, сыр, икра масага, огурец",Роллы,260 с,https://nambafood.kg/dish_image/133198.png
Тори маки,"10 шт. рис, нори, курица терияки, сыр, помидор, кунжут",Роллы,180 с,https://nambafood.kg/dish_image/133199.png
Калифорния с кунжутом,"10 шт. рис, нори, краб, сыр, кунжут, огурец",Роллы,260 с,https://nambafood.kg/dish_image/133200.png
Треугольник в кунжуте,"10 шт. рис, нори, огурец, сыр, лист салат",Роллы,160 с,https://nambafood.kg/dish_image/133201.png
Дракон,"10 шт. рис, нори, огурец, сыр, угорь",Роллы,280 с,https://nambafood.kg/dish_image/133202.png
С копченной семгой,"10 шт. рис, нори, коп семга, сыр, огурец, икра масага",Роллы,270 с,https://nambafood.kg/dish_image/133203.png
Киото,"10 шт. рис, нори, огурец, сыр, жаренный лосось",Роллы,240 с,https://nambafood.kg/dish_image/133204.png
Крылышки,,Закуски,210 с,https://nambafood.kg/dish_image/133215.png
Комбо крылышки,,Закуски,310 с,https://nambafood.kg/dish_image/133216.png
Наггетсы,,Закуски,190 с,https://nambafood.kg/dish_image/133217.png
Курица в кисло сладком соусе,,Закуски,260 с,https://nambafood.kg/dish_image/133218.png
Фри,,Закуски,100 с,https://nambafood.kg/dish_image/134933.png
Сет микс,1 кг 40 шт. Чикен темпура 0.5 овощной темтура 0.5 томи зап 0.5 токио зап 0.5 овощной 0.5 согурцом 0.5 цезарь 0.5 тори маки 0.5,Сеты,770 с,https://nambafood.kg/dish_image/133219.png
Сет «Горячий»‎‎ запечённый,1 кг. 40 шт. калифорния зап-й филадельфия зап-й овощной жаренный цезарь жаренный,Сеты,1100 с,https://nambafood.kg/dish_image/133220.png
Сет «Супер»‎‎,1 кг. 50 шт.  Жаренный краб токио зап-й тори маки калифорния филадельфия,Сеты,1150 с,https://nambafood.kg/dish_image/134945.png
Мега сет,2 кг. 80 шт.филадельфия чикен темпура гречиский жаренный сырный зап-й овощной зап-й с копченной семгой тори маки овощной,Сеты,1650 с,https://nambafood.kg/dish_image/133221.png
Сет «Наруто»‎‎,1 кг. 40 шт. Семга зап-й чикен темпура огурец лосось калифорния в кунжуте,Сеты,770 с,https://nambafood.kg/dish_image/134003.png
Сет «Чиба»‎‎,870 гр.,Сеты,750 с,https://nambafood.kg/dish_image/133876.png
Сет Филомания,"1 кг, 32 шт. Филадельфия с огурцом, филадельфия масаго, филадельфия опаленная, ролл с огурцом",Сеты,1100 с,https://nambafood.kg/dish_image/133877.png
Рамен яйцо и сыр,,Супы,180 с,https://nambafood.kg/dish_image/133223.png
Рамен с курицей,,Супы,180 с,https://nambafood.kg/dish_image/133224.png
Рамен ассорти,,Супы,200 с,https://nambafood.kg/dish_image/133225.png
Рамен с лососем,,Супы,200 с,https://nambafood.kg/dish_image/133226.png
Coca-cola 1 л.,,Напитки,80 с,https://nambafood.kg/dish_image/133227.png
