Наименование,Описание,Категория,Цена,Фото
Донер кебаб с говядиной,"350 г. Состав: лаваш, кебабы, помидор, огурец, соленые огурец, листья салата, красный лук, фри, соусы.",Фирменные блюда,180 с,https://nambafood.kg/dish_image/116564.png
Донер кебаб с курицей,"350 г. Состав: лаваш, курица, помидор, огурец, соленый огурец, листья салата, красный лук, фри, соусы.",Фирменные блюда,180 с,https://nambafood.kg/dish_image/116583.png
Нан кебаб с говядиной,"300 г. Состав: булочка из цельнозерновой муки, кебабы, помидор, огурец, соленый огурец, фри, красный лук, листья салата, соусы.",Фирменные блюда,160 с,https://nambafood.kg/dish_image/116561.png
Нан кебаб с курицей,"300 г. Состав: булочка из цельнозерновой муки, курица, помидор, огурец, соленый огурец, листья салата, красный лук, фри, соусы.",Фирменные блюда,160 с,https://nambafood.kg/dish_image/116559.png
Запеченный донер с говядиной,"450 г. Состав: лаваш, кебабы, сыр, помидор, огурец, соленый огурец, листья салата, красный лук, фри, соусы.",Фирменные блюда,180 с,https://nambafood.kg/dish_image/116580.png
Запеченный донер с курицей,"450 г. Состав: лаваш, курица, сыр, помидор, огурец, соленый огурец, листья салата, красный лук, фри, соусы.",Фирменные блюда,180 с,https://nambafood.kg/dish_image/116796.png
Big донер с говядиной,"600 г. Состав: лаваш, кебабы, помидор, огурец, соленые огурец, листья салата, красный лук, фри, соусы.",Фирменные блюда,240 с,https://nambafood.kg/dish_image/127481.png
Big донер с курицей,"600 г. Состав: лаваш, курица, помидор, огурец, соленый огурец, листья салата, красный лук, фри, соусы.",Фирменные блюда,240 с,https://nambafood.kg/dish_image/127485.png
Донер ассорти,"380 г. Состав: кебабы из говядины и курицы, помидор, огурец, красный лук, фри, соусы, лаваш.",Фирменные блюда,200 с,https://nambafood.kg/dish_image/127486.png
Адана кебаб,"380 г. Состав: кебабы из говядины, рис по турецки, полу горький перец, соус.",Фирменные блюда,200 с,https://nambafood.kg/dish_image/127641.png
Наггетсы куриные,,Фирменные блюда,140 с,https://nambafood.kg/dish_image/127491.png
Картофель фри,,Фирменные блюда,80 с,https://nambafood.kg/dish_image/127490.png
Чечевичный суп,,Фирменные блюда,120 с,https://nambafood.kg/dish_image/116574.png
Coca cola 0.5 л,,Напитки,50 с,https://nambafood.kg/dish_image/116548.png
Coca cola 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/116549.png
Fuse tea 0.5 л,,Напитки,50 с,https://nambafood.kg/dish_image/116552.png
Легенда 0.5 л,,Напитки,30 с,https://nambafood.kg/dish_image/116555.png
Legenda 1 л.,,Напитки,40 с,https://nambafood.kg/dish_image/116556.png
Чалап,,Напитки,35 с,https://nambafood.kg/dish_image/132859.png
